concept,n,acc,train_acc,test_acc,test_n,test_edge
momentum_5d,860,48.1,46.7,49.9,395,0.5
turn_of_month,177,50.8,52.1,49.4,81,0.0
london_reversal,856,45.7,43.0,48.9,393,-0.5
macd,861,45.6,44.0,47.6,395,-1.8
gap_fill,859,45.5,43.9,47.5,394,-1.9
overnight_reversal,859,45.5,43.9,47.5,394,-1.9
rsi_momentum,683,47.0,46.7,47.4,289,-2.0
dow_seasonal,519,48.6,49.6,47.3,237,-2.1
sweep_pdl_bull,374,43.9,40.6,47.3,182,-2.1
vix_low_bull,430,47.4,47.7,47.0,132,-2.4
premarket_judas,859,43.7,41.3,46.4,394,-3.0
daily_trend_20_50,610,47.0,47.6,46.4,280,-3.0
momentum_3d,861,44.5,43.1,46.1,395,-3.3
weekly_bias,625,46.2,46.4,46.1,293,-3.3
asia_dir,859,45.6,45.8,45.4,394,-4.0
daily_hh_hl,642,45.0,44.8,45.2,294,-4.2
bb_meanrev,104,46.2,46.8,45.2,42,-4.2
bb_momentum,104,43.3,41.9,45.2,42,-4.2
udv,861,46.7,48.5,44.6,395,-4.8
momentum_1d,861,45.9,47.4,44.1,395,-5.3
overnight_cont,859,44.2,44.9,43.4,394,-6.0
vix_rising_bear,486,45.3,48.1,42.7,255,-6.7
london_dir_cont,856,44.2,46.0,42.0,393,-7.4
rsi_meanrev,350,41.7,43.5,39.2,143,-10.2
