target,tier,n,acc,base,skill,ci,cov,side,n_side,p
08:00 -> window 10:15,any |s|>=0.5,346,46.8,45.1,1.7,"(41.6, 52.1)",87.8,51.9,312,0.2758
08:00 -> window 10:15,strong |s|>=1.5,251,44.6,45.4,-0.8,"(38.6, 50.8)",63.7,50.2,223,0.6237
08:00 -> window 10:15,max |s|>=2.5,71,45.1,49.3,-4.2,"(34.0, 56.6)",18.0,50.8,63,0.7968
08:00 -> window 10:15,UNANIMOUS,71,45.1,49.3,-4.2,"(34.0, 56.6)",18.0,50.8,63,0.7968
09:30 -> session 16:00,any |s|>=0.5,344,47.1,50.0,-2.9,"(41.9, 52.4)",87.3,52.1,311,0.8713
09:30 -> session 16:00,strong |s|>=1.5,253,45.8,48.2,-2.4,"(39.8, 52.0)",64.2,51.1,227,0.7932
09:30 -> session 16:00,max |s|>=2.5,89,36.0,50.6,-14.6,"(26.8, 46.3)",22.6,40.0,80,0.998
09:30 -> session 16:00,UNANIMOUS,89,36.0,50.6,-14.6,"(26.8, 46.3)",22.6,40.0,80,0.998
09:40 -> next 60 min,any |s|>=0.5,357,49.6,51.5,-2.0,"(44.4, 54.7)",90.6,52.5,337,0.7865
09:40 -> next 60 min,strong |s|>=1.5,248,48.8,50.0,-1.2,"(42.6, 55.0)",62.9,51.9,233,0.6716
09:40 -> next 60 min,max |s|>=2.5,81,55.6,44.4,11.1,"(44.7, 65.9)",20.6,60.8,74,0.029
09:40 -> next 60 min,UNANIMOUS,81,55.6,44.4,11.1,"(44.7, 65.9)",20.6,60.8,74,0.029
09:40 -> rest of day,any |s|>=0.5,357,45.7,49.6,-3.9,"(40.6, 50.8)",90.6,52.2,312,0.9377
09:40 -> rest of day,strong |s|>=1.5,248,45.2,48.8,-3.6,"(39.1, 51.4)",62.9,52.1,215,0.8863
09:40 -> rest of day,max |s|>=2.5,81,43.2,50.6,-7.4,"(33.0, 54.1)",20.6,53.8,65,0.9259
09:40 -> rest of day,UNANIMOUS,81,43.2,50.6,-7.4,"(33.0, 54.1)",20.6,53.8,65,0.9259
