day,time,bias,tier,score
2026-02-02,08:00,NEUTRAL,NEUTRAL,5
2026-02-02,09:30,NEUTRAL,NEUTRAL,5
2026-02-10,08:00,NEUTRAL,NEUTRAL,2
2026-02-10,08:45,NEUTRAL,NEUTRAL,4
2026-02-10,09:30,NEUTRAL,NEUTRAL,5
2026-02-10,10:15,NEUTRAL,NEUTRAL,4
2026-02-12,08:00,BEARISH,LOW,3
2026-02-12,08:15,BEARISH,LOW,3
2026-02-12,08:30,BEARISH,LOW,3
2026-02-12,09:30,BULLISH,MEDIUM,5
2026-02-12,09:45,BULLISH,MEDIUM,5
2026-02-13,08:00,NEUTRAL,NEUTRAL,3
2026-02-13,08:30,NEUTRAL,NEUTRAL,3
2026-02-13,09:30,BULLISH,MEDIUM,5
2026-02-13,09:45,BULLISH,MEDIUM,4
2026-02-16,08:00,NEUTRAL,NEUTRAL,5
2026-02-16,09:15,NEUTRAL,NEUTRAL,4
2026-02-16,09:30,NEUTRAL,NEUTRAL,4
2026-02-16,09:45,NEUTRAL,NEUTRAL,4
2026-02-17,08:00,BEARISH,MEDIUM,6
2026-02-17,08:15,BEARISH,MEDIUM,5
2026-02-17,09:30,BEARISH,MEDIUM,6
2026-02-17,10:00,BEARISH,MEDIUM,5
2026-02-19,08:00,BEARISH,MEDIUM,6
2026-02-19,09:30,BEARISH,MEDIUM,6
2026-02-23,08:00,NEUTRAL,NEUTRAL,4
2026-02-23,09:30,NEUTRAL,NEUTRAL,4
2026-02-23,09:45,NEUTRAL,NEUTRAL,3
2026-02-24,08:00,BULLISH,MEDIUM,6
2026-02-24,08:45,BULLISH,MEDIUM,6
2026-02-24,09:30,BULLISH,MEDIUM,6
2026-02-24,09:45,BULLISH,MEDIUM,5
2026-02-25,08:00,BULLISH,LOW,3
2026-02-25,08:15,BULLISH,LOW,3
2026-02-25,09:30,BULLISH,LOW,3
2026-02-26,08:00,BEARISH,MEDIUM,5
2026-02-26,09:30,BEARISH,MEDIUM,4
2026-03-02,08:00,NEUTRAL,NEUTRAL,3
2026-03-02,09:30,NEUTRAL,NEUTRAL,3
2026-03-02,09:45,NEUTRAL,NEUTRAL,3
2026-03-04,08:00,NEUTRAL,NEUTRAL,4
2026-03-04,09:30,NEUTRAL,NEUTRAL,4
2026-03-09,08:00,BULLISH,MEDIUM,5
2026-03-09,08:45,BULLISH,MEDIUM,5
2026-03-09,09:30,BULLISH,MEDIUM,5
2026-03-10,08:00,NEUTRAL,NEUTRAL,3
2026-03-10,08:15,NEUTRAL,NEUTRAL,3
2026-03-10,09:30,BEARISH,MEDIUM,4
2026-03-10,09:45,BEARISH,MEDIUM,4
2026-03-10,10:00,BEARISH,MEDIUM,4
2026-03-11,08:00,NEUTRAL,NEUTRAL,4
2026-03-11,09:30,BEARISH,MEDIUM,5
2026-03-11,09:45,BEARISH,MEDIUM,5
2026-03-12,08:00,NEUTRAL,NEUTRAL,3
2026-03-12,09:30,NEUTRAL,NEUTRAL,4
2026-03-12,10:00,BEARISH,MEDIUM,4
2026-03-13,08:00,NEUTRAL,NEUTRAL,3
2026-03-13,09:30,NEUTRAL,NEUTRAL,3
2026-03-16,08:00,BULLISH,LOW,3
2026-03-16,08:15,BULLISH,LOW,3
2026-03-16,09:30,BULLISH,LOW,3
2026-03-17,08:00,BULLISH,MEDIUM,5
2026-03-17,08:15,BULLISH,MEDIUM,4
2026-03-17,09:30,BULLISH,MEDIUM,4
2026-03-17,09:45,BULLISH,MEDIUM,4
2026-03-18,08:00,NEUTRAL,NEUTRAL,4
2026-03-18,09:30,BEARISH,MEDIUM,5
2026-03-19,08:00,NEUTRAL,NEUTRAL,3
2026-03-19,08:30,NEUTRAL,NEUTRAL,3
2026-03-19,09:30,BEARISH,MEDIUM,4
2026-03-20,08:00,BEARISH,MEDIUM,4
2026-03-20,09:30,BEARISH,MEDIUM,4
2026-03-20,10:00,BEARISH,MEDIUM,4
2026-03-24,08:00,NEUTRAL,NEUTRAL,3
2026-03-24,08:45,NEUTRAL,NEUTRAL,2
2026-03-24,09:30,NEUTRAL,NEUTRAL,2
2026-03-24,09:45,NEUTRAL,NEUTRAL,2
2026-03-25,08:00,NEUTRAL,NEUTRAL,5
2026-03-25,08:15,NEUTRAL,NEUTRAL,5
2026-03-25,09:30,BEARISH,MEDIUM,6
2026-03-26,08:00,NEUTRAL,NEUTRAL,3
2026-03-26,09:30,BEARISH,MEDIUM,5
2026-03-26,09:45,BEARISH,MEDIUM,5
2026-04-01,08:00,NEUTRAL,NEUTRAL,4
2026-04-01,09:30,BEARISH,MEDIUM,6
2026-04-02,08:00,NEUTRAL,NEUTRAL,4
2026-04-02,09:30,BEARISH,MEDIUM,5
2026-04-02,10:00,NEUTRAL,NEUTRAL,5
2026-04-08,08:00,BULLISH,LOW,3
2026-04-08,08:15,BULLISH,LOW,3
2026-04-08,09:30,BULLISH,LOW,3
2026-04-08,09:45,BULLISH,LOW,3
2026-04-09,08:00,NEUTRAL,NEUTRAL,2
2026-04-09,08:15,NEUTRAL,NEUTRAL,2
2026-04-09,09:30,NEUTRAL,NEUTRAL,4
2026-04-10,08:00,NEUTRAL,NEUTRAL,3
2026-04-10,08:30,NEUTRAL,NEUTRAL,3
2026-04-10,09:30,NEUTRAL,NEUTRAL,3
