day,time,bias,tier,score,direction,draws
2023-01-02,08:00,NEUTRAL,NEUTRAL,0,neutral,
2023-01-03,08:00,NEUTRAL,NEUTRAL,0,neutral,
2023-01-04,08:00,NEUTRAL,NEUTRAL,0,neutral,
2023-01-05,08:00,NEUTRAL,NEUTRAL,0,neutral,
2023-01-06,08:00,NEUTRAL,NEUTRAL,0,neutral,
2023-01-09,08:00,BULLISH,MEDIUM,4,bullish,11182.00:PWH|11187.25:LondonH
2023-01-09,08:30,BULLISH,MEDIUM,4,bullish,
2023-01-09,09:30,BULLISH,MEDIUM,4,bullish,
2023-01-10,08:00,BEARISH,LOW,3,bearish,11094.00:LondonL|10751.00:PWL
2023-01-10,09:30,BEARISH,MEDIUM,4,bearish,11125.00:AsiaL|11094.00:LondonL|10751.00:PWL
2023-01-10,09:45,BEARISH,MEDIUM,5,bearish,11182.00:PWH|11148.88:equal-lows|11141.88:equal-lows
2023-01-10,10:00,BULLISH,MEDIUM,4,bullish,11385.50:PDH
2023-01-11,08:00,BULLISH,LOW,3,bullish,11324.25:LondonH
2023-01-11,08:30,BULLISH,LOW,3,bullish,
2023-01-11,09:30,BULLISH,LOW,3,bullish,
2023-01-12,08:00,NEUTRAL,NEUTRAL,3,bullish,
2023-01-12,08:30,NEUTRAL,NEUTRAL,4,bullish,11449.25:LondonL|11479.25:equal-highs|11491.25:equal-highs
2023-01-12,08:45,BULLISH,MEDIUM,5,bullish,11449.25:LondonL|11479.25:equal-highs|11491.25:equal-highs
2023-01-12,09:30,BULLISH,MEDIUM,4,bullish,
2023-01-12,09:45,BULLISH,MEDIUM,5,bullish,11387.12:equal-highs|11449.25:LondonL|11479.25:equal-highs
2023-01-12,10:15,NEUTRAL,NEUTRAL,4,bearish,11450.00:equal-lows|11291.00:equal-lows|11274.00:equal-lows
2023-01-13,08:00,NEUTRAL,NEUTRAL,5,bearish,11291.00:PDL|11274.00:equal-lows|11182.00:PWH
2023-01-13,09:30,NEUTRAL,NEUTRAL,5,bearish,11291.00:PDL|11274.00:equal-lows|11405.00:LondonL
2023-01-16,08:00,BULLISH,MEDIUM,6,bullish,11580.88:equal-highs|11619.62:equal-highs|11591.50:LondonH
2023-01-16,08:15,BULLISH,MEDIUM,6,bullish,11619.62:equal-highs|11591.50:LondonH|11601.75:AsiaL
2023-01-16,09:30,BULLISH,MEDIUM,6,bullish,11619.62:equal-highs|11601.75:AsiaL|11638.75:PDH
2023-01-17,08:00,BULLISH,MEDIUM,5,bullish,11576.88:equal-highs|11619.50:PDH|11589.00:LondonH
2023-01-17,08:45,BULLISH,MEDIUM,4,bullish,11619.50:PDH|11589.00:LondonH|11638.75:PWH
2023-01-17,09:30,BULLISH,MEDIUM,5,bullish,11619.50:PDH|11638.75:PWH
2023-01-17,09:45,BULLISH,MEDIUM,5,bullish,11619.50:PDH|11589.00:LondonH|11638.75:PWH
2023-01-18,08:00,NEUTRAL,NEUTRAL,4,bullish,11692.50:PDH
2023-01-18,08:45,BULLISH,MEDIUM,5,bullish,11692.50:PDH
2023-01-18,09:30,BULLISH,MEDIUM,5,bullish,
2023-01-19,08:00,NEUTRAL,NEUTRAL,3,bearish,11094.00:PWL
2023-01-19,09:30,BULLISH,MEDIUM,5,bullish,11486.75:LondonH|11580.50:equal-highs|11446.50:PDL
2023-01-20,08:00,BULLISH,MEDIUM,5,bullish,11486.75:PDH|11638.75:PWH
2023-01-20,09:30,NEUTRAL,NEUTRAL,3,bearish,11407.75:AsiaH|11388.75:AsiaL|11365.25:LondonL
2023-01-20,09:45,NEUTRAL,NEUTRAL,3,bearish,11407.75:AsiaH|11388.75:AsiaL|11365.25:LondonL
2023-01-20,10:00,BULLISH,MEDIUM,5,bullish,11486.75:PDH|11638.75:PWH
2023-01-23,08:00,NEUTRAL,NEUTRAL,3,bullish,11706.25:LondonH|11759.50:PWH
2023-01-23,08:15,NEUTRAL,NEUTRAL,3,bullish,11759.50:PWH
2023-01-23,09:30,NEUTRAL,NEUTRAL,4,bullish,11759.50:PWH
2023-01-23,10:00,NEUTRAL,NEUTRAL,4,bullish,
2023-01-24,08:00,BEARISH,MEDIUM,6,bearish,11652.62:equal-lows|11759.50:PWH|11308.50:PWL
2023-01-24,09:30,BEARISH,MEDIUM,6,bearish,11652.62:equal-lows|11759.50:PWH|11308.50:PWL
2023-01-25,08:00,BEARISH,MEDIUM,7,bearish,11652.62:equal-lows|11732.75:LondonL|11308.50:PWL
2023-01-25,09:30,BEARISH,MEDIUM,7,bearish,11652.62:equal-lows|11308.50:PWL
2023-01-25,10:00,BEARISH,MEDIUM,6,bearish,11308.50:PWL
2023-01-26,08:00,NEUTRAL,NEUTRAL,2,bullish,
2023-01-26,09:30,BULLISH,LOW,3,bullish,
2023-01-27,08:00,NEUTRAL,NEUTRAL,4,bearish,12019.00:LondonL|11922.25:equal-lows|11837.00:equal-lows
2023-01-27,08:30,NEUTRAL,NEUTRAL,3,bearish,12034.25:equal-lows|12019.00:LondonL|11922.25:equal-lows
2023-01-27,08:45,NEUTRAL,NEUTRAL,4,bearish,12034.25:equal-lows|12019.00:LondonL|11922.25:equal-lows
