day,weekday,fill,window,branch,bias,conviction,counter,dir,pattern,entry,stop_dist,padded,derisk,target_kind,tgt_dist,reason,exit,exit_t,pts,R,dollars
2023-01-09,Monday,08:04,premarket,E3bal,BULLISH,MEDIUM,True,short,B,11161.25,6.0,False,False,4R cap (no draw in dir),24.0,stop,11167.5,08:20,-6.25,-1.042,-130.0
2023-01-10,Tuesday,08:02,premarket,E3bal,BEARISH,LOW,False,short,B,11107.0,9.75,False,False,draw:LondonL,13.0,stop,11117.0,08:06,-10.0,-1.026,-205.0
2023-01-10,Tuesday,09:50,intime,E3bal,BEARISH,MEDIUM,True,long,A,11187.5,45.5,False,True,4R cap (no draw in dir),182.0,stop,11141.75,10:44,-45.75,-1.005,-460.0
2023-01-11,Wednesday,08:00,premarket,E4war,BULLISH,LOW,False,long,A,11298.5,12.0,False,False,draw:LondonH,25.75,draw:LondonH,11324.25,08:24,25.75,2.146,510.0
2023-01-11,Wednesday,08:36,premarket,E4war,BULLISH,LOW,True,short,B,11302.0,8.75,False,False,4R cap (no draw in dir),35.0,stop,11311.0,08:44,-9.0,-1.029,-185.0
2023-01-11,Wednesday,10:04,intime,E4war,BULLISH,LOW,False,long,B,11335.5,20.0,True,False,4R cap (no draw in dir),80.0,stop,11315.25,10:56,-20.25,-1.012,-410.0
2023-01-12,Thursday,09:29,premarket,E4war,BULLISH,MEDIUM,False,long,A,11480.0,13.0,False,False,draw:equal-highs,11.25,draw:equal-highs,11491.25,09:29,11.25,0.865,220.0
2023-01-16,Monday,08:06,premarket,E4war,BULLISH,MEDIUM,False,long,B,11576.0,9.0,False,False,draw:equal-highs,4.88,draw:equal-highs,11580.88,08:13,4.88,0.542,92.6
2023-01-16,Monday,09:58,intime,E4war,BULLISH,MEDIUM,False,long,B2,11599.25,20.0,True,False,draw:AsiaL,2.5,draw:AsiaL,11601.75,10:00,2.5,0.125,45.0
2023-01-16,Monday,10:00,intime,E4war,BULLISH,MEDIUM,False,long,B2,11599.75,20.0,True,False,draw:AsiaL,2.0,draw:AsiaL,11601.75,10:00,2.0,0.1,35.0
2023-01-17,Tuesday,08:02,premarket,E4war,BULLISH,MEDIUM,True,short,B,11552.5,10.75,False,False,4R cap (no draw in dir),43.0,stop,11563.5,08:20,-11.0,-1.023,-225.0
2023-01-17,Tuesday,08:20,premarket,E4war,BULLISH,MEDIUM,False,long,B2,11559.0,10.75,False,False,draw:equal-highs,17.88,draw:equal-highs,11576.88,08:30,17.88,1.663,352.6
2023-01-17,Tuesday,09:44,intime,E4war,BULLISH,MEDIUM,False,long,A,11580.25,20.0,True,False,draw:PDH,39.25,draw:PDH,11619.5,09:54,39.25,1.962,780.0
2023-01-18,Wednesday,09:40,intime,E3bal,BULLISH,MEDIUM,True,short,A,11691.0,26.0,False,False,4R cap (no draw in dir),104.0,stop,11717.25,09:51,-26.25,-1.01,-530.0
2023-01-18,Wednesday,09:57,intime,E3bal,BULLISH,MEDIUM,True,short,A,11696.0,20.0,True,False,4R cap (no draw in dir),80.0,stop,11716.25,09:58,-20.25,-1.012,-410.0
2023-01-19,Thursday,09:43,intime,E4war,BULLISH,MEDIUM,False,long,A,11420.0,20.0,True,False,draw:PDL,26.5,stop,11399.75,09:44,-20.25,-1.012,-410.0
2023-01-19,Thursday,10:01,intime,E4war,BULLISH,MEDIUM,False,long,A,11383.5,20.0,True,False,draw:PDL,63.0,stop,11363.25,10:12,-20.25,-1.012,-410.0
2023-01-20,Friday,08:04,premarket,E3bal,BULLISH,MEDIUM,False,long,B,11440.5,7.5,False,False,4R cap,30.0,stop,11432.75,08:22,-7.75,-1.033,-160.0
2023-01-20,Friday,08:43,premarket,E3bal,BULLISH,MEDIUM,False,long,B,11430.75,6.5,False,False,4R cap,26.0,stop,11424.0,08:48,-6.75,-1.038,-140.0
2023-01-24,Tuesday,09:40,intime,E3bal,BEARISH,MEDIUM,True,long,A,11875.75,30.25,False,False,4R cap (no draw in dir),121.0,stop,11845.25,10:05,-30.5,-1.008,-615.0
2023-01-25,Wednesday,08:01,premarket,E3bal,BEARISH,MEDIUM,False,short,B,11757.0,7.0,False,False,draw:LondonL,24.25,draw:LondonL,11732.75,08:36,24.25,3.464,480.0
2023-01-26,Thursday,10:04,intime,E3bal,BULLISH,LOW,False,long,B,11995.5,35.0,False,False,4R cap (no draw in dir),140.0,stop,11960.25,10:07,-35.25,-1.007,-710.0
2023-01-26,Thursday,10:13,intime,E3bal,BULLISH,LOW,False,long,B,11983.0,16.5,False,False,4R cap (no draw in dir),66.0,stop,11966.25,10:40,-16.75,-1.015,-340.0
2023-02-02,Thursday,09:03,premarket,E4war,BULLISH,MEDIUM,False,long,A,12668.25,15.0,False,False,4R cap (no draw in dir),60.0,stop,12653.0,09:13,-15.25,-1.017,-310.0
2023-02-02,Thursday,09:45,intime,E4war,BULLISH,MEDIUM,False,long,A,12708.75,20.0,True,False,4R cap (no draw in dir),80.0,stop,12688.5,09:46,-20.25,-1.012,-410.0
2023-02-02,Thursday,09:56,intime,E4war,BULLISH,MEDIUM,False,long,A,12694.75,20.0,True,False,4R cap (no draw in dir),80.0,stop,12674.5,09:59,-20.25,-1.012,-410.0
2023-02-09,Thursday,08:44,premarket,E4war,BEARISH,MEDIUM,True,long,B2,12696.5,8.75,False,False,4R cap (no draw in dir),35.0,stop,12687.5,09:31,-9.0,-1.029,-185.0
2023-02-09,Thursday,09:54,intime,E4war,BULLISH,MEDIUM,False,long,B2,12682.5,20.0,True,False,4R cap,80.0,stop,12662.25,09:54,-20.25,-1.012,-410.0
2023-02-09,Thursday,10:01,intime,E4war,BULLISH,MEDIUM,False,long,B2,12674.5,20.0,True,False,4R cap,80.0,stop,12654.25,10:04,-20.25,-1.012,-410.0
2023-02-10,Friday,09:55,intime,E4war,BULLISH,MEDIUM,False,long,B2,12339.75,20.0,True,False,draw:PDL,26.75,stop,12319.5,10:00,-20.25,-1.012,-410.0
2023-02-10,Friday,10:00,intime,E4war,BULLISH,MEDIUM,False,long,B2,12347.75,20.0,True,False,draw:PDL,18.75,stop,12327.5,10:00,-20.25,-1.012,-410.0
2023-02-13,Monday,09:41,intime,E4war,BEARISH,MEDIUM,True,long,B2,12406.0,20.0,True,False,4R cap (no draw in dir),80.0,4R cap (no draw in dir),12486.0,10:49,80.0,4.0,1595.0
2023-02-16,Thursday,08:01,premarket,E4war,BEARISH,MEDIUM,False,short,B2,12684.75,6.0,False,False,4R cap,24.0,4R cap,12660.75,08:20,24.0,4.0,475.0
2023-02-16,Thursday,09:41,intime,E4war,BEARISH,MEDIUM,True,long,A,12556.5,20.0,True,False,4R cap (no draw in dir),80.0,stop,12536.25,09:42,-20.25,-1.012,-410.0
2023-02-16,Thursday,10:01,intime,E4war,BEARISH,MEDIUM,True,long,A,12555.75,20.0,True,False,4R cap (no draw in dir),80.0,stop,12535.5,10:02,-20.25,-1.012,-410.0
2023-02-17,Friday,08:02,premarket,E4war,BEARISH,MEDIUM,False,short,A,12375.75,10.5,False,False,draw:LondonL,37.75,stop,12386.5,08:32,-10.75,-1.024,-220.0
2023-02-17,Friday,08:39,premarket,E4war,BEARISH,MEDIUM,False,short,B,12378.5,12.5,False,False,draw:LondonL,40.5,stop,12391.25,08:46,-12.75,-1.02,-260.0
2023-02-20,Monday,08:02,premarket,E4war,BULLISH,MEDIUM,False,long,B2,12405.0,5.0,False,False,draw:LondonH,12.75,stop,12399.75,08:47,-5.25,-1.05,-110.0
2023-02-20,Monday,08:50,premarket,E4war,BULLISH,MEDIUM,True,short,B,12397.5,6.0,False,False,4R cap (no draw in dir),24.0,stop,12403.75,08:58,-6.25,-1.042,-130.0
2023-02-20,Monday,10:00,intime,E4war,BULLISH,MEDIUM,True,short,B,12386.5,20.0,True,False,4R cap (no draw in dir),80.0,eod,12367.0,12:59,19.5,0.975,385.0
2023-02-21,Tuesday,08:18,premarket,E4war,BULLISH,MEDIUM,False,long,B,12258.0,7.75,False,False,4R cap,31.0,stop,12250.0,08:22,-8.0,-1.032,-165.0
2023-02-21,Tuesday,08:31,premarket,E4war,BULLISH,MEDIUM,False,long,B,12261.0,11.0,False,False,4R cap,44.0,stop,12249.75,08:43,-11.25,-1.023,-230.0
2023-02-22,Wednesday,08:18,premarket,E4war,BULLISH,MEDIUM,False,long,B,12142.0,13.25,False,False,4R cap,53.0,stop,12128.5,08:27,-13.5,-1.019,-275.0
2023-02-22,Wednesday,08:34,premarket,E4war,BULLISH,MEDIUM,False,long,B,12132.25,10.75,False,False,4R cap,43.0,stop,12121.25,09:03,-11.0,-1.023,-225.0
2023-02-23,Thursday,08:00,premarket,E4war,BULLISH,MEDIUM,False,long,B,12214.25,11.25,False,False,draw:LondonH,12.0,draw:LondonH,12226.25,08:19,12.0,1.067,235.0
2023-02-23,Thursday,08:56,premarket,E4war,BULLISH,MEDIUM,False,long,B,12215.25,8.25,False,False,draw:LondonH,11.0,draw:LondonH,12226.25,09:00,11.0,1.333,215.0
2023-02-23,Thursday,10:01,intime,E4war,BULLISH,MEDIUM,False,long,B,12243.75,20.0,True,False,draw:PWL,22.0,stop,12223.5,10:02,-20.25,-1.012,-410.0
2023-02-23,Thursday,10:04,intime,E4war,BULLISH,MEDIUM,False,long,B2,12217.25,20.0,True,False,draw:PWL,48.5,stop,12197.0,10:06,-20.25,-1.012,-410.0
2023-02-24,Friday,09:12,premarket,E4war,BEARISH,MEDIUM,False,short,B2,11991.75,12.75,False,False,4R cap (no draw in dir),51.0,stop,12004.75,09:30,-13.0,-1.02,-265.0
2023-02-24,Friday,09:42,intime,E4war,BEARISH,MEDIUM,True,long,A,12010.75,20.0,True,False,4R cap (no draw in dir),80.0,stop,11990.5,09:44,-20.25,-1.012,-410.0
2023-02-24,Friday,09:44,intime,E4war,BEARISH,MEDIUM,False,short,B2,11998.25,20.0,True,False,4R cap (no draw in dir),80.0,stop,12018.5,11:50,-20.25,-1.012,-410.0
2023-02-28,Tuesday,09:48,intime,E4war,BEARISH,MEDIUM,True,long,B2,12099.25,20.0,True,False,4R cap (no draw in dir),80.0,stop,12079.0,09:49,-20.25,-1.012,-410.0
2023-02-28,Tuesday,09:52,intime,E4war,BEARISH,MEDIUM,False,short,A,12075.25,15.0,False,False,draw:LondonL,45.75,stop,12090.5,09:53,-15.25,-1.017,-310.0
2023-03-02,Thursday,08:00,premarket,E4war,BEARISH,MEDIUM,False,short,A,11879.5,6.25,False,False,4R cap,25.0,stop,11886.0,08:02,-6.5,-1.04,-135.0
2023-03-02,Thursday,08:05,premarket,E4war,BEARISH,MEDIUM,False,short,A,11888.0,5.75,False,False,4R cap,23.0,4R cap,11865.0,08:30,23.0,4.0,455.0
2023-03-09,Thursday,08:08,premarket,E4war,BEARISH,MEDIUM,False,short,B,12155.5,9.25,False,False,draw:equal-lows,5.38,stop,12165.0,08:24,-9.5,-1.027,-195.0
2023-03-09,Thursday,08:24,premarket,E4war,BEARISH,MEDIUM,True,long,B,12162.25,6.0,False,False,4R cap (no draw in dir),24.0,4R cap (no draw in dir),12186.25,08:30,24.0,4.0,475.0
2023-03-09,Thursday,09:43,intime,E4war,BULLISH,MEDIUM,False,long,A,12268.25,20.0,True,False,4R cap,80.0,4R cap,12348.25,10:06,80.0,4.0,1595.0
2023-03-09,Thursday,10:09,intime,E4war,BULLISH,MEDIUM,False,long,A,12339.5,20.0,True,False,draw:equal-highs,22.0,stop,12319.25,10:11,-20.25,-1.012,-410.0
2023-03-16,Thursday,09:17,premarket,E4war,BEARISH,MEDIUM,False,short,B2,12350.75,13.25,False,False,4R cap,53.0,stop,12364.25,09:17,-13.5,-1.019,-275.0
2023-03-16,Thursday,09:26,premarket,E4war,BEARISH,MEDIUM,False,short,B2,12349.75,11.75,False,False,4R cap,47.0,stop,12361.75,09:30,-12.0,-1.021,-245.0
2023-03-16,Thursday,09:48,intime,E4war,BEARISH,MEDIUM,False,short,B2,12343.25,20.0,True,False,4R cap,80.0,stop,12363.5,09:50,-20.25,-1.012,-410.0
2023-03-16,Thursday,10:07,intime,E4war,BEARISH,MEDIUM,False,short,B2,12382.25,20.0,True,False,4R cap,80.0,stop,12402.5,10:11,-20.25,-1.012,-410.0
2023-03-17,Friday,08:18,premarket,E4war,BEARISH,MEDIUM,False,short,B2,12724.75,6.5,False,False,draw:AsiaL,22.75,draw:AsiaL,12702.0,08:21,22.75,3.5,450.0
2023-03-17,Friday,08:36,premarket,E4war,BEARISH,MEDIUM,False,short,B2,12685.0,7.0,False,False,4R cap,28.0,stop,12692.25,09:03,-7.25,-1.036,-150.0
2023-03-21,Tuesday,08:54,premarket,E4war,BULLISH,LOW,False,long,B,12767.0,5.25,False,False,4R cap,21.0,stop,12761.5,08:56,-5.5,-1.048,-115.0
2023-03-21,Tuesday,09:44,intime,E4war,BULLISH,MEDIUM,False,long,B2,12792.25,20.0,True,False,draw:PWH,19.0,stop,12772.0,09:48,-20.25,-1.012,-410.0
