date,fill_ts,arm,dir,entry,exit,reason,r,dollars,risk,mo
2026-02-09,2026-02-09T09:25:00-05:00,E3,short,25064.25,25073.75,stop,-1.027,-195.0,9.25,2026-02
2026-02-09,2026-02-09T09:28:00-05:00,E3,long,25063.5,25057.5,be_stop,-0.3077,-125.0,19.5,2026-02
2026-02-10,2026-02-10T08:35:00-05:00,E3,long,25345.0,25373.5,partial+stop,1.3033,483.75,18.75,2026-02
2026-02-10,2026-02-10T09:52:00-05:00,E3,long,25316.25,25391.25,partial+stop,1.1023,661.88,60.5,2026-02
2026-02-11,2026-02-11T09:47:00-05:00,E3,long,25373.75,25373.5,stop,-0.0068,-10.0,2.25,2026-02
2026-02-11,2026-02-11T09:48:00-05:00,E3,short,25397.0,25241.25,partial+target,2.6069,2067.5,39.75,2026-02
2026-02-25,2026-02-25T10:08:00-05:00,E3,short,25331.5,25282.5,target,3.92,975.0,12.5,2026-02
2026-02-26,2026-02-26T08:09:00-05:00,E3,short,25371.5,25373.75,partial+stop,0.1397,18.75,8.5,2026-02
2026-02-26,2026-02-26T08:16:00-05:00,E3,long,25377.25,25399.0,target,2.4857,430.0,8.75,2026-02
2026-02-27,2026-02-27T09:46:00-05:00,E3,short,24856.5,24864.25,stop,-0.7045,-160.0,7.5,2026-02
2026-02-02,2026-02-02T08:01:00-05:00,E4,short,25474.25,25499.0,stop,-1.0102,-500.0,24.5,2026-02
2026-02-02,2026-02-02T08:17:00-05:00,E4,short,25480.25,25502.0,stop,-1.0116,-440.0,21.5,2026-02
2026-02-03,2026-02-03T08:20:00-05:00,E4,long,25994.5,25991.25,stop,-1.0833,-70.0,3.0,2026-02
2026-02-03,2026-02-03T08:21:00-05:00,E4,long,25989.0,25987.5,stop,-1.2,-35.0,1.25,2026-02
2026-02-16,2026-02-16T10:12:00-05:00,E4,short,24771.5,24728.25,target,3.2642,860.0,13.25,2026-02
2026-02-17,2026-02-17T08:35:00-05:00,E4,short,24581.0,24596.25,stop,-1.0702,-310.0,14.25,2026-02
2026-02-17,2026-02-17T08:37:00-05:00,E4,long,24593.5,24655.0,target,3.7273,1225.0,16.5,2026-02
2026-02-19,2026-02-19T08:01:00-05:00,E4,short,24869.25,24875.75,stop,-1.04,-135.0,6.25,2026-02
2026-02-19,2026-02-19T09:17:00-05:00,E4,long,24850.5,24842.25,stop,-1.0312,-170.0,8.0,2026-02
2026-02-23,2026-02-23T08:05:00-05:00,E4,long,24911.75,25001.5,target,10.2571,1790.0,8.75,2026-02
2026-02-24,2026-02-24T08:04:00-05:00,E4,short,24828.0,24838.0,stop,-1.0256,-205.0,9.75,2026-02
2026-02-24,2026-02-24T08:05:00-05:00,E4,short,24832.5,24834.5,stop,-1.1429,-45.0,1.75,2026-02
2026-03-02,2026-03-02T08:35:00-05:00,E3,short,24696.25,24632.25,partial+stop,2.3062,917.5,10.0,2026-03
2026-03-04,2026-03-04T09:49:00-05:00,E3,short,24906.75,24920.5,stop,-0.3793,-280.0,12.75,2026-03
2026-03-04,2026-03-04T09:50:00-05:00,E3,long,24893.0,24868.75,stop,-1.043,-490.0,23.25,2026-03
2026-03-05,2026-03-05T08:20:00-05:00,E3,short,25049.0,25050.0,stop,-0.129,-25.0,1.5,2026-03
2026-03-05,2026-03-05T08:21:00-05:00,E3,long,25045.75,25033.0,stop,-0.9808,-260.0,11.75,2026-03
2026-03-09,2026-03-09T08:55:00-04:00,E4,short,24359.75,24382.75,stop,-1.011,-465.0,22.75,2026-03
2026-03-12,2026-03-12T08:26:00-04:00,E4,long,24837.0,24817.0,stop,-1.0526,-405.0,19.0,2026-03
2026-03-12,2026-03-12T08:37:00-04:00,E4,short,24808.5,24828.25,stop,-1.0533,-400.0,18.75,2026-03
2026-03-13,2026-03-13T09:13:00-04:00,E4,long,24665.25,24647.25,stop,-1.0141,-365.0,17.75,2026-03
2026-03-13,2026-03-13T10:06:00-04:00,E4,short,24700.75,24722.5,stop,-1.0482,-440.0,20.75,2026-03
2026-03-16,2026-03-16T09:43:00-04:00,E4,long,24898.5,24881.75,stop,-1.0152,-340.0,16.5,2026-03
2026-03-16,2026-03-16T09:44:00-04:00,E4,long,24892.5,24882.75,stop,-1.0263,-200.0,9.5,2026-03
2026-03-17,2026-03-17T08:26:00-04:00,E4,long,24903.25,25032.5,target,10.7708,2580.0,12.0,2026-03
2026-03-17,2026-03-17T10:02:00-04:00,E4,short,25085.75,25040.25,target,3.7143,905.0,12.25,2026-03
2026-03-19,2026-03-19T09:01:00-04:00,E4,short,24445.75,24458.5,stop,-1.02,-260.0,12.5,2026-03
2026-03-19,2026-03-19T09:49:00-04:00,E4,long,24426.0,24529.25,target,3.0821,2060.0,33.5,2026-03
