date,fill_ts,arm,dir,entry,exit,reason,r,dollars,risk,mo
2026-02-09,2026-02-09T09:28:00-05:00,E3,long,25063.5,25057.5,be_stop,-0.3077,-125.0,19.5,2026-02
2026-02-09,2026-02-09T09:53:00-05:00,E3,short,25118.25,25141.75,stop,-1.0108,-475.0,23.25,2026-02
2026-02-09,2026-02-09T10:02:00-05:00,E3,long,25137.0,25104.25,stop,-1.0077,-660.0,32.5,2026-02
2026-02-10,2026-02-10T08:35:00-05:00,E3,long,25345.0,25373.5,partial+stop,1.3033,483.75,18.75,2026-02
2026-02-10,2026-02-10T09:51:00-05:00,E3,long,25316.25,25391.25,partial+stop,1.1023,661.88,60.5,2026-02
2026-02-12,2026-02-12T08:33:00-05:00,E3,long,25354.25,25368.0,partial+target,1.4423,182.5,6.5,2026-02
2026-02-12,2026-02-12T09:42:00-05:00,E3,short,25365.75,25297.5,partial+target,1.5904,742.5,23.5,2026-02
2026-02-25,2026-02-25T10:08:00-05:00,E3,short,25332.0,25283.25,target,4.0625,970.0,12.0,2026-02
2026-02-26,2026-02-26T08:03:00-05:00,E3,short,25371.5,25373.75,partial+stop,0.1397,18.75,8.5,2026-02
2026-02-26,2026-02-26T08:15:00-05:00,E3,long,25377.25,25399.0,target,2.4857,430.0,8.75,2026-02
2026-02-26,2026-02-26T08:56:00-05:00,E3,short,25384.75,25380.0,partial+stop,0.4885,153.75,16.25,2026-02
2026-02-27,2026-02-27T09:59:00-05:00,E3,long,24877.5,24923.75,target,2.6812,920.0,17.25,2026-02
2026-02-02,2026-02-02T08:00:00-05:00,E4,short,25486.5,25499.0,stop,-1.0204,-255.0,12.25,2026-02
2026-02-02,2026-02-02T08:16:00-05:00,E4,short,25490.0,25502.0,stop,-1.0213,-245.0,11.75,2026-02
2026-02-03,2026-02-03T08:18:00-05:00,E4,short,25991.5,25996.0,stop,-1.0588,-95.0,4.25,2026-02
