month,day,fill,branch,dir,pattern,htf,risk_pts,entry,exit,exit_reason,points,dollars,win
2026-02,2026-02-02,08:01,E4war,short,A,counter_trend,24.5,25474.25,25499.0,stop,-24.75,-500.0,False
2026-02,2026-02-02,08:17,E4war,short,A,counter_trend,21.5,25480.25,25502.0,stop,-21.75,-440.0,False
2026-02,2026-02-03,08:20,E4war,long,A,counter_trend,3.0,25994.5,25991.25,stop,-3.25,-70.0,False
2026-02,2026-02-03,08:21,E4war,long,A,counter_trend,1.25,25989.0,25987.5,stop,-1.5,-35.0,False
2026-02,2026-02-09,09:25,E3bal,short,B,range,9.25,25064.25,25073.75,stop,-9.5,-195.0,False
2026-02,2026-02-09,09:28,E3bal,long,B,range,19.5,25063.5,25057.5,be_stop,-6.0,-125.0,False
2026-02,2026-02-10,08:35,E3bal,long,B,range,18.75,25345.0,25373.5,partial+stop,24.4375,483.75,True
2026-02,2026-02-10,09:35,E3bal,short,A,range,19.0,25375.0,25324.5,partial+target,39.75,790.0,True
2026-02,2026-02-11,09:34,E3bal,long,A,with_trend,8.25,25405.5,25397.0,stop,-8.5,-175.0,False
2026-02,2026-02-11,09:35,E3bal,long,A,with_trend,8.75,25386.5,25386.25,stop,-0.25,-10.0,False
2026-02,2026-02-12,09:40,E3bal,short,A,range,28.5,25364.0,25295.25,partial+target,36.75,730.0,True
2026-02,2026-02-16,09:35,E4war,short,A,range,20.0,24756.5,24776.75,stop,-20.25,-410.0,False
2026-02,2026-02-16,10:12,E4war,short,B,range,13.25,24771.5,24728.25,target,43.25,860.0,True
2026-02,2026-02-17,08:35,E4war,short,B,with_trend,14.25,24581.0,24596.25,stop,-15.25,-310.0,False
2026-02,2026-02-17,08:37,E4war,long,A,counter_trend,16.5,24593.5,24655.0,target,61.5,1225.0,True
2026-02,2026-02-19,08:01,E4war,short,B,range,6.25,24869.25,24875.75,stop,-6.5,-135.0,False
2026-02,2026-02-19,09:17,E4war,long,B,counter_trend,8.0,24850.5,24842.25,stop,-8.25,-170.0,False
2026-02,2026-02-23,08:05,E4war,long,B,range,8.75,24911.75,25001.5,target,89.75,1790.0,True
2026-02,2026-02-23,09:52,E4war,short,B2,with_trend,2.25,24948.75,24951.25,stop,-2.5,-55.0,False
2026-02,2026-02-24,08:04,E4war,short,A,counter_trend,9.75,24828.0,24838.0,stop,-10.0,-205.0,False
2026-02,2026-02-24,08:05,E4war,short,A,counter_trend,1.75,24832.5,24834.5,stop,-2.0,-45.0,False
2026-02,2026-02-25,10:08,E3bal,short,A,counter_trend,12.5,25331.5,25282.5,target,49.0,975.0,True
2026-02,2026-02-26,08:09,E3bal,short,A,counter_trend,8.5,25371.5,25373.75,partial+stop,1.1875,18.75,True
2026-02,2026-02-26,08:16,E3bal,long,B,range,8.75,25377.25,25399.0,target,21.75,430.0,True
2026-02,2026-02-27,09:33,E3bal,short,A,with_trend,13.5,24880.5,24880.75,stop,-0.25,-7.5,False
2026-02,2026-02-27,09:35,E3bal,long,B,counter_trend,43.5,24867.75,24840.25,partial+stop,4.5,40.0,True
2026-03,2026-03-02,08:35,E3bal,short,B,range,10.0,24696.25,24632.25,partial+stop,46.125,917.5,True
2026-03,2026-03-04,09:39,E3bal,long,A,with_trend,15.25,24884.5,24869.0,stop,-15.5,-315.0,False
2026-03,2026-03-04,09:49,E3bal,short,A,counter_trend,12.75,24906.75,24920.5,stop,-13.75,-280.0,False
2026-03,2026-03-05,08:20,E3bal,short,A,counter_trend,1.5,25049.0,25050.0,stop,-1.0,-25.0,False
