date,mo,tf,dir,band,prof,with_bias,r,dollars,reason
2026-02-04,2026-02,4,long,-1,VAL,False,1.815,1578.9,target
2026-02-04,2026-02,4,long,-1,VAL,False,1.646,312.8,target
2026-02-09,2026-02,3,long,mid,POC,True,4.263,1875.8,target
2026-02-09,2026-02,3,short,mid,POC,True,-1.063,-196.7,stop
2026-02-10,2026-02,2,short,-1,VAL,True,-1.038,-316.7,stop
2026-02-10,2026-02,3,long,-1,VAL,False,1.68,2260.2,target
2026-02-12,2026-02,4,short,+1,VAH,False,2.063,1010.8,target
2026-02-12,2026-02,3,short,-1,VAL,True,1.84,699.2,target
2026-02-13,2026-02,1,long,-1,VAL,False,2.126,605.8,target
2026-02-13,2026-02,1,long,mid,POC,True,1.523,1789.8,target
2026-02-16,2026-02,4,short,-1,VAL,True,1.945,963.0,target
2026-02-18,2026-02,4,short,mid,POC,True,-1.018,-671.7,stop
2026-02-18,2026-02,4,long,mid,POC,True,1.608,2781.5,target
2026-02-20,2026-02,1,long,+1,POC,True,-1.016,-761.7,stop
2026-02-20,2026-02,1,long,mid,POC,True,2.774,2496.7,target
2026-02-23,2026-02,3,short,-1,VAL,True,2.249,2417.8,target
2026-02-24,2026-02,2,short,+1,VAH,False,-1.011,-1106.7,stop
2026-02-24,2026-02,4,short,+1,VAH,False,-1.007,-1696.7,stop
2026-02-27,2026-02,4,long,-1,VAL,False,-1.018,-666.7,stop
2026-02-27,2026-02,4,short,-1,VAL,True,-1.012,-956.7,stop
2026-03-04,2026-03,4,short,+1,POC,False,-1.006,-2126.7,stop
2026-03-04,2026-03,3,short,+1,POC,False,-1.045,-271.7,stop
2026-03-05,2026-03,2,long,+1,VAH,True,1.596,1436.5,target
2026-03-05,2026-03,4,long,mid,POC,True,-1.01,-1141.7,stop
2026-03-06,2026-03,4,short,-1,POC,True,-1.014,-841.7,stop
2026-03-06,2026-03,4,long,-1,POC,False,-1.01,-1146.7,stop
2026-03-11,2026-03,2,long,mid,POC,True,2.098,1195.8,target
2026-03-11,2026-03,4,long,mid,POC,True,2.757,1295.8,target
2026-03-12,2026-03,3,short,mid,POC,True,2.07,2318.1,target
2026-03-13,2026-03,3,short,+1,VAH,False,2.373,3274.3,target
2026-03-13,2026-03,2,short,+1,VAH,False,-1.015,-801.7,stop
2026-03-16,2026-03,4,long,+1,POC,True,-1.01,-1146.7,stop
2026-03-16,2026-03,4,long,+1,POC,True,-1.017,-716.7,stop
2026-03-19,2026-03,1,short,-1,VAL,True,-1.063,-196.7,stop
2026-03-19,2026-03,4,short,-1,VAL,True,-1.029,-416.7,stop
2026-03-23,2026-03,4,short,+1,POC,False,-1.01,-1136.7,stop
2026-03-23,2026-03,4,long,+1,POC,True,-1.008,-1446.7,stop
2026-03-24,2026-03,3,short,-1,POC,True,-1.011,-1081.7,stop
2026-03-24,2026-03,2,short,-1,VAL,True,-1.04,-306.7,stop
2026-03-25,2026-03,4,long,mid,POC,True,-1.04,-306.7,stop
2026-03-25,2026-03,2,short,-1,VAL,True,-1.017,-716.7,stop
2026-03-26,2026-03,4,short,-1,POC,True,-1.012,-961.7,stop
2026-03-26,2026-03,4,long,-1,POC,False,-1.006,-2136.7,stop
2026-04-01,2026-04,1,short,+1,POC,False,-1.005,-2151.7,stop
2026-04-01,2026-04,4,short,+1,VAH,False,-1.006,-2066.7,stop
2026-04-08,2026-04,2,long,mid,VAL,True,-1.039,-311.7,stop
2026-04-08,2026-04,4,long,mid,VAL,True,-1.028,-426.7,stop
2026-04-09,2026-04,4,long,mid,POC,True,1.616,1050.2,target
2026-04-09,2026-04,1,long,+1,VAH,True,-1.042,-291.7,stop
2026-04-10,2026-04,4,short,+1,POC,False,-1.014,-876.7,stop
2026-04-10,2026-04,4,long,+1,POC,True,-1.014,-871.7,stop
2026-04-15,2026-04,3,long,+1,VAH,True,1.564,602.3,target
2026-04-21,2026-04,4,long,-1,VAL,False,1.844,839.0,target
2026-04-21,2026-04,4,long,-1,VAL,False,-1.011,-1061.7,stop
2026-04-22,2026-04,4,long,mid,POC,True,-1.023,-516.7,stop
2026-04-22,2026-04,4,long,mid,POC,True,-1.018,-671.7,stop
2026-04-23,2026-04,1,short,mid,POC,True,-1.023,-526.7,stop
2026-04-23,2026-04,3,long,mid,POC,True,1.894,1694.9,target
2026-04-29,2026-04,2,long,mid,POC,True,-1.031,-391.7,stop
2026-04-29,2026-04,1,short,mid,POC,True,2.926,365.8,target
2026-04-30,2026-04,4,short,-1,VAL,True,-1.007,-1766.7,stop
2026-04-30,2026-04,4,long,-1,POC,False,-1.014,-821.7,stop
2026-05-04,2026-05,4,short,mid,POC,True,-1.033,-361.7,stop
2026-05-04,2026-05,4,long,mid,POC,True,-1.011,-1086.7,stop
2026-05-07,2026-05,1,short,mid,POC,True,-1.025,-486.7,stop
2026-05-07,2026-05,1,long,mid,POC,True,1.651,800.8,target
2026-05-11,2026-05,3,short,+1,VAH,False,-1.027,-451.7,stop
2026-05-11,2026-05,4,short,+1,VAH,False,-1.01,-1196.7,stop
2026-05-14,2026-05,4,long,mid,POC,True,1.832,1749.4,target
2026-05-14,2026-05,2,long,+1,VAH,True,-1.013,-931.7,stop
2026-05-18,2026-05,4,short,+1,VAH,False,1.922,1729.8,target
2026-05-18,2026-05,3,short,+1,VAH,False,2.972,3759.2,target
2026-05-20,2026-05,4,short,+1,POC,False,-1.023,-521.7,stop
2026-05-20,2026-05,3,short,+1,POC,False,-1.007,-1716.7,stop
2026-05-22,2026-05,1,short,+1,VAH,False,2.508,1015.7,target
2026-05-22,2026-05,3,short,+1,VAH,False,2.261,1752.1,target
2026-05-25,2026-05,2,short,+1,VAH,False,-1.087,-146.7,stop
2026-05-25,2026-05,1,long,+1,VAH,True,-1.069,-181.7,stop
2026-05-26,2026-05,1,long,mid,POC,True,1.596,1651.8,target
2026-05-26,2026-05,1,long,+1,POC,True,2.752,633.0,target
2026-05-27,2026-05,3,short,-2,VAL,True,-1.015,-771.7,stop
2026-05-28,2026-05,2,short,mid,POC,True,-1.02,-591.7,stop
2026-05-28,2026-05,4,long,mid,POC,True,1.788,2253.5,target
2026-05-29,2026-05,3,long,+1,VAH,True,-1.01,-1141.7,stop
2026-06-01,2026-06,1,short,mid,POC,True,2.721,2040.8,target
2026-06-01,2026-06,3,short,mid,POC,True,1.845,1780.8,target
2026-06-02,2026-06,4,long,+1,POC,True,1.682,2178.1,target
2026-06-02,2026-06,2,short,+1,POC,False,-1.034,-356.7,stop
2026-06-03,2026-06,4,long,mid,POC,True,-1.01,-1191.7,stop
2026-06-04,2026-06,1,short,-1,POC,True,-1.011,-1041.7,stop
2026-06-04,2026-06,2,short,-1,POC,True,-1.021,-566.7,stop
2026-06-09,2026-06,2,short,-1,VAL,True,2.691,4641.3,target
2026-06-12,2026-06,4,long,-1,VAL,False,-1.017,-711.7,stop
2026-06-12,2026-06,4,short,-1,VAL,True,-1.032,-381.7,stop
2026-06-15,2026-06,3,long,+1,VAH,True,2.634,3266.6,target
2026-06-15,2026-06,4,short,+1,VAH,False,-1.007,-1631.7,stop
2026-06-16,2026-06,4,short,mid,POC,True,-1.03,-406.7,stop
2026-06-16,2026-06,4,short,mid,POC,True,-1.013,-921.7,stop
2026-06-17,2026-06,2,long,+1,VAH,True,-1.01,-1221.7,stop
2026-06-17,2026-06,3,short,+1,VAH,False,1.726,1717.5,target
2026-06-18,2026-06,3,long,mid,POC,True,1.578,1175.8,target
2026-06-18,2026-06,4,short,+1,VAH,False,-1.007,-1691.7,stop
2026-06-23,2026-06,4,long,-1,POC,False,1.65,4306.0,target
2026-06-29,2026-06,3,short,-1,VAL,True,1.815,3903.1,target
2026-06-29,2026-06,1,short,-1,VAL,True,2.213,3064.5,target
2026-06-30,2026-06,4,long,+1,VAH,True,-1.013,-896.7,stop
2026-07-06,2026-07,1,long,+1,VAH,True,-1.013,-906.7,stop
2026-07-10,2026-07,1,short,-1,VAL,True,-1.015,-786.7,stop
2026-07-10,2026-07,4,long,-1,VAL,True,-1.008,-1556.7,stop
2026-07-14,2026-07,3,short,+1,POC,False,-1.025,-476.7,stop
2026-07-14,2026-07,4,short,+1,POC,False,-1.01,-1126.7,stop
2026-07-15,2026-07,1,short,-1,VAL,True,-1.016,-751.7,stop
2026-07-15,2026-07,4,short,-1,VAL,True,-1.011,-1066.7,stop
