day,ent,dir,entry,risk,net,R,win,mae_R,room,cvd_ASIA,asia_cov,cvd_cov,cvd_ok,early_tight,sub7,mism
2025-07-16,10:00:00,-1,23003.0,12.0,-250.0,-1.0416666666666667,False,1.5,3.0625,-799.0,True,True,True,False,False,False
2025-07-28,10:15:00,1,23539.5,6.25,-135.0,-1.08,False,2.64,7.32,1470.0,True,True,False,False,True,False
2025-08-05,11:00:00,1,23349.75,24.0,-490.0,-1.0208333333333333,False,1.8645833333333333,1.8645833333333333,1216.0,True,True,False,False,False,False
2025-08-15,12:30:00,-1,23914.25,11.25,-235.0,-1.0444444444444445,False,1.1555555555555554,3.8444444444444446,1272.0,True,True,False,False,False,False
2025-08-19,11:30:00,-1,23773.75,31.25,1865.0,2.984,True,0.296,1.376,-428.0,True,True,False,False,False,False
2025-09-10,11:15:00,1,23911.5,29.5,1760.0,2.983050847457627,True,0.16101694915254236,1.2627118644067796,1929.0,True,True,False,False,False,False
2025-09-10,11:30:00,1,23920.75,38.75,2315.0,2.9870967741935486,True,0.1032258064516129,0.7225806451612903,1929.0,True,True,True,False,False,False
2025-09-12,11:15:00,1,24013.25,17.25,1025.0,2.971014492753623,True,0.6811594202898551,1.536231884057971,1070.0,True,True,True,False,False,False
2025-09-12,11:30:00,1,24019.0,23.0,1370.0,2.9782608695652173,True,0.7608695652173914,0.9021739130434783,1070.0,True,True,True,False,False,False
2025-09-15,11:30:00,1,24125.0,45.0,2690.0,2.988888888888889,True,0.2111111111111111,0.5555555555555556,1173.0,True,True,False,False,False,False
2025-09-23,10:15:00,1,25008.75,13.0,-270.0,-1.0384615384615385,False,1.1346153846153846,0.4807692307692308,554.0,True,True,False,False,False,False
2025-10-10,10:00:00,1,25326.25,23.25,-475.0,-1.021505376344086,False,1.5591397849462365,1.2473118279569892,,False,False,False,False,False,False
2025-10-20,10:15:00,1,25087.25,25.75,-525.0,-1.0194174757281553,False,1.912621359223301,1.5728155339805825,,False,False,False,False,False,False
2025-10-20,11:00:00,1,25090.75,29.25,-595.0,-1.017094017094017,False,1.8034188034188035,1.264957264957265,,False,False,False,False,False,False
2025-10-20,11:15:00,1,25082.0,20.0,-410.0,-1.025,False,2.2,2.2875,,False,False,False,False,False,False
2025-10-20,11:30:00,1,25074.25,11.75,-245.0,-1.0425531914893618,False,3.0851063829787235,4.553191489361702,,False,False,False,False,False,False
2025-10-20,12:15:00,1,25077.0,39.25,2345.0,2.9872611464968153,True,0.3885350318471338,1.2929936305732483,,False,False,False,False,False,False
2025-10-20,12:30:00,1,25075.75,38.0,2270.0,2.986842105263158,True,0.3684210526315789,1.368421052631579,,False,False,False,False,False,False
2025-10-22,11:30:00,1,25289.25,58.0,-1170.0,-1.0086206896551724,False,1.0646551724137931,0.8448275862068966,,False,False,False,False,False,False
2025-10-29,10:00:00,1,26235.5,9.25,545.0,2.945945945945946,True,0.5675675675675675,6.864864864864865,,False,False,False,False,False,True
2025-11-18,10:15:00,-1,24799.25,60.5,3620.0,2.9917355371900825,True,0.6198347107438017,3.231404958677686,,False,False,False,False,False,False
2025-11-18,10:45:00,-1,24806.0,43.25,2585.0,2.9884393063583814,True,0.7109826589595376,4.676300578034682,,False,False,False,False,False,False
2025-11-18,11:15:00,-1,24784.0,62.5,3740.0,2.992,True,0.768,2.884,,False,False,False,False,False,False
2025-11-18,11:30:00,-1,24796.0,41.0,2450.0,2.9878048780487805,True,0.2073170731707317,4.689024390243903,,False,False,False,False,False,False
2025-11-26,10:45:00,1,25183.5,44.25,-895.0,-1.0112994350282485,False,1.423728813559322,1.1807909604519775,,False,False,False,False,False,False
2025-12-01,11:00:00,-1,25311.75,22.0,1310.0,2.977272727272727,True,0.36363636363636365,5.386363636363637,,False,False,False,False,False,False
2025-12-01,11:30:00,-1,25302.25,31.5,-640.0,-1.0158730158730158,False,2.5952380952380953,3.4603174603174605,,False,False,False,False,False,False
2025-12-03,10:30:00,1,25644.0,30.5,-620.0,-1.0163934426229508,False,1.2704918032786885,1.1229508196721312,,False,False,False,False,False,False
2025-12-04,11:30:00,1,25646.75,20.75,-425.0,-1.0240963855421688,False,1.3734939759036144,1.108433734939759,,False,False,False,False,False,False
2025-12-04,12:00:00,1,25661.0,35.0,-710.0,-1.0142857142857142,False,1.2214285714285715,0.25,,False,False,False,False,False,False
2025-12-08,12:30:00,1,25785.25,20.75,1235.0,2.9759036144578315,True,0.6626506024096386,1.7349397590361446,,False,False,False,False,False,False
2025-12-16,10:00:00,-1,25177.75,54.0,-1090.0,-1.0092592592592593,False,1.1111111111111112,1.9351851851851851,,False,False,False,False,False,False
2026-01-13,10:00:00,1,25910.25,17.0,-350.0,-1.0294117647058822,False,2.264705882352941,2.573529411764706,,False,False,False,False,False,False
2026-01-29,10:30:00,1,26225.75,28.5,-580.0,-1.0175438596491229,False,1.3596491228070176,2.4649122807017543,,False,False,False,False,False,False
2026-01-29,10:45:00,1,26218.5,21.25,-435.0,-1.0235294117647058,False,1.4823529411764707,3.6470588235294117,,False,False,False,False,False,False
2026-01-29,12:00:00,1,26215.0,40.0,-810.0,-1.0125,False,1.4,2.025,,False,False,False,False,False,False
2026-01-29,12:15:00,1,26211.25,36.25,-735.0,-1.013793103448276,False,1.4413793103448276,2.3379310344827586,,False,False,False,False,False,False
2026-02-05,10:00:00,-1,25033.25,63.75,3815.0,2.992156862745098,True,0.9215686274509803,1.8431372549019607,-1121.0,True,True,False,False,False,False
2026-02-13,10:45:00,-1,24755.25,53.0,-1070.0,-1.009433962264151,False,1.2830188679245282,2.1320754716981134,-1021.0,True,True,True,False,False,False
2026-02-17,10:15:00,-1,24654.0,43.75,2615.0,2.9885714285714284,True,0.33714285714285713,2.1885714285714286,-1094.0,True,True,True,False,False,False
