day,ent,seg,dir,entry,risk,net,R,win,mae_R,room,cvd_ASIA,asia_cov,early_tight,sub7,mism,W,FAR,depth_cov
2025-07-09,08:30:00,R,-1,22882.0,19.75,-405.0,-1.0253164556962024,False,1.0886075949367089,1.9493670886075949,-441.0,True,False,False,False,True,True,True
2025-07-14,09:30:00,R,-1,22869.75,14.5,-300.0,-1.0344827586206897,False,1.9827586206896552,4.603448275862069,-241.0,True,False,False,False,True,True,True
2025-07-18,09:15:00,R,1,23277.25,16.75,-345.0,-1.0298507462686568,False,1.492537313432836,1.9253731343283582,845.0,True,False,False,False,True,True,True
2025-07-18,09:45:00,R,1,23281.5,21.0,-430.0,-1.0238095238095237,False,1.3928571428571428,1.3333333333333333,845.0,True,False,False,False,True,True,True
2025-08-08,08:15:00,R,1,23538.75,27.0,1610.0,2.9814814814814814,True,0.7592592592592593,1.6388888888888888,-876.0,True,False,False,False,True,True,True
2025-08-08,09:00:00,R,1,23541.25,16.5,-340.0,-1.0303030303030303,False,1.3484848484848484,2.5303030303030303,-876.0,True,False,False,False,False,True,True
2025-08-19,09:45:00,R,-1,23774.5,10.0,-210.0,-1.05,False,1.325,4.375,-428.0,True,False,False,False,True,True,True
2025-08-20,08:45:00,R,-1,23400.75,30.0,-610.0,-1.0166666666666666,False,1.1083333333333334,2.216666666666667,-1132.0,True,False,False,False,True,True,True
2025-08-20,09:00:00,R,-1,23404.75,26.0,-530.0,-1.0192307692307692,False,1.125,2.7115384615384617,-1132.0,True,False,False,False,True,True,True
2025-08-26,09:30:00,R,-1,23455.5,18.75,-385.0,-1.0266666666666666,False,1.2666666666666666,4.48,-802.0,True,False,False,False,True,True,True
2025-09-01,09:00:00,R,-1,23465.0,12.75,-265.0,-1.0392156862745099,False,1.3137254901960784,7.411764705882353,-1580.0,True,False,False,False,True,True,True
2025-09-01,09:15:00,R,-1,23469.75,12.25,-255.0,-1.0408163265306123,False,1.5918367346938775,8.10204081632653,-1580.0,True,False,False,False,True,True,True
2025-09-25,09:45:00,R,-1,24745.0,19.25,1145.0,2.9740259740259742,True,0.025974025974025976,1.3376623376623376,271.0,True,False,False,False,False,True,True
2025-10-10,08:45:00,R,1,25320.25,25.5,-520.0,-1.0196078431372548,False,1.1862745098039216,1.3725490196078431,,False,False,False,False,True,True,True
2025-11-18,09:00:00,R,-1,24794.5,62.75,-1265.0,-1.0079681274900398,False,1.0358565737051793,3.039840637450199,,False,False,False,False,True,True,True
2025-11-18,09:30:00,R,-1,24792.25,67.5,4040.0,2.9925925925925925,True,0.8407407407407408,2.7925925925925927,,False,False,False,False,True,True,True
2025-11-18,09:45:00,R,-1,24798.25,61.5,3680.0,2.991869918699187,True,0.8252032520325203,3.16260162601626,,False,False,False,False,False,True,True
2025-11-26,09:45:00,R,1,25163.25,26.0,-530.0,-1.0192307692307692,False,1.6442307692307692,2.7884615384615383,,False,False,False,False,True,True,True
2025-12-16,09:45:00,R,-1,25204.75,27.0,-550.0,-1.0185185185185186,False,1.2222222222222223,4.87037037037037,,False,False,False,False,True,True,True
2026-02-13,09:00:00,R,-1,24772.0,13.75,-285.0,-1.0363636363636364,False,2.5454545454545454,9.436363636363636,-1021.0,True,False,False,False,True,True,True
2026-02-13,09:15:00,R,-1,24762.5,23.25,-475.0,-1.021505376344086,False,1.913978494623656,5.172043010752688,-1021.0,True,False,False,False,True,True,True
2026-02-17,09:45:00,R,-1,24680.75,13.25,-275.0,-1.0377358490566038,False,1.1132075471698113,9.245283018867925,-1094.0,True,False,False,False,True,True,True
2026-03-04,08:45:00,R,-1,24659.75,28.75,-585.0,-1.017391304347826,False,1.8782608695652174,5.591304347826087,1042.0,True,False,False,False,True,True,True
2026-03-04,09:00:00,R,-1,24630.25,58.25,-1175.0,-1.0085836909871244,False,1.4334763948497855,2.2532188841201717,1042.0,True,False,False,False,True,True,True
2026-03-24,09:30:00,R,1,24363.25,59.25,-1195.0,-1.0084388185654007,False,1.109704641350211,2.430379746835443,509.0,True,False,False,True,False,True,True
2026-04-21,09:30:00,R,1,26823.0,26.0,1550.0,2.980769230769231,True,0.6730769230769231,1.3173076923076923,601.0,True,False,False,False,False,True,True
2026-05-04,08:00:00,R,1,27885.5,13.5,800.0,2.962962962962963,True,0.05555555555555555,5.944444444444445,1805.0,True,False,False,False,True,True,True
2026-05-04,09:30:00,R,1,27903.75,39.75,-805.0,-1.0125786163522013,False,6.031446540880503,1.559748427672956,1805.0,True,False,False,False,True,True,True
2026-05-28,09:30:00,R,-1,29965.75,29.75,-605.0,-1.0168067226890756,False,1.084033613445378,6.815126050420168,-2832.0,True,False,False,False,False,True,True
2026-05-28,09:45:00,R,-1,29967.5,28.0,-570.0,-1.0178571428571428,False,1.0892857142857142,7.303571428571429,-2832.0,True,False,False,False,True,True,True
2026-05-29,09:00:00,R,1,30309.25,43.75,2615.0,2.9885714285714284,True,0.5085714285714286,1.2057142857142857,981.0,True,False,False,False,True,True,True
2026-05-29,09:30:00,R,1,30313.0,47.5,2840.0,2.9894736842105263,True,0.49473684210526314,1.0315789473684212,981.0,True,False,False,False,True,True,True
2026-06-01,09:00:00,R,1,30506.75,20.5,-420.0,-1.024390243902439,False,1.951219512195122,4.317073170731708,1745.0,True,False,False,False,True,False,True
2026-06-03,08:00:00,R,1,30698.5,28.5,1700.0,2.982456140350877,True,0.40350877192982454,2.0526315789473686,595.0,True,False,False,False,True,True,True
2026-06-03,09:00:00,R,1,30709.75,23.0,1370.0,2.9782608695652173,True,0.33695652173913043,2.0543478260869565,595.0,True,False,False,False,True,True,True
2026-06-04,09:00:00,R,-1,30484.0,60.75,3635.0,2.9917695473251027,True,0.07407407407407407,2.1646090534979425,-147.0,True,False,False,False,True,False,True
2026-06-16,09:00:00,R,1,30833.25,25.5,1520.0,2.980392156862745,True,0.16666666666666666,1.3627450980392157,-572.0,True,False,False,False,True,True,True
2026-06-26,08:45:00,R,-1,29500.25,62.75,3755.0,2.99203187250996,True,0.9163346613545816,5.414342629482071,1040.0,True,False,False,False,True,True,True
2026-06-26,09:00:00,R,-1,29528.0,35.0,2090.0,2.9857142857142858,True,0.17857142857142858,10.5,1040.0,True,False,False,False,True,True,True
2026-07-08,09:00:00,R,-1,29369.75,40.0,-810.0,-1.0125,False,1.125,2.59375,-943.0,True,False,False,False,True,False,True
2026-07-15,09:45:00,R,1,29937.0,65.25,-1315.0,-1.0076628352490422,False,1.2375478927203065,1.8582375478927202,1579.0,True,False,False,False,True,False,True
