mo,lvltype,level,dir,risk,maxfav,stopped,cvd,hit30,hit50,hit80,hit100,hit150
2026-02,VWAP,VWAP-1^VAL,short,25.12,0.0,True,False,False,False,False,False,False
2026-02,VWAP,VWAP-1^VAL,long,27.62,2.6,True,True,False,False,False,False,False
2026-02,VWAP,VWAP-1^VAL,short,29.38,15.6,True,True,False,False,False,False,False
2026-02,VWAP,VWAP-1^VAL,long,31.5,0.0,True,False,False,False,False,False,False
2026-02,VWAP,VWAP-1^VAL,short,35.12,496.1,False,True,True,True,True,True,True
2026-02,BB,BBbasis^POC,short,23.12,78.9,True,True,True,True,False,False,False
2026-02,BB,BBupper^VAH,short,11.75,0.0,True,False,False,False,False,False,False
2026-02,BB,BBupper^VAH,short,25.62,0.0,True,True,False,False,False,False,False
2026-02,BB,BBupper^VAH,short,31.88,205.9,True,False,True,True,True,True,True
2026-02,BB,BBbasis^POC,short,23.75,0.0,True,False,False,False,False,False,False
2026-02,BB,BBbasis^POC,short,30.75,76.0,True,True,True,True,False,False,False
2026-02,VWAP,VWAPmid^POC,long,28.62,308.1,False,True,True,True,True,True,True
2026-02,VWAP,VWAPmid^POC,short,17.88,0.0,True,False,False,False,False,False,False
2026-02,VWAP,VWAPmid^POC,short,23.5,0.0,True,True,False,False,False,False,False
2026-02,VWAP,VWAP+1^VAH,short,39.5,15.2,True,False,False,False,False,False,False
2026-02,VWAP,VWAP-1^VAL,short,34.88,44.1,True,False,True,False,False,False,False
2026-02,VWAP,VWAP-1^VAL,short,30.12,0.0,True,True,False,False,False,False,False
2026-02,VWAP,VWAPmid^POC,long,27.12,73.6,True,True,True,True,False,False,False
2026-02,VWAP,VWAP+1^VAH,long,25.0,47.2,True,True,True,False,False,False,False
2026-02,VWAP,VWAP+1^VAH,short,39.0,189.8,False,True,True,True,True,True,True
2026-02,BB,BBbasis^POC,short,12.62,0.0,True,True,False,False,False,False,False
2026-02,BB,BBbasis^POC,long,17.75,0.0,True,True,False,False,False,False,False
2026-02,BB,BBbasis^POC,long,18.0,0.0,True,False,False,False,False,False,False
2026-02,BB,BBlower^VAL,short,24.88,244.4,True,True,True,True,True,True,True
2026-02,BB,BBlower^VAL,short,19.0,31.0,True,False,True,False,False,False,False
2026-02,BB,BBlower^VAL,short,33.5,125.5,True,True,True,True,True,True,False
2026-02,VWAP,VWAP+1^VAH,short,29.62,641.6,False,True,True,True,True,True,True
2026-02,VWAP,VWAP-1^VAL,short,20.25,550.5,False,False,True,True,True,True,True
2026-02,VWAP,VWAP-1^VAL,short,35.0,38.2,True,True,True,False,False,False,False
2026-02,BB,BBbasis^POC,short,41.0,51.5,True,True,True,True,False,False,False
2026-02,BB,BBbasis^POC,long,37.5,0.0,True,True,False,False,False,False,False
2026-02,VWAP,VWAP-1^VAL,long,16.38,295.9,False,False,True,True,True,True,True
2026-02,VWAP,VWAPmid^POC,long,33.5,270.0,False,True,True,True,True,True,True
2026-02,BB,BBbasis^POC,long,42.25,261.2,False,True,True,True,True,True,True
2026-02,BB,BBbasis^POC,long,30.88,259.6,False,True,True,True,True,True,True
2026-02,BB,BBupper^VAH,short,40.75,75.5,True,True,True,True,False,False,False
2026-02,BB,BBupper^VAL,long,11.12,7.9,True,True,False,False,False,False,False
2026-02,BB,BBupper^VAL,short,6.0,0.0,True,False,False,False,False,False,False
2026-02,BB,BBbasis^VAL,short,9.5,0.0,True,True,False,False,False,False,False
2026-02,BB,BBbasis^VAL,short,8.88,105.4,False,True,True,True,True,True,False
2026-02,VWAP,VWAP-1^VAL,short,14.75,99.5,False,True,True,True,True,False,False
2026-02,BB,BBbasis^VAH,short,29.38,12.9,True,True,False,False,False,False,False
2026-02,BB,BBbasis^VAL,short,14.88,54.6,True,True,True,True,False,False,False
2026-02,BB,BBbasis^VAL,short,16.75,51.0,True,False,True,True,False,False,False
2026-02,BB,BBbasis^VAL,short,27.0,9.5,True,True,False,False,False,False,False
2026-02,BB,BBbasis^VAL,short,12.88,0.0,True,False,False,False,False,False,False
2026-02,VWAP,VWAPmid^POC,short,41.38,0.0,True,False,False,False,False,False,False
2026-02,VWAP,VWAPmid^POC,long,40.88,300.1,False,False,True,True,True,True,True
2026-02,VWAP,VWAPmid^POC,short,44.12,28.9,True,True,False,False,False,False,False
2026-02,VWAP,VWAP+1^VAH,long,34.38,123.1,False,True,True,True,True,True,False
2026-02,VWAP,VWAP+1^VAH,long,37.75,30.5,True,True,True,False,False,False,False
2026-02,BB,BBbasis^POC,long,42.12,143.9,True,True,True,True,True,True,False
2026-02,BB,BBbasis^POC,short,38.0,0.0,True,False,False,False,False,False,False
2026-02,BB,BBbasis^POC,long,32.12,103.6,True,True,True,True,True,True,False
2026-02,BB,BBupper^VAH,short,26.0,29.0,True,True,False,False,False,False,False
2026-02,BB,BBupper^VAH,short,25.5,79.0,True,True,True,True,False,False,False
2026-02,BB,BBlower^POC,long,20.38,47.9,True,False,True,False,False,False,False
2026-02,VWAP,VWAP+1^POC,long,38.88,47.6,True,True,True,False,False,False,False
2026-02,BB,BBupper^POC,long,24.12,0.0,True,True,False,False,False,False,False
2026-02,VWAP,VWAPmid^POC,long,37.62,243.9,False,False,True,True,True,True,True
2026-02,BB,BBbasis^POC,short,35.5,293.8,False,True,True,True,True,True,True
2026-02,BB,BBlower^POC,long,14.12,0.0,True,True,False,False,False,False,False
2026-02,BB,BBlower^VAL,long,33.0,74.8,True,False,True,True,False,False,False
2026-02,BB,BBbasis^POC,short,10.25,0.0,True,False,False,False,False,False,False
2026-02,BB,BBbasis^POC,long,23.88,7.6,True,True,False,False,False,False,False
2026-02,BB,BBbasis^POC,short,14.62,253.9,False,False,True,True,True,True,True
2026-02,VWAP,VWAP-1^VAL,long,20.62,21.4,True,False,False,False,False,False,False
2026-02,BB,BBlower^VAL,long,21.5,59.0,True,True,True,True,False,False,False
2026-02,VWAP,VWAPmid^POC,long,21.62,256.6,False,True,True,True,True,True,True
2026-02,VWAP,VWAP+1^VAH,short,24.25,47.8,True,True,True,False,False,False,False
2026-02,VWAP,VWAP+1^VAH,short,26.75,49.2,True,False,True,False,False,False,False
2026-02,VWAP,VWAP+1^VAH,short,23.88,20.6,True,False,False,False,False,False,False
2026-02,VWAP,VWAP+1^VAH,short,29.25,0.0,True,False,False,False,False,False,False
2026-02,VWAP,VWAP+1^VAH,short,14.12,35.1,True,True,True,False,False,False,False
2026-02,VWAP,VWAP+1^VAH,short,35.5,34.8,True,True,True,False,False,False,False
2026-02,BB,BBbasis^POC,short,11.75,68.0,True,True,True,True,False,False,False
2026-02,BB,BBlower^VAL,long,26.5,24.0,True,True,False,False,False,False,False
2026-02,BB,BBlower^VAL,long,31.0,0.0,True,False,False,False,False,False,False
2026-02,BB,BBlower^VAL,long,25.88,0.0,True,False,False,False,False,False,False
2026-02,BB,BBlower^VAL,short,33.12,359.6,False,True,True,True,True,True,True
2026-02,VWAP,VWAP-2^VAL,long,30.38,0.0,True,False,False,False,False,False,False
2026-02,VWAP,VWAP-1^VAL,long,34.5,0.5,True,True,False,False,False,False,False
