component,note,n_tr,tr_diff,n_te,te_expR,te_expR_ci,te_ctr_expR,te_diff,te_diff_ci,te_p,folds_pos,folds_valid,gate_n,bh_pass,ci_pass,fold_pass,PASS
early_entry,initiation <=09:50,392,0.058,347,0.065,"(-0.087, 0.233)",-0.317,0.381,"(-0.22, 0.93)",0.1057,0,0,OK,False,False,False,False
c_momentum_5d,daily concept gate,192,0.032,177,0.197,"(-0.037, 0.437)",-0.076,0.273,"(-0.061, 0.581)",0.0557,5,5,OK,False,False,True,False
c_daily_hh_hl,daily concept gate,139,0.044,124,0.15,"(-0.116, 0.431)",-0.104,0.254,"(-0.106, 0.617)",0.0897,3,5,OK,False,False,True,False
c_premarket_judas,daily concept gate,205,-0.068,182,0.178,"(-0.059, 0.439)",-0.064,0.242,"(-0.067, 0.566)",0.069,3,5,OK,False,False,True,False
long_breakouts,constant long,196,-0.034,172,0.181,"(-0.033, 0.409)",-0.058,0.239,"(-0.086, 0.553)",0.0713,4,5,OK,False,False,True,False
c_sweep_pdl_bull,daily concept gate,86,0.282,91,0.156,"(-0.215, 0.56)",-0.076,0.232,"(-0.254, 0.73)",0.165,4,5,OK,False,False,True,False
c_momentum_3d,daily concept gate,199,-0.036,172,0.169,"(-0.05, 0.406)",-0.042,0.211,"(-0.126, 0.538)",0.1043,3,5,OK,False,False,True,False
c_udv,daily concept gate,177,0.042,170,0.146,"(-0.074, 0.385)",-0.018,0.164,"(-0.155, 0.497)",0.1557,3,5,OK,False,False,True,False
c_gap_fill,daily concept gate,208,0.229,184,0.135,"(-0.114, 0.39)",-0.02,0.155,"(-0.154, 0.47)",0.1653,4,5,OK,False,False,True,False
c_overnight_reversal,daily concept gate,208,0.229,184,0.135,"(-0.106, 0.387)",-0.02,0.155,"(-0.161, 0.482)",0.171,4,5,OK,False,False,True,False
c_macd,daily concept gate,205,0.044,168,0.134,"(-0.099, 0.381)",-0.005,0.14,"(-0.179, 0.472)",0.2007,4,5,OK,False,False,True,False
c_vix_low_bull,daily concept gate,121,-0.238,60,0.124,"(-0.206, 0.478)",-0.013,0.137,"(-0.395, 0.643)",0.3057,2,5,OK,False,False,False,False
c_dow_seasonal,daily concept gate,128,-0.171,102,0.156,"(-0.117, 0.44)",0.043,0.113,"(-0.312, 0.531)",0.3067,2,5,OK,False,False,False,False
c_london_reversal,daily concept gate,197,0.015,191,0.107,"(-0.119, 0.335)",0.007,0.099,"(-0.217, 0.408)",0.2623,4,5,OK,False,False,True,False
c_bb_meanrev,daily concept gate,32,0.722,24,-0.123,"(-0.61, 0.415)",-0.201,0.078,"(-0.789, 0.922)",0.4137,0,0,LOW-N,False,False,False,False
vix_high,regime gate,135,-0.147,222,0.086,"(-0.117, 0.295)",0.011,0.074,"(-0.241, 0.393)",0.3163,3,4,OK,False,False,True,False
c_daily_trend_20_50,daily concept gate,131,-0.173,124,0.098,"(-0.143, 0.348)",0.029,0.068,"(-0.329, 0.444)",0.3543,3,5,OK,False,False,True,False
reaction_all,baseline 0 (no counter),403,-0.064,353,0.058,"(-0.097, 0.22)",,0.058,"(-0.098, 0.222)",0.228,4,5,OK,False,False,True,False
c_weekly_bias,daily concept gate,152,-0.097,122,0.048,"(-0.213, 0.319)",0.023,0.024,"(-0.344, 0.401)",0.4413,1,5,OK,False,False,False,False
c_rsi_momentum,daily concept gate,158,-0.051,121,-0.013,"(-0.256, 0.236)",-0.011,-0.002,"(-0.351, 0.35)",0.5083,1,5,OK,False,False,False,False
c_asia_dir,daily concept gate,198,0.042,178,0.045,"(-0.167, 0.273)",0.078,-0.033,"(-0.371, 0.282)",0.5863,3,5,OK,False,False,True,False
bias_at_0930,bias frozen 09:30,197,-0.195,149,-0.072,"(-0.26, 0.126)",-0.022,-0.051,"(-0.375, 0.285)",0.611,1,5,OK,False,False,False,False
c_bb_momentum,daily concept gate,25,-0.722,17,-0.201,"(-0.835, 0.562)",-0.123,-0.078,"(-0.897, 0.803)",0.5943,0,0,LOW-N,False,False,False,False
c_vix_rising_bear,daily concept gate,85,0.221,100,0.032,"(-0.26, 0.351)",0.118,-0.086,"(-0.484, 0.325)",0.6693,4,5,OK,False,False,True,False
bias_aligned,rolling bias at entry,235,-0.333,205,0.023,"(-0.155, 0.205)",0.11,-0.087,"(-0.469, 0.289)",0.681,1,5,OK,False,False,False,False
vix_mid,regime gate,134,0.049,130,-0.0,"(-0.225, 0.248)",0.092,-0.092,"(-0.397, 0.214)",0.7217,1,5,OK,False,False,False,False
c_london_dir_cont,daily concept gate,203,-0.015,161,0.007,"(-0.211, 0.224)",0.107,-0.099,"(-0.4, 0.211)",0.7277,1,5,OK,False,False,False,False
bias_at_0800,bias frozen 08:00,169,-0.072,150,-0.085,"(-0.284, 0.12)",0.049,-0.133,"(-0.461, 0.186)",0.7837,2,5,OK,False,False,False,False
c_overnight_cont,daily concept gate,194,-0.229,168,-0.02,"(-0.217, 0.177)",0.135,-0.155,"(-0.465, 0.168)",0.836,1,5,OK,False,False,False,False
c_momentum_1d,daily concept gate,189,-0.054,158,-0.027,"(-0.229, 0.192)",0.133,-0.16,"(-0.469, 0.158)",0.8373,1,5,OK,False,False,False,False
near_draw_R,geometry: near target,180,-0.006,142,-0.052,"(-0.195, 0.096)",0.132,-0.184,"(-0.477, 0.096)",0.887,1,5,OK,False,False,False,False
c_rsi_meanrev,daily concept gate,103,0.178,75,-0.066,"(-0.429, 0.3)",0.14,-0.206,"(-0.709, 0.31)",0.7733,2,5,OK,False,False,False,False
short_breakouts,constant short,207,0.034,181,-0.058,"(-0.283, 0.18)",0.181,-0.239,"(-0.556, 0.089)",0.9273,1,5,OK,False,False,False,False
c_turn_of_month,daily concept gate,47,-0.062,38,0.291,"(-0.174, 0.777)",0.546,-0.255,"(-1.121, 0.555)",0.7347,0,2,OK,False,False,False,False
