month,day,fill,branch,dir,pattern,kind,htf,conf,vwap_touch,align_votes,day_type,pre930,risk_pts,entry,exit,exit_reason,hold_min,mfe_r,mae_r,points,dollars,win,bias,bias_tier,aligned,opposed
2026-02,2026-02-02,08:22,E3bal,short,A,reje,counter_trend,2,False,0,unknown,True,7.75,25494.0,25502.0,stop,23,4.68,-1.1,-8.0,-165.0,False,NEUTRAL,NEUTRAL,False,False
2026-02,2026-02-10,08:35,E3bal,long,B,disp,range,2,True,2,balanced,True,18.75,25345.0,25373.5,partial+stop,36,2.17,-0.84,24.44,483.75,True,NEUTRAL,NEUTRAL,False,False
2026-02,2026-02-10,09:35,E3bal,short,A,reje,range,2,True,0,balanced,False,19.0,25375.0,25324.5,partial+target,1,2.7,-0.14,39.75,790.0,True,NEUTRAL,NEUTRAL,False,False
2026-02,2026-02-12,09:40,E3bal,short,A,reje,range,2,True,0,imbalanced,False,28.5,25364.0,25295.25,partial+target,5,3.19,-0.89,36.75,730.0,True,BULLISH,MEDIUM,False,True
2026-02,2026-02-13,10:04,E3bal,long,B,disp,range,2,True,0,imbalanced,False,33.0,24725.25,24752.75,partial+stop,12,3.3,-0.63,26.34,521.88,True,BULLISH,MEDIUM,True,False
2026-02,2026-02-16,09:35,E4war,short,A,reje,range,2,True,1,imbalanced,False,20.0,24756.5,24776.75,stop,21,3.19,-1.29,-20.25,-410.0,False,NEUTRAL,NEUTRAL,False,False
2026-02,2026-02-16,10:12,E4war,short,B,disp,range,2,True,1,imbalanced,False,13.25,24771.5,24728.25,target,9,3.34,-0.77,43.25,860.0,True,NEUTRAL,NEUTRAL,False,False
2026-02,2026-02-17,08:35,E4war,short,B,disp,with_trend,2,True,2,imbalanced,True,14.25,24581.0,24596.25,stop,1,0.16,-1.18,-15.25,-310.0,False,BEARISH,MEDIUM,True,False
2026-02,2026-02-17,08:37,E4war,long,A,reje,counter_trend,2,True,0,imbalanced,True,16.5,24593.5,24655.0,target,14,6.17,-0.94,61.5,1225.0,True,BEARISH,MEDIUM,False,True
2026-02,2026-02-19,08:01,E4war,short,B,disp,range,2,True,0,balanced,True,6.25,24869.25,24875.75,stop,1,1.32,-1.4,-6.5,-135.0,False,BEARISH,MEDIUM,True,False
2026-02,2026-02-23,08:05,E4war,long,B,disp,range,2,True,0,balanced,True,8.75,24911.75,25001.5,target,85,14.26,-0.54,89.75,1790.0,True,NEUTRAL,NEUTRAL,False,False
2026-02,2026-02-24,08:04,E4war,short,A,reje,counter_trend,2,True,1,balanced,True,9.75,24828.0,24838.0,stop,0,0.26,-1.28,-10.0,-205.0,False,BULLISH,MEDIUM,False,True
2026-02,2026-02-25,10:08,E3bal,short,A,reje,counter_trend,3,True,0,balanced,False,12.5,25331.5,25282.5,target,44,4.02,-0.8,49.0,975.0,True,BULLISH,LOW,False,True
2026-02,2026-02-26,08:09,E3bal,short,A,reje,counter_trend,2,True,0,balanced,True,8.5,25371.5,25373.75,partial+stop,3,0.79,-0.38,1.19,18.75,True,BEARISH,MEDIUM,True,False
2026-02,2026-02-26,08:16,E3bal,long,B,disp,range,2,True,2,balanced,True,8.75,25377.25,25399.0,target,13,2.51,-0.14,21.75,430.0,True,BEARISH,MEDIUM,False,True
2026-03,2026-03-02,08:35,E3bal,short,B,disp,range,2,True,2,imbalanced,True,10.0,24696.25,24632.25,partial+stop,31,10.35,-0.33,46.12,917.5,True,NEUTRAL,NEUTRAL,False,False
2026-03,2026-03-04,09:49,E3bal,short,A,reje,counter_trend,3,True,2,balanced,False,12.75,24906.75,24920.5,stop,0,1.41,-2.25,-13.75,-280.0,False,NEUTRAL,NEUTRAL,False,False
2026-03,2026-03-09,08:55,E4war,short,A,reje,counter_trend,2,True,2,imbalanced,True,22.75,24359.75,24382.75,stop,5,0.01,-1.4,-23.0,-465.0,False,BULLISH,MEDIUM,False,True
2026-03,2026-03-10,09:31,E4war,long,A,reje,counter_trend,2,True,1,imbalanced,False,62.75,25046.75,25037.0,target,0,0.39,-0.29,-4.88,-102.5,False,BEARISH,MEDIUM,False,True
2026-03,2026-03-10,10:07,E4war,short,B2,reje,with_trend,2,True,2,imbalanced,False,28.25,24965.0,24922.5,target,1,1.86,-0.09,42.5,845.0,True,BEARISH,MEDIUM,True,False
2026-03,2026-03-11,09:53,E4war,long,A,reje,range,3,True,0,balanced,False,28.5,25043.75,25072.75,target,0,1.18,-0.01,29.0,575.0,True,BEARISH,MEDIUM,False,True
2026-03,2026-03-12,08:26,E4war,long,B2,reje,with_trend,2,True,0,imbalanced,True,19.0,24837.0,24817.0,stop,4,0.36,-1.16,-20.0,-405.0,False,NEUTRAL,NEUTRAL,False,False
2026-03,2026-03-12,08:37,E4war,short,A,reje,counter_trend,2,True,2,imbalanced,True,18.75,24808.5,24828.25,stop,7,0.39,-1.0,-19.75,-400.0,False,NEUTRAL,NEUTRAL,False,False
2026-03,2026-03-13,10:06,E4war,short,A,reje,counter_trend,2,True,3,balanced,False,20.75,24700.75,24722.5,stop,0,0.19,-1.05,-21.75,-440.0,False,NEUTRAL,NEUTRAL,False,False
2026-03,2026-03-16,09:43,E4war,long,B2,reje,with_trend,2,True,1,imbalanced,False,16.5,24898.5,24881.75,stop,0,-0.02,-1.11,-16.75,-340.0,False,BULLISH,LOW,True,False
2026-03,2026-03-16,09:44,E4war,long,B2,reje,with_trend,2,True,1,imbalanced,False,9.5,24892.5,24882.75,stop,0,-0.03,-1.32,-9.75,-200.0,False,BULLISH,LOW,True,False
2026-03,2026-03-17,08:26,E4war,long,B2,reje,with_trend,2,True,1,imbalanced,True,12.0,24903.25,25032.5,target,66,13.02,-0.29,129.25,2580.0,True,BULLISH,MEDIUM,True,False
2026-03,2026-03-17,10:02,E4war,short,A,reje,counter_trend,2,True,2,imbalanced,False,12.25,25085.75,25040.25,target,9,4.02,-0.65,45.5,905.0,True,BULLISH,MEDIUM,False,True
2026-03,2026-03-18,09:41,E4war,long,B2,reje,with_trend,2,True,1,imbalanced,False,29.5,24984.0,24954.25,stop,2,0.19,-1.66,-29.75,-600.0,False,BEARISH,MEDIUM,False,True
2026-03,2026-03-19,09:01,E4war,short,B2,reje,with_trend,2,True,1,imbalanced,True,12.5,24445.75,24458.5,stop,16,3.56,-2.54,-12.75,-260.0,False,NEUTRAL,NEUTRAL,False,False
2026-03,2026-03-19,09:49,E4war,long,A,reje,counter_trend,2,True,1,imbalanced,False,33.5,24426.0,24529.25,target,11,3.1,-0.13,103.25,2060.0,True,BEARISH,MEDIUM,False,True
2026-03,2026-03-20,08:06,E4war,long,A,reje,counter_trend,2,True,0,balanced,True,28.25,24453.0,24518.75,target,79,2.61,-0.45,65.75,1310.0,True,BEARISH,MEDIUM,False,True
2026-03,2026-03-24,08:51,E4war,short,B2,reje,with_trend,2,True,1,balanced,True,11.5,24274.75,24286.5,stop,1,0.2,-2.65,-11.75,-240.0,False,NEUTRAL,NEUTRAL,False,False
2026-03,2026-03-25,08:52,E4war,short,B,disp,counter_trend,3,True,0,imbalanced,True,11.0,24433.0,24444.25,stop,2,0.05,-1.73,-11.25,-230.0,False,NEUTRAL,NEUTRAL,False,False
2026-03,2026-03-25,08:55,E4war,long,B2,reje,with_trend,3,True,2,imbalanced,True,27.0,24451.75,24424.5,stop,5,0.96,-1.19,-27.25,-550.0,False,NEUTRAL,NEUTRAL,False,False
2026-03,2026-03-26,10:04,E4war,long,A,reje,counter_trend,2,True,0,imbalanced,False,20.25,24217.5,24196.25,stop,0,0.22,-1.52,-21.25,-430.0,False,BEARISH,MEDIUM,False,True
2026-04,2026-04-01,09:50,E4war,short,A,reje,counter_trend,3,True,2,imbalanced,False,13.0,24074.0,24088.0,stop,0,0.69,-2.1,-14.0,-285.0,False,BEARISH,MEDIUM,True,False
2026-04,2026-04-01,09:54,E4war,short,A,reje,counter_trend,2,True,2,imbalanced,False,5.5,24119.0,24085.5,target,1,6.45,-0.77,33.5,665.0,True,BEARISH,MEDIUM,True,False
2026-04,2026-04-02,08:50,E4war,long,A,reje,counter_trend,2,True,0,imbalanced,True,15.5,23752.25,23736.5,stop,8,0.35,-1.55,-15.75,-320.0,False,NEUTRAL,NEUTRAL,False,False
2026-04,2026-04-02,09:05,E4war,short,B2,reje,with_trend,2,True,2,imbalanced,True,13.5,23726.5,23740.25,stop,1,0.37,-1.81,-13.75,-280.0,False,NEUTRAL,NEUTRAL,False,False
2026-04,2026-04-08,08:02,E4war,long,B,disp,counter_trend,2,True,1,imbalanced,True,12.5,25221.75,25242.75,target,2,2.06,-0.06,21.0,415.0,True,BULLISH,LOW,True,False
2026-04,2026-04-09,09:42,E4war,long,B2,reje,with_trend,2,True,1,balanced,False,32.25,25075.25,25078.5,target,0,0.39,-0.33,3.25,60.0,True,NEUTRAL,NEUTRAL,False,False
2026-04,2026-04-09,10:07,E4war,short,A,reje,counter_trend,2,True,1,balanced,False,25.75,25030.25,25033.25,target,0,0.33,-0.21,-3.0,-65.0,False,NEUTRAL,NEUTRAL,False,False
2026-04,2026-04-10,08:07,E4war,short,B,disp,range,2,True,0,imbalanced,True,10.75,25269.5,25280.5,stop,1,-0.0,-1.14,-11.0,-225.0,False,NEUTRAL,NEUTRAL,False,False
2026-04,2026-04-10,08:09,E4war,long,B,disp,range,2,True,2,imbalanced,True,9.0,25278.5,25299.75,target,19,2.39,-0.58,21.25,420.0,True,NEUTRAL,NEUTRAL,False,False
2026-04,2026-04-13,08:35,E4war,long,B2,reje,with_trend,2,True,0,imbalanced,True,19.0,25141.25,25190.5,target,45,2.64,-0.53,49.25,980.0,True,BEARISH,MEDIUM,False,True
2026-04,2026-04-14,10:08,E4war,long,B2,reje,with_trend,2,True,1,imbalanced,False,19.0,25745.5,25782.75,target,8,2.12,-0.33,37.25,740.0,True,BULLISH,MEDIUM,True,False
2026-04,2026-04-15,08:09,E4war,long,B,disp,counter_trend,2,True,0,balanced,True,11.75,25987.5,25975.5,stop,2,0.04,-1.36,-12.0,-245.0,False,NEUTRAL,NEUTRAL,False,False
