month,day,fill,branch,dir,pattern,htf,risk_pts,points,dollars,win
2026-02,2026-02-26,08:09,E3bal,short,A,counter_trend,8.5,1.1875,18.75,True
2026-02,2026-02-26,08:57,E3bal,short,B,range,14.75,9.4375,183.75,True
2026-02,2026-02-17,08:35,E4war,short,B,with_trend,14.25,-15.25,-310.0,False
2026-02,2026-02-19,08:01,E4war,short,B,range,6.25,-6.5,-135.0,False
2026-02,2026-02-24,08:10,E4war,long,B2,with_trend,12.75,-13.0,-265.0,False
2026-02,2026-02-24,08:19,E4war,long,B,with_trend,12.25,50.0,995.0,True
2026-03,2026-03-05,09:48,E3bal,short,A,counter_trend,31.0,-0.25,-10.0,False
2026-03,2026-03-10,10:07,E4war,short,B2,with_trend,28.25,42.5,845.0,True
2026-03,2026-03-16,09:43,E4war,long,B2,with_trend,16.5,-16.75,-340.0,False
2026-03,2026-03-16,09:44,E4war,long,B2,with_trend,9.5,-9.75,-200.0,False
2026-03,2026-03-17,08:26,E4war,long,B2,with_trend,12.0,129.25,2580.0,True
2026-04,2026-04-01,09:50,E4war,short,A,counter_trend,13.0,-14.0,-285.0,False
2026-04,2026-04-01,09:54,E4war,short,A,counter_trend,5.5,33.5,665.0,True
2026-04,2026-04-08,08:02,E4war,long,B,counter_trend,12.5,21.0,415.0,True
2026-04,2026-04-14,10:04,E4war,long,B2,with_trend,5.25,-5.5,-115.0,False
2026-04,2026-04-14,10:08,E4war,long,B2,with_trend,19.0,37.25,740.0,True
2026-05,2026-05-01,09:03,E4war,long,B2,with_trend,9.5,35.0,695.0,True
2026-05,2026-05-08,10:09,E4war,long,B2,with_trend,14.25,-15.25,-310.0,False
2026-05,2026-05-11,08:36,E4war,long,B2,with_trend,15.25,-15.5,-315.0,False
2026-05,2026-05-11,08:57,E4war,long,B2,with_trend,12.5,57.25,1140.0,True
2026-05,2026-05-18,09:34,E4war,long,A,range,32.25,-32.5,-655.0,False
2026-05,2026-05-21,09:19,E4war,short,B2,with_trend,13.5,-13.75,-280.0,False
2026-06,2026-06-01,08:28,E4war,long,B,range,13.0,-13.25,-270.0,False
2026-06,2026-06-01,09:38,E4war,long,A,counter_trend,38.75,9.0,175.0,True
2026-06,2026-06-08,08:55,E4war,long,B2,with_trend,21.75,24.0,475.0,True
2026-06,2026-06-09,08:29,E4war,long,B,range,13.75,50.5,1005.0,True
2026-06,2026-06-09,09:28,E4war,long,B2,with_trend,23.0,19.25,380.0,True
2026-06,2026-06-16,10:03,E4war,short,A,counter_trend,22.25,8.25,160.0,True
2026-06,2026-06-16,10:06,E4war,short,A,counter_trend,30.0,-30.25,-610.0,False
2026-06,2026-06-18,09:07,E4war,long,A,counter_trend,16.25,51.75,1030.0,True
2026-06,2026-06-22,09:56,E4war,long,B2,with_trend,8.75,18.5,365.0,True
2026-06,2026-06-22,09:57,E4war,long,B2,with_trend,53.75,-12.5,-130.0,False
