month,day,fill,branch,dir,pattern,htf,risk_pts,points,dollars,win
2026-02,2026-02-12,09:40,E3bal,short,A,range,28.5,36.75,730.0,True
2026-02,2026-02-25,10:08,E3bal,short,A,counter_trend,12.5,49.0,975.0,True
2026-02,2026-02-26,08:09,E3bal,short,A,counter_trend,8.5,1.1875,18.75,True
2026-02,2026-02-26,08:16,E3bal,long,B,range,8.75,21.75,430.0,True
2026-02,2026-02-17,08:35,E4war,short,B,with_trend,14.25,-15.25,-310.0,False
2026-02,2026-02-17,08:37,E4war,long,A,counter_trend,16.5,61.5,1225.0,True
2026-02,2026-02-19,08:01,E4war,short,B,range,6.25,-6.5,-135.0,False
2026-02,2026-02-24,08:04,E4war,short,A,counter_trend,9.75,-10.0,-205.0,False
2026-03,2026-03-05,09:48,E3bal,short,A,counter_trend,31.0,-0.25,-10.0,False
2026-03,2026-03-09,08:55,E4war,short,A,counter_trend,22.75,-23.0,-465.0,False
2026-03,2026-03-10,09:31,E4war,long,A,counter_trend,62.75,-9.75,-102.5,False
2026-03,2026-03-10,10:07,E4war,short,B2,with_trend,28.25,42.5,845.0,True
2026-03,2026-03-11,09:53,E4war,long,A,range,28.5,29.0,575.0,True
2026-03,2026-03-16,09:43,E4war,long,B2,with_trend,16.5,-16.75,-340.0,False
2026-03,2026-03-16,09:44,E4war,long,B2,with_trend,9.5,-9.75,-200.0,False
2026-03,2026-03-17,08:26,E4war,long,B2,with_trend,12.0,129.25,2580.0,True
2026-03,2026-03-17,10:02,E4war,short,A,counter_trend,12.25,45.5,905.0,True
2026-03,2026-03-18,09:41,E4war,long,B2,with_trend,29.5,-29.75,-600.0,False
2026-03,2026-03-19,09:49,E4war,long,A,counter_trend,33.5,103.25,2060.0,True
2026-03,2026-03-20,08:06,E4war,long,A,counter_trend,28.25,65.75,1310.0,True
2026-03,2026-03-26,10:04,E4war,long,A,counter_trend,20.25,-21.25,-430.0,False
2026-04,2026-04-01,09:50,E4war,short,A,counter_trend,13.0,-14.0,-285.0,False
2026-04,2026-04-01,09:54,E4war,short,A,counter_trend,5.5,33.5,665.0,True
2026-04,2026-04-02,09:38,E4war,long,A,counter_trend,20.75,-21.0,-425.0,False
2026-04,2026-04-08,08:02,E4war,long,B,counter_trend,12.5,21.0,415.0,True
2026-04,2026-04-13,08:35,E4war,long,B2,with_trend,19.0,49.25,980.0,True
2026-04,2026-04-14,10:08,E4war,long,B2,with_trend,19.0,37.25,740.0,True
2026-04,2026-04-29,08:03,E4war,short,A,counter_trend,8.5,13.25,260.0,True
2026-04,2026-04-29,08:15,E4war,short,A,counter_trend,14.75,-15.0,-305.0,False
2026-05,2026-05-01,09:03,E4war,long,B2,with_trend,9.5,35.0,695.0,True
2026-05,2026-05-08,10:09,E4war,long,B2,with_trend,14.25,-15.25,-310.0,False
2026-05,2026-05-11,08:35,E4war,short,A,counter_trend,9.25,40.0,795.0,True
2026-05,2026-05-11,08:57,E4war,long,B2,with_trend,12.5,57.25,1140.0,True
2026-05,2026-05-18,09:34,E4war,long,A,range,32.25,-32.5,-655.0,False
2026-05,2026-05-21,09:07,E4war,long,A,counter_trend,7.0,-7.25,-150.0,False
2026-05,2026-05-21,09:19,E4war,short,B2,with_trend,13.5,-13.75,-280.0,False
2026-05,2026-05-22,08:01,E4war,long,A,counter_trend,8.75,-9.0,-185.0,False
2026-05,2026-05-22,08:31,E4war,long,A,counter_trend,14.75,33.75,670.0,True
2026-05,2026-05-27,10:07,E4war,long,B2,with_trend,12.25,-12.5,-255.0,False
2026-06,2026-06-01,08:28,E4war,long,B,range,13.0,-13.25,-270.0,False
2026-06,2026-06-01,09:01,E4war,short,B2,with_trend,10.75,23.25,460.0,True
2026-06,2026-06-08,08:55,E4war,long,B2,with_trend,21.75,24.0,475.0,True
2026-06,2026-06-09,08:29,E4war,long,B,range,13.75,50.5,1005.0,True
2026-06,2026-06-16,10:03,E4war,short,A,counter_trend,22.25,8.25,160.0,True
2026-06,2026-06-16,10:06,E4war,short,A,counter_trend,30.0,-30.25,-610.0,False
2026-06,2026-06-17,08:12,E4war,long,A,counter_trend,5.0,-5.25,-110.0,False
2026-06,2026-06-17,08:15,E4war,long,A,counter_trend,16.5,-17.5,-355.0,False
2026-06,2026-06-18,09:07,E4war,long,A,counter_trend,16.25,51.75,1030.0,True
2026-06,2026-06-22,09:47,E4war,short,A,counter_trend,19.25,-19.5,-395.0,False
2026-06,2026-06-22,09:56,E4war,long,B2,with_trend,8.75,18.5,365.0,True
2026-06,2026-06-23,09:43,E4war,long,A,counter_trend,30.75,-31.75,-640.0,False
