concept,tr_n,tr_acc,tr_skill,te_n,te_acc,te_base,te_skill,te_skill_bc,te_ci_lo,te_ci_hi,te_p,teB_acc,teB_skill,gate,selected_on_train,te_reject_BH10
bb_meanrev,62,41.9,11.3,42,52.4,45.2,7.1,7.1,37.7,66.6,0.2188,47.6,7.1,OK,True,False
sweep_pdl_bull,192,37.5,0.0,182,47.3,42.3,4.9,0.0,40.1,54.5,0.1015,47.3,-1.6,OK,False,False
vix_low_bull,298,38.9,0.0,132,43.2,40.2,3.0,-5.3,35.0,51.7,0.2661,40.9,0.8,OK,False,False
rsi_meanrev,207,44.0,4.8,143,46.9,44.1,2.8,-1.4,38.9,55.0,0.2771,47.6,1.4,OK,False,False
momentum_3d,466,40.1,-0.9,394,48.2,46.2,2.0,2.0,43.3,53.2,0.2241,51.0,4.8,OK,False,False
daily_trend_20_50,330,38.8,-2.7,279,45.9,45.2,0.7,0.7,40.1,51.7,0.4277,49.5,6.1,OK,False,False
momentum_5d,465,41.3,0.4,394,46.4,46.2,0.3,0.3,41.6,51.4,0.4793,50.0,3.8,OK,False,False
weekly_bias,332,37.7,-2.7,292,45.9,45.5,0.3,0.3,40.3,51.6,0.4759,47.9,2.4,OK,False,False
gap_fill,465,38.9,-2.2,394,46.4,46.2,0.3,0.3,41.6,51.4,0.4793,47.7,1.5,OK,False,False
overnight_reversal,465,38.9,-2.2,394,46.4,46.2,0.3,0.3,41.6,51.4,0.4793,47.7,1.5,OK,False,False
daily_hh_hl,348,39.7,3.4,294,47.3,47.3,0.0,0.0,41.6,53.0,0.5229,52.0,7.8,OK,False,False
dow_seasonal,282,36.2,0.0,237,40.9,40.9,0.0,-9.7,34.9,47.3,0.5247,42.6,0.0,OK,False,False
udv,466,37.8,-3.2,394,46.2,46.2,0.0,0.0,41.3,51.1,0.5196,48.2,2.0,OK,False,False
turn_of_month,96,41.7,0.0,80,40.0,40.0,0.0,-12.5,30.0,51.0,0.5424,45.0,0.0,OK,False,False
london_reversal,463,38.9,-2.4,393,45.8,46.1,-0.3,-0.3,40.9,50.7,0.5598,48.9,2.5,OK,False,False
vix_rising_bear,231,40.3,-1.7,255,46.3,46.7,-0.4,-0.4,40.3,52.4,0.5741,50.2,3.1,OK,False,False
momentum_1d,466,38.4,-2.6,394,45.2,46.2,-1.0,-1.0,40.3,50.1,0.675,49.2,3.0,OK,False,False
london_dir_cont,463,42.5,1.3,393,44.8,46.1,-1.3,-1.3,39.9,49.7,0.7108,50.1,3.8,OK,False,False
asia_dir,465,40.0,-1.1,394,44.9,46.2,-1.3,-1.3,40.1,49.9,0.7105,51.8,5.6,OK,False,False
premarket_judas,465,37.4,-3.7,394,44.7,46.2,-1.5,-1.5,39.8,49.6,0.7441,47.5,1.3,OK,False,False
overnight_cont,465,42.4,1.3,394,44.2,46.2,-2.0,-2.0,39.3,49.1,0.8047,51.3,5.1,OK,False,False
rsi_momentum,394,37.6,-2.3,289,42.9,46.4,-3.5,-3.5,37.3,48.7,0.8924,48.8,2.4,OK,False,False
macd,466,37.6,-3.4,394,41.4,46.2,-4.8,-4.8,36.6,46.3,0.9759,50.8,4.6,OK,False,False
bb_momentum,62,37.1,6.5,42,35.7,45.2,-9.5,-9.5,23.0,50.8,0.9196,50.0,9.5,OK,False,False
