ts,day,mo,tf,setup,dir,level,lname,bias,late,n_conf,factors,div,init,stop_pts,contracts,micros,tier,target_mode,cvd_mode,min_conf,rr_planned,net_pts,rr_real,dollars,liq_override,reason,entry_min
2026-02-02 11:00:00-05:00,2026-02-02,2026-02,3min,B2,long,25870.625,poc,long,False,4,cvd_divergence|htf_bias|ob_mid_50|poc,True,False,55.38,0.5,5,41-70,fixed100,b,4,0.65,-55.8,-1.008,-557.95,True,stop,11:00
2026-02-02 14:39:00-05:00,2026-02-02,2026-02,3min,B2,long,25912.375,poc,long,True,5,bb_reclaim|cvd_divergence|htf_bias|ob_mid_50|poc,True,False,13.62,1.0,10,0-40,fixed100,b,4,2.61,-14.04,-1.031,-280.9,True,stop,14:39
2026-02-05 15:12:00-05:00,2026-02-05,2026-02,3min,B,short,24803.875,poc,short,True,6,cvd_divergence|htf_bias|ob_mid_50|poc|rejection_candle|volatility_band,True,False,45.25,0.5,5,41-70,fixed100,b,4,2.21,99.58,2.201,995.8,False,target,15:12
2026-02-09 15:33:00-05:00,2026-02-09,2026-02,3min,A,long,25365.348151980394,vwap+1,long,True,7,bb_reclaim|cvd_divergence|htf_bias|ob_mid_50|rejection_candle|volatility_band|vwap,True,False,9.0,1.0,10,0-40,fixed100,b,4,7.51,-9.42,-1.047,-188.4,True,stop,15:33
2026-02-09 15:36:00-05:00,2026-02-09,2026-02,3min,B2,long,25401.125,poc,long,True,5,bb_midline|cvd_divergence|htf_bias|ob_mid_50|poc,True,False,58.38,0.5,5,41-70,fixed100,b,4,0.43,-58.8,-1.007,-587.95,True,stop,15:36
2026-02-10 13:12:00-05:00,2026-02-10,2026-02,3min,B2,long,25362.625,poc,long,True,5,cvd_divergence|htf_bias|ob_mid_50|poc|vwap,True,False,17.38,1.0,10,0-40,fixed100,b,4,2.2,-17.8,-1.024,-355.9,True,stop,13:12
2026-02-10 14:39:00-05:00,2026-02-10,2026-02,3min,B,short,25297.2125,bb_basis,short,True,6,bb_midline|cvd_divergence|fib_50|htf_bias|ob_mid_50|rejection_candle,True,False,9.75,1.0,10,0-40,fixed100,b,4,10.26,-10.17,-1.043,-203.4,False,stop,14:39
2026-02-11 15:33:00-05:00,2026-02-11,2026-02,3min,B2,long,25280.375,poc,long,True,5,cvd_divergence|htf_bias|ob_mid_50|poc|rejection_candle,True,False,9.12,1.0,10,0-40,fixed100,b,4,6.85,18.45,2.022,369.1,True,eod,15:33
2026-02-12 13:48:00-05:00,2026-02-12,2026-02,3min,B2,short,24848.875,poc,short,True,6,bb_midline|bb_reclaim|cvd_divergence|htf_bias|ob_mid_50|poc,True,False,61.62,0.5,5,41-70,fixed100,b,4,0.78,-62.05,-1.007,-620.45,True,stop,13:48
2026-02-12 14:21:00-05:00,2026-02-12,2026-02,3min,B2,short,24900.375,poc,short,True,4,cvd_divergence|htf_bias|ob_mid_50|poc,True,False,17.88,1.0,10,0-40,fixed100,b,4,5.58,-18.3,-1.023,-365.9,False,stop,14:21
2026-02-16 12:39:00-05:00,2026-02-16,2026-02,3min,B2,short,24725.125,poc,short,True,6,bb_midline|cvd_divergence|fib_50|htf_bias|ob_mid_50|poc,True,False,28.88,1.0,10,0-40,fixed100,b,4,1.42,-29.3,-1.015,-585.9,True,stop,12:39
2026-02-17 15:39:00-05:00,2026-02-17,2026-02,3min,B2,long,24774.875,poc,long,True,5,cvd_divergence|htf_bias|initiative_delta|ob_mid_50|poc,True,True,38.12,1.0,10,0-40,fixed100,b,4,0.81,-23.04,-0.604,-460.9,True,eod,15:39
2026-02-18 09:42:00-05:00,2026-02-18,2026-02,3min,B2,short,24831.625,poc,short,False,6,bb_midline|cvd_divergence|htf_bias|ob_mid_50|poc|vwap,True,False,13.88,1.0,10,0-40,fixed100,b,4,7.21,-14.29,-1.03,-285.9,False,stop,09:42
2026-02-18 13:30:00-05:00,2026-02-18,2026-02,3min,B2,long,25088.125,poc,long,True,5,bb_midline|cvd_divergence|htf_bias|ob_mid_50|poc,True,False,37.62,1.0,10,0-40,fixed100,b,4,1.06,-38.05,-1.011,-760.9,True,stop,13:30
2026-02-19 09:51:00-05:00,2026-02-19,2026-02,3min,B2,short,24836.375,poc,short,False,5,bb_midline|cvd_divergence|htf_bias|ob_mid_50|poc,True,False,20.88,1.0,10,0-40,fixed100,b,4,3.5,-21.3,-1.02,-425.9,True,stop,09:51
2026-02-19 10:15:00-05:00,2026-02-19,2026-02,3min,B2,short,24869.625,poc,short,False,4,cvd_divergence|htf_bias|ob_mid_50|poc,True,False,33.88,1.0,10,0-40,fixed100,b,4,2.21,-34.3,-1.012,-685.9,True,stop,10:15
2026-02-23 09:48:00-05:00,2026-02-23,2026-02,3min,B2,short,24905.875,poc,short,False,4,cvd_divergence|htf_bias|ob_mid_50|poc,True,False,17.88,1.0,10,0-40,fixed100,b,4,1.48,-18.3,-1.023,-365.9,True,stop,09:48
2026-02-23 15:51:00-05:00,2026-02-23,2026-02,3min,A,short,24737.125,poc,short,True,6,cvd_divergence|htf_bias|ob_mid_50|poc|rejection_50|rejection_candle,True,False,18.75,1.0,10,0-40,fixed100,b,4,3.36,17.08,0.911,341.6,True,eod,15:51
2026-02-24 15:24:00-05:00,2026-02-24,2026-02,3min,B2,long,25016.125,poc,long,True,5,bb_midline|cvd_divergence|htf_bias|ob_mid_50|poc,True,False,9.38,1.0,10,0-40,fixed100,b,4,4.63,-9.79,-1.045,-195.9,True,stop,15:24
2026-02-24 15:30:00-05:00,2026-02-24,2026-02,3min,B2,long,25012.125,poc,long,True,6,bb_midline|cvd_divergence|fib_50|htf_bias|ob_mid_50|poc,True,False,14.88,1.0,10,0-40,fixed100,b,4,3.18,-15.29,-1.028,-305.9,True,stop,15:30
2026-02-25 10:42:00-05:00,2026-02-25,2026-02,3min,B2,long,25326.625,poc,long,False,4,cvd_divergence|htf_bias|ob_mid_50|poc,True,False,34.12,1.0,10,0-40,fixed100,b,4,1.03,-34.55,-1.012,-690.9,True,stop,10:42
2026-02-25 11:12:00-05:00,2026-02-25,2026-02,3min,B2,long,25302.125,poc,long,True,5,bb_midline|cvd_divergence|htf_bias|ob_mid_50|poc,True,False,12.62,1.0,10,0-40,fixed100,b,4,4.71,-13.04,-1.033,-260.9,True,stop,11:12
2026-03-04 09:45:00-05:00,2026-03-04,2026-03,3min,B2,long,24886.875,poc,long,False,6,bb_midline|cvd_divergence|htf_bias|ob_mid_50|poc|vwap,True,False,46.62,0.5,5,41-70,fixed100,b,4,1.47,68.08,1.46,680.8,True,target,09:45
2026-03-04 13:27:00-05:00,2026-03-04,2026-03,3min,B,long,25158.6375,bb_basis,long,True,6,bb_midline|cvd_divergence|htf_bias|ob_mid_50|poc|rejection_candle,True,False,25.25,1.0,10,0-40,fixed100,b,4,0.52,12.71,0.503,254.1,True,target,13:27
2026-03-06 12:30:00-05:00,2026-03-06,2026-03,3min,A,short,24829.481440636322,vwap,short,True,6,cvd_divergence|htf_bias|ob_mid_50|rejection_50|rejection_candle|vwap,True,False,19.75,1.0,10,0-40,fixed100,b,4,2.11,41.33,2.093,826.6,True,target,12:30
2026-03-06 13:30:00-05:00,2026-03-06,2026-03,3min,B2,long,24849.875,poc,long,True,4,cvd_divergence|htf_bias|ob_mid_50|poc,True,False,34.88,1.0,10,0-40,fixed100,b,4,1.86,-35.3,-1.012,-705.9,True,stop,13:30
2026-03-10 12:09:00-04:00,2026-03-10,2026-03,3min,B2,long,25144.125,poc,long,True,6,bb_midline|cvd_divergence|fib_50|htf_bias|ob_mid_50|poc,True,False,64.38,0.5,5,41-70,fixed100,b,4,0.43,27.58,0.428,275.8,True,target,12:09
2026-03-11 10:06:00-04:00,2026-03-11,2026-03,3min,A,long,25099.422629250646,vwap+1,long,False,6,cvd_divergence|htf_bias|ob_mid_50|poc|rejection_candle|vwap,True,False,16.75,1.0,10,0-40,fixed100,b,4,0.5,7.96,0.475,159.1,True,target,10:06
2026-03-11 14:33:00-04:00,2026-03-11,2026-03,3min,B2,short,24945.125,poc,short,True,5,cvd_divergence|htf_bias|ob_mid_50|poc|vwap,True,False,17.12,1.0,10,0-40,fixed100,b,4,2.36,-17.55,-1.025,-350.9,True,stop,14:33
2026-03-12 12:15:00-04:00,2026-03-12,2026-03,3min,B2,short,24615.125,poc,short,True,4,cvd_divergence|htf_bias|ob_mid_50|poc,True,False,41.62,0.5,5,41-70,fixed100,b,4,0.73,-42.05,-1.01,-420.45,True,stop,12:15
