n,win,avg_win_pts,avg_loss_pts,avg_win_usd,avg_loss_usd,pf,exp_pts,exp_usd,net_usd,net_pts,maxdd_usd,max_consec_loss,rr_planned,rr_real,liq_override_pct,months_green,months,tf,cvd_mode,min_conf,target_mode
419,23.9,46.7,-23.8,785.0,-378.0,0.62,-6.95,-100.5,-42090.0,-2913.0,-41984.0,18,4.01,-0.3,61.0,1,6,3min,a,3,fixed80
415,23.4,50.9,-23.8,840.0,-379.0,0.65,-6.32,-94.2,-39084.0,-2622.0,-39093.0,18,4.47,-0.27,61.0,1,6,3min,a,3,fixed100
412,23.3,53.6,-23.9,875.0,-381.0,0.68,-5.84,-88.1,-36309.0,-2404.0,-36518.0,18,4.76,-0.25,61.0,1,6,3min,a,3,fixed120
417,23.7,48.6,-23.9,808.0,-379.0,0.63,-6.67,-97.6,-40710.0,-2782.0,-40930.0,18,4.13,-0.29,61.0,1,6,3min,a,3,dynamic
384,18.8,69.3,-24.3,1153.0,-386.0,0.66,-6.76,-97.4,-37400.0,-2594.0,-37294.0,18,,-0.28,0.0,1,6,3min,a,3,trail80
353,24.6,44.5,-23.7,729.0,-379.0,0.61,-6.91,-105.9,-37385.0,-2440.0,-37307.0,20,3.94,-0.32,63.0,1,6,3min,a,4,fixed80
351,23.9,48.5,-23.7,778.0,-380.0,0.64,-6.4,-103.0,-36141.0,-2247.0,-36202.0,20,4.36,-0.31,64.0,1,6,3min,a,4,fixed100
350,24.0,51.4,-23.7,820.0,-380.0,0.69,-5.67,-92.2,-32255.0,-1984.0,-32516.0,20,4.66,-0.28,64.0,1,6,3min,a,4,fixed120
353,24.6,46.4,-23.7,752.0,-379.0,0.64,-6.45,-100.3,-35397.0,-2278.0,-35669.0,20,4.07,-0.31,63.0,1,6,3min,a,4,dynamic
327,18.7,69.8,-24.0,1135.0,-382.0,0.67,-6.47,-98.7,-32281.0,-2115.0,-32176.0,21,,-0.32,0.0,1,6,3min,a,4,trail80
224,29.0,44.2,-21.5,754.0,-367.0,0.84,-2.44,-41.8,-9356.0,-548.0,-12338.0,11,3.72,-0.2,70.0,1,6,3min,a,5,fixed80
224,28.6,46.9,-21.6,789.0,-368.0,0.87,-1.99,-37.6,-8422.0,-446.0,-13525.0,11,4.08,-0.18,70.0,1,6,3min,a,5,fixed100
224,28.6,48.5,-21.6,815.0,-368.0,0.9,-1.55,-30.2,-6757.0,-347.0,-13612.0,11,4.36,-0.16,70.0,1,6,3min,a,5,fixed120
224,29.0,45.1,-21.5,765.0,-367.0,0.86,-2.19,-38.7,-8673.0,-491.0,-12338.0,11,3.86,-0.19,70.0,1,6,3min,a,5,dynamic
211,23.7,68.7,-21.7,1149.0,-366.0,0.98,-0.3,-6.9,-1448.0,-62.0,-10189.0,11,,-0.16,0.0,3,6,3min,a,5,trail80
122,22.1,46.7,-23.2,687.0,-373.0,0.57,-7.73,-138.3,-16878.0,-943.0,-16835.0,29,4.24,-0.41,66.0,1,6,3min,b,3,fixed80
122,22.1,50.5,-23.2,733.0,-373.0,0.62,-6.9,-128.2,-15637.0,-842.0,-15794.0,29,4.68,-0.39,66.0,1,6,3min,b,3,fixed100
122,22.1,50.6,-23.2,734.0,-373.0,0.62,-6.89,-128.0,-15617.0,-840.0,-15974.0,29,5.02,-0.39,66.0,1,6,3min,b,3,fixed120
122,22.1,48.4,-23.2,705.0,-373.0,0.59,-7.36,-134.5,-16412.0,-897.0,-16719.0,29,4.42,-0.4,66.0,1,6,3min,b,3,dynamic
121,15.7,63.4,-23.5,883.0,-380.0,0.5,-9.89,-181.3,-21939.0,-1196.0,-21908.0,30,,-0.56,0.0,0,6,3min,b,3,trail80
119,21.8,47.9,-23.3,700.0,-373.0,0.57,-7.76,-138.5,-16483.0,-923.0,-16440.0,27,4.18,-0.41,67.0,1,6,3min,b,4,fixed80
119,21.8,51.7,-23.3,748.0,-373.0,0.62,-6.91,-128.1,-15242.0,-823.0,-15399.0,27,4.62,-0.39,67.0,1,6,3min,b,4,fixed100
119,21.8,51.8,-23.3,749.0,-373.0,0.62,-6.9,-127.9,-15222.0,-821.0,-15579.0,27,4.97,-0.39,67.0,1,6,3min,b,4,fixed120
119,21.8,49.6,-23.3,718.0,-373.0,0.6,-7.37,-134.6,-16017.0,-878.0,-16324.0,27,4.35,-0.4,67.0,1,6,3min,b,4,dynamic
119,15.1,64.0,-23.5,872.0,-378.0,0.49,-10.26,-188.5,-22435.0,-1221.0,-22404.0,28,,-0.58,0.0,0,6,3min,b,4,trail80
88,26.1,47.3,-22.6,716.0,-366.0,0.74,-4.34,-83.6,-7354.0,-382.0,-8673.0,18,4.0,-0.27,73.0,1,6,3min,b,5,fixed80
88,26.1,50.8,-22.6,761.0,-366.0,0.8,-3.43,-71.7,-6313.0,-301.0,-8611.0,18,4.32,-0.24,73.0,1,6,3min,b,5,fixed100
88,26.1,50.5,-22.6,757.0,-366.0,0.79,-3.53,-72.7,-6401.0,-310.0,-8760.0,18,4.59,-0.24,73.0,1,6,3min,b,5,fixed120
88,26.1,49.3,-22.6,736.0,-366.0,0.77,-3.82,-78.3,-6888.0,-336.0,-8611.0,18,4.1,-0.26,73.0,1,6,3min,b,5,dynamic
88,18.2,62.0,-22.8,882.0,-370.0,0.6,-7.41,-142.3,-12518.0,-652.0,-13220.0,19,,-0.48,0.0,1,6,3min,b,5,trail80
56,21.4,35.3,-18.9,618.0,-343.0,0.51,-7.28,-137.5,-7701.0,-408.0,-8332.0,12,3.92,-0.48,73.0,1,6,3min,c,3,fixed80
56,21.4,36.4,-18.9,628.0,-343.0,0.52,-7.05,-135.3,-7576.0,-395.0,-8207.0,12,4.22,-0.48,73.0,1,6,3min,c,3,fixed100
56,21.4,36.4,-18.9,628.0,-343.0,0.52,-7.05,-135.3,-7576.0,-395.0,-8207.0,12,4.38,-0.48,73.0,1,6,3min,c,3,fixed120
56,21.4,35.3,-18.9,618.0,-343.0,0.51,-7.28,-137.5,-7701.0,-408.0,-8332.0,12,4.04,-0.48,73.0,1,6,3min,c,3,dynamic
54,9.3,66.0,-20.2,1111.0,-360.0,0.33,-12.24,-224.2,-12106.0,-661.0,-11426.0,16,,-0.71,0.0,1,6,3min,c,3,trail80
55,20.0,36.9,-18.9,641.0,-343.0,0.49,-7.73,-146.4,-8055.0,-425.0,-8686.0,12,3.97,-0.51,73.0,1,6,3min,c,4,fixed80
55,20.0,38.1,-18.9,653.0,-343.0,0.5,-7.5,-144.2,-7930.0,-413.0,-8561.0,12,4.27,-0.51,73.0,1,6,3min,c,4,fixed100
55,20.0,38.1,-18.9,653.0,-343.0,0.5,-7.5,-144.2,-7930.0,-413.0,-8561.0,12,4.43,-0.51,73.0,1,6,3min,c,4,fixed120
55,20.0,36.9,-18.9,641.0,-343.0,0.49,-7.73,-146.4,-8055.0,-425.0,-8686.0,12,4.1,-0.51,73.0,1,6,3min,c,4,dynamic
53,9.4,66.0,-20.3,1111.0,-361.0,0.34,-12.17,-222.5,-11790.0,-645.0,-11110.0,16,,-0.7,0.0,1,6,3min,c,4,trail80
40,22.5,42.4,-18.6,729.0,-331.0,0.66,-4.87,-92.5,-3699.0,-195.0,-5359.0,9,3.39,-0.44,78.0,2,6,3min,c,5,fixed80
40,22.5,44.3,-18.6,754.0,-331.0,0.69,-4.43,-86.9,-3476.0,-177.0,-5234.0,9,3.62,-0.43,78.0,2,6,3min,c,5,fixed100
40,22.5,44.3,-18.6,754.0,-331.0,0.69,-4.43,-86.9,-3476.0,-177.0,-5234.0,9,3.73,-0.43,78.0,2,6,3min,c,5,fixed120
40,22.5,42.4,-18.6,729.0,-331.0,0.66,-4.87,-92.5,-3699.0,-195.0,-5359.0,9,3.57,-0.44,78.0,2,6,3min,c,5,dynamic
39,15.4,66.9,-20.0,1165.0,-342.0,0.61,-6.6,-110.1,-4293.0,-257.0,-6035.0,13,,-0.49,0.0,2,6,3min,c,5,trail80
5,20.0,21.4,-25.9,429.0,-348.0,0.21,-16.39,-192.8,-964.0,-82.0,-932.0,3,5.72,0.43,80.0,1,5,3min,d,3,fixed80
5,20.0,21.4,-25.9,429.0,-348.0,0.21,-16.39,-192.8,-964.0,-82.0,-932.0,3,6.43,0.43,80.0,1,5,3min,d,3,fixed100
5,20.0,21.4,-25.9,429.0,-348.0,0.21,-16.39,-192.8,-964.0,-82.0,-932.0,3,7.14,0.43,80.0,1,5,3min,d,3,fixed120
5,20.0,21.4,-25.9,429.0,-348.0,0.21,-16.39,-192.8,-964.0,-82.0,-932.0,3,7.14,0.43,80.0,1,5,3min,d,3,dynamic
5,0.0,0.0,-21.5,0.0,-295.0,0.0,-21.49,-294.8,-1474.0,-107.0,-1013.0,5,,-0.97,0.0,0,5,3min,d,3,trail80
5,20.0,21.4,-25.9,429.0,-348.0,0.21,-16.39,-192.8,-964.0,-82.0,-932.0,3,5.72,0.43,80.0,1,5,3min,d,4,fixed80
5,20.0,21.4,-25.9,429.0,-348.0,0.21,-16.39,-192.8,-964.0,-82.0,-932.0,3,6.43,0.43,80.0,1,5,3min,d,4,fixed100
5,20.0,21.4,-25.9,429.0,-348.0,0.21,-16.39,-192.8,-964.0,-82.0,-932.0,3,7.14,0.43,80.0,1,5,3min,d,4,fixed120
5,20.0,21.4,-25.9,429.0,-348.0,0.21,-16.39,-192.8,-964.0,-82.0,-932.0,3,7.14,0.43,80.0,1,5,3min,d,4,dynamic
5,0.0,0.0,-21.5,0.0,-295.0,0.0,-21.49,-294.8,-1474.0,-107.0,-1013.0,5,,-0.97,0.0,0,5,3min,d,4,trail80
5,20.0,21.4,-25.9,429.0,-348.0,0.21,-16.39,-192.8,-964.0,-82.0,-932.0,3,5.72,0.43,80.0,1,5,3min,d,5,fixed80
5,20.0,21.4,-25.9,429.0,-348.0,0.21,-16.39,-192.8,-964.0,-82.0,-932.0,3,6.43,0.43,80.0,1,5,3min,d,5,fixed100
5,20.0,21.4,-25.9,429.0,-348.0,0.21,-16.39,-192.8,-964.0,-82.0,-932.0,3,7.14,0.43,80.0,1,5,3min,d,5,fixed120
5,20.0,21.4,-25.9,429.0,-348.0,0.21,-16.39,-192.8,-964.0,-82.0,-932.0,3,7.14,0.43,80.0,1,5,3min,d,5,dynamic
5,0.0,0.0,-21.5,0.0,-295.0,0.0,-21.49,-294.8,-1474.0,-107.0,-1013.0,5,,-0.97,0.0,0,5,3min,d,5,trail80
355,29.6,46.1,-24.0,737.0,-390.0,0.81,-3.26,-56.6,-20099.0,-1158.0,-20182.0,15,3.6,-0.21,64.0,2,6,5min,a,3,fixed80
357,29.1,49.9,-24.2,783.0,-391.0,0.85,-2.61,-48.7,-17373.0,-933.0,-17456.0,15,3.98,-0.19,65.0,2,6,5min,a,3,fixed100
356,28.7,52.4,-24.5,825.0,-393.0,0.86,-2.47,-43.6,-15521.0,-881.0,-17089.0,18,4.24,-0.18,65.0,2,6,5min,a,3,fixed120
354,29.4,47.2,-24.1,752.0,-392.0,0.82,-3.14,-55.7,-19711.0,-1112.0,-19794.0,15,3.71,-0.2,64.0,2,6,5min,a,3,dynamic
320,21.6,64.2,-24.7,1025.0,-399.0,0.71,-5.55,-91.8,-29388.0,-1777.0,-29052.0,17,,-0.3,0.0,0,6,5min,a,3,trail80
303,30.4,43.9,-25.0,699.0,-392.0,0.77,-4.06,-60.7,-18379.0,-1230.0,-18965.0,13,3.53,-0.19,67.0,2,6,5min,a,4,fixed80
301,30.6,47.9,-24.8,756.0,-390.0,0.85,-2.56,-39.4,-11864.0,-770.0,-13747.0,13,3.93,-0.13,67.0,2,6,5min,a,4,fixed100
300,30.0,50.3,-24.9,791.0,-390.0,0.87,-2.34,-35.9,-10765.0,-703.0,-16178.0,15,4.19,-0.14,68.0,2,6,5min,a,4,fixed120
303,30.4,45.0,-25.0,721.0,-392.0,0.79,-3.71,-54.0,-16360.0,-1123.0,-16945.0,13,3.61,-0.17,67.0,2,6,5min,a,4,dynamic
271,21.8,65.4,-25.8,1036.0,-402.0,0.71,-5.92,-88.6,-24005.0,-1605.0,-23653.0,15,,-0.24,0.0,0,6,5min,a,4,trail80
178,29.2,43.0,-23.6,721.0,-388.0,0.75,-4.16,-63.8,-11348.0,-740.0,-13358.0,9,3.44,-0.22,72.0,1,6,5min,a,5,fixed80
177,29.4,45.7,-23.3,760.0,-386.0,0.82,-3.03,-49.1,-8682.0,-536.0,-10600.0,9,3.81,-0.18,72.0,2,6,5min,a,5,fixed100
177,29.4,48.5,-23.3,800.0,-386.0,0.87,-2.22,-37.4,-6627.0,-393.0,-9551.0,9,4.09,-0.15,72.0,3,6,5min,a,5,fixed120
178,29.2,44.0,-23.6,742.0,-388.0,0.77,-3.85,-57.6,-10260.0,-686.0,-13358.0,9,3.5,-0.21,72.0,1,6,5min,a,5,dynamic
165,20.0,70.1,-23.5,1149.0,-387.0,0.75,-4.74,-79.9,-13187.0,-783.0,-15518.0,10,,-0.25,0.0,1,6,5min,a,5,trail80
76,18.4,50.5,-26.6,830.0,-397.0,0.43,-12.39,-170.9,-12992.0,-942.0,-14454.0,12,3.79,-0.31,76.0,1,6,5min,b,3,fixed80
76,18.4,53.5,-26.6,876.0,-397.0,0.45,-11.84,-162.6,-12357.0,-900.0,-13889.0,12,4.09,-0.27,76.0,2,6,5min,b,3,fixed100
76,17.1,49.9,-27.1,866.0,-400.0,0.38,-13.9,-183.2,-13919.0,-1056.0,-15452.0,12,4.29,-0.3,76.0,1,6,5min,b,3,fixed120
76,18.4,50.5,-26.6,830.0,-397.0,0.43,-12.39,-170.9,-12992.0,-942.0,-14454.0,12,3.85,-0.31,76.0,1,6,5min,b,3,dynamic
75,13.3,67.2,-26.4,1071.0,-399.0,0.39,-13.91,-203.1,-15232.0,-1043.0,-16862.0,26,,-0.38,0.0,0,6,5min,b,3,trail80
76,18.4,50.5,-26.6,830.0,-397.0,0.43,-12.39,-170.9,-12992.0,-942.0,-14454.0,12,3.79,-0.31,76.0,1,6,5min,b,4,fixed80
76,18.4,53.5,-26.6,876.0,-397.0,0.45,-11.84,-162.6,-12357.0,-900.0,-13889.0,12,4.09,-0.27,76.0,2,6,5min,b,4,fixed100
76,17.1,49.9,-27.1,866.0,-400.0,0.38,-13.9,-183.2,-13919.0,-1056.0,-15452.0,12,4.29,-0.3,76.0,1,6,5min,b,4,fixed120
76,18.4,50.5,-26.6,830.0,-397.0,0.43,-12.39,-170.9,-12992.0,-942.0,-14454.0,12,3.85,-0.31,76.0,1,6,5min,b,4,dynamic
75,13.3,67.2,-26.4,1071.0,-399.0,0.39,-13.91,-203.1,-15232.0,-1043.0,-16862.0,26,,-0.38,0.0,0,6,5min,b,4,trail80
49,24.5,50.7,-23.8,872.0,-402.0,0.69,-5.52,-90.1,-4414.0,-270.0,-7239.0,8,3.78,-0.03,82.0,2,6,5min,b,5,fixed80
49,24.5,52.5,-23.8,908.0,-402.0,0.72,-5.07,-81.2,-3979.0,-249.0,-6909.0,8,4.12,0.02,82.0,2,6,5min,b,5,fixed100
49,24.5,52.5,-23.8,908.0,-402.0,0.72,-5.07,-81.2,-3979.0,-249.0,-6909.0,8,4.38,0.02,82.0,2,6,5min,b,5,fixed120
49,24.5,50.7,-23.8,872.0,-402.0,0.69,-5.52,-90.1,-4414.0,-270.0,-7239.0,8,3.81,-0.03,82.0,2,6,5min,b,5,dynamic
48,16.7,74.7,-23.6,1223.0,-405.0,0.63,-7.24,-133.7,-6417.0,-348.0,-9211.0,16,,-0.13,0.0,3,6,5min,b,5,trail80
23,26.1,32.6,-24.5,519.0,-434.0,0.47,-9.61,-185.1,-4258.0,-221.0,-3827.0,7,2.68,-0.29,65.0,1,6,5min,c,3,fixed80
23,26.1,35.9,-24.5,552.0,-434.0,0.52,-8.74,-176.4,-4058.0,-201.0,-3627.0,7,2.94,-0.27,65.0,1,6,5min,c,3,fixed100
23,26.1,39.2,-24.5,586.0,-434.0,0.57,-7.87,-167.7,-3858.0,-181.0,-3427.0,7,3.1,-0.26,65.0,1,6,5min,c,3,fixed120
23,26.1,32.6,-24.5,519.0,-434.0,0.47,-9.61,-185.1,-4258.0,-221.0,-3827.0,7,2.77,-0.29,65.0,1,6,5min,c,3,dynamic
22,4.5,52.1,-22.3,521.0,-400.0,0.11,-18.91,-358.4,-7885.0,-416.0,-7454.0,13,,-0.94,0.0,0,6,5min,c,3,trail80
22,22.7,35.3,-24.5,546.0,-434.0,0.42,-10.91,-210.9,-4640.0,-240.0,-4209.0,7,2.75,-0.35,64.0,1,6,5min,c,4,fixed80
22,22.7,39.3,-24.5,586.0,-434.0,0.47,-10.0,-201.8,-4440.0,-220.0,-4009.0,7,3.02,-0.34,64.0,1,6,5min,c,4,fixed100
22,22.7,43.3,-24.5,626.0,-434.0,0.52,-9.09,-192.7,-4240.0,-200.0,-3809.0,7,3.19,-0.32,64.0,1,6,5min,c,4,fixed120
22,22.7,35.3,-24.5,546.0,-434.0,0.42,-10.91,-210.9,-4640.0,-240.0,-4209.0,7,2.84,-0.35,64.0,1,6,5min,c,4,dynamic
21,4.8,52.1,-22.6,521.0,-403.0,0.12,-19.01,-359.5,-7549.0,-399.0,-7118.0,13,,-0.94,0.0,0,6,5min,c,4,trail80
15,33.3,35.3,-24.4,546.0,-393.0,0.72,-4.51,-79.6,-1193.0,-68.0,-1564.0,4,2.64,-0.04,80.0,2,6,5min,c,5,fixed80
15,33.3,39.3,-24.4,586.0,-393.0,0.8,-3.18,-66.2,-993.0,-48.0,-1564.0,4,2.75,-0.02,80.0,2,6,5min,c,5,fixed100
15,33.3,43.3,-24.4,626.0,-393.0,0.89,-1.85,-52.9,-793.0,-28.0,-1564.0,4,2.86,0.01,80.0,2,6,5min,c,5,fixed120
15,33.3,35.3,-24.4,546.0,-393.0,0.72,-4.51,-79.6,-1193.0,-68.0,-1564.0,4,2.64,-0.04,80.0,2,6,5min,c,5,dynamic
14,7.1,52.1,-21.5,521.0,-356.0,0.19,-16.21,-293.0,-4102.0,-227.0,-3595.0,8,,-0.9,0.0,0,6,5min,c,5,trail80
1,100.0,52.1,0.0,1042.0,0.0,99.0,52.08,1041.6,1042.0,52.0,0.0,0,4.0,3.97,100.0,1,1,5min,d,3,fixed80
1,100.0,52.1,0.0,1042.0,0.0,99.0,52.08,1041.6,1042.0,52.0,0.0,0,4.0,3.97,100.0,1,1,5min,d,3,fixed100
1,100.0,52.1,0.0,1042.0,0.0,99.0,52.08,1041.6,1042.0,52.0,0.0,0,4.0,3.97,100.0,1,1,5min,d,3,fixed120
