ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-04-08 12:00:00+00:00,1775649659955174476,10,1,42004058,A,B,0,25219250000000,1,128,12980,220660476,25219250000000,25220250000000,2,1,2,1,25219000000000,25220500000000,2,5,2,5,25218750000000,25220750000000,3,5,3,5,25218500000000,25221000000000,2,7,2,7,25218250000000,25221250000000,3,6,3,6,25218000000000,25221500000000,25,3,1,3,25217750000000,25221750000000,2,4,2,4,25217500000000,25222000000000,7,4,6,4,25217250000000,25222250000000,3,2,3,2,25217000000000,25222500000000,4,4,4,4,NQ.c.0
2026-04-08 12:01:00+00:00,1775649719997508438,10,1,42004058,M,A,1,25222250000000,1,128,12751,220714983,25221000000000,25222000000000,2,3,2,3,25220750000000,25222250000000,3,5,3,5,25220500000000,25222500000000,5,5,5,4,25220250000000,25222750000000,3,3,3,3,25220000000000,25223000000000,6,2,6,2,25219750000000,25223250000000,6,4,6,4,25219500000000,25223500000000,3,4,3,4,25219250000000,25223750000000,3,5,3,5,25219000000000,25224000000000,6,5,6,5,25218750000000,25224250000000,3,2,3,2,NQ.c.0
2026-04-08 12:02:00+00:00,1775649779875496822,10,1,42004058,C,A,1,25231750000000,1,128,11403,220757018,25230750000000,25231500000000,1,1,1,1,25230500000000,25231750000000,3,2,3,2,25230250000000,25232000000000,3,4,3,4,25230000000000,25232250000000,2,1,2,1,25229750000000,25232500000000,3,1,3,1,25229500000000,25232750000000,3,3,3,3,25229250000000,25233000000000,3,3,3,3,25229000000000,25233250000000,6,5,6,5,25228750000000,25233500000000,5,4,5,4,25228500000000,25233750000000,4,3,4,3,NQ.c.0
2026-04-08 12:03:00+00:00,1775649839562977387,10,1,42004058,C,A,0,25235750000000,1,128,12514,220795281,25235000000000,25236000000000,2,1,2,1,25234750000000,25236250000000,3,3,3,3,25234500000000,25236500000000,2,1,2,1,25234250000000,25236750000000,3,2,3,2,25234000000000,25237000000000,2,3,2,3,25233750000000,25237250000000,1,2,1,2,25233500000000,25237500000000,5,3,5,3,25233250000000,25237750000000,4,4,4,4,25233000000000,25238000000000,3,3,3,3,25232750000000,25238250000000,4,3,4,3,NQ.c.0
2026-04-08 12:04:00+00:00,1775649899990080247,10,1,42004058,A,A,0,25243750000000,1,128,12443,220842707,25243000000000,25243750000000,2,1,2,1,25242750000000,25244000000000,5,2,3,2,25242500000000,25244250000000,2,2,2,2,25242250000000,25244500000000,5,1,5,1,25242000000000,25244750000000,6,4,6,4,25241750000000,25245000000000,7,4,5,4,25241500000000,25245250000000,5,3,5,3,25241250000000,25245500000000,2,3,2,3,25241000000000,25245750000000,3,5,3,5,25240750000000,25246000000000,3,1,3,1,NQ.c.0
2026-04-08 12:05:00+00:00,1775649959922168961,10,1,42004058,C,B,0,25241250000000,1,128,12320,220877616,25241250000000,25242000000000,1,1,1,1,25241000000000,25242250000000,4,1,4,1,25240750000000,25242500000000,1,2,1,2,25240500000000,25242750000000,2,2,2,2,25240250000000,25243000000000,3,1,3,1,25240000000000,25243250000000,8,2,8,2,25239750000000,25243500000000,4,4,4,4,25239500000000,25243750000000,4,6,4,5,25239250000000,25244000000000,4,6,4,6,25239000000000,25244250000000,4,3,4,3,NQ.c.0
2026-04-08 12:06:00+00:00,1775650019671416188,10,1,42004058,A,B,2,25251750000000,1,128,12956,220932377,25252250000000,25253000000000,4,1,1,1,25252000000000,25253250000000,1,1,1,1,25251750000000,25253500000000,4,1,4,1,25251500000000,25253750000000,4,2,4,2,25251250000000,25254000000000,4,2,4,2,25251000000000,25254250000000,4,2,4,2,25250750000000,25254500000000,4,3,3,3,25250500000000,25254750000000,5,3,4,3,25250250000000,25255000000000,3,2,3,2,25250000000000,25255250000000,4,2,4,2,NQ.c.0
2026-04-08 12:07:00+00:00,1775650079961714381,10,1,42004058,A,B,0,25246250000000,1,128,10995,220977215,25246250000000,25247000000000,2,1,2,1,25246000000000,25247750000000,3,4,3,4,25245750000000,25248000000000,3,4,3,4,25245500000000,25248250000000,4,3,4,3,25245250000000,25248500000000,3,4,3,4,25245000000000,25248750000000,3,3,3,3,25244750000000,25249000000000,4,2,4,2,25244500000000,25249250000000,3,2,3,2,25244250000000,25249500000000,4,4,4,4,25244000000000,25249750000000,3,4,3,4,NQ.c.0
2026-04-08 12:08:00+00:00,1775650139959792534,10,1,42004058,A,A,1,25240250000000,1,128,12851,221032144,25239250000000,25240000000000,1,4,1,4,25239000000000,25240250000000,2,5,2,5,25238750000000,25240500000000,3,2,3,2,25238500000000,25240750000000,3,3,3,3,25238250000000,25241000000000,1,3,1,3,25238000000000,25241250000000,2,2,2,2,25237750000000,25241500000000,4,2,4,2,25237500000000,25241750000000,3,2,3,2,25237250000000,25242000000000,2,1,2,1,25237000000000,25242250000000,3,2,3,2,NQ.c.0
2026-04-08 12:09:00+00:00,1775650199861257500,10,1,42004058,A,B,2,25232750000000,1,128,12789,221076265,25233250000000,25234000000000,1,1,1,1,25233000000000,25234250000000,2,1,2,1,25232750000000,25234500000000,2,3,2,3,25232500000000,25234750000000,2,4,2,4,25232250000000,25235000000000,2,3,2,3,25232000000000,25235250000000,6,6,6,3,25231750000000,25235500000000,5,6,5,6,25231500000000,25235750000000,5,5,5,5,25231250000000,25236000000000,5,7,5,7,25231000000000,25236250000000,5,3,5,3,NQ.c.0
