ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-05-20 12:00:00+00:00,1779278459950221351,10,1,42004058,C,B,0,29090500000000,1,128,11039,327183285,29090250000000,29091250000000,1,1,1,1,29090000000000,29091750000000,1,1,1,1,29089750000000,29092000000000,2,4,2,4,29089500000000,29092250000000,3,4,2,3,29089250000000,29092500000000,4,3,3,2,29088750000000,29092750000000,3,3,3,2,29088500000000,29093000000000,4,4,3,3,29088250000000,29093250000000,3,8,2,3,29088000000000,29093750000000,6,1,6,1,29087750000000,29094000000000,4,1,4,1,NQ.c.0
2026-05-20 12:01:00+00:00,1779278519516741870,10,1,42004058,C,B,0,29101500000000,1,128,12551,327222872,29101250000000,29102250000000,2,1,2,1,29101000000000,29102500000000,4,1,4,1,29100750000000,29102750000000,4,4,3,3,29100500000000,29103000000000,4,2,3,2,29100250000000,29103500000000,3,4,2,4,29100000000000,29103750000000,5,3,4,3,29099500000000,29104000000000,3,7,2,6,29099250000000,29104250000000,4,4,3,3,29099000000000,29104500000000,4,3,3,2,29098750000000,29104750000000,3,3,2,2,NQ.c.0
2026-05-20 12:02:00+00:00,1779278579995161948,10,1,42004058,C,B,0,29104250000000,1,128,11173,327254878,29104000000000,29105000000000,2,1,2,1,29103750000000,29105250000000,4,2,3,2,29103500000000,29105500000000,3,4,3,4,29103250000000,29105750000000,4,3,4,3,29103000000000,29106000000000,4,7,3,4,29102750000000,29106250000000,4,4,3,3,29102500000000,29106500000000,5,4,4,4,29102000000000,29106750000000,5,4,4,4,29101750000000,29107250000000,4,4,3,3,29101500000000,29107500000000,4,6,3,4,NQ.c.0
2026-05-20 12:03:00+00:00,1779278639685255524,10,1,42004058,A,B,1,29105500000000,1,128,12638,327279047,29105750000000,29106750000000,2,1,2,1,29105500000000,29107000000000,5,2,5,2,29105250000000,29107250000000,4,2,3,2,29105000000000,29107500000000,3,3,2,2,29104750000000,29107750000000,3,1,2,1,29104500000000,29108000000000,2,4,2,4,29104250000000,29108250000000,1,4,1,3,29104000000000,29108500000000,6,7,5,6,29103750000000,29108750000000,3,5,2,4,29103500000000,29109000000000,5,5,4,4,NQ.c.0
2026-05-20 12:04:00+00:00,1779278699928261559,10,1,42004058,M,A,4,29110750000000,1,128,15621,327301506,29108500000000,29109500000000,1,2,1,2,29108250000000,29109750000000,2,3,2,3,29108000000000,29110000000000,5,2,4,2,29107750000000,29110250000000,3,4,2,3,29107500000000,29110500000000,4,3,3,2,29107250000000,29110750000000,3,5,2,4,29106750000000,29111000000000,1,6,1,4,29106500000000,29111250000000,5,3,4,2,29106000000000,29111500000000,5,7,4,5,29105750000000,29112000000000,4,7,3,6,NQ.c.0
2026-05-20 12:05:00+00:00,1779278759982629550,10,1,42004058,C,A,0,29105000000000,1,128,11571,327325933,29104000000000,29105000000000,2,1,2,1,29103500000000,29105250000000,4,3,4,3,29103250000000,29105500000000,4,3,3,3,29103000000000,29105750000000,4,2,3,2,29102750000000,29106250000000,3,2,2,2,29102250000000,29106500000000,5,5,4,5,29102000000000,29106750000000,6,6,5,5,29101750000000,29107000000000,4,3,3,2,29101500000000,29107250000000,1,4,1,3,29101250000000,29107500000000,3,2,3,2,NQ.c.0
2026-05-20 12:06:00+00:00,1779278819993653225,10,1,42004058,A,A,1,29116750000000,1,128,13284,327355470,29115500000000,29116500000000,1,2,1,2,29115250000000,29116750000000,1,4,1,3,29115000000000,29117000000000,5,3,4,3,29114750000000,29117250000000,5,4,4,3,29114500000000,29117500000000,5,4,4,3,29114250000000,29117750000000,5,4,5,4,29114000000000,29118000000000,4,4,4,3,29113750000000,29118250000000,4,4,3,4,29113500000000,29118500000000,4,4,3,3,29113250000000,29119000000000,3,5,2,4,NQ.c.0
2026-05-20 12:07:00+00:00,1779278879782914625,10,1,42004058,A,B,2,29119000000000,2,128,13049,327379971,29119500000000,29120500000000,1,1,1,1,29119250000000,29120750000000,4,2,3,2,29119000000000,29121000000000,3,3,2,2,29118500000000,29121250000000,4,2,4,2,29117750000000,29121500000000,4,1,4,1,29117500000000,29121750000000,4,3,3,2,29117250000000,29122000000000,3,3,2,2,29117000000000,29122250000000,5,6,4,5,29116750000000,29122500000000,3,3,2,2,29116500000000,29122750000000,1,4,1,3,NQ.c.0
2026-05-20 12:08:00+00:00,1779278939898112095,10,1,42004058,A,B,0,29112250000000,1,128,13877,327405672,29112250000000,29113500000000,2,1,2,1,29112000000000,29113750000000,3,3,3,3,29111750000000,29114000000000,2,3,2,2,29111500000000,29114250000000,4,3,4,2,29110750000000,29114500000000,3,4,2,3,29110500000000,29114750000000,3,4,2,3,29110250000000,29115000000000,2,4,2,3,29110000000000,29115250000000,2,1,2,1,29109750000000,29115750000000,2,3,2,3,29109500000000,29116000000000,3,6,2,5,NQ.c.0
2026-05-20 12:09:00+00:00,1779278999920847006,10,1,42004058,A,B,1,29108250000000,1,128,12847,327437584,29108500000000,29109250000000,3,1,2,1,29108250000000,29109500000000,4,1,3,1,29108000000000,29109750000000,4,1,3,1,29107750000000,29110000000000,4,3,4,3,29107500000000,29110250000000,4,2,4,2,29107250000000,29110500000000,5,2,4,2,29107000000000,29110750000000,2,1,2,1,29106750000000,29111000000000,3,2,3,2,29106500000000,29111250000000,3,1,2,1,29106250000000,29111500000000,3,3,2,3,NQ.c.0
