ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-04-20 12:00:00+00:00,1776686459804433476,10,1,42004058,A,A,0,26714500000000,1,128,11263,16141736,26713750000000,26714500000000,1,1,1,1,26713500000000,26714750000000,3,2,3,2,26713250000000,26715000000000,2,4,2,4,26713000000000,26715250000000,4,4,4,4,26712750000000,26715500000000,6,4,5,4,26712500000000,26715750000000,5,4,4,3,26712250000000,26716000000000,5,5,4,4,26712000000000,26716250000000,7,5,7,4,26711750000000,26716500000000,2,4,2,3,26711500000000,26716750000000,5,1,4,1,NQ.c.0
2026-04-20 12:01:00+00:00,1776686520000792964,10,1,42004058,C,B,0,26708750000000,1,128,14795,16165415,26708750000000,26709500000000,3,1,3,1,26708500000000,26709750000000,1,3,1,3,26708250000000,26710000000000,3,3,3,3,26708000000000,26710250000000,5,4,5,4,26707750000000,26710500000000,2,2,2,2,26707500000000,26710750000000,1,4,1,4,26707250000000,26711000000000,4,4,3,3,26707000000000,26711250000000,4,5,3,4,26706750000000,26711500000000,3,3,2,2,26706500000000,26711750000000,6,3,5,3,NQ.c.0
2026-04-20 12:02:00+00:00,1776686579627035977,10,1,42004058,A,B,0,26710500000000,1,128,13239,16189318,26710500000000,26711500000000,2,1,2,1,26710250000000,26711750000000,4,1,4,1,26710000000000,26712000000000,3,4,3,4,26709500000000,26712250000000,3,4,3,3,26709250000000,26712500000000,3,3,3,2,26709000000000,26712750000000,1,5,1,4,26708750000000,26713000000000,6,7,5,4,26708500000000,26713250000000,3,4,2,3,26708250000000,26713500000000,4,4,3,3,26708000000000,26713750000000,8,4,6,3,NQ.c.0
2026-04-20 12:03:00+00:00,1776686639950735772,10,1,42004058,A,B,0,26709750000000,1,128,10808,16217761,26709750000000,26710500000000,2,1,2,1,26709500000000,26710750000000,2,3,2,3,26709250000000,26711000000000,3,1,3,1,26709000000000,26711250000000,2,5,2,4,26708750000000,26711500000000,1,4,1,3,26708500000000,26711750000000,1,4,1,3,26708250000000,26712000000000,2,7,2,6,26708000000000,26712250000000,5,4,5,3,26707750000000,26712750000000,2,4,2,3,26707500000000,26713000000000,3,8,3,5,NQ.c.0
2026-04-20 12:04:00+00:00,1776686699938518667,10,1,42004058,A,A,0,26708750000000,1,128,13106,16300558,26707750000000,26708750000000,1,2,1,2,26707500000000,26709000000000,2,2,2,2,26707250000000,26709250000000,1,4,1,4,26707000000000,26709500000000,5,3,5,3,26706750000000,26709750000000,5,2,4,2,26706500000000,26710000000000,3,4,3,3,26706250000000,26710250000000,4,4,3,3,26706000000000,26710500000000,4,3,4,2,26705750000000,26710750000000,1,6,1,5,26705500000000,26711000000000,7,2,4,2,NQ.c.0
2026-04-20 12:05:00+00:00,1776686759882210769,10,1,42004058,A,A,9,26719500000000,1,128,14022,16342993,26716250000000,26717250000000,2,1,2,1,26716000000000,26717500000000,1,1,1,1,26715750000000,26717750000000,3,1,3,1,26715500000000,26718000000000,2,2,2,2,26715250000000,26718250000000,5,2,4,2,26715000000000,26718500000000,4,5,3,4,26714750000000,26718750000000,6,2,5,2,26714500000000,26719000000000,6,6,5,5,26714250000000,26719250000000,3,3,3,2,26714000000000,26719500000000,6,5,5,4,NQ.c.0
2026-04-20 12:06:00+00:00,1776686819986307241,10,1,42004058,M,A,0,26714500000000,1,128,12234,16368788,26713500000000,26714500000000,1,2,1,2,26713250000000,26714750000000,6,3,2,3,26713000000000,26715000000000,5,2,4,2,26712750000000,26715250000000,3,2,2,2,26712500000000,26715500000000,5,2,4,2,26712000000000,26715750000000,4,5,3,5,26711750000000,26716000000000,1,7,1,6,26711500000000,26716250000000,2,4,2,3,26711250000000,26716500000000,1,5,1,4,26711000000000,26716750000000,1,3,1,3,NQ.c.0
2026-04-20 12:07:00+00:00,1776686879319182617,10,1,42004058,C,B,4,26716000000000,1,128,12368,16397048,26717000000000,26718000000000,2,2,2,2,26716750000000,26718250000000,4,2,4,2,26716500000000,26718500000000,4,3,4,3,26716250000000,26718750000000,5,3,5,3,26716000000000,26719000000000,4,4,3,3,26715750000000,26719250000000,4,5,3,4,26715500000000,26719500000000,5,6,4,5,26715250000000,26719750000000,5,4,4,4,26715000000000,26720000000000,5,5,4,4,26714750000000,26720250000000,5,5,4,4,NQ.c.0
2026-04-20 12:08:00+00:00,1776686939730131950,10,1,42004058,A,B,0,26712250000000,1,128,13190,16421636,26712250000000,26713000000000,1,2,1,2,26712000000000,26713500000000,1,3,1,3,26711500000000,26713750000000,6,2,5,2,26711250000000,26714000000000,4,3,3,3,26711000000000,26714250000000,5,1,4,1,26710750000000,26714500000000,3,4,2,4,26710500000000,26714750000000,4,3,3,3,26710250000000,26715000000000,4,3,3,3,26710000000000,26715250000000,6,2,5,2,26709500000000,26715500000000,4,4,3,4,NQ.c.0
2026-04-20 12:09:00+00:00,1776686999974898452,10,1,42004058,A,B,1,26706750000000,1,128,13565,16442955,26707000000000,26708000000000,3,1,3,1,26706750000000,26708250000000,4,1,4,1,26706500000000,26708500000000,4,1,3,1,26706250000000,26708750000000,4,4,3,4,26706000000000,26709000000000,6,2,5,2,26705750000000,26709250000000,3,4,2,4,26705500000000,26709500000000,4,5,3,4,26705250000000,26709750000000,4,3,3,2,26705000000000,26710000000000,3,4,3,3,26704750000000,26710250000000,1,5,1,4,NQ.c.0
