ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-04-27 12:00:00+00:00,1777291259926804555,10,1,42004058,C,A,2,27481500000000,1,128,12315,15829776,27480250000000,27481000000000,2,2,1,2,27480000000000,27481250000000,4,5,4,5,27479750000000,27481500000000,4,1,4,1,27479500000000,27481750000000,5,5,5,5,27479250000000,27482000000000,3,3,3,3,27479000000000,27482250000000,4,4,4,4,27478750000000,27482500000000,1,5,1,5,27478500000000,27482750000000,3,2,3,2,27478250000000,27483000000000,1,3,1,3,27478000000000,27483250000000,8,5,4,5,NQ.c.0
2026-04-27 12:01:00+00:00,1777291319996107619,10,1,42004058,C,B,1,27472750000000,1,128,11883,15857411,27473000000000,27473750000000,1,3,1,3,27472750000000,27474000000000,3,4,3,4,27472500000000,27474250000000,4,2,4,2,27472250000000,27474500000000,5,6,5,4,27472000000000,27474750000000,4,3,4,3,27471750000000,27475000000000,3,4,3,4,27471500000000,27475250000000,3,1,3,1,27471250000000,27475500000000,4,4,4,4,27471000000000,27475750000000,6,3,2,3,27470750000000,27476000000000,2,5,2,5,NQ.c.0
2026-04-27 12:02:00+00:00,1777291379909725220,10,1,42004058,A,A,0,27473000000000,1,128,12350,15879506,27472250000000,27473000000000,1,2,1,2,27472000000000,27473250000000,6,3,6,3,27471750000000,27473500000000,2,3,2,3,27471500000000,27473750000000,2,5,2,5,27471250000000,27474000000000,5,6,5,6,27471000000000,27474250000000,4,4,4,4,27470750000000,27474500000000,4,4,4,4,27470500000000,27474750000000,3,3,3,3,27470250000000,27475000000000,4,2,4,2,27470000000000,27475250000000,3,2,3,2,NQ.c.0
2026-04-27 12:03:00+00:00,1777291439865168100,10,1,42004058,A,A,1,27469750000000,1,128,12851,15906901,27469000000000,27469500000000,1,2,1,2,27468750000000,27469750000000,2,2,2,2,27468500000000,27470000000000,3,3,3,3,27468250000000,27470250000000,3,5,3,5,27468000000000,27470500000000,2,5,2,5,27467750000000,27470750000000,4,4,2,4,27467500000000,27471000000000,1,4,1,4,27467250000000,27471250000000,3,3,3,3,27467000000000,27471500000000,4,4,4,4,27466750000000,27471750000000,2,4,2,4,NQ.c.0
2026-04-27 12:04:00+00:00,1777291499815149025,10,1,42004058,C,B,1,27473750000000,1,128,13300,15928243,27474000000000,27474750000000,2,2,2,2,27473750000000,27475000000000,2,2,2,2,27473500000000,27475250000000,3,2,3,2,27473250000000,27475500000000,3,2,3,2,27473000000000,27475750000000,4,3,4,3,27472750000000,27476000000000,2,6,2,6,27472500000000,27476250000000,3,6,3,3,27472250000000,27476500000000,2,3,2,3,27472000000000,27476750000000,5,3,5,3,27471750000000,27477000000000,2,3,2,3,NQ.c.0
2026-04-27 12:05:00+00:00,1777291559947022740,10,1,42004058,C,A,0,27471500000000,1,128,11348,15946692,27470750000000,27471500000000,1,1,1,1,27470500000000,27471750000000,3,5,3,5,27470250000000,27472000000000,3,5,3,5,27470000000000,27472250000000,3,3,3,3,27469750000000,27472500000000,2,4,2,4,27469500000000,27472750000000,4,1,4,1,27469250000000,27473000000000,1,5,1,5,27469000000000,27473250000000,4,3,4,3,27468750000000,27473500000000,2,2,2,2,27468500000000,27473750000000,1,4,1,4,NQ.c.0
2026-04-27 12:06:00+00:00,1777291619418372903,10,1,42004058,M,A,9,27470250000000,1,128,12449,15971141,27467250000000,27468000000000,2,1,2,1,27467000000000,27468250000000,2,5,2,5,27466750000000,27468500000000,3,1,3,1,27466500000000,27468750000000,1,2,1,2,27466250000000,27469000000000,3,2,3,2,27466000000000,27469250000000,3,5,3,5,27465750000000,27469500000000,2,6,2,5,27465500000000,27469750000000,3,3,3,3,27465250000000,27470000000000,4,4,4,4,27465000000000,27470250000000,5,5,5,5,NQ.c.0
2026-04-27 12:07:00+00:00,1777291679870956275,10,1,42004058,M,A,1,27463500000000,1,128,12434,15993177,27462500000000,27463250000000,1,1,1,1,27462250000000,27463500000000,3,3,2,3,27462000000000,27463750000000,4,4,4,4,27461750000000,27464000000000,3,4,3,4,27461500000000,27464250000000,1,2,1,2,27461250000000,27464500000000,3,2,3,2,27461000000000,27464750000000,7,2,3,2,27460750000000,27465000000000,6,4,3,4,27460500000000,27465250000000,3,2,3,2,27460250000000,27465500000000,1,3,1,3,NQ.c.0
2026-04-27 12:08:00+00:00,1777291739837301683,10,1,42004058,C,A,0,27463750000000,1,128,12707,16013033,27463000000000,27463750000000,1,3,1,3,27462750000000,27464000000000,1,4,1,4,27462500000000,27464250000000,3,2,3,2,27462250000000,27464500000000,2,4,2,4,27462000000000,27464750000000,2,3,2,3,27461750000000,27465000000000,3,5,3,5,27461500000000,27465250000000,1,3,1,3,27461250000000,27465500000000,3,3,3,3,27461000000000,27465750000000,1,7,1,3,27460500000000,27466000000000,6,3,5,3,NQ.c.0
2026-04-27 12:09:00+00:00,1777291799986347528,10,1,42004058,A,A,1,27463500000000,1,128,13261,16035149,27462500000000,27463250000000,1,2,1,2,27462250000000,27463500000000,2,4,2,4,27462000000000,27463750000000,3,2,3,2,27461750000000,27464000000000,1,5,1,5,27461500000000,27464250000000,3,3,3,3,27461250000000,27464500000000,2,4,2,4,27461000000000,27464750000000,4,8,4,8,27460750000000,27465000000000,2,4,2,4,27460500000000,27465250000000,3,3,3,3,27460250000000,27465500000000,3,4,3,4,NQ.c.0
