ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-03-20 12:00:00+00:00,1.774008059903551e+18,10.0,1.0,42002475.0,M,A,1.0,24249500000000.0,1.0,128.0,11579.0,604178198.0,24245750000000.0,24249250000000.0,2.0,1.0,2.0,1.0,24245000000000.0,24249500000000.0,2.0,2.0,2.0,2.0,24244750000000.0,24249750000000.0,1.0,1.0,1.0,1.0,24244500000000.0,24250000000000.0,1.0,1.0,1.0,1.0,24244250000000.0,24250250000000.0,1.0,1.0,1.0,1.0,24243000000000.0,24250500000000.0,1.0,2.0,1.0,2.0,24242750000000.0,24250750000000.0,1.0,1.0,1.0,1.0,24241250000000.0,24251250000000.0,1.0,1.0,1.0,1.0,24240750000000.0,24251500000000.0,1.0,2.0,1.0,1.0,24239000000000.0,24252750000000.0,1.0,1.0,1.0,1.0,NQ.c.0
2026-03-20 12:01:00+00:00,1.7740081199387894e+18,10.0,1.0,42002475.0,M,A,0.0,24228250000000.0,1.0,128.0,11679.0,604272997.0,24223750000000.0,24228250000000.0,1.0,2.0,1.0,2.0,24223500000000.0,24228500000000.0,1.0,1.0,1.0,1.0,24223250000000.0,24228750000000.0,1.0,2.0,1.0,2.0,24223000000000.0,24229000000000.0,1.0,1.0,1.0,1.0,24222750000000.0,24229250000000.0,1.0,1.0,1.0,1.0,24222500000000.0,24229500000000.0,1.0,2.0,1.0,2.0,24222250000000.0,24229750000000.0,2.0,1.0,2.0,1.0,24222000000000.0,24230000000000.0,1.0,2.0,1.0,1.0,24221500000000.0,24230500000000.0,1.0,2.0,1.0,1.0,24221250000000.0,24231500000000.0,2.0,1.0,1.0,1.0,NQ.c.0
2026-03-20 12:02:00+00:00,1.7740081798415506e+18,10.0,1.0,42002475.0,M,A,7.0,24235500000000.0,2.0,128.0,12744.0,604362405.0,24229000000000.0,24233250000000.0,1.0,1.0,1.0,1.0,24228750000000.0,24233500000000.0,1.0,2.0,1.0,2.0,24228500000000.0,24233750000000.0,1.0,1.0,1.0,1.0,24228250000000.0,24234000000000.0,1.0,1.0,1.0,1.0,24228000000000.0,24234250000000.0,1.0,1.0,1.0,1.0,24227750000000.0,24234500000000.0,1.0,1.0,1.0,1.0,24227500000000.0,24234750000000.0,1.0,1.0,1.0,1.0,24227250000000.0,24235500000000.0,1.0,2.0,1.0,1.0,24226500000000.0,24236750000000.0,1.0,1.0,1.0,1.0,24226250000000.0,24237750000000.0,1.0,1.0,1.0,1.0,NQ.c.0
2026-03-20 12:03:00+00:00,1.774008239911035e+18,10.0,1.0,42002475.0,M,A,0.0,24235000000000.0,1.0,128.0,11385.0,604432178.0,24228250000000.0,24233500000000.0,1.0,1.0,1.0,1.0,24228000000000.0,24233750000000.0,1.0,1.0,1.0,1.0,24227750000000.0,24234000000000.0,1.0,1.0,1.0,1.0,24227500000000.0,24234250000000.0,1.0,1.0,1.0,1.0,24227250000000.0,24234500000000.0,1.0,1.0,1.0,1.0,24227000000000.0,24234750000000.0,1.0,2.0,1.0,2.0,24226750000000.0,24235000000000.0,1.0,1.0,1.0,1.0,24226250000000.0,24235750000000.0,1.0,3.0,1.0,2.0,24226000000000.0,24237750000000.0,1.0,1.0,1.0,1.0,24225500000000.0,24238250000000.0,2.0,3.0,1.0,1.0,NQ.c.0
2026-03-20 12:04:00+00:00,1.7740082998648305e+18,10.0,1.0,42002475.0,M,A,5.0,24223000000000.0,1.0,128.0,11526.0,604545187.0,24215000000000.0,24221750000000.0,1.0,1.0,1.0,1.0,24214750000000.0,24222000000000.0,1.0,1.0,1.0,1.0,24214500000000.0,24222250000000.0,1.0,1.0,1.0,1.0,24214250000000.0,24222500000000.0,1.0,1.0,1.0,1.0,24214000000000.0,24222750000000.0,1.0,1.0,1.0,1.0,24213750000000.0,24223000000000.0,1.0,1.0,1.0,1.0,24213500000000.0,24223250000000.0,1.0,2.0,1.0,2.0,24213250000000.0,24223500000000.0,1.0,1.0,1.0,1.0,24213000000000.0,24223750000000.0,1.0,1.0,1.0,1.0,24212750000000.0,24224000000000.0,2.0,2.0,2.0,1.0,NQ.c.0
2026-03-20 12:05:00+00:00,1.7740083598702072e+18,10.0,1.0,42002475.0,M,A,2.0,24239000000000.0,1.0,128.0,11151.0,604630847.0,24234000000000.0,24238500000000.0,1.0,1.0,1.0,1.0,24233250000000.0,24238750000000.0,1.0,2.0,1.0,2.0,24233000000000.0,24239000000000.0,1.0,3.0,1.0,3.0,24232750000000.0,24239250000000.0,1.0,1.0,1.0,1.0,24232500000000.0,24239500000000.0,1.0,1.0,1.0,1.0,24232250000000.0,24241250000000.0,1.0,3.0,1.0,2.0,24231750000000.0,24241500000000.0,1.0,1.0,1.0,1.0,24231000000000.0,24241750000000.0,2.0,1.0,1.0,1.0,24229750000000.0,24243000000000.0,1.0,1.0,1.0,1.0,24229500000000.0,24243750000000.0,1.0,3.0,1.0,1.0,NQ.c.0
2026-03-20 12:06:00+00:00,1.7740084199997624e+18,10.0,1.0,42002475.0,M,B,0.0,24243750000000.0,1.0,128.0,11304.0,604686396.0,24243750000000.0,24247500000000.0,3.0,1.0,3.0,1.0,24243500000000.0,24247750000000.0,1.0,1.0,1.0,1.0,24242000000000.0,24248000000000.0,1.0,1.0,1.0,1.0,24241750000000.0,24248250000000.0,1.0,1.0,1.0,1.0,24241250000000.0,24248500000000.0,1.0,1.0,1.0,1.0,24240750000000.0,24249500000000.0,1.0,1.0,1.0,1.0,24240500000000.0,24249750000000.0,2.0,2.0,1.0,1.0,24239500000000.0,24250500000000.0,1.0,1.0,1.0,1.0,24239250000000.0,24251250000000.0,1.0,1.0,1.0,1.0,24237750000000.0,24252250000000.0,3.0,4.0,1.0,2.0,NQ.c.0
2026-03-20 12:07:00+00:00,1.7740084799831928e+18,10.0,1.0,42002475.0,M,A,0.0,24247500000000.0,1.0,128.0,11631.0,604752581.0,24242750000000.0,24247500000000.0,1.0,1.0,1.0,1.0,24242500000000.0,24247750000000.0,2.0,1.0,2.0,1.0,24242250000000.0,24248000000000.0,1.0,1.0,1.0,1.0,24242000000000.0,24248250000000.0,1.0,1.0,1.0,1.0,24241750000000.0,24248500000000.0,1.0,1.0,1.0,1.0,24241250000000.0,24248750000000.0,1.0,1.0,1.0,1.0,24240500000000.0,24249750000000.0,2.0,1.0,1.0,1.0,24239500000000.0,24250000000000.0,1.0,2.0,1.0,1.0,24239250000000.0,24250500000000.0,1.0,1.0,1.0,1.0,24239000000000.0,24251250000000.0,1.0,1.0,1.0,1.0,NQ.c.0
2026-03-20 12:08:00+00:00,1.7740085398551519e+18,10.0,1.0,42002475.0,M,A,0.0,24248000000000.0,1.0,128.0,11091.0,604813019.0,24243500000000.0,24247750000000.0,1.0,1.0,1.0,1.0,24241750000000.0,24248000000000.0,1.0,2.0,1.0,2.0,24241500000000.0,24248250000000.0,1.0,1.0,1.0,1.0,24241250000000.0,24248500000000.0,4.0,1.0,3.0,1.0,24241000000000.0,24248750000000.0,1.0,1.0,1.0,1.0,24240750000000.0,24250000000000.0,2.0,2.0,2.0,1.0,24239500000000.0,24250500000000.0,1.0,2.0,1.0,2.0,24239000000000.0,24251250000000.0,1.0,2.0,1.0,2.0,24238750000000.0,24251500000000.0,1.0,1.0,1.0,1.0,24238500000000.0,24252250000000.0,3.0,5.0,1.0,1.0,NQ.c.0
2026-03-20 12:09:00+00:00,1.7740085999840904e+18,10.0,1.0,42002475.0,M,B,0.0,24271500000000.0,1.0,128.0,13809.0,604909383.0,24271500000000.0,24276000000000.0,1.0,2.0,1.0,2.0,24271250000000.0,24276250000000.0,1.0,1.0,1.0,1.0,24271000000000.0,24276500000000.0,1.0,1.0,1.0,1.0,24270750000000.0,24276750000000.0,1.0,2.0,1.0,2.0,24270500000000.0,24277000000000.0,1.0,1.0,1.0,1.0,24270250000000.0,24278000000000.0,1.0,1.0,1.0,1.0,24269000000000.0,24278250000000.0,2.0,2.0,1.0,1.0,24268250000000.0,24279000000000.0,1.0,3.0,1.0,3.0,24268000000000.0,24279500000000.0,1.0,1.0,1.0,1.0,24267750000000.0,24280500000000.0,1.0,1.0,1.0,1.0,NQ.c.0
