ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-03-27 12:00:00+00:00,1774612859971083106,10,1,42004058,C,A,1,23660250000000,1,128,13385,516634310,23659000000000,23660000000000,3,2,3,2,23658750000000,23660500000000,4,3,4,3,23658500000000,23660750000000,1,4,1,4,23658250000000,23661000000000,3,2,3,2,23658000000000,23661250000000,3,2,3,2,23657750000000,23661500000000,3,2,3,2,23657500000000,23661750000000,4,3,4,3,23657250000000,23662000000000,3,4,3,4,23657000000000,23662250000000,4,2,4,2,23656750000000,23662500000000,4,4,4,4,NQ.c.0
2026-03-27 12:01:00+00:00,1774612919992667558,10,1,42004058,A,A,1,23659750000000,1,128,12816,516688054,23658500000000,23659500000000,2,1,2,1,23658250000000,23659750000000,3,3,3,3,23658000000000,23660000000000,2,13,2,4,23657750000000,23660250000000,2,3,2,3,23657500000000,23660500000000,5,3,5,3,23657250000000,23660750000000,4,2,4,2,23657000000000,23661000000000,4,3,4,3,23656750000000,23661250000000,5,3,5,3,23656500000000,23661500000000,3,3,3,3,23656250000000,23661750000000,3,3,3,3,NQ.c.0
2026-03-27 12:02:00+00:00,1774612979927531027,10,1,42004058,C,B,0,23654250000000,1,128,13697,516739851,23654000000000,23655250000000,2,2,2,2,23653750000000,23655500000000,3,3,3,3,23653500000000,23655750000000,2,3,2,3,23653250000000,23656000000000,1,4,1,4,23653000000000,23656250000000,1,5,1,5,23652750000000,23656500000000,1,4,1,4,23652500000000,23656750000000,2,9,2,5,23652250000000,23657000000000,5,7,3,7,23652000000000,23657250000000,5,3,5,3,23651750000000,23657500000000,3,1,3,1,NQ.c.0
2026-03-27 12:03:00+00:00,1774613039924535655,10,1,42004058,A,A,6,23651000000000,1,128,12963,516789348,23648750000000,23649500000000,1,1,1,1,23648500000000,23649750000000,3,1,3,1,23648250000000,23650000000000,4,2,4,2,23648000000000,23650250000000,2,3,2,3,23647750000000,23650500000000,3,1,3,1,23647250000000,23650750000000,2,2,2,2,23646750000000,23651000000000,3,3,3,3,23646500000000,23651250000000,4,4,4,4,23646250000000,23651500000000,2,2,2,2,23646000000000,23651750000000,5,4,5,4,NQ.c.0
2026-03-27 12:04:00+00:00,1774613099788721887,10,1,42004058,C,A,0,23642750000000,1,128,14310,516837926,23641750000000,23643000000000,1,2,1,2,23641500000000,23643250000000,2,2,2,2,23641250000000,23643500000000,1,2,1,2,23641000000000,23643750000000,2,4,2,4,23640750000000,23644000000000,2,3,2,3,23640500000000,23644250000000,3,2,3,2,23640250000000,23644500000000,3,2,3,2,23640000000000,23644750000000,4,6,4,6,23639750000000,23645000000000,2,6,2,6,23639500000000,23645250000000,2,5,2,5,NQ.c.0
2026-03-27 12:05:00+00:00,1774613159968873316,10,1,42004058,C,B,0,23631000000000,1,128,10975,516887262,23630750000000,23631750000000,2,2,2,2,23630500000000,23632000000000,3,3,3,3,23630250000000,23632250000000,2,5,2,5,23630000000000,23632500000000,2,3,2,3,23629750000000,23632750000000,2,5,2,5,23629500000000,23633000000000,2,6,2,6,23629250000000,23633250000000,4,6,4,6,23629000000000,23633500000000,2,18,2,4,23628750000000,23633750000000,2,4,2,4,23628500000000,23634000000000,4,4,4,4,NQ.c.0
2026-03-27 12:06:00+00:00,1774613219811079617,10,1,42004058,C,A,0,23624250000000,1,128,11169,516933908,23623750000000,23624500000000,1,1,1,1,23623500000000,23624750000000,1,1,1,1,23623250000000,23625000000000,3,2,3,2,23623000000000,23625250000000,2,4,2,4,23622750000000,23625500000000,2,3,2,3,23622500000000,23625750000000,1,4,1,4,23622250000000,23626000000000,2,4,2,4,23622000000000,23626250000000,1,2,1,2,23621750000000,23626500000000,1,3,1,3,23621500000000,23626750000000,3,3,3,3,NQ.c.0
2026-03-27 12:07:00+00:00,1774613279931605802,10,1,42004058,C,A,0,23630250000000,1,128,15630,516980644,23629250000000,23630250000000,1,1,1,1,23628750000000,23630500000000,2,4,2,4,23628500000000,23630750000000,3,3,3,3,23628250000000,23631000000000,1,4,1,4,23628000000000,23631250000000,4,3,4,3,23627750000000,23631500000000,2,3,2,3,23627250000000,23631750000000,2,4,2,4,23626750000000,23632000000000,2,4,2,4,23626500000000,23632250000000,3,4,3,4,23626250000000,23632500000000,3,2,3,2,NQ.c.0
2026-03-27 12:08:00+00:00,1774613339788158193,10,1,42004058,C,A,0,23618750000000,1,128,12901,517024703,23618000000000,23619000000000,1,1,1,1,23617750000000,23619250000000,2,3,2,3,23617500000000,23619500000000,3,5,3,5,23617250000000,23620000000000,4,4,4,4,23617000000000,23620250000000,2,1,2,1,23616500000000,23620500000000,3,4,3,4,23616250000000,23620750000000,2,4,2,4,23616000000000,23621000000000,3,2,3,2,23615750000000,23621250000000,2,5,2,5,23615500000000,23621500000000,2,4,2,4,NQ.c.0
2026-03-27 12:09:00+00:00,1774613399935362252,10,1,42004058,C,B,0,23617500000000,1,128,13552,517057083,23617500000000,23618500000000,2,1,2,1,23617250000000,23618750000000,3,3,3,3,23617000000000,23619000000000,4,6,4,6,23616750000000,23619250000000,5,3,5,3,23616500000000,23619500000000,3,2,3,2,23616250000000,23620000000000,1,5,1,5,23616000000000,23620250000000,4,2,4,2,23615750000000,23620500000000,1,2,1,2,23615500000000,23621000000000,3,4,3,4,23615250000000,23621250000000,2,6,2,6,NQ.c.0
