ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-04-29 12:00:00+00:00,1777464059820227568,10,1,42004058,M,B,0,27172000000000,1,128,11217,188868506,27248000000000,27248750000000,1,1,1,1,27247750000000,27249000000000,5,1,5,1,27247500000000,27249250000000,2,5,2,5,27247000000000,27249500000000,1,3,1,3,27246750000000,27249750000000,2,2,2,2,27246500000000,27250000000000,5,4,5,4,27246250000000,27250250000000,6,4,6,4,27246000000000,27250500000000,2,4,2,4,27245750000000,27250750000000,3,6,3,6,27245500000000,27251000000000,4,2,4,2,NQ.c.0
2026-04-29 12:01:00+00:00,1777464119779309673,10,1,42004058,A,B,0,27246250000000,1,128,11300,188892395,27246250000000,27247000000000,2,1,2,1,27246000000000,27247250000000,4,1,4,1,27245750000000,27247500000000,4,2,4,2,27245500000000,27247750000000,2,2,2,2,27245250000000,27248000000000,6,3,6,3,27245000000000,27248250000000,2,4,2,4,27244750000000,27248500000000,4,5,4,5,27244250000000,27248750000000,6,3,6,3,27244000000000,27249000000000,6,2,6,2,27243750000000,27249250000000,2,2,2,2,NQ.c.0
2026-04-29 12:02:00+00:00,1777464179882928146,10,1,42004058,M,B,1,27244750000000,1,128,12389,188916032,27245000000000,27246000000000,1,2,1,2,27244750000000,27246250000000,5,3,5,3,27244500000000,27246500000000,3,4,3,4,27244250000000,27246750000000,3,2,3,2,27244000000000,27247000000000,6,1,6,1,27243750000000,27247250000000,3,2,3,2,27243500000000,27247500000000,4,3,4,3,27243250000000,27247750000000,3,4,3,4,27243000000000,27248000000000,3,4,3,4,27242750000000,27248250000000,5,3,5,3,NQ.c.0
2026-04-29 12:03:00+00:00,1777464238136422150,10,1,42004058,C,A,0,27238250000000,1,128,11333,188942763,27237750000000,27238500000000,1,1,1,1,27237500000000,27238750000000,2,2,2,2,27237250000000,27239000000000,4,2,4,2,27237000000000,27239250000000,3,3,3,3,27236750000000,27239500000000,3,1,3,1,27236500000000,27239750000000,4,4,4,4,27236250000000,27240000000000,4,5,4,5,27236000000000,27240250000000,4,4,4,4,27235750000000,27240500000000,4,5,4,5,27235500000000,27240750000000,3,3,3,3,NQ.c.0
2026-04-29 12:04:00+00:00,1777464299972235810,10,1,42004058,M,A,2,27313000000000,1,128,11059,188970433,27235000000000,27235500000000,1,1,1,1,27234750000000,27235750000000,1,2,1,2,27234500000000,27236000000000,3,4,3,4,27234250000000,27236250000000,3,4,3,4,27234000000000,27236500000000,2,3,2,3,27233750000000,27236750000000,2,3,2,3,27233500000000,27237000000000,4,4,4,4,27233250000000,27237250000000,4,4,4,4,27233000000000,27237500000000,3,3,3,3,27232750000000,27237750000000,3,3,3,3,NQ.c.0
2026-04-29 12:05:00+00:00,1777464359954877543,10,1,42004058,A,B,0,27238000000000,1,128,10976,189004851,27238000000000,27239000000000,2,2,2,2,27237750000000,27239250000000,3,2,3,2,27237500000000,27239500000000,2,2,2,2,27237250000000,27239750000000,3,3,3,3,27237000000000,27240000000000,3,5,3,5,27236750000000,27240250000000,3,4,3,4,27236500000000,27240500000000,2,4,2,4,27236250000000,27240750000000,2,3,2,3,27236000000000,27241000000000,5,4,5,4,27235750000000,27241250000000,4,2,4,2,NQ.c.0
2026-04-29 12:06:00+00:00,1777464419881858418,10,1,42004058,C,B,1,27246000000000,1,128,10993,189035376,27246250000000,27247000000000,1,1,1,1,27246000000000,27247250000000,2,7,2,4,27245750000000,27247500000000,3,4,3,4,27245500000000,27247750000000,2,4,2,4,27245250000000,27248000000000,1,5,1,5,27244750000000,27248250000000,2,3,2,3,27244500000000,27248500000000,1,4,1,4,27244250000000,27248750000000,1,3,1,3,27244000000000,27249000000000,5,4,5,4,27243750000000,27249250000000,2,3,2,3,NQ.c.0
2026-04-29 12:07:00+00:00,1777464479842728501,10,1,42004058,A,A,0,27246750000000,1,128,13123,189057892,27245750000000,27246750000000,1,2,1,2,27245500000000,27247000000000,1,8,1,8,27245250000000,27247250000000,1,4,1,4,27245000000000,27247500000000,3,4,3,4,27244750000000,27247750000000,4,5,4,5,27244500000000,27248000000000,4,4,4,4,27244250000000,27248250000000,3,10,3,10,27244000000000,27248500000000,5,3,5,3,27243750000000,27248750000000,2,4,2,4,27243500000000,27249000000000,2,4,2,4,NQ.c.0
2026-04-29 12:08:00+00:00,1777464539985572578,10,1,42004058,A,A,0,27241250000000,1,128,10783,189083462,27240250000000,27241250000000,1,2,1,2,27240000000000,27241500000000,1,3,1,3,27239750000000,27241750000000,3,2,3,2,27239500000000,27242000000000,1,4,1,4,27239250000000,27242250000000,4,3,4,3,27239000000000,27242500000000,3,3,3,3,27238750000000,27242750000000,5,4,4,4,27238500000000,27243000000000,3,2,3,2,27238250000000,27243250000000,4,4,4,4,27238000000000,27243500000000,4,4,4,4,NQ.c.0
2026-04-29 12:09:00+00:00,1777464600000086411,10,1,42004058,A,B,0,27239500000000,1,128,13395,189104347,27239500000000,27240500000000,2,1,2,1,27239250000000,27240750000000,4,2,4,2,27239000000000,27241000000000,2,3,2,3,27238750000000,27241250000000,5,1,4,1,27238500000000,27241500000000,3,3,3,3,27238250000000,27241750000000,4,2,4,2,27238000000000,27242000000000,4,3,4,3,27237750000000,27242250000000,3,4,3,4,27237500000000,27242500000000,2,4,2,4,27237250000000,27242750000000,3,4,3,4,NQ.c.0
2026-04-29 12:10:00+00:00,1777464659813661510,10,1,42004058,C,B,0,27239250000000,1,128,11318,189122968,27239000000000,27239750000000,1,1,1,1,27238750000000,27240000000000,2,1,2,1,27238500000000,27240250000000,3,3,3,3,27238250000000,27240500000000,2,4,2,4,27238000000000,27240750000000,5,2,5,2,27237750000000,27241000000000,1,2,1,2,27237500000000,27241250000000,2,2,2,2,27237250000000,27241500000000,3,2,3,2,27237000000000,27241750000000,5,4,5,4,27236750000000,27242000000000,2,2,2,2,NQ.c.0
2026-04-29 12:11:00+00:00,1777464719905997430,10,1,42004058,C,B,0,27239750000000,1,128,11089,189147930,27239500000000,27240500000000,2,1,2,1,27239250000000,27240750000000,5,3,5,3,27239000000000,27241000000000,2,2,2,2,27238750000000,27241250000000,3,1,3,1,27238500000000,27241500000000,1,1,1,1,27238250000000,27241750000000,4,3,4,3,27238000000000,27242000000000,3,4,3,4,27237750000000,27242250000000,3,3,3,3,27237500000000,27242500000000,2,2,2,2,27237250000000,27242750000000,3,3,3,3,NQ.c.0
2026-04-29 12:12:00+00:00,1777464779600805589,10,1,42004058,A,A,0,27242750000000,1,128,10810,189164808,27242000000000,27242750000000,1,1,1,1,27241750000000,27243000000000,3,3,3,3,27241500000000,27243250000000,3,4,3,4,27241250000000,27243500000000,2,3,2,3,27241000000000,27243750000000,3,1,3,1,27240750000000,27244000000000,2,5,2,5,27240500000000,27244250000000,4,2,4,2,27240250000000,27244500000000,4,4,4,4,27240000000000,27244750000000,3,3,3,3,27239750000000,27245000000000,1,4,1,4,NQ.c.0
2026-04-29 12:13:00+00:00,1777464839696182529,10,1,42004058,A,A,1,27241750000000,1,128,13697,189185529,27240750000000,27241500000000,1,1,1,1,27240500000000,27241750000000,1,3,1,3,27240250000000,27242000000000,3,4,3,4,27240000000000,27242250000000,5,4,5,4,27239750000000,27242500000000,4,2,4,2,27239500000000,27242750000000,3,5,3,5,27239250000000,27243000000000,4,3,4,3,27239000000000,27243250000000,2,3,2,3,27238750000000,27243500000000,4,3,4,3,27238500000000,27243750000000,2,4,2,4,NQ.c.0
2026-04-29 12:14:00+00:00,1777464899978274809,10,1,42004058,M,B,2,27232500000000,1,128,10997,189230838,27233000000000,27234000000000,1,1,1,1,27232750000000,27234250000000,5,3,5,3,27232500000000,27234500000000,3,3,3,3,27232250000000,27234750000000,3,3,3,3,27232000000000,27235000000000,7,1,7,1,27231750000000,27235250000000,1,3,1,3,27231500000000,27235500000000,1,3,1,3,27231250000000,27235750000000,1,2,1,2,27231000000000,27236000000000,3,5,3,5,27230750000000,27236250000000,5,4,2,4,NQ.c.0
2026-04-29 12:15:00+00:00,1777464959946547641,10,1,42004058,M,A,1,27239250000000,1,128,12601,189267389,27237750000000,27238750000000,2,3,2,1,27237500000000,27239250000000,3,5,3,5,27237250000000,27239500000000,3,2,3,2,27237000000000,27239750000000,5,3,5,3,27236750000000,27240000000000,3,4,3,4,27236500000000,27240250000000,1,4,1,4,27236250000000,27240500000000,3,5,3,5,27236000000000,27240750000000,7,3,7,3,27235750000000,27241000000000,6,5,6,5,27235500000000,27241250000000,2,5,2,5,NQ.c.0
2026-04-29 12:16:00+00:00,1777465019815903343,10,1,42004058,C,A,1,27240000000000,1,128,12283,189294120,27239000000000,27239750000000,1,1,1,1,27238750000000,27240000000000,1,2,1,2,27238500000000,27240250000000,2,4,2,4,27238250000000,27240500000000,4,4,4,4,27238000000000,27240750000000,4,1,4,1,27237750000000,27241000000000,2,4,2,4,27237500000000,27241250000000,4,3,4,3,27237250000000,27241500000000,6,1,6,1,27237000000000,27241750000000,5,3,5,3,27236500000000,27242000000000,3,4,3,4,NQ.c.0
2026-04-29 12:17:00+00:00,1777465079977579502,10,1,42004058,A,A,1,27236500000000,1,128,12576,189314518,27235250000000,27236250000000,1,1,1,1,27235000000000,27236500000000,3,4,3,4,27234750000000,27236750000000,3,3,3,3,27234500000000,27237000000000,3,2,3,2,27234250000000,27237250000000,4,2,4,2,27234000000000,27237500000000,4,2,4,2,27233750000000,27237750000000,2,3,2,3,27233500000000,27238000000000,4,3,4,3,27233250000000,27238250000000,7,3,7,3,27233000000000,27238500000000,4,3,4,3,NQ.c.0
2026-04-29 12:18:00+00:00,1777465139669125340,10,1,42004058,M,A,1,27242750000000,1,128,12540,189335202,27241750000000,27242500000000,2,1,2,1,27241500000000,27242750000000,3,3,3,3,27241250000000,27243000000000,2,6,2,6,27241000000000,27243250000000,2,4,2,4,27240750000000,27243500000000,2,4,2,4,27240500000000,27243750000000,2,5,2,5,27240250000000,27244000000000,2,4,2,4,27240000000000,27244250000000,5,5,4,5,27239750000000,27244500000000,2,3,2,3,27239500000000,27244750000000,3,4,3,4,NQ.c.0
2026-04-29 12:19:00+00:00,1777465199915261066,10,1,42004058,A,B,0,27238750000000,1,128,11091,189358394,27238750000000,27239750000000,2,1,2,1,27238500000000,27240000000000,2,1,2,1,27238250000000,27240250000000,4,4,4,4,27238000000000,27240500000000,1,4,1,4,27237750000000,27240750000000,3,3,3,3,27237500000000,27241000000000,3,4,3,4,27237250000000,27241250000000,5,1,5,1,27237000000000,27241500000000,4,2,4,2,27236750000000,27241750000000,5,3,5,3,27236500000000,27242000000000,5,4,5,4,NQ.c.0
2026-04-29 12:20:00+00:00,1777465259901416096,10,1,42004058,M,B,5,27240750000000,1,128,12372,189388930,27242000000000,27242750000000,1,1,1,1,27241750000000,27243000000000,2,3,2,3,27241500000000,27243250000000,1,5,1,5,27241250000000,27243500000000,2,4,2,4,27241000000000,27243750000000,2,5,2,5,27240750000000,27244000000000,2,5,2,5,27240500000000,27244250000000,2,5,2,5,27240250000000,27244500000000,4,4,4,4,27240000000000,27244750000000,4,6,4,6,27239750000000,27245000000000,5,5,5,5,NQ.c.0
2026-04-29 12:21:00+00:00,1777465319948208608,10,1,42004058,C,B,1,27243000000000,1,128,10998,189415078,27243250000000,27244000000000,1,1,1,1,27243000000000,27244250000000,1,2,1,2,27242750000000,27244500000000,4,2,4,2,27242500000000,27244750000000,3,2,3,2,27242250000000,27245000000000,1,1,1,1,27242000000000,27245250000000,6,3,6,3,27241750000000,27245500000000,2,3,2,3,27241500000000,27245750000000,4,5,4,5,27241250000000,27246000000000,3,3,3,3,27241000000000,27246250000000,4,3,4,3,NQ.c.0
2026-04-29 12:22:00+00:00,1777465379975291471,10,1,42004058,A,A,2,27241500000000,1,128,12402,189477629,27240000000000,27241000000000,1,1,1,1,27239250000000,27241250000000,2,1,2,1,27239000000000,27241500000000,2,1,2,1,27238750000000,27241750000000,1,2,1,2,27238500000000,27242000000000,1,2,1,2,27238250000000,27242500000000,1,2,1,2,27237250000000,27242750000000,2,3,2,3,27237000000000,27243000000000,2,2,2,2,27236750000000,27243250000000,2,3,2,3,27236500000000,27243500000000,1,3,1,3,NQ.c.0
2026-04-29 12:23:00+00:00,1777465439984984327,10,1,42004058,A,B,0,27244000000000,1,128,13005,189535448,27244000000000,27245000000000,2,4,2,4,27243750000000,27245250000000,2,1,2,1,27243500000000,27245500000000,2,1,2,1,27243250000000,27245750000000,3,4,3,4,27243000000000,27246000000000,1,4,1,4,27242750000000,27246250000000,4,7,4,7,27242500000000,27246500000000,4,6,4,6,27242250000000,27246750000000,2,4,2,4,27242000000000,27247000000000,4,4,4,4,27241750000000,27247250000000,1,4,1,4,NQ.c.0
