ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-02-27 13:00:00+00:00,1772197259989847122,10,1,42002475,A,A,0,24923250000000,1,128,11037,390761877,24922250000000,24923250000000,1,1,1,1,24922000000000,24923500000000,1,1,1,1,24921750000000,24923750000000,2,2,2,2,24921500000000,24924000000000,3,2,3,2,24921250000000,24924250000000,5,1,5,1,24921000000000,24924500000000,3,1,3,1,24920750000000,24924750000000,6,3,6,3,24920500000000,24925000000000,4,3,4,3,24920250000000,24925250000000,1,5,1,5,24920000000000,24925500000000,5,3,5,3,NQ.c.0
2026-02-27 13:01:00+00:00,1772197319899342134,10,1,42002475,A,A,0,24920750000000,1,128,13342,390801466,24919750000000,24920750000000,1,2,1,2,24919500000000,24921000000000,2,2,2,2,24919250000000,24921250000000,3,3,2,3,24919000000000,24921500000000,3,3,2,3,24918750000000,24921750000000,1,1,1,1,24918500000000,24922000000000,1,5,1,5,24918250000000,24922250000000,4,4,4,4,24918000000000,24922500000000,15,2,8,2,24917750000000,24922750000000,2,3,2,3,24917500000000,24923000000000,3,3,3,3,NQ.c.0
2026-02-27 13:02:00+00:00,1772197379864987418,10,1,42002475,C,A,0,24932250000000,1,128,11155,390843461,24931500000000,24932500000000,1,1,1,1,24931250000000,24932750000000,1,2,1,2,24931000000000,24933000000000,4,4,3,4,24930750000000,24933250000000,2,5,2,3,24930500000000,24933500000000,1,2,1,2,24930250000000,24933750000000,2,1,2,1,24930000000000,24934000000000,5,5,5,5,24929750000000,24934500000000,2,3,2,3,24929500000000,24934750000000,2,3,2,3,24929250000000,24935000000000,3,15,3,6,NQ.c.0
2026-02-27 13:03:00+00:00,1772197439858666643,10,1,42002475,M,A,6,24927500000000,1,128,13869,390882937,24925000000000,24926000000000,1,1,1,1,24924750000000,24926250000000,2,1,2,1,24924500000000,24926500000000,2,1,2,1,24924250000000,24926750000000,2,2,2,2,24924000000000,24927000000000,2,2,2,2,24923750000000,24927250000000,3,3,3,3,24923500000000,24927500000000,3,3,3,3,24923250000000,24927750000000,3,3,3,3,24923000000000,24928000000000,3,4,3,4,24922750000000,24928250000000,1,3,1,3,NQ.c.0
2026-02-27 13:04:00+00:00,1772197499786217597,10,1,42002475,A,A,2,24938000000000,1,128,13217,390927062,24936500000000,24937500000000,2,1,2,1,24936250000000,24937750000000,2,2,2,2,24936000000000,24938000000000,3,3,3,3,24935750000000,24938250000000,2,1,2,1,24935500000000,24938500000000,3,1,3,1,24935250000000,24938750000000,2,1,2,1,24935000000000,24939000000000,1,3,1,3,24934750000000,24939250000000,3,3,3,3,24934500000000,24939500000000,3,3,3,3,24934250000000,24939750000000,2,2,2,2,NQ.c.0
2026-02-27 13:05:00+00:00,1772197559597845349,10,1,42002475,A,B,0,24930750000000,1,128,11128,390973591,24930750000000,24931750000000,2,2,2,2,24930500000000,24932000000000,2,1,2,1,24930250000000,24932250000000,3,2,3,2,24930000000000,24932500000000,2,1,2,1,24929750000000,24932750000000,3,1,3,1,24929500000000,24933000000000,3,1,3,1,24929250000000,24933250000000,3,3,3,3,24929000000000,24933500000000,3,1,3,1,24928500000000,24933750000000,2,3,2,3,24928250000000,24934000000000,2,6,2,6,NQ.c.0
2026-02-27 13:06:00+00:00,1772197619752106903,10,1,42002475,M,A,1,24941750000000,1,128,12600,391008843,24940500000000,24941500000000,1,2,1,2,24940250000000,24941750000000,2,2,2,2,24940000000000,24942000000000,1,3,1,3,24939750000000,24942250000000,2,1,2,1,24939500000000,24942500000000,2,1,2,1,24939250000000,24942750000000,3,1,3,1,24939000000000,24943000000000,3,5,3,4,24938750000000,24943250000000,2,2,2,2,24938500000000,24943500000000,3,1,3,1,24938250000000,24943750000000,3,4,3,4,NQ.c.0
2026-02-27 13:07:00+00:00,1772197679998960269,10,1,42002475,C,A,3,24931250000000,1,128,11088,391054091,24929750000000,24930500000000,1,1,1,1,24929500000000,24930750000000,1,3,1,3,24929250000000,24931000000000,2,1,2,1,24929000000000,24931250000000,2,2,2,2,24928750000000,24931500000000,1,2,1,2,24928500000000,24932000000000,3,4,2,4,24928250000000,24932250000000,1,3,1,3,24928000000000,24932500000000,4,2,4,2,24927750000000,24932750000000,2,3,2,3,24927500000000,24933000000000,3,3,3,3,NQ.c.0
2026-02-27 13:08:00+00:00,1772197739816803624,10,1,42002475,M,B,2,24915500000000,1,128,16039,391110926,24916000000000,24917000000000,1,2,1,2,24915750000000,24917500000000,2,1,2,1,24915500000000,24917750000000,3,1,3,1,24915250000000,24918000000000,2,4,2,4,24914750000000,24918250000000,2,2,2,2,24914500000000,24918500000000,1,2,1,2,24914250000000,24918750000000,1,3,1,3,24914000000000,24919000000000,5,5,5,5,24913750000000,24919250000000,1,1,1,1,24913500000000,24919500000000,1,5,1,5,NQ.c.0
2026-02-27 13:09:00+00:00,1772197799966470583,10,1,42002475,M,A,6,24918750000000,1,128,13485,391151268,24916500000000,24917250000000,1,1,1,1,24916250000000,24917500000000,2,2,2,2,24916000000000,24917750000000,3,4,3,4,24915750000000,24918000000000,2,3,2,3,24915500000000,24918250000000,1,2,1,2,24915250000000,24918500000000,1,1,1,1,24915000000000,24918750000000,3,3,3,3,24914750000000,24919000000000,1,2,1,2,24914500000000,24919250000000,1,1,1,1,24914250000000,24919500000000,4,3,4,3,NQ.c.0
2026-02-27 13:10:00+00:00,1772197859816650551,10,1,42002475,A,A,0,24928500000000,1,128,12708,391191818,24927500000000,24928500000000,1,1,1,1,24927250000000,24928750000000,3,2,3,2,24927000000000,24929000000000,2,2,2,2,24926750000000,24929250000000,2,1,2,1,24926500000000,24929500000000,1,1,1,1,24926250000000,24929750000000,3,3,3,3,24926000000000,24930000000000,4,6,4,6,24925750000000,24930250000000,3,2,3,2,24925500000000,24930500000000,2,4,2,4,24925250000000,24930750000000,2,2,2,2,NQ.c.0
2026-02-27 13:11:00+00:00,1772197919998567435,10,1,42002475,M,A,0,25002500000000,1,128,13822,391235157,24922000000000,24923000000000,1,1,1,1,24921750000000,24923250000000,3,2,3,2,24921500000000,24923500000000,1,1,1,1,24921250000000,24923750000000,1,1,1,1,24921000000000,24924000000000,1,3,1,3,24920750000000,24924250000000,1,4,1,4,24920500000000,24924500000000,4,1,4,1,24920250000000,24924750000000,1,1,1,1,24920000000000,24925000000000,2,1,2,1,24919750000000,24925250000000,2,1,2,1,NQ.c.0
2026-02-27 13:12:00+00:00,1772197979996168237,10,1,42002475,A,A,2,24922000000000,1,128,12340,391284624,24920500000000,24921500000000,1,1,1,1,24920250000000,24921750000000,3,2,3,2,24920000000000,24922000000000,2,6,2,6,24919750000000,24922250000000,1,2,1,2,24919500000000,24922500000000,1,2,1,2,24919250000000,24922750000000,2,1,2,1,24919000000000,24923000000000,4,3,4,3,24918750000000,24923250000000,1,1,1,1,24918500000000,24923500000000,3,3,3,3,24918250000000,24923750000000,2,2,2,2,NQ.c.0
2026-02-27 13:13:00+00:00,1772198039999063267,10,1,42002475,A,A,1,24921250000000,1,128,12907,391328367,24919750000000,24921000000000,1,1,1,1,24919500000000,24921250000000,2,3,2,3,24919250000000,24921500000000,3,4,3,4,24919000000000,24921750000000,3,3,3,3,24918750000000,24922000000000,2,5,2,5,24918500000000,24922250000000,2,4,2,4,24918250000000,24922500000000,2,4,2,4,24918000000000,24922750000000,4,2,4,2,24917750000000,24923000000000,3,3,3,3,24917500000000,24923250000000,2,3,2,3,NQ.c.0
2026-02-27 13:14:00+00:00,1772198099929431989,10,1,42002475,A,A,0,24911500000000,1,128,12568,391375248,24910500000000,24911500000000,2,1,2,1,24910250000000,24911750000000,3,1,3,1,24910000000000,24912000000000,5,3,5,3,24909750000000,24912250000000,2,2,2,2,24909000000000,24912500000000,4,3,4,3,24908750000000,24912750000000,2,3,2,3,24908500000000,24913000000000,2,2,2,2,24908250000000,24913250000000,3,2,3,2,24908000000000,24913500000000,5,3,5,3,24907750000000,24913750000000,1,3,1,3,NQ.c.0
2026-02-27 13:15:00+00:00,1772198159982884454,10,1,42002475,A,A,2,24915000000000,1,128,13166,391431854,24913500000000,24914500000000,1,1,1,1,24913250000000,24914750000000,1,2,1,2,24913000000000,24915000000000,1,2,1,2,24912750000000,24915250000000,1,3,1,3,24912500000000,24915500000000,1,4,1,4,24912250000000,24915750000000,1,3,1,3,24912000000000,24916000000000,3,5,3,5,24911750000000,24916250000000,3,3,3,3,24911500000000,24916750000000,3,3,3,3,24911250000000,24917000000000,1,4,1,4,NQ.c.0
2026-02-27 13:16:00+00:00,1772198219885032118,10,1,42002475,C,A,6,24911750000000,1,128,12953,391479053,24909000000000,24910000000000,1,1,1,1,24908750000000,24910250000000,1,3,1,3,24908500000000,24910750000000,2,2,2,2,24908250000000,24911000000000,3,2,3,2,24908000000000,24911250000000,3,5,3,5,24907750000000,24911500000000,3,2,3,2,24907500000000,24911750000000,3,1,3,1,24907250000000,24912000000000,4,4,4,4,24907000000000,24912250000000,4,3,4,3,24906750000000,24912750000000,2,2,2,2,NQ.c.0
2026-02-27 13:17:00+00:00,1772198279945414859,10,1,42002475,A,A,0,24910000000000,1,128,10940,391520351,24909000000000,24910000000000,1,1,1,1,24908750000000,24910250000000,1,4,1,4,24908500000000,24910500000000,2,11,2,3,24908250000000,24910750000000,3,1,3,1,24908000000000,24911000000000,5,1,5,1,24907750000000,24911250000000,3,2,3,2,24907500000000,24911500000000,4,2,4,2,24907250000000,24911750000000,4,3,4,3,24907000000000,24912000000000,4,6,4,6,24906750000000,24912250000000,5,4,5,4,NQ.c.0
2026-02-27 13:18:00+00:00,1772198339951975963,10,1,42002475,A,B,2,24892750000000,1,128,13249,391573064,24893250000000,24894250000000,1,3,1,3,24893000000000,24894500000000,2,4,2,4,24892750000000,24895000000000,11,1,3,1,24892500000000,24895250000000,2,2,2,2,24892250000000,24895500000000,2,2,2,2,24892000000000,24895750000000,7,3,5,3,24891750000000,24896000000000,2,4,2,4,24891500000000,24896250000000,2,4,2,4,24891000000000,24896500000000,4,2,3,2,24890750000000,24896750000000,3,3,3,3,NQ.c.0
2026-02-27 13:19:00+00:00,1772198399434897328,10,1,42002475,A,A,0,24901000000000,1,128,11775,391631945,24900250000000,24901000000000,1,1,1,1,24900000000000,24901250000000,2,2,2,2,24899750000000,24901500000000,3,1,3,1,24899500000000,24901750000000,3,2,3,2,24899250000000,24902000000000,3,1,3,1,24899000000000,24902250000000,4,2,4,2,24898750000000,24902500000000,4,4,4,4,24898500000000,24902750000000,4,3,4,3,24898250000000,24903000000000,3,3,3,3,24898000000000,24903250000000,5,3,5,3,NQ.c.0
2026-02-27 13:20:00+00:00,1772198459994041760,10,1,42002475,M,B,1,24910250000000,1,128,10215,391676564,24910500000000,24911500000000,3,2,3,2,24910250000000,24911750000000,4,5,4,5,24910000000000,24912000000000,3,5,3,5,24909750000000,24912250000000,2,3,2,3,24909500000000,24912500000000,2,2,2,2,24909250000000,24912750000000,2,3,2,3,24909000000000,24913000000000,3,5,3,5,24908750000000,24913250000000,1,5,1,5,24908250000000,24913500000000,3,4,3,4,24908000000000,24913750000000,4,3,4,3,NQ.c.0
2026-02-27 13:21:00+00:00,1772198519881062091,10,1,42002475,A,A,0,24920250000000,1,128,12771,391722850,24919250000000,24920250000000,1,2,1,2,24919000000000,24920500000000,2,2,2,2,24918750000000,24920750000000,3,4,3,4,24918500000000,24921000000000,1,4,1,4,24918250000000,24921250000000,3,5,3,5,24918000000000,24921500000000,6,4,6,4,24917750000000,24921750000000,2,3,2,3,24917500000000,24922000000000,4,4,4,4,24917250000000,24922250000000,3,2,3,2,24917000000000,24922500000000,5,3,5,3,NQ.c.0
2026-02-27 13:22:00+00:00,1772198579726453181,10,1,42002475,A,A,2,24907500000000,1,128,12464,391769039,24906250000000,24907000000000,1,1,1,1,24906000000000,24907250000000,1,1,1,1,24905750000000,24907500000000,3,2,3,2,24905500000000,24907750000000,4,2,4,2,24905250000000,24908000000000,2,4,2,4,24905000000000,24908250000000,3,1,3,1,24904750000000,24908500000000,3,2,3,2,24904500000000,24908750000000,3,1,3,1,24904250000000,24909000000000,1,4,1,4,24904000000000,24909250000000,4,4,4,4,NQ.c.0
2026-02-27 13:23:00+00:00,1772198639892410207,10,1,42002475,A,A,1,24904750000000,1,128,11206,391811942,24903500000000,24904500000000,1,1,1,1,24903250000000,24904750000000,2,2,2,2,24903000000000,24905000000000,2,3,2,3,24902750000000,24905250000000,2,3,2,3,24902500000000,24905500000000,2,4,2,4,24902250000000,24905750000000,3,3,3,3,24902000000000,24906000000000,5,5,5,5,24901750000000,24906250000000,3,5,3,3,24901500000000,24906500000000,3,4,3,4,24901250000000,24906750000000,3,4,3,4,NQ.c.0
2026-02-27 13:24:00+00:00,1772198699895953762,10,1,42002475,A,A,0,24896250000000,1,128,11056,391855783,24895500000000,24896250000000,2,1,2,1,24895250000000,24896500000000,2,1,2,1,24895000000000,24896750000000,3,3,3,3,24894500000000,24897000000000,3,5,3,5,24894250000000,24897250000000,5,4,5,4,24894000000000,24897500000000,6,4,6,4,24893750000000,24897750000000,6,4,5,4,24893500000000,24898000000000,4,7,4,7,24893250000000,24898250000000,4,4,4,4,24893000000000,24898500000000,7,4,7,4,NQ.c.0
