ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-02-13 13:00:00+00:00,1770987659751244800,10,1,42002475,M,A,2,24694250000000,1,128,10856,457391619,24692500000000,24693750000000,3,1,3,1,24692250000000,24694000000000,2,1,2,1,24692000000000,24694250000000,2,2,2,2,24691750000000,24694500000000,1,1,1,1,24691250000000,24694750000000,3,3,3,3,24691000000000,24695000000000,4,5,4,4,24690750000000,24695250000000,4,5,4,5,24690500000000,24695500000000,3,1,3,1,24690250000000,24695750000000,2,2,2,2,24690000000000,24696000000000,3,3,3,3,NQ.c.0
2026-02-13 13:01:00+00:00,1770987719989601685,10,1,42002475,A,A,0,24702750000000,1,128,11417,457460379,24701750000000,24702750000000,1,1,1,1,24701500000000,24703000000000,1,3,1,3,24701250000000,24703250000000,3,2,3,2,24701000000000,24703500000000,1,2,1,2,24700750000000,24703750000000,1,3,1,3,24700500000000,24704000000000,1,3,1,3,24700250000000,24704250000000,2,5,2,4,24700000000000,24704500000000,4,3,4,3,24699750000000,24704750000000,4,2,4,2,24699500000000,24705000000000,4,3,4,3,NQ.c.0
2026-02-13 13:02:00+00:00,1770987779986908763,10,1,42002475,M,A,7,24713000000000,1,128,12894,457510583,24710250000000,24711250000000,1,2,1,2,24710000000000,24711500000000,2,1,2,1,24709750000000,24711750000000,1,3,1,3,24709500000000,24712000000000,3,2,3,2,24709250000000,24712250000000,3,2,3,1,24709000000000,24712500000000,2,78,2,1,24708750000000,24712750000000,2,3,2,3,24708500000000,24713000000000,3,2,3,2,24708250000000,24713250000000,4,1,4,1,24708000000000,24713500000000,3,3,3,3,NQ.c.0
2026-02-13 13:03:00+00:00,1770987839988273176,10,1,42002475,A,B,7,24709500000000,1,128,12992,457566130,24711250000000,24712250000000,1,1,1,1,24711000000000,24712500000000,2,2,2,2,24710750000000,24712750000000,3,2,3,2,24710500000000,24713250000000,3,2,3,2,24710250000000,24713500000000,4,3,4,3,24710000000000,24713750000000,4,7,4,7,24709750000000,24714000000000,4,7,4,7,24709500000000,24714250000000,4,9,4,9,24709250000000,24714500000000,3,1,3,1,24709000000000,24714750000000,2,4,2,4,NQ.c.0
2026-02-13 13:04:00+00:00,1770987899992523925,10,1,42002475,C,A,1,24714500000000,1,128,10878,457610929,24713000000000,24714250000000,2,2,2,2,24712750000000,24714500000000,2,5,2,5,24712500000000,24714750000000,4,1,4,1,24712250000000,24715000000000,2,1,2,1,24712000000000,24715250000000,3,2,3,2,24711750000000,24715500000000,4,2,4,2,24711500000000,24715750000000,4,5,4,5,24711250000000,24716000000000,3,5,3,5,24711000000000,24716250000000,2,4,2,4,24710750000000,24716500000000,2,4,2,4,NQ.c.0
2026-02-13 13:05:00+00:00,1770987959967067714,10,1,42002475,M,A,6,24717500000000,1,128,13008,457657724,24714750000000,24716000000000,2,1,2,1,24714500000000,24716250000000,2,2,2,2,24714250000000,24716500000000,1,3,1,3,24714000000000,24716750000000,4,3,4,3,24713750000000,24717000000000,2,3,2,3,24713500000000,24717250000000,3,2,3,2,24713000000000,24717500000000,4,2,3,2,24712750000000,24717750000000,1,2,1,2,24712500000000,24718000000000,3,2,3,2,24712250000000,24718250000000,4,3,4,3,NQ.c.0
2026-02-13 13:06:00+00:00,1770988019964792384,10,1,42002475,A,A,0,24707250000000,1,128,13045,457704182,24706250000000,24707250000000,1,3,1,3,24706000000000,24707500000000,3,3,3,3,24705750000000,24707750000000,2,3,2,3,24705500000000,24708000000000,2,3,2,3,24705250000000,24708250000000,4,3,4,3,24705000000000,24708500000000,3,4,3,4,24704750000000,24708750000000,4,3,4,3,24704500000000,24709000000000,4,2,4,2,24704250000000,24709250000000,5,3,5,3,24704000000000,24709500000000,5,1,5,1,NQ.c.0
2026-02-13 13:07:00+00:00,1770988079931062688,10,1,42002475,M,A,1,24681250000000,1,128,10870,457798167,24680000000000,24681000000000,1,1,1,1,24679750000000,24681250000000,1,3,1,3,24679500000000,24681500000000,2,3,2,3,24679250000000,24681750000000,1,1,1,1,24679000000000,24682000000000,4,3,3,3,24678750000000,24682250000000,2,3,2,3,24678500000000,24682500000000,2,2,2,2,24678000000000,24682750000000,2,3,2,3,24677750000000,24683000000000,2,3,2,3,24677500000000,24683250000000,2,4,2,4,NQ.c.0
2026-02-13 13:08:00+00:00,1770988139930426949,10,1,42002475,M,B,6,24656250000000,1,128,13126,457925926,24657750000000,24658750000000,1,2,1,1,24657500000000,24659000000000,1,1,1,1,24657250000000,24659250000000,1,5,1,5,24657000000000,24659500000000,1,3,1,3,24656750000000,24659750000000,2,2,2,2,24656500000000,24660000000000,1,4,1,4,24656250000000,24660250000000,2,4,2,4,24656000000000,24660500000000,3,3,3,3,24655750000000,24660750000000,2,3,2,3,24655500000000,24661000000000,2,2,2,2,NQ.c.0
2026-02-13 13:09:00+00:00,1770988199965349070,10,1,42002475,C,B,0,24646250000000,1,128,10965,458014283,24646000000000,24647500000000,1,1,1,1,24645750000000,24647750000000,2,2,2,2,24645500000000,24648000000000,1,4,1,4,24645250000000,24648250000000,1,3,1,3,24645000000000,24648500000000,2,3,2,3,24644750000000,24648750000000,3,2,3,2,24644500000000,24649000000000,3,3,3,3,24644250000000,24649250000000,2,2,2,2,24644000000000,24649500000000,3,2,3,2,24643750000000,24649750000000,3,3,3,3,NQ.c.0
2026-02-13 13:10:00+00:00,1770988259971466667,10,1,42002475,M,B,8,24655000000000,1,128,12385,458084027,24657000000000,24658000000000,1,2,1,2,24656750000000,24658250000000,2,2,2,2,24656500000000,24658500000000,2,2,2,2,24656250000000,24658750000000,3,3,3,3,24656000000000,24659000000000,2,3,2,3,24655750000000,24659250000000,1,2,1,2,24655500000000,24659750000000,3,3,3,3,24655250000000,24660000000000,1,4,1,4,24655000000000,24660250000000,4,2,4,2,24654750000000,24660500000000,1,2,1,2,NQ.c.0
2026-02-13 13:11:00+00:00,1770988319995566560,10,1,42002475,A,A,0,24644500000000,1,128,11272,458160298,24643500000000,24644500000000,2,1,2,1,24643000000000,24644750000000,2,1,2,1,24642750000000,24645250000000,4,1,4,1,24642500000000,24645500000000,1,2,1,2,24642250000000,24645750000000,2,3,2,3,24642000000000,24646000000000,5,2,4,2,24641750000000,24646250000000,3,2,3,2,24641500000000,24646500000000,2,3,2,3,24641250000000,24646750000000,2,3,2,3,24641000000000,24647250000000,2,1,2,1,NQ.c.0
