ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-02-16 13:00:00+00:00,1771246859113070563,10,1,42002475,C,A,1,24863750000000,1,128,12799,11031736,24862750000000,24863500000000,1,1,1,1,24862500000000,24863750000000,1,1,1,1,24862250000000,24864000000000,3,4,3,4,24862000000000,24864250000000,7,2,3,2,24861750000000,24864500000000,2,6,2,6,24861500000000,24864750000000,2,3,2,3,24861250000000,24865000000000,3,2,3,2,24861000000000,24865250000000,3,1,3,1,24860750000000,24865500000000,2,1,2,1,24860500000000,24865750000000,2,2,2,2,NQ.c.0
2026-02-16 13:01:00+00:00,1771246919888177151,10,1,42002475,C,A,0,24862500000000,1,128,12659,11050875,24861750000000,24862750000000,1,1,1,1,24861500000000,24863000000000,1,2,1,2,24861250000000,24863250000000,5,2,5,2,24861000000000,24863500000000,3,4,3,4,24860750000000,24863750000000,2,5,2,5,24860500000000,24864000000000,3,5,3,5,24860250000000,24864250000000,4,2,4,2,24860000000000,24864500000000,5,4,5,4,24859750000000,24864750000000,2,4,2,4,24859500000000,24865000000000,2,1,2,1,NQ.c.0
2026-02-16 13:02:00+00:00,1771246979769329482,10,1,42002475,A,A,3,24864750000000,1,128,15788,11064458,24863000000000,24864000000000,1,2,1,2,24862750000000,24864250000000,2,2,2,2,24862500000000,24864500000000,1,3,1,3,24862250000000,24864750000000,2,2,2,2,24862000000000,24865000000000,3,3,3,3,24861750000000,24865250000000,3,4,3,4,24861500000000,24865500000000,4,5,4,5,24861250000000,24865750000000,3,4,3,4,24861000000000,24866000000000,3,3,3,3,24860750000000,24866250000000,2,4,2,4,NQ.c.0
2026-02-16 13:03:00+00:00,1771247039919288409,10,1,42002475,C,A,1,24861000000000,1,128,13415,11076671,24860000000000,24860750000000,3,1,3,1,24859750000000,24861000000000,2,1,2,1,24859500000000,24861250000000,1,3,1,3,24859250000000,24861500000000,1,2,1,2,24859000000000,24861750000000,2,4,2,4,24858750000000,24862000000000,5,2,5,2,24858500000000,24862250000000,3,2,3,2,24858250000000,24862500000000,3,3,3,3,24858000000000,24862750000000,5,5,5,5,24857750000000,24863000000000,5,4,5,4,NQ.c.0
2026-02-16 13:04:00+00:00,1771247099669574943,10,1,42002475,C,B,0,24862250000000,1,128,12609,11091978,24862000000000,24863000000000,2,1,2,1,24861500000000,24863250000000,2,1,2,1,24861250000000,24863500000000,1,3,1,3,24861000000000,24863750000000,3,1,3,1,24860750000000,24864000000000,3,4,3,4,24860500000000,24864250000000,4,2,4,2,24860250000000,24864500000000,3,3,3,3,24860000000000,24864750000000,3,5,3,5,24859750000000,24865000000000,1,1,1,1,24859500000000,24865250000000,3,2,3,2,NQ.c.0
2026-02-16 13:05:00+00:00,1771247159577191288,10,1,42002475,A,B,4,24856000000000,1,128,13084,11105014,24857000000000,24858000000000,1,2,1,2,24856750000000,24858250000000,1,2,1,2,24856500000000,24858500000000,3,3,3,3,24856250000000,24858750000000,2,3,2,3,24856000000000,24859000000000,5,2,5,2,24855750000000,24859250000000,3,4,3,4,24855500000000,24859500000000,3,3,3,3,24855250000000,24859750000000,3,3,3,3,24855000000000,24860000000000,5,3,5,3,24854750000000,24860250000000,6,3,5,3,NQ.c.0
2026-02-16 13:06:00+00:00,1771247219956459563,10,1,42002475,A,B,1,24859250000000,1,128,12490,11118908,24859500000000,24860500000000,1,1,1,1,24859250000000,24860750000000,2,2,2,2,24859000000000,24861000000000,3,2,3,2,24858750000000,24861250000000,2,4,2,4,24858500000000,24861500000000,3,6,3,6,24858250000000,24861750000000,3,7,3,7,24858000000000,24862000000000,3,3,3,3,24857750000000,24862250000000,4,3,4,3,24857500000000,24862500000000,4,4,4,4,24857250000000,24862750000000,4,3,4,3,NQ.c.0
2026-02-16 13:07:00+00:00,1771247279921938205,10,1,42002475,A,B,0,24855750000000,1,128,11173,11136346,24855750000000,24856750000000,3,1,3,1,24855500000000,24857000000000,3,3,3,3,24855250000000,24857250000000,2,4,2,4,24855000000000,24857500000000,4,3,4,3,24854750000000,24857750000000,3,2,3,2,24854500000000,24858000000000,3,2,3,2,24854250000000,24858250000000,2,3,2,3,24854000000000,24858500000000,5,2,5,2,24853750000000,24858750000000,4,3,4,3,24853500000000,24859000000000,3,3,3,3,NQ.c.0
2026-02-16 13:08:00+00:00,1771247339868671386,10,1,42002475,A,A,3,24860000000000,1,128,12659,11150349,24858250000000,24859250000000,1,2,1,2,24858000000000,24859500000000,2,3,2,3,24857750000000,24859750000000,1,2,1,2,24857500000000,24860000000000,2,5,2,5,24857250000000,24860250000000,3,2,3,2,24857000000000,24860500000000,2,4,2,4,24856750000000,24860750000000,2,4,2,4,24856500000000,24861000000000,1,3,1,3,24856250000000,24861250000000,5,3,5,3,24856000000000,24861500000000,3,4,3,4,NQ.c.0
2026-02-16 13:09:00+00:00,1771247399992595740,10,1,42002475,C,A,0,24857250000000,1,128,11731,11164263,24856500000000,24857500000000,1,1,1,1,24856250000000,24857750000000,2,1,2,1,24856000000000,24858000000000,3,3,3,3,24855750000000,24858250000000,2,5,2,5,24855500000000,24858500000000,4,4,4,4,24855250000000,24858750000000,2,7,2,7,24855000000000,24859000000000,7,6,7,6,24854750000000,24859250000000,3,3,3,3,24854500000000,24859500000000,4,2,4,2,24854250000000,24859750000000,3,2,3,2,NQ.c.0
