ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-03-05 13:00:00+00:00,1772715659952335928,10,1,42002475,C,A,0,25064500000000,1,128,12753,471519766,25063750000000,25064750000000,1,2,1,2,25063500000000,25065000000000,2,1,2,1,25063250000000,25065250000000,3,2,3,2,25063000000000,25065750000000,3,2,3,2,25062750000000,25066000000000,4,5,4,5,25062500000000,25066500000000,7,3,7,3,25062250000000,25066750000000,10,1,10,1,25062000000000,25067000000000,3,3,3,3,25061750000000,25067250000000,4,3,4,3,25061500000000,25067500000000,2,3,2,3,NQ.c.0
2026-03-05 13:01:00+00:00,1772715719992956109,10,1,42002475,A,A,0,25061500000000,1,128,11376,471573801,25060500000000,25061500000000,1,3,1,3,25060250000000,25061750000000,2,3,2,3,25060000000000,25062000000000,9,2,3,2,25059750000000,25062250000000,2,1,2,1,25059250000000,25062500000000,2,1,2,1,25059000000000,25062750000000,4,2,4,2,25058750000000,25063000000000,2,2,2,2,25058500000000,25063250000000,2,4,2,4,25058250000000,25063500000000,3,1,3,1,25058000000000,25063750000000,3,1,3,1,NQ.c.0
2026-03-05 13:02:00+00:00,1772715779909778965,10,1,42002475,A,A,4,25066500000000,1,128,13664,471625687,25064500000000,25065500000000,1,2,1,2,25064250000000,25065750000000,2,1,2,1,25064000000000,25066000000000,1,1,1,1,25063750000000,25066250000000,2,1,2,1,25063500000000,25066500000000,4,1,4,1,25063250000000,25066750000000,2,1,2,1,25063000000000,25067000000000,2,2,2,2,25062750000000,25067250000000,2,1,2,1,25062500000000,25067500000000,2,2,2,2,25062250000000,25067750000000,5,2,5,2,NQ.c.0
2026-03-05 13:03:00+00:00,1772715839998233671,10,1,42002475,C,A,0,25061250000000,1,128,11060,471667071,25060500000000,25061500000000,1,1,1,1,25060250000000,25061750000000,3,3,3,3,25060000000000,25062000000000,3,3,3,3,25059750000000,25062250000000,1,1,1,1,25059500000000,25062500000000,3,1,3,1,25059250000000,25062750000000,5,1,5,1,25059000000000,25063250000000,4,3,4,3,25058750000000,25063500000000,3,3,3,3,25058500000000,25063750000000,3,1,3,1,25058250000000,25064000000000,6,4,5,4,NQ.c.0
2026-03-05 13:04:00+00:00,1772715899945866339,10,1,42002475,A,A,1,25053000000000,1,128,12955,471716317,25051750000000,25052750000000,1,1,1,1,25051500000000,25053000000000,2,4,2,4,25051250000000,25053250000000,3,5,3,5,25051000000000,25053500000000,2,3,2,3,25050750000000,25053750000000,2,4,2,4,25050500000000,25054000000000,2,7,2,7,25050250000000,25054250000000,3,5,3,5,25050000000000,25054500000000,8,7,7,7,25049750000000,25054750000000,2,2,2,2,25049500000000,25055000000000,1,2,1,2,NQ.c.0
2026-03-05 13:05:00+00:00,1772715959942111152,10,1,42002475,C,B,3,25034500000000,1,128,15481,471791336,25035500000000,25036500000000,1,1,1,1,25035250000000,25036750000000,2,1,2,1,25035000000000,25037000000000,2,2,2,2,25034250000000,25037250000000,1,4,1,4,25034000000000,25037500000000,2,1,2,1,25033750000000,25037750000000,3,1,3,1,25033500000000,25038000000000,2,5,2,5,25032000000000,25038250000000,3,3,3,3,25031750000000,25038500000000,3,1,3,1,25031500000000,25038750000000,1,2,1,2,NQ.c.0
2026-03-05 13:06:00+00:00,1772716019961574423,10,1,42002475,C,A,0,25047250000000,1,128,13111,471844395,25046250000000,25047250000000,1,1,1,1,25046000000000,25047500000000,4,3,4,3,25045750000000,25047750000000,2,2,2,2,25045500000000,25048000000000,2,1,2,1,25045250000000,25048250000000,3,1,3,1,25045000000000,25048500000000,3,3,3,3,25044750000000,25049000000000,3,1,3,1,25044500000000,25049250000000,2,1,2,1,25044250000000,25049500000000,1,2,1,2,25044000000000,25049750000000,4,3,4,3,NQ.c.0
2026-03-05 13:07:00+00:00,1772716079939284656,10,1,42002475,A,A,2,25048000000000,1,128,12510,471887405,25046250000000,25047500000000,1,2,1,2,25046000000000,25047750000000,2,2,2,2,25045750000000,25048000000000,2,3,2,3,25045500000000,25048250000000,1,1,1,1,25045250000000,25048500000000,1,2,1,2,25045000000000,25049000000000,1,2,1,2,25044750000000,25049250000000,2,2,2,2,25044500000000,25049500000000,1,3,1,3,25044250000000,25049750000000,2,2,2,2,25044000000000,25050000000000,3,7,3,7,NQ.c.0
2026-03-05 13:08:00+00:00,1772716139921013415,10,1,42002475,A,B,3,25037500000000,1,128,13113,471933925,25038250000000,25039500000000,2,1,2,1,25038000000000,25039750000000,2,1,2,1,25037750000000,25040000000000,2,3,2,3,25037500000000,25040250000000,1,2,1,2,25037250000000,25040750000000,1,10,1,1,25037000000000,25041000000000,2,1,2,1,25036750000000,25041500000000,3,3,3,3,25036500000000,25041750000000,3,2,3,2,25036250000000,25042000000000,3,5,3,5,25036000000000,25042250000000,3,2,3,2,NQ.c.0
2026-03-05 13:09:00+00:00,1772716199991020850,10,1,42002475,C,B,0,25031000000000,1,128,13457,471985860,25031000000000,25031750000000,1,1,1,1,25030750000000,25032000000000,2,3,2,3,25030500000000,25032250000000,2,2,2,2,25030250000000,25032500000000,2,1,2,1,25030000000000,25032750000000,3,2,3,2,25029750000000,25033250000000,4,2,4,2,25029500000000,25033750000000,3,3,3,3,25029250000000,25034000000000,2,4,2,4,25029000000000,25034250000000,2,2,2,2,25028750000000,25034500000000,1,5,1,4,NQ.c.0
