ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-06-10 12:00:00+00:00,1781092859988476393,10,1,42004058,A,B,0,28678500000000,1,128,12666,442110219,28678500000000,28680250000000,2,1,2,1,28678250000000,28680500000000,5,1,5,1,28678000000000,28680750000000,4,2,4,2,28677750000000,28681000000000,2,2,2,2,28677500000000,28681250000000,2,1,2,1,28677250000000,28681500000000,2,2,2,2,28677000000000,28681750000000,3,2,3,2,28676750000000,28682000000000,2,2,2,2,28676500000000,28682250000000,6,3,6,3,28676250000000,28682500000000,3,3,3,3,NQ.c.0
2026-06-10 12:01:00+00:00,1781092919964281673,10,1,42004058,C,B,1,28671000000000,1,128,12526,442190975,28671250000000,28672750000000,1,1,1,1,28671000000000,28673000000000,1,1,1,1,28670750000000,28673250000000,1,2,1,2,28670500000000,28673500000000,3,3,3,3,28670250000000,28673750000000,2,2,2,2,28670000000000,28674250000000,5,3,5,3,28669250000000,28674500000000,3,3,3,3,28669000000000,28674750000000,3,2,3,2,28668500000000,28675000000000,2,2,2,2,28668250000000,28676000000000,1,3,1,3,NQ.c.0
2026-06-10 12:02:00+00:00,1781092979887605540,10,1,42004058,M,A,1,28684750000000,1,128,11345,442264029,28682750000000,28684500000000,1,3,1,3,28682500000000,28684750000000,2,3,2,3,28682250000000,28685000000000,2,2,2,2,28682000000000,28685250000000,2,2,2,2,28681500000000,28685500000000,3,3,3,3,28681250000000,28685750000000,5,3,5,3,28681000000000,28686000000000,2,2,2,2,28680500000000,28686250000000,2,3,2,3,28680250000000,28686500000000,2,1,2,1,28680000000000,28686750000000,2,2,2,2,NQ.c.0
2026-06-10 12:03:00+00:00,1781093039933371363,10,1,42004058,C,A,0,28687250000000,1,128,11097,442340546,28685750000000,28687250000000,1,1,1,1,28685500000000,28687500000000,1,4,1,4,28685250000000,28687750000000,4,3,4,3,28685000000000,28688000000000,1,3,1,3,28684750000000,28688250000000,3,3,3,3,28684500000000,28688750000000,4,2,4,2,28684250000000,28689000000000,5,4,5,4,28684000000000,28689250000000,4,2,4,2,28683750000000,28690000000000,3,3,3,3,28683500000000,28690250000000,6,2,6,2,NQ.c.0
2026-06-10 12:04:00+00:00,1781093099832844454,10,1,42004058,M,A,1,28680750000000,1,128,12091,442422638,28678500000000,28679750000000,2,1,2,1,28678250000000,28680500000000,2,2,2,2,28678000000000,28680750000000,3,1,3,1,28677750000000,28681000000000,4,2,1,2,28677500000000,28681250000000,4,2,4,2,28677250000000,28681500000000,4,2,4,2,28677000000000,28682250000000,3,2,3,2,28676750000000,28682500000000,3,4,3,4,28676500000000,28682750000000,4,3,4,3,28676250000000,28683250000000,4,2,4,2,NQ.c.0
2026-06-10 12:05:00+00:00,1781093159956848644,10,1,42004058,A,A,1,28718750000000,1,128,15066,442534401,28717000000000,28718500000000,1,2,1,2,28716750000000,28718750000000,2,3,2,3,28716500000000,28719000000000,4,1,4,1,28715750000000,28719750000000,1,3,1,3,28715500000000,28720000000000,1,3,1,3,28715250000000,28720250000000,2,2,2,2,28715000000000,28720500000000,2,2,2,2,28714500000000,28722500000000,1,7,1,3,28714250000000,28722750000000,1,1,1,1,28714000000000,28723250000000,1,5,1,5,NQ.c.0
2026-06-10 12:06:00+00:00,1781093219990160065,10,1,42004058,A,A,2,28702250000000,1,128,11379,442607464,28700500000000,28701750000000,1,1,1,1,28700250000000,28702000000000,1,1,1,1,28700000000000,28702250000000,3,3,3,3,28699500000000,28702500000000,1,1,1,1,28699250000000,28703000000000,1,3,1,3,28699000000000,28703500000000,3,3,3,3,28698750000000,28703750000000,2,3,2,3,28698500000000,28704000000000,2,3,2,3,28698250000000,28704250000000,3,2,3,2,28698000000000,28704500000000,2,3,2,3,NQ.c.0
2026-06-10 12:07:00+00:00,1781093279798968150,10,1,42004058,C,B,2,28693500000000,1,128,11145,442686561,28694000000000,28695750000000,1,2,1,2,28693750000000,28696000000000,2,3,2,3,28693500000000,28696250000000,3,3,3,3,28693250000000,28696500000000,2,2,2,2,28693000000000,28697000000000,3,1,3,1,28692750000000,28697250000000,2,3,2,3,28692250000000,28697500000000,4,3,4,3,28692000000000,28697750000000,4,3,4,3,28691250000000,28698000000000,3,3,3,3,28690000000000,28698250000000,2,2,2,2,NQ.c.0
2026-06-10 12:08:00+00:00,1781093339614351744,10,1,42004058,A,B,0,28691250000000,1,128,12585,442762994,28691250000000,28693000000000,2,1,2,1,28690250000000,28693250000000,1,4,1,4,28690000000000,28693500000000,4,4,4,4,28689750000000,28694000000000,3,4,3,4,28689500000000,28694250000000,4,5,4,5,28689250000000,28694500000000,2,2,2,2,28689000000000,28694750000000,2,2,2,2,28688750000000,28695000000000,2,3,2,3,28688500000000,28695250000000,4,3,4,3,28688250000000,28696000000000,3,3,3,3,NQ.c.0
2026-06-10 12:09:00+00:00,1781093399929221630,10,1,42004058,A,B,0,28697250000000,1,128,11100,442834989,28697250000000,28699000000000,4,1,4,1,28697000000000,28699250000000,3,2,3,2,28696750000000,28699500000000,1,2,1,2,28696500000000,28699750000000,3,3,3,3,28696250000000,28700000000000,5,4,5,4,28696000000000,28700250000000,2,4,2,4,28695750000000,28700500000000,2,4,2,4,28695500000000,28700750000000,2,3,2,3,28695250000000,28701000000000,6,2,6,2,28695000000000,28701250000000,2,3,2,3,NQ.c.0
2026-06-10 12:10:00+00:00,1781093459893898623,10,1,42004058,C,A,2,28691250000000,1,128,10966,442896968,28689250000000,28690750000000,1,1,1,1,28689000000000,28691000000000,3,3,3,3,28688750000000,28691250000000,3,2,3,2,28688500000000,28691500000000,3,1,3,1,28688250000000,28692000000000,5,2,5,2,28688000000000,28692250000000,4,2,4,2,28687500000000,28692750000000,3,4,3,4,28687250000000,28693000000000,2,4,2,4,28687000000000,28693750000000,3,4,3,4,28686750000000,28694000000000,3,4,3,4,NQ.c.0
