ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2025-11-14 13:00:00+00:00,1763125259760914291,10,1,158704,C,A,0,24737500000000,1,128,16947,449172854,24736750000000,24737750000000,2,1,2,1,24736500000000,24738000000000,3,2,3,2,24736250000000,24738250000000,1,2,1,2,24736000000000,24738500000000,2,3,2,3,24735750000000,24738750000000,2,2,2,2,24735500000000,24739000000000,2,2,2,2,24735250000000,24739250000000,4,3,4,3,24735000000000,24739500000000,5,3,5,3,24734750000000,24739750000000,5,3,5,3,24734500000000,24740000000000,4,2,4,2,NQ.c.0
2025-11-14 13:01:00+00:00,1763125319997059315,10,1,158704,A,B,2,24738750000000,1,128,14086,449280690,24739250000000,24740000000000,1,1,1,1,24739000000000,24740250000000,2,1,1,1,24738750000000,24740500000000,4,1,4,1,24738500000000,24740750000000,4,1,4,1,24738250000000,24741000000000,3,2,3,2,24738000000000,24741250000000,2,1,2,1,24737750000000,24741500000000,3,4,3,4,24737500000000,24741750000000,3,3,3,3,24737250000000,24742000000000,4,1,4,1,24737000000000,24742250000000,4,4,4,4,NQ.c.0
2025-11-14 13:02:00+00:00,1763125379986197937,10,1,158704,M,A,6,24751500000000,1,128,13125,449365684,24749000000000,24750000000000,1,1,1,1,24748750000000,24750250000000,4,1,4,1,24748500000000,24750500000000,2,3,2,3,24748250000000,24750750000000,3,3,3,3,24748000000000,24751000000000,1,1,1,1,24747500000000,24751250000000,2,2,2,2,24747250000000,24751500000000,1,5,1,5,24747000000000,24751750000000,4,3,4,3,24746750000000,24752000000000,1,4,1,4,24746500000000,24752250000000,4,1,4,1,NQ.c.0
2025-11-14 13:03:00+00:00,1763125439896871801,10,1,158704,C,B,0,24751500000000,1,128,13241,449428637,24751500000000,24752500000000,2,1,2,1,24751250000000,24752750000000,5,6,5,5,24751000000000,24753000000000,2,2,2,2,24750750000000,24753250000000,2,3,2,3,24750500000000,24753500000000,3,4,3,3,24750250000000,24753750000000,4,2,4,2,24750000000000,24754000000000,4,6,4,6,24749750000000,24754250000000,4,3,4,3,24749500000000,24754500000000,4,4,4,4,24749250000000,24754750000000,4,4,4,4,NQ.c.0
2025-11-14 13:04:00+00:00,1763125499999413208,10,1,158704,C,B,4,24762000000000,1,128,12531,449508311,24763000000000,24764000000000,3,2,3,2,24762750000000,24764250000000,5,2,5,2,24762500000000,24764500000000,1,4,1,4,24762250000000,24764750000000,2,2,2,2,24762000000000,24765000000000,3,1,3,1,24761750000000,24765250000000,4,4,4,4,24761500000000,24765500000000,3,5,3,5,24761250000000,24765750000000,5,4,5,4,24761000000000,24766000000000,5,4,5,4,24760750000000,24766250000000,5,3,5,3,NQ.c.0
2025-11-14 13:05:00+00:00,1763125559957975845,10,1,158704,A,B,2,24741500000000,1,128,12945,449594290,24742000000000,24743000000000,1,1,1,1,24741750000000,24743250000000,1,2,1,2,24741500000000,24743500000000,2,3,2,3,24741250000000,24743750000000,1,3,1,3,24741000000000,24744000000000,2,5,2,5,24740750000000,24744250000000,2,2,2,2,24740500000000,24744500000000,4,2,4,2,24740250000000,24744750000000,2,4,2,4,24740000000000,24745000000000,10,5,6,5,24739750000000,24745250000000,7,4,7,4,NQ.c.0
2025-11-14 13:06:00+00:00,1763125619965713540,10,1,158704,C,A,1,24734250000000,1,128,11180,449666072,24733250000000,24733750000000,1,1,1,1,24733000000000,24734250000000,3,1,2,1,24732500000000,24734500000000,1,3,1,3,24732250000000,24734750000000,2,2,2,2,24732000000000,24735000000000,2,2,2,2,24731750000000,24735250000000,4,2,4,2,24731500000000,24735500000000,2,2,2,2,24731250000000,24735750000000,4,3,4,3,24731000000000,24736000000000,3,5,3,5,24730750000000,24736250000000,5,9,5,5,NQ.c.0
2025-11-14 13:07:00+00:00,1763125679672072758,10,1,158704,A,B,0,24736500000000,1,128,12750,449746259,24736500000000,24737500000000,1,1,1,1,24736250000000,24738000000000,3,3,3,3,24736000000000,24738250000000,2,3,2,3,24735750000000,24738500000000,2,3,2,3,24735500000000,24738750000000,2,5,2,5,24735250000000,24739000000000,1,4,1,4,24735000000000,24739250000000,4,3,4,3,24734750000000,24739500000000,5,3,5,3,24734500000000,24739750000000,5,4,5,4,24734250000000,24740000000000,4,4,4,4,NQ.c.0
2025-11-14 13:08:00+00:00,1763125739838331301,10,1,158704,C,B,0,24738500000000,1,128,13162,449799534,24738250000000,24739500000000,1,1,1,1,24738000000000,24739750000000,5,1,5,1,24737750000000,24740000000000,3,2,3,2,24737500000000,24740250000000,3,2,3,2,24737250000000,24740500000000,3,3,3,3,24737000000000,24740750000000,3,5,3,5,24736750000000,24741000000000,3,6,3,6,24736500000000,24741250000000,3,7,3,3,24736250000000,24741500000000,3,4,3,4,24736000000000,24741750000000,4,5,4,5,NQ.c.0
2025-11-14 13:09:00+00:00,1763125799495292937,10,1,158704,A,B,0,24735500000000,1,128,14174,449851646,24735500000000,24736750000000,2,1,2,1,24735250000000,24737000000000,2,4,2,4,24735000000000,24737250000000,4,4,4,4,24734750000000,24737500000000,4,4,4,4,24734500000000,24737750000000,1,5,1,5,24734250000000,24738000000000,2,6,2,6,24734000000000,24738250000000,2,2,2,2,24733750000000,24738500000000,3,2,3,2,24733500000000,24738750000000,4,4,4,3,24733250000000,24739000000000,1,5,1,5,NQ.c.0
2025-11-14 13:10:00+00:00,1763125859966074123,10,1,158704,A,A,0,24742250000000,1,128,12785,449905786,24741250000000,24742250000000,1,1,1,1,24741000000000,24742500000000,3,2,3,2,24740750000000,24742750000000,2,1,2,1,24740500000000,24743000000000,2,2,2,2,24740250000000,24743250000000,2,1,2,1,24740000000000,24743500000000,4,1,4,1,24739750000000,24743750000000,4,3,4,3,24739500000000,24744000000000,2,5,2,5,24739250000000,24744250000000,4,4,4,4,24739000000000,24744500000000,3,4,3,4,NQ.c.0
2025-11-14 13:11:00+00:00,1763125919833868576,10,1,158704,A,B,0,24734250000000,1,128,12675,449980163,24734250000000,24735000000000,1,1,1,1,24734000000000,24735500000000,2,2,2,2,24733750000000,24735750000000,2,3,2,3,24733500000000,24736000000000,2,2,2,2,24733250000000,24736250000000,2,3,2,3,24733000000000,24736500000000,3,2,3,2,24732750000000,24736750000000,4,2,4,2,24732500000000,24737000000000,5,2,5,2,24732250000000,24737250000000,5,4,5,4,24732000000000,24737500000000,6,3,6,3,NQ.c.0
2025-11-14 13:12:00+00:00,1763125979832061492,10,1,158704,C,A,7,24724750000000,1,128,11228,450062519,24722000000000,24723000000000,1,1,1,1,24721750000000,24723250000000,3,1,3,1,24721500000000,24723500000000,4,1,4,1,24721250000000,24723750000000,3,4,3,4,24721000000000,24724000000000,4,2,4,2,24720750000000,24724250000000,28,3,4,3,24720500000000,24724500000000,3,4,3,4,24720250000000,24724750000000,10,4,3,4,24720000000000,24725000000000,4,5,4,5,24719750000000,24725250000000,2,6,2,6,NQ.c.0
2025-11-14 13:13:00+00:00,1763126039970531461,10,1,158704,A,A,3,24722750000000,1,128,13458,450137918,24721000000000,24722000000000,1,1,1,1,24720750000000,24722250000000,1,2,1,2,24720500000000,24722500000000,4,3,4,3,24720250000000,24722750000000,2,3,2,3,24720000000000,24723250000000,2,2,2,2,24719750000000,24723500000000,3,3,3,3,24719500000000,24723750000000,3,2,3,2,24719250000000,24724000000000,6,2,6,2,24719000000000,24724500000000,8,3,6,3,24718750000000,24724750000000,3,3,3,3,NQ.c.0
2025-11-14 13:14:00+00:00,1763126099996062167,10,1,158704,A,B,1,24752250000000,1,128,12859,450222455,24752500000000,24753500000000,1,3,1,3,24752250000000,24753750000000,2,4,2,4,24752000000000,24754000000000,2,3,2,3,24751750000000,24754250000000,1,2,1,2,24751500000000,24754500000000,1,3,1,3,24751250000000,24754750000000,2,1,2,1,24751000000000,24755000000000,3,6,3,6,24750750000000,24755250000000,4,5,4,5,24750500000000,24755500000000,4,4,4,4,24750250000000,24755750000000,4,4,4,4,NQ.c.0
2025-11-14 13:15:00+00:00,1763126159962147164,10,1,158704,C,A,8,24737250000000,1,128,12496,450304639,24734250000000,24735250000000,1,1,1,1,24734000000000,24735500000000,1,3,1,3,24733750000000,24735750000000,6,3,6,3,24733500000000,24736000000000,7,3,7,3,24733250000000,24736250000000,5,4,5,4,24733000000000,24736500000000,3,5,3,5,24732750000000,24736750000000,3,3,3,3,24732500000000,24737000000000,5,5,5,5,24732250000000,24737250000000,6,3,6,3,24732000000000,24737500000000,5,4,5,4,NQ.c.0
2025-11-14 13:16:00+00:00,1763126219894924411,10,1,158704,M,B,4,24726000000000,1,128,13978,450380534,24727000000000,24728250000000,1,2,1,2,24726750000000,24728500000000,2,2,2,2,24726500000000,24728750000000,3,2,3,2,24726250000000,24729000000000,1,2,1,2,24726000000000,24729250000000,4,3,4,3,24725750000000,24729500000000,2,3,2,3,24725500000000,24729750000000,3,5,3,5,24725250000000,24730000000000,4,7,4,7,24725000000000,24730250000000,3,5,3,5,24724750000000,24730500000000,4,3,4,3,NQ.c.0
2025-11-14 13:17:00+00:00,1763126279816450767,10,1,158704,A,A,4,24722250000000,1,128,11397,450430951,24720250000000,24721000000000,1,1,1,1,24720000000000,24721500000000,1,1,1,1,24719750000000,24721750000000,5,3,4,3,24719500000000,24722000000000,2,3,2,3,24719250000000,24722250000000,1,4,1,4,24719000000000,24722500000000,3,3,2,3,24718750000000,24722750000000,3,4,3,4,24718500000000,24723000000000,3,13,3,4,24718250000000,24723250000000,4,5,4,5,24718000000000,24723500000000,15,4,6,4,NQ.c.0
2025-11-14 13:18:00+00:00,1763126339897655252,10,1,158704,A,A,0,24724000000000,1,128,13131,450486661,24723000000000,24724000000000,1,1,1,1,24722750000000,24724250000000,2,1,2,1,24722500000000,24724500000000,4,1,4,1,24722250000000,24724750000000,4,4,4,4,24722000000000,24725000000000,3,3,3,3,24721750000000,24725250000000,1,4,1,4,24721500000000,24725500000000,3,4,3,4,24721250000000,24725750000000,2,4,2,4,24721000000000,24726000000000,4,5,4,5,24720750000000,24726250000000,4,3,4,3,NQ.c.0
2025-11-14 13:19:00+00:00,1763126399970012704,10,1,158704,A,B,1,24712250000000,1,128,13769,450543683,24712500000000,24713500000000,4,1,4,1,24712250000000,24713750000000,4,2,4,2,24712000000000,24714000000000,5,1,5,1,24711750000000,24714250000000,4,2,4,2,24711500000000,24714500000000,2,1,2,1,24711250000000,24714750000000,2,2,2,2,24711000000000,24715000000000,4,4,4,4,24710750000000,24715250000000,5,6,5,6,24710500000000,24715500000000,5,6,5,6,24710250000000,24715750000000,1,3,1,3,NQ.c.0
2025-11-14 13:20:00+00:00,1763126459952577036,10,1,158704,C,B,0,24711000000000,1,128,11611,450618472,24710750000000,24711750000000,1,1,1,1,24710500000000,24712000000000,2,1,2,1,24710250000000,24712250000000,2,1,2,1,24710000000000,24712500000000,1,4,1,4,24709750000000,24712750000000,3,2,3,2,24709500000000,24713000000000,2,3,2,3,24709250000000,24713250000000,2,3,2,3,24709000000000,24713500000000,4,2,4,2,24708750000000,24713750000000,3,1,3,1,24708500000000,24714000000000,4,3,4,3,NQ.c.0
