# Historical FF red-folder backfill 2023-01..2026-01, derived from data/reference/news_archive.csv (Brake, 18 Jul 2026).
# 2026-02+ intentionally excluded: config/news_calendar.csv owns that span.
datetime_ET,event,impact
2023-01-04 10:00,ISM Manufacturing PMI,high
2023-01-04 14:00,FOMC Meeting Minutes,high
2023-01-06 08:30,Average Hourly Earnings m/m,high
2023-01-06 08:30,Non-Farm Employment Change,high
2023-01-06 08:30,Unemployment Rate,high
2023-01-06 10:00,ISM Services PMI,high
2023-01-12 08:30,Core CPI m/m,high
2023-01-12 08:30,CPI m/m,high
2023-01-12 08:30,CPI y/y,high
2023-01-18 08:30,Core Retail Sales m/m,high
2023-01-18 08:30,Retail Sales m/m,high
2023-01-26 08:30,Advance GDP q/q,high
2023-01-27 08:30,Core PCE Price Index m/m,high
2023-02-01 10:00,ISM Manufacturing PMI,high
2023-02-01 14:00,Federal Funds Rate,high
2023-02-01 14:00,FOMC Statement,high
2023-02-01 14:30,FOMC Press Conference,high
2023-02-03 08:30,Average Hourly Earnings m/m,high
2023-02-03 08:30,Non-Farm Employment Change,high
2023-02-03 08:30,Unemployment Rate,high
2023-02-03 10:00,ISM Services PMI,high
2023-02-14 08:30,Core CPI m/m,high
2023-02-14 08:30,CPI m/m,high
2023-02-14 08:30,CPI y/y,high
2023-02-15 08:30,Core Retail Sales m/m,high
2023-02-15 08:30,Retail Sales m/m,high
2023-02-22 14:00,FOMC Meeting Minutes,high
2023-02-24 08:30,Core PCE Price Index m/m,high
2023-03-01 10:00,ISM Manufacturing PMI,high
2023-03-03 10:00,ISM Services PMI,high
2023-03-07 10:00,Fed Chair Powell Testifies,high
2023-03-08 10:00,Fed Chair Powell Testifies,high
2023-03-10 08:30,Average Hourly Earnings m/m,high
2023-03-10 08:30,Non-Farm Employment Change,high
2023-03-10 08:30,Unemployment Rate,high
2023-03-14 08:30,Core CPI m/m,high
2023-03-14 08:30,CPI m/m,high
2023-03-14 08:30,CPI y/y,high
2023-03-15 08:30,Core Retail Sales m/m,high
2023-03-15 08:30,Retail Sales m/m,high
2023-03-22 14:00,Federal Funds Rate,high
2023-03-22 14:00,FOMC Economic Projections,high
2023-03-22 14:00,FOMC Statement,high
2023-03-22 14:30,FOMC Press Conference,high
2023-03-31 08:30,Core PCE Price Index m/m,high
2023-04-03 10:00,ISM Manufacturing PMI,high
2023-04-05 10:00,ISM Services PMI,high
2023-04-07 08:30,Average Hourly Earnings m/m,high
2023-04-07 08:30,Non-Farm Employment Change,high
2023-04-07 08:30,Unemployment Rate,high
2023-04-12 08:30,Core CPI m/m,high
2023-04-12 08:30,CPI m/m,high
2023-04-12 08:30,CPI y/y,high
2023-04-12 14:00,FOMC Meeting Minutes,high
2023-04-14 08:30,Core Retail Sales m/m,high
2023-04-14 08:30,Retail Sales m/m,high
2023-04-27 08:30,Advance GDP q/q,high
2023-04-28 08:30,Core PCE Price Index m/m,high
2023-05-01 10:00,ISM Manufacturing PMI,high
2023-05-03 10:00,ISM Services PMI,high
2023-05-03 14:00,Federal Funds Rate,high
2023-05-03 14:00,FOMC Statement,high
2023-05-03 14:30,FOMC Press Conference,high
2023-05-05 08:30,Average Hourly Earnings m/m,high
2023-05-05 08:30,Non-Farm Employment Change,high
2023-05-05 08:30,Unemployment Rate,high
