sym,day,dir,risk,res,r
NQ,2021-04-28,1,23.75,STOP,-1.0315789473684212
NQ,2021-05-13,-1,55.75,STOP,-1.0134529147982063
NQ,2021-05-17,1,57.75,STOP,-1.0129870129870129
NQ,2021-05-27,-1,14.5,STOP,-1.0517241379310345
NQ,2021-06-02,-1,29.75,STOP,-1.0252100840336134
NQ,2021-06-02,-1,16.0,TARGET,1.953125
NQ,2021-06-03,1,56.25,FLAT,0.5733333333333334
NQ,2021-06-17,-1,24.5,STOP,-1.030612244897959
NQ,2021-06-21,1,53.25,TARGET,1.9859154929577465
NQ,2021-07-07,1,50.75,FLAT,0.5566502463054187
NQ,2021-07-14,-1,39.0,STOP,-1.0192307692307692
NQ,2021-07-20,1,52.25,TARGET,1.985645933014354
NQ,2021-07-28,-1,47.25,FLAT,0.5608465608465608
NQ,2021-07-29,-1,16.5,STOP,-1.0454545454545454
NQ,2021-08-03,-1,43.0,TARGET,1.9825581395348837
NQ,2021-08-03,1,63.5,STOP,-1.0118110236220472
NQ,2021-08-03,1,49.75,STOP,-1.015075376884422
NQ,2021-08-13,-1,15.25,TARGET,1.9508196721311475
NQ,2021-08-18,-1,22.25,STOP,-1.0337078651685394
NQ,2021-08-31,1,32.5,FLAT,0.6692307692307692
NQ,2021-09-02,1,20.0,STOP,-1.0375
NQ,2021-09-13,-1,38.5,TARGET,1.9805194805194806
NQ,2021-09-15,1,30.5,STOP,-1.0245901639344261
NQ,2021-09-15,1,27.0,STOP,-1.0277777777777777
NQ,2021-09-16,1,28.5,STOP,-1.0263157894736843
NQ,2021-09-28,1,42.5,STOP,-1.0176470588235293
NQ,2021-10-04,1,39.0,STOP,-1.0192307692307692
NQ,2021-10-13,-1,23.75,TARGET,1.9684210526315788
NQ,2021-11-01,1,29.75,TARGET,1.9747899159663866
NQ,2021-11-01,1,33.0,FLAT,1.0984848484848484
NQ,2021-11-10,1,77.0,FLAT,0.2727272727272727
NQ,2021-11-17,-1,25.75,STOP,-1.029126213592233
NQ,2021-11-18,1,25.75,STOP,-1.029126213592233
NQ,2021-11-24,1,66.25,FLAT,0.7924528301886793
NQ,2021-11-26,-1,77.25,TARGET,1.9902912621359223
NQ,2021-12-07,-1,21.5,STOP,-1.0348837209302326
NQ,2021-12-09,-1,56.0,FLAT,1.1473214285714286
NQ,2021-12-30,1,44.5,STOP,-1.0168539325842696
NQ,2022-01-11,1,60.0,TARGET,1.9875
NQ,2022-01-12,-1,30.25,TARGET,1.975206611570248
NQ,2022-02-01,1,46.25,TARGET,1.9837837837837837
NQ,2022-02-09,-1,32.25,STOP,-1.0232558139534884
NQ,2022-02-10,-1,73.25,STOP,-1.0102389078498293
NQ,2022-02-18,1,49.5,STOP,-1.0151515151515151
NQ,2022-03-08,1,58.75,TARGET,1.9872340425531916
NQ,2022-03-14,-1,52.75,TARGET,1.985781990521327
NQ,2022-03-18,-1,52.25,STOP,-1.014354066985646
NQ,2022-03-21,-1,60.25,TARGET,1.987551867219917
NQ,2022-03-24,1,62.0,TARGET,1.9879032258064515
NQ,2022-03-25,1,36.5,TARGET,1.9794520547945205
NQ,2022-03-30,-1,24.5,TARGET,1.969387755102041
NQ,2022-04-05,1,34.25,STOP,-1.0218978102189782
NQ,2022-04-11,1,62.5,STOP,-1.012
NQ,2022-04-11,1,30.25,FLAT,0.4462809917355372
NQ,2022-04-25,-1,66.75,TARGET,1.9887640449438202
NQ,2022-04-28,1,58.25,STOP,-1.0128755364806867
NQ,2022-05-04,-1,36.5,TARGET,1.9794520547945205
NQ,2022-05-05,1,62.25,STOP,-1.0120481927710843
NQ,2022-05-20,-1,77.75,TARGET,1.9903536977491962
NQ,2022-05-31,1,52.75,TARGET,1.985781990521327
NQ,2022-06-21,-1,38.75,STOP,-1.0193548387096774
NQ,2022-06-22,-1,59.0,STOP,-1.0127118644067796
NQ,2022-06-22,-1,58.25,TARGET,1.9871244635193133
NQ,2022-06-29,-1,44.75,TARGET,1.9832402234636872
NQ,2022-07-07,-1,50.5,STOP,-1.0148514851485149
NQ,2022-07-07,-1,16.0,STOP,-1.046875
NQ,2022-07-08,-1,35.25,STOP,-1.0212765957446808
NQ,2022-07-12,1,55.25,FLAT,0.9004524886877828
NQ,2022-07-19,-1,38.5,STOP,-1.0194805194805194
NQ,2022-07-21,1,49.0,TARGET,1.9846938775510203
NQ,2022-07-27,-1,20.0,STOP,-1.0375
NQ,2022-07-28,1,65.25,STOP,-1.0114942528735633
NQ,2022-08-01,-1,70.75,STOP,-1.010600706713781
NQ,2022-08-03,-1,64.5,STOP,-1.0116279069767442
NQ,2022-08-10,-1,53.25,STOP,-1.0140845070422535
NQ,2022-08-11,-1,36.25,STOP,-1.0206896551724138
NQ,2022-08-16,1,30.75,STOP,-1.024390243902439
NQ,2022-08-16,1,39.0,TARGET,1.9807692307692308
NQ,2022-08-29,-1,42.75,TARGET,1.9824561403508771
NQ,2022-08-30,1,50.75,FLAT,0.12315270935960591
NQ,2022-08-31,-1,57.5,TARGET,1.9869565217391305
NQ,2022-09-02,-1,58.75,TARGET,1.9872340425531916
NQ,2022-09-09,-1,21.25,STOP,-1.035294117647059
NQ,2022-09-30,-1,33.25,STOP,-1.0225563909774436
NQ,2022-10-18,-1,54.25,TARGET,1.9861751152073732
NQ,2022-10-19,-1,57.75,FLAT,1.5238095238095237
NQ,2022-10-20,-1,30.0,STOP,-1.025
NQ,2022-10-20,-1,54.5,FLAT,1.4403669724770642
NQ,2022-10-26,-1,50.0,STOP,-1.015
NQ,2022-10-27,1,76.25,FLAT,-0.28524590163934427
NQ,2022-10-31,1,36.25,STOP,-1.0206896551724138
NQ,2022-11-01,1,40.75,STOP,-1.01840490797546
NQ,2022-11-11,-1,34.75,TARGET,1.9784172661870503
NQ,2022-11-14,-1,35.75,STOP,-1.020979020979021
NQ,2022-11-17,1,53.25,FLAT,1.1455399061032865
NQ,2022-12-05,1,32.0,STOP,-1.0234375
NQ,2022-12-06,1,44.0,STOP,-1.0170454545454546
NQ,2022-12-06,1,39.25,STOP,-1.019108280254777
NQ,2022-12-21,1,36.25,TARGET,1.9793103448275862
NQ,2022-12-22,1,27.25,STOP,-1.0275229357798166
NQ,2022-12-23,1,53.25,STOP,-1.0140845070422535
