strategy,trades,win,PF,avgW,avgL,WL,maxDD_R,maxDD_pct,R,note
ES false-breakdown 10pt,1719,0.5154159394997091,0.8124347822241327,0.795758941215215,1.0455592494193464,0.7610845025350227,182.38472685042973,182.38472685042973,-0.09468979354355853,stop cap nonept
ES false-breakdown 12pt,1719,0.4677137870855148,0.8014522725515919,0.9367206993348319,1.0303710855653647,0.9091100405062834,205.09808907040153,205.09808907040153,-0.1085369329670785,stop cap nonept
ES false-breakdown 15pt,1719,0.41826643397324026,0.7952069940800024,1.1224879170614752,1.0200167259322375,1.100460304742145,227.12123390034762,227.12123390034762,-0.1209120592992295,stop cap nonept
ES false-breakdown 10pt,579,0.3126079447322971,0.7407487468191519,1.8014792893693805,1.1115825927496645,1.6206436670739455,136.58327632832925,136.58327632832925,-0.19709664136961863,stop cap 8pt
ES false-breakdown 12pt,579,0.27288428324697755,0.7142270995996718,2.1025274703643353,1.1100650220198844,1.8940579413434333,155.21627328027455,155.21627328027455,-0.22956460087869873,stop cap 8pt
ES false-breakdown 15pt,579,0.23661485319516407,0.7176549992146878,2.5565297694247655,1.1091825547805538,2.3048773697406033,157.03422520768157,157.03422520768157,-0.23798919808678903,stop cap 8pt
ES false-breakdown 10pt,845,0.3479289940828402,0.7334771246940349,1.4929405258705055,1.0920001680701215,1.3671614433072488,172.8333374827854,172.8333374827854,-0.18874742898993838,stop cap 11pt
ES false-breakdown 12pt,845,0.3136094674556213,0.7318239559866064,1.734501019414951,1.0885239735758385,1.5934431041670638,183.45807000150293,183.45807000150293,-0.19933202675538095,stop cap 11pt
ES false-breakdown 15pt,845,0.2686390532544379,0.7222762342104279,2.1226376840904577,1.0847340839147566,1.9568276829930094,195.9512943763272,195.9512943763272,-0.21925764179768212,stop cap 11pt
ES false-breakdown 10pt,1090,0.3871559633027523,0.7411766268580674,1.260521967621685,1.0792436673938703,1.1679679072526419,201.36371625512623,201.36371625512623,-0.1704190536519016,stop cap 15pt
ES false-breakdown 12pt,1090,0.3568807339449541,0.7564954465127599,1.4614807007746282,1.076665867363772,1.357413423305672,201.63445597117456,201.63445597117456,-0.1678869567142958,stop cap 15pt
ES false-breakdown 15pt,1090,0.3110091743119266,0.7544914821275011,1.783020472014548,1.071026184985573,1.6647776655792648,215.57572615061184,215.57572615061184,-0.18044371225346492,stop cap 15pt
SMA20 pinbar 3R [2017-19],69,0.2608695652173913,0.9672909288229499,2.928682228315318,1.068605649417094,2.7406576316650244,20.588666554166533,20.588666554166533,-0.025834898704290555,"1m SIDE, raw"
SMA20 pinbar 3R [2020-22],510,0.24901960784313726,0.9146358832346515,2.909990694009011,1.0549899230253907,2.7583113644005635,58.11853906295131,58.11853906295131,-0.06763200466584374,"1m SIDE, raw"
SMA20 pinbar 3R [2023-26],780,0.28205128205128205,1.094245743052737,2.928800785191966,1.0515008313016752,2.7853528004978765,54.93224425736859,54.93224425736859,0.07114834258114672,"1m SIDE, raw"
SMA20 pinbar 3R [all tapes],1359,0.26857983811626196,1.0183509335064687,2.922250057509734,1.0537228311548636,2.7732625422066577,80.76735723643226,80.76735723643226,0.014143323637320137,"1m SIDE, raw"
SMA20 pinbar 1R,337,0.5133531157270029,0.9529760211420076,0.9491342838257352,1.0506255132767504,0.9033992339149669,24.548741733383377,24.548741733383377,-0.02404259072859021,"raw, footprint days"
SMA20 pinbar 1R +orderflow,153,0.49019607843137253,0.8640729687158607,0.9467567213739299,1.0535487560431265,0.8986358874644952,15.9588494376402,15.9588494376402,-0.07300685534849101,absorb+bardelta
SMA20 pinbar 1R +OF+smallbar,90,0.5222222222222223,0.9664465832254996,0.940171495457455,1.0633068881662193,0.8841958101850316,11.771080812784803,11.771080812784803,-0.017045954496078188,stacked
SMA20 pinbar 1.5R,337,0.41839762611275966,0.9922175562211079,1.448872003949842,1.0504760491452174,1.3792527731867883,25.548741733383377,25.548741733383377,-0.004754756900697019,"raw, footprint days"
SMA20 pinbar 1.5R +orderflow,153,0.43790849673202614,1.0698319280447708,1.447395027709843,1.0540176247078912,1.373217101669407,10.067841042272978,10.067841042272978,0.041372229618829276,absorb+bardelta
SMA20 pinbar 1.5R +OF+smallbar,90,0.4777777777777778,1.2393504719836228,1.4409053658568494,1.0636822688615226,1.3546388879820992,8.645329822616407,8.645329822616407,0.13295404550392179,stacked
SMA20 pinbar 2R,337,0.3590504451038576,1.0392275773239297,1.9480898047017607,1.0500982381687405,1.855150055388172,28.957865178789152,28.957865178789152,0.026402513128976537,"raw, footprint days"
SMA20 pinbar 2R +orderflow,153,0.37254901960784315,1.0972179130773219,1.946359675248628,1.0532557328905305,1.8479459588670681,11.067841042272978,11.067841042272978,0.06424804661229327,absorb+bardelta
SMA20 pinbar 2R +OF+smallbar,90,0.4111111111111111,1.2744629058290213,1.9409574193625942,1.0631992532276042,1.825582000241571,9.52467973839148,9.52467973839148,0.17184293439281068,stacked
SMA20 pinbar 2.5R,337,0.2997032640949555,0.9975697280512125,2.448037949378547,1.0502296015371533,2.3309550081196644,31.5224778643465,31.5224778643465,-0.0017873978502519446,"raw, footprint days"
SMA20 pinbar 2.5R +orderflow,153,0.3333333333333333,1.161176754862505,2.4480658059589957,1.0541314212963517,2.3223535097250103,11.457929174450358,11.457929174450358,0.11326765445543058,absorb+bardelta
SMA20 pinbar 2.5R +OF+smallbar,90,0.35555555555555557,1.2669678314474742,2.441974939064746,1.063402309564119,2.296379194498547,9.024679738391479,9.024679738391479,0.18295404550392186,stacked
SMA20 pinbar 3R,337,0.27596439169139464,1.0562478717669515,2.910277769550346,1.0501751010279068,2.7712309753885602,30.60484713915456,30.60484713915456,0.04276886622365846,"raw, footprint days"
SMA20 pinbar 3R +orderflow,153,0.3137254901960784,1.2785948994431444,2.9477551415034977,1.0539266253379715,2.796926342531878,9.457929174450358,9.457929174450358,0.20150294857307763,absorb+bardelta
SMA20 pinbar 3R +OF+smallbar,90,0.32222222222222224,1.315742435219106,2.9408306461493443,1.062593846606197,2.767596156840189,8.645329822616407,8.645329822616407,0.22739848994836628,stacked
SMA20 pinbar 3R [1m_NONE] raw,1019,0.2590775269872424,0.9742922751763718,2.9146709696415605,1.0460615797784303,2.7863282869627297,47.69513254108822,47.69513254108822,-0.01992478581682324,
SMA20 pinbar 3R [1m_NONE] +OF,382,0.29581151832460734,1.1806065642400216,2.9507556206164822,1.0499151751640696,2.8104704936333254,15.802321394293493,15.802321394293493,0.1335293272526905,
SMA20 pinbar 3R [1m_SLOPE] raw,537,0.2811918063314711,1.084861364853417,2.9080936466133056,1.0486336437655988,2.773221767108735,26.369002769429358,26.369002769429358,0.06396565017707288,
SMA20 pinbar 3R [1m_SLOPE] +OF,224,0.32142857142857145,1.3292771880927925,2.9505341744121387,1.0514146060405916,2.806251841529229,11.577126443463257,11.577126443463257,0.2349260733906431,
SMA20 pinbar 3R [1m_side] raw,337,0.27596439169139464,1.0562478717669515,2.910277769550346,1.0501751010279068,2.7712309753885602,30.60484713915456,30.60484713915456,0.04276886622365846,
SMA20 pinbar 3R [1m_side] +OF,153,0.3137254901960784,1.2785948994431444,2.9477551415034977,1.0539266253379715,2.796926342531878,9.457929174450358,9.457929174450358,0.20150294857307763,
SMA20 pinbar 3R [3m_SLOPE] raw,252,0.2857142857142857,0.9696135585494045,2.477193317498192,1.021930147595795,2.424033896373511,35.24079245180138,35.24079245180138,-0.022180586140370058,
SMA20 pinbar 3R [3m_SLOPE] +OF,82,0.3048780487804878,1.1075789512686072,2.5449275494871286,1.0077803413979909,2.525280008892424,14.927787714396235,14.927787714396235,0.0753623082621067,
SMA20 pinbar 3R [3m_side] raw,148,0.2905405405405405,1.014342468252154,2.5187910295270286,1.0169197584556684,2.476882771313399,19.043641723952,19.043641723952,0.01034756507984475,
SMA20 pinbar 3R [3m_side] +OF,47,0.3191489361702128,1.2836539127901683,2.706002028738983,0.9881467569512583,2.738461680619026,6.6105082589701,6.6105082589701,0.19083689805626552,
