tape,day,ts,i,dir,entry,risk,res,r,wick_delta,wick_ratio,bar_delta,bar_ratio,wick_vol_share,vol_z,cvd_div,mult
2023-26,2023-07-06,2023-07-06 09:30:00,181167,1,15203.75,24.0,STOP,-1.03125,-398.0,-0.10832879695155144,-132.0,-0.01544220870379036,0.42980814225549835,7.22605201945443,,1.0
2023-26,2023-07-07,2023-07-07 10:02:00,182578,1,15265.0,10.75,TARGET,0.9302325581395349,-229.0,-0.20140721196130168,-163.0,-0.09193457416807671,0.6412859560067682,1.0502310152825494,,1.0
2023-26,2023-07-07,2023-07-07 10:05:00,182581,1,15271.0,11.75,STOP,-1.0638297872340425,55.0,0.02702702702702703,95.0,0.044206607724523034,0.9469520707305723,1.2749925838030258,,1.0
2023-26,2023-07-07,2023-07-07 10:08:00,182584,1,15267.25,9.0,STOP,-1.0833333333333333,80.0,0.064,104.0,0.07669616519174041,0.9218289085545722,0.892193308550186,,1.0
2023-26,2023-07-11,2023-07-11 09:30:00,185306,-1,15197.0,16.25,STOP,-1.0461538461538462,-241.0,-0.07090320682553693,46.0,0.009248090068355449,0.6833534378769602,8.720960813535548,,1.0
2023-26,2023-07-12,2023-07-12 10:04:00,186719,1,15466.25,11.5,STOP,-1.065217391304348,-26.0,-0.07262569832402235,72.0,0.05187319884726225,0.2579250720461095,0.6457916530963569,,1.0
2023-26,2023-07-14,2023-07-14 09:58:00,189473,1,15800.75,9.5,TARGET,0.9210526315789473,-4.0,-0.004140786749482402,70.0,0.049575070821529746,0.6841359773371105,0.6905151967136954,,1.0
2023-26,2023-07-14,2023-07-14 10:06:00,189481,1,15807.25,17.0,STOP,-1.0441176470588236,-50.0,-0.038580246913580245,126.0,0.06548856548856549,0.6735966735966736,0.9255339619010967,,1.0
2023-26,2023-07-17,2023-07-17 10:17:00,190872,1,15753.0,8.5,TARGET,0.9117647058823529,-177.0,-0.16434540389972144,-137.0,-0.11699402220324509,0.9197267292912041,0.7460737153961327,,1.0
2023-26,2023-07-18,2023-07-18 09:42:00,192217,-1,15775.25,12.75,TARGET,0.9411764705882353,-406.0,-0.21123829344432882,-82.0,-0.02130977130977131,0.4994802494802495,1.5450712708291507,,1.0
2023-26,2023-07-18,2023-07-18 10:19:00,192254,1,15777.75,11.75,STOP,-1.0638297872340425,-139.0,-0.16527942925089179,109.0,0.06782825140012445,0.523335407591786,1.0029019877055576,,1.0
2023-26,2023-07-21,2023-07-21 10:21:00,196396,1,15633.5,15.0,STOP,-1.05,-79.0,-0.09070034443168772,120.0,0.07761966364812418,0.5633893919793014,0.6799190781950919,,1.0
