tape,scheme,n,R,t,hit1R,pos
2023-26,flat 1R,780,-0.021151734617183667,-0.5906767291019152,0.5153846153846153,0.5153846153846153
2023-26,flat 3R,780,0.0711483425811467,1.1066168857332266,0.2782051282051282,0.28205128205128205
2023-26,half@1R -> 3R,780,0.02499830398198151,0.5518678360056898,0.5153846153846153,0.28205128205128205
2023-26,half@1R BE ->3R,780,0.0188986494993483,0.45371672521395584,0.5153846153846153,0.5153846153846153
2023-26,half@1R -> 5R,780,0.021118999763468902,0.4062273445805078,0.5153846153846153,0.19743589743589743
2023-26,third@1R ->3R,780,0.040320116796904344,0.79112009031837,0.5153846153846153,0.28205128205128205
2020-22,flat 1R,510,0.0046895841527500514,0.10587271459798783,0.5294117647058824,0.5294117647058824
2020-22,flat 3R,510,-0.06763200466584375,-0.886406483758179,0.24509803921568626,0.24901960784313726
2020-22,half@1R -> 3R,510,-0.031471210256546846,-0.588318130633504,0.5294117647058824,0.24901960784313726
2020-22,half@1R BE ->3R,510,0.004689584152750053,0.09408933793376405,0.5294117647058824,0.5294117647058824
2020-22,half@1R -> 5R,510,0.018615673870189038,0.29216054568754857,0.5294117647058824,0.19019607843137254
2020-22,third@1R ->3R,510,-0.04347659400043344,-0.7230253470704628,0.5294117647058824,0.24901960784313726
2017-19,flat 1R,69,0.03213611578846306,0.2665824429190904,0.5507246376811594,0.5507246376811594
2017-19,flat 3R,69,-0.02583489870429058,-0.12136710776644306,0.2608695652173913,0.2608695652173913
2017-19,half@1R -> 3R,69,0.0031506085420862414,0.02132133578999669,0.5507246376811594,0.2608695652173913
2017-19,half@1R BE ->3R,69,0.06112162303483987,0.4373344074422946,0.5507246376811594,0.5507246376811594
2017-19,half@1R -> 5R,69,-0.03965875600640873,-0.24065930481593956,0.5507246376811594,0.17391304347826086
2017-19,third@1R ->3R,69,-0.006472579863710865,-0.03879474871664835,0.5507246376811594,0.2608695652173913
