ts,side,price,size
2026-04-22 08:00:00-04:00,bid,26841.75,1
2026-04-22 08:00:00-04:00,ask,26842.5,1
2026-04-22 08:00:00-04:00,bid,26841.5,1
2026-04-22 08:00:00-04:00,ask,26842.75,2
2026-04-22 08:00:00-04:00,bid,26841.25,3
2026-04-22 08:00:00-04:00,ask,26843.0,3
2026-04-22 08:00:00-04:00,bid,26841.0,9
2026-04-22 08:00:00-04:00,ask,26843.25,3
2026-04-22 08:00:00-04:00,bid,26840.75,4
2026-04-22 08:00:00-04:00,ask,26843.5,3
2026-04-22 08:00:00-04:00,bid,26840.5,6
2026-04-22 08:00:00-04:00,ask,26843.75,3
2026-04-22 08:00:00-04:00,bid,26840.25,4
2026-04-22 08:00:00-04:00,ask,26844.0,5
2026-04-22 08:00:00-04:00,bid,26840.0,6
2026-04-22 08:00:00-04:00,ask,26844.25,2
2026-04-22 08:00:00-04:00,bid,26839.75,3
2026-04-22 08:00:00-04:00,ask,26844.5,1
2026-04-22 08:00:00-04:00,bid,26839.5,3
2026-04-22 08:00:00-04:00,ask,26844.75,2
2026-04-22 08:01:00-04:00,bid,26848.5,2
2026-04-22 08:01:00-04:00,ask,26849.25,1
2026-04-22 08:01:00-04:00,bid,26848.25,3
2026-04-22 08:01:00-04:00,ask,26849.5,2
2026-04-22 08:01:00-04:00,bid,26848.0,5
2026-04-22 08:01:00-04:00,ask,26849.75,4
2026-04-22 08:01:00-04:00,bid,26847.75,4
2026-04-22 08:01:00-04:00,ask,26850.0,7
2026-04-22 08:01:00-04:00,bid,26847.5,3
2026-04-22 08:01:00-04:00,ask,26850.25,4
2026-04-22 08:01:00-04:00,bid,26847.25,4
2026-04-22 08:01:00-04:00,ask,26850.5,3
2026-04-22 08:01:00-04:00,bid,26847.0,5
2026-04-22 08:01:00-04:00,ask,26850.75,4
2026-04-22 08:01:00-04:00,bid,26846.75,4
2026-04-22 08:01:00-04:00,ask,26851.25,6
2026-04-22 08:01:00-04:00,bid,26846.5,2
2026-04-22 08:01:00-04:00,ask,26851.5,4
2026-04-22 08:01:00-04:00,bid,26846.25,3
2026-04-22 08:01:00-04:00,ask,26851.75,2
2026-04-22 08:02:00-04:00,bid,26850.0,3
2026-04-22 08:02:00-04:00,ask,26850.75,1
2026-04-22 08:02:00-04:00,bid,26849.75,3
2026-04-22 08:02:00-04:00,ask,26851.0,4
