ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2025-06-23 07:00:00+00:00,2025-06-23 07:00:59.792632834+00:00,10,1,42008487,A,A,0,21830.0,1,130,11587,5488139,21829.0,21830.0,2,1,2,1,21828.75,21830.25,5,2,5,2,21828.5,21830.5,2,1,2,1,21828.25,21830.75,1,3,1,3,21828.0,21831.0,3,2,3,2,21827.75,21831.25,1,4,1,4,21827.5,21831.5,2,3,2,3,21827.25,21831.75,2,2,2,2,21827.0,21832.0,2,2,2,2,21826.75,21832.25,2,3,2,3,NQ.v.0
2025-06-23 07:01:00+00:00,2025-06-23 07:01:59.320270599+00:00,10,1,42008487,C,A,0,21824.75,1,130,11669,5505310,21824.0,21825.0,1,1,1,1,21823.75,21825.25,1,2,1,2,21823.5,21825.5,2,3,2,3,21823.25,21825.75,1,2,1,2,21823.0,21826.0,2,3,2,3,21822.75,21826.25,1,2,1,1,21822.5,21826.5,2,1,2,1,21822.0,21826.75,3,2,3,2,21821.5,21827.0,2,3,2,3,21821.0,21827.25,2,4,2,3,NQ.v.0
2025-06-23 07:02:00+00:00,2025-06-23 07:02:59.630160427+00:00,10,1,42008487,C,A,0,21825.75,1,130,15013,5521749,21825.0,21826.0,2,1,2,1,21824.75,21826.25,2,3,2,3,21824.5,21826.5,1,5,1,5,21824.25,21826.75,1,4,1,4,21824.0,21827.0,3,2,3,2,21823.75,21827.25,1,3,1,3,21823.5,21827.5,2,1,2,1,21823.0,21827.75,3,1,3,1,21822.75,21828.0,2,3,2,3,21822.5,21828.25,2,3,2,3,NQ.v.0
2025-06-23 07:03:00+00:00,2025-06-23 07:03:59.998822501+00:00,10,1,42008487,A,A,0,21823.5,1,130,13468,5533107,21822.75,21823.5,1,1,1,1,21822.5,21823.75,2,2,2,2,21822.25,21824.0,3,2,3,2,21822.0,21824.25,2,4,2,3,21821.75,21824.5,2,3,2,3,21821.5,21824.75,3,4,3,4,21821.0,21825.0,2,3,2,3,21820.75,21825.25,1,2,1,2,21820.5,21825.5,1,2,1,2,21820.25,21825.75,2,2,2,2,NQ.v.0
2025-06-23 07:04:00+00:00,2025-06-23 07:04:59.900217175+00:00,10,1,42008487,A,A,0,21829.0,1,130,16056,5546625,21828.25,21829.0,2,1,2,1,21827.75,21829.25,3,1,3,1,21827.5,21829.5,2,2,2,2,21827.25,21829.75,2,1,2,1,21827.0,21830.0,3,4,3,3,21826.75,21830.25,2,4,2,4,21826.5,21830.5,3,3,3,3,21826.25,21830.75,3,2,3,2,21826.0,21831.0,3,5,3,3,21825.75,21831.25,1,3,1,3,NQ.v.0
2025-06-23 07:05:00+00:00,2025-06-23 07:05:59.970970141+00:00,10,1,42008487,A,A,3,21830.25,1,130,11469,5567868,21828.75,21829.5,1,1,1,1,21828.5,21829.75,2,1,2,1,21828.25,21830.0,3,9,3,5,21828.0,21830.25,2,3,2,3,21827.75,21830.5,2,4,2,4,21827.5,21830.75,3,2,3,2,21827.25,21831.0,2,2,2,2,21827.0,21831.25,1,2,1,2,21826.75,21831.5,1,2,1,2,21826.5,21831.75,1,3,1,3,NQ.v.0
2025-06-23 07:06:00+00:00,2025-06-23 07:06:59.799752120+00:00,10,1,42008487,A,B,4,21824.0,1,130,15649,5583094,21825.0,21826.0,2,1,2,1,21824.75,21826.25,1,1,1,1,21824.5,21826.5,3,4,3,4,21824.25,21826.75,1,1,1,1,21824.0,21827.0,2,3,2,3,21823.75,21827.25,2,4,2,4,21823.5,21827.5,3,7,3,4,21823.25,21827.75,1,2,1,2,21823.0,21828.0,4,3,4,3,21822.75,21828.25,2,2,2,2,NQ.v.0
2025-06-23 07:07:00+00:00,2025-06-23 07:07:59.799740885+00:00,10,1,42008487,A,B,1,21823.5,1,130,16175,5594909,21823.75,21824.75,2,2,2,2,21823.5,21825.0,1,5,1,5,21823.25,21825.25,1,2,1,2,21823.0,21825.5,2,2,2,2,21822.75,21825.75,3,2,3,2,21822.5,21826.0,1,2,1,2,21822.25,21826.25,2,1,2,1,21822.0,21826.5,1,1,1,1,21821.75,21826.75,2,1,2,1,21821.5,21827.0,1,2,1,2,NQ.v.0
2025-06-23 07:08:00+00:00,2025-06-23 07:08:59.817883093+00:00,10,1,42008487,M,B,5,21831.5,1,130,15364,5613979,21833.0,21833.75,1,1,1,1,21832.75,21834.0,2,2,2,2,21832.5,21834.25,2,1,2,1,21832.25,21834.5,1,3,1,3,21831.75,21834.75,3,2,3,2,21831.5,21835.0,5,4,5,4,21831.25,21835.25,2,1,2,1,21831.0,21835.5,3,3,3,3,21830.75,21835.75,4,4,4,3,21830.5,21836.0,4,3,4,3,NQ.v.0
2025-06-23 07:09:00+00:00,2025-06-23 07:09:59.981999410+00:00,10,1,42008487,C,B,0,21844.0,1,130,11628,5637425,21843.75,21844.5,1,5,1,2,21843.5,21844.75,1,4,1,4,21843.25,21845.0,3,5,3,4,21843.0,21845.25,2,2,2,2,21842.75,21845.5,1,2,1,2,21842.5,21845.75,1,1,1,1,21842.25,21846.0,5,4,3,4,21842.0,21846.25,2,1,2,1,21841.75,21846.5,2,2,2,2,21841.25,21846.75,1,2,1,2,NQ.v.0
