ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2024-04-10 07:00:00+00:00,2024-04-10 07:00:59.948505067+00:00,10,1,13743,A,A,0,18381.0,1,130,15042,120550291,18380.5,18381.0,1,2,1,2,18380.25,18381.25,6,4,6,4,18380.0,18381.5,3,4,3,4,18379.75,18381.75,4,3,4,3,18379.5,18382.0,4,4,4,4,18379.25,18382.25,3,3,3,3,18379.0,18382.5,4,9,4,7,18378.75,18382.75,3,6,3,5,18378.5,18383.0,5,11,5,8,18378.25,18383.25,5,8,5,7,NQ.v.0
2024-04-10 07:01:00+00:00,2024-04-10 07:01:59.799588652+00:00,10,1,13743,A,A,0,18383.75,1,130,12673,120571103,18383.25,18383.75,1,1,1,1,18383.0,18384.0,4,3,4,3,18382.75,18384.25,3,8,3,3,18382.5,18384.5,5,3,5,3,18382.25,18384.75,3,5,3,5,18382.0,18385.0,3,13,3,8,18381.75,18385.25,4,8,4,8,18381.5,18385.5,6,7,6,6,18381.25,18385.75,4,10,4,8,18381.0,18386.0,4,11,4,10,NQ.v.0
2024-04-10 07:02:00+00:00,2024-04-10 07:02:59.911665932+00:00,10,1,13743,A,A,1,18384.75,1,130,12700,120590939,18383.75,18384.5,1,2,1,2,18383.5,18384.75,2,5,2,5,18383.25,18385.0,4,6,4,6,18383.0,18385.25,6,4,6,4,18382.75,18385.5,6,10,5,10,18382.5,18385.75,7,5,6,5,18382.25,18386.0,5,5,4,5,18382.0,18386.25,7,6,6,6,18381.75,18386.5,6,6,5,6,18381.5,18386.75,9,4,8,4,NQ.v.0
2024-04-10 07:03:00+00:00,2024-04-10 07:03:59.936946478+00:00,10,1,13743,A,A,9,18384.5,1,130,25455,120607718,18381.5,18382.25,1,4,1,4,18381.25,18382.5,3,4,3,4,18381.0,18382.75,1,3,1,3,18380.75,18383.0,4,6,4,6,18380.5,18383.25,5,6,5,5,18380.25,18383.5,5,4,5,4,18380.0,18383.75,7,5,6,5,18379.75,18384.0,6,7,5,7,18379.5,18384.25,6,4,5,4,18379.25,18384.5,5,7,4,6,NQ.v.0
2024-04-10 07:04:00+00:00,2024-04-10 07:04:59.894650839+00:00,10,1,13743,A,A,1,18378.25,1,130,16092,120622895,18377.5,18378.0,1,2,1,2,18377.25,18378.25,5,9,5,6,18377.0,18378.5,4,4,4,4,18376.75,18378.75,4,1,4,1,18376.5,18379.0,5,3,5,3,18376.25,18379.25,4,2,4,2,18376.0,18379.5,8,2,8,2,18375.75,18379.75,4,4,4,4,18375.5,18380.0,5,7,4,7,18375.25,18380.25,5,9,4,8,NQ.v.0
2024-04-10 07:05:00+00:00,2024-04-10 07:05:59.177336753+00:00,10,1,13743,C,A,1,18377.75,1,130,13427,120640803,18377.0,18377.5,2,2,2,2,18376.75,18377.75,3,4,3,4,18376.5,18378.0,2,7,2,7,18376.25,18378.25,7,8,6,8,18376.0,18378.5,8,9,7,3,18375.75,18378.75,5,2,5,2,18375.5,18379.0,6,3,6,3,18375.25,18379.25,8,8,7,8,18375.0,18379.5,7,4,6,4,18374.75,18379.75,4,4,3,4,NQ.v.0
2024-04-10 07:06:00+00:00,2024-04-10 07:06:59.658148534+00:00,10,1,13743,A,A,0,18375.0,1,130,15104,120657105,18374.5,18375.0,1,2,1,2,18374.25,18375.25,5,4,5,4,18374.0,18375.5,8,3,8,3,18373.75,18375.75,7,3,6,3,18373.5,18376.0,6,7,5,7,18373.25,18376.25,6,4,5,4,18373.0,18376.5,6,6,4,4,18372.75,18376.75,6,6,5,6,18372.5,18377.0,4,5,3,5,18372.25,18377.25,6,3,5,3,NQ.v.0
2024-04-10 07:07:00+00:00,2024-04-10 07:07:59.740147561+00:00,10,1,13743,A,B,1,18375.75,1,130,15617,120670631,18376.0,18376.75,2,1,2,1,18375.75,18377.0,4,6,4,6,18375.5,18377.25,3,4,3,4,18375.25,18377.5,4,4,4,4,18375.0,18377.75,4,6,4,6,18374.75,18378.0,4,4,4,4,18374.5,18378.25,5,5,5,4,18374.25,18378.5,4,6,4,5,18374.0,18378.75,4,6,4,5,18373.75,18379.0,4,5,4,4,NQ.v.0
2024-04-10 07:08:00+00:00,2024-04-10 07:08:59.727201933+00:00,10,1,13743,A,A,0,18374.25,1,130,12329,120686475,18373.5,18374.25,3,3,3,3,18373.25,18374.5,6,4,6,4,18373.0,18374.75,6,3,6,3,18372.75,18375.0,6,3,5,3,18372.5,18375.25,6,4,5,4,18372.25,18375.5,6,4,5,4,18372.0,18375.75,12,10,11,9,18371.75,18376.0,7,7,6,7,18371.5,18376.25,6,6,5,6,18371.25,18376.5,9,4,8,4,NQ.v.0
2024-04-10 07:09:00+00:00,2024-04-10 07:09:59.885428732+00:00,10,1,13743,A,A,1,18378.5,1,130,15412,120698263,18377.75,18378.25,4,1,4,1,18377.5,18378.5,3,3,3,3,18377.25,18378.75,3,3,3,3,18377.0,18379.0,4,1,4,1,18376.75,18379.25,4,6,4,6,18376.5,18379.5,3,4,3,4,18376.25,18379.75,4,5,4,4,18376.0,18380.0,5,6,5,5,18375.75,18380.25,4,8,4,7,18375.5,18380.5,3,8,3,8,NQ.v.0
2024-04-10 07:10:00+00:00,2024-04-10 07:10:59.711272615+00:00,10,1,13743,C,A,0,18381.75,1,130,14069,120712446,18381.0,18381.75,4,1,4,1,18380.75,18382.0,4,3,4,3,18380.5,18382.25,3,4,3,4,18380.25,18382.5,3,3,3,3,18380.0,18382.75,3,3,3,3,18379.75,18383.0,4,6,4,6,18379.5,18383.25,4,7,4,6,18379.25,18383.5,7,6,6,6,18379.0,18383.75,7,6,6,5,18378.75,18384.0,7,7,6,6,NQ.v.0
2024-04-10 07:11:00+00:00,2024-04-10 07:11:59.998230371+00:00,10,1,13743,M,A,5,18453.5,1,130,17043,120730647,18377.0,18377.75,2,4,2,4,18376.75,18378.0,6,4,6,4,18376.5,18378.25,2,6,2,6,18376.25,18378.5,3,4,3,4,18376.0,18378.75,6,3,6,3,18375.75,18379.0,4,3,4,3,18375.5,18379.25,3,6,3,5,18375.25,18379.5,6,4,6,3,18375.0,18379.75,5,5,5,4,18374.75,18380.0,7,4,6,3,NQ.v.0
2024-04-10 07:12:00+00:00,2024-04-10 07:12:59.627790539+00:00,10,1,13743,C,B,0,18377.0,1,130,12526,120743272,18377.0,18377.75,3,2,3,2,18376.75,18378.0,5,3,5,3,18376.5,18378.25,4,7,4,7,18376.25,18378.5,4,4,4,4,18376.0,18378.75,4,3,4,3,18375.75,18379.0,6,2,5,2,18375.5,18379.25,4,6,4,5,18375.25,18379.5,7,4,7,3,18375.0,18379.75,6,5,6,4,18374.75,18380.0,7,4,6,3,NQ.v.0
2024-04-10 07:13:00+00:00,2024-04-10 07:13:59.984927185+00:00,10,1,13743,A,A,1,18379.0,1,130,15167,120754380,18378.0,18378.75,2,2,2,2,18377.75,18379.0,4,8,4,8,18377.5,18379.25,3,5,3,5,18377.25,18379.5,4,2,4,2,18377.0,18379.75,5,7,5,6,18376.75,18380.0,4,8,4,7,18376.5,18380.25,6,8,6,7,18376.25,18380.5,4,5,4,5,18376.0,18380.75,5,6,5,6,18375.75,18381.0,5,5,5,4,NQ.v.0
2024-04-10 07:14:00+00:00,2024-04-10 07:14:59.802991890+00:00,10,1,13743,C,B,0,18382.5,1,130,12418,120768835,18382.25,18383.0,4,4,4,4,18382.0,18383.25,5,5,5,4,18381.75,18383.5,4,3,4,3,18381.5,18383.75,5,4,5,4,18381.25,18384.0,4,5,4,4,18381.0,18384.25,3,5,3,4,18380.75,18384.5,4,6,4,5,18380.5,18384.75,7,9,6,8,18380.25,18385.0,5,12,5,8,18380.0,18385.25,4,7,4,6,NQ.v.0
2024-04-10 07:15:00+00:00,2024-04-10 07:15:59.756117323+00:00,10,1,13743,C,B,0,18382.25,1,130,15163,120781615,18382.0,18382.75,3,2,3,1,18381.75,18383.0,4,4,4,4,18381.5,18383.25,4,5,4,4,18381.25,18383.5,3,3,3,3,18381.0,18383.75,3,4,3,4,18380.75,18384.0,4,2,4,2,18380.5,18384.25,5,4,5,4,18380.25,18384.5,7,5,6,4,18380.0,18384.75,6,8,5,8,18379.75,18385.0,6,12,5,9,NQ.v.0
2024-04-10 07:16:00+00:00,2024-04-10 07:16:59.596308316+00:00,10,1,13743,A,A,1,18388.0,1,130,16247,120795392,18387.0,18387.75,3,4,3,4,18386.75,18388.0,5,12,5,8,18386.5,18388.25,2,5,2,5,18386.25,18388.5,4,6,4,6,18386.0,18388.75,7,4,7,4,18385.75,18389.0,6,8,3,7,18385.5,18389.25,4,9,4,8,18385.25,18389.5,3,5,3,4,18385.0,18389.75,2,10,2,9,18384.75,18390.0,4,17,4,12,NQ.v.0
2024-04-10 07:17:00+00:00,2024-04-10 07:17:59.957689736+00:00,10,1,13743,A,A,1,18384.0,1,130,12595,120809662,18383.25,18383.75,2,1,2,1,18383.0,18384.0,5,4,5,4,18382.75,18384.25,4,3,4,3,18382.5,18384.5,6,3,6,3,18382.25,18384.75,5,6,4,6,18382.0,18385.0,7,9,6,8,18381.75,18385.25,5,4,4,4,18381.5,18385.5,18,6,12,5,18381.25,18385.75,7,5,6,5,18381.0,18386.0,5,7,4,6,NQ.v.0
2024-04-10 07:18:00+00:00,2024-04-10 07:18:59.148840114+00:00,10,1,13743,A,B,1,18379.25,1,130,17649,120823797,18379.5,18380.25,3,2,3,2,18379.25,18380.5,5,4,5,4,18379.0,18380.75,5,7,5,7,18378.75,18381.0,5,11,5,11,18378.5,18381.25,9,4,6,4,18378.25,18381.5,4,5,3,5,18378.0,18381.75,6,3,5,3,18377.75,18382.0,8,6,7,6,18377.5,18382.25,7,4,6,4,18377.25,18382.5,5,5,4,5,NQ.v.0
2024-04-10 07:19:00+00:00,2024-04-10 07:19:59.996326969+00:00,10,1,13743,A,B,0,18380.0,1,130,14434,120834385,18380.0,18380.75,2,2,2,2,18379.75,18381.0,4,8,4,8,18379.5,18381.25,4,8,4,8,18379.25,18381.5,5,2,5,2,18379.0,18381.75,5,2,5,2,18378.75,18382.0,6,6,6,6,18378.5,18382.25,9,4,6,4,18378.25,18382.5,4,5,3,5,18378.0,18382.75,6,5,5,5,18377.75,18383.0,8,5,7,5,NQ.v.0
2024-04-10 07:20:00+00:00,2024-04-10 07:20:59.985311331+00:00,10,1,13743,C,A,0,18377.0,1,130,13770,120851349,18376.5,18377.25,1,2,1,2,18376.25,18377.5,3,13,3,3,18376.0,18377.75,4,2,4,2,18375.75,18378.0,4,3,4,3,18375.5,18378.25,6,4,6,4,18375.25,18378.5,5,3,5,3,18375.0,18378.75,15,3,8,3,18374.75,18379.0,7,4,6,4,18374.5,18379.25,6,3,5,3,18374.25,18379.5,7,6,6,5,NQ.v.0
2024-04-10 07:21:00+00:00,2024-04-10 07:21:59.806147662+00:00,10,1,13743,A,A,0,18379.0,1,130,13105,120862440,18378.5,18379.0,2,1,2,1,18378.25,18379.25,3,3,3,3,18378.0,18379.5,3,3,3,3,18377.75,18379.75,6,1,5,1,18377.5,18380.0,4,2,4,2,18377.25,18380.25,4,2,4,2,18377.0,18380.5,7,1,7,1,18376.75,18380.75,5,4,4,4,18376.5,18381.0,6,3,5,3,18376.25,18381.25,6,7,5,7,NQ.v.0
2024-04-10 07:22:00+00:00,2024-04-10 07:22:59.882997346+00:00,10,1,13743,A,A,1,18376.5,1,130,14819,120875904,18375.5,18376.25,1,3,1,3,18375.25,18376.5,5,3,5,3,18375.0,18376.75,16,1,9,1,18374.75,18377.0,6,2,5,2,18374.5,18377.25,6,2,5,2,18374.25,18377.5,6,5,5,5,18374.0,18377.75,7,6,6,6,18373.75,18378.0,5,5,4,5,18373.5,18378.25,6,5,5,5,18373.25,18378.5,7,6,6,6,NQ.v.0
2024-04-10 07:23:00+00:00,2024-04-10 07:23:59.781405778+00:00,10,1,13743,A,A,1,18376.0,1,130,13718,120887671,18375.0,18375.75,3,2,3,2,18374.75,18376.0,5,4,5,4,18374.5,18376.25,2,2,2,2,18374.25,18376.5,4,4,4,4,18374.0,18376.75,4,1,4,1,18373.75,18377.0,5,1,5,1,18373.5,18377.25,6,4,6,4,18373.25,18377.5,7,4,6,4,18373.0,18377.75,7,7,6,6,18372.75,18378.0,6,7,5,6,NQ.v.0
2024-04-10 07:24:00+00:00,2024-04-10 07:24:59.492782201+00:00,10,1,13743,A,B,5,18373.0,2,130,16282,120897012,18374.25,18375.0,2,3,2,3,18374.0,18375.25,4,5,4,5,18373.75,18375.5,4,2,4,2,18373.5,18375.75,3,2,3,2,18373.25,18376.0,6,5,6,5,18373.0,18376.25,13,3,9,3,18372.75,18376.5,8,4,6,4,18372.5,18376.75,6,5,5,5,18372.25,18377.0,6,6,5,5,18372.0,18377.25,8,6,7,5,NQ.v.0
