ts,side,price,size
2026-04-01 02:00:00-04:00,bid,24047.25,1
2026-04-01 02:00:00-04:00,bid,24046.75,2
2026-04-01 02:00:00-04:00,bid,24046.5,3
2026-04-01 02:00:00-04:00,bid,24046.25,4
2026-04-01 02:00:00-04:00,bid,24046.0,3
2026-04-01 02:00:00-04:00,bid,24045.75,3
2026-04-01 02:00:00-04:00,bid,24045.5,2
2026-04-01 02:00:00-04:00,bid,24045.25,1
2026-04-01 02:00:00-04:00,bid,24045.0,3
2026-04-01 02:00:00-04:00,bid,24044.75,1
2026-04-01 02:00:00-04:00,ask,24047.75,1
2026-04-01 02:00:00-04:00,ask,24048.25,1
2026-04-01 02:00:00-04:00,ask,24048.5,1
2026-04-01 02:00:00-04:00,ask,24048.75,1
2026-04-01 02:00:00-04:00,ask,24049.0,1
2026-04-01 02:00:00-04:00,ask,24049.25,1
2026-04-01 02:00:00-04:00,ask,24049.5,1
2026-04-01 02:00:00-04:00,ask,24049.75,2
2026-04-01 02:00:00-04:00,ask,24050.0,4
2026-04-01 02:00:00-04:00,ask,24050.25,3
2026-04-01 02:01:00-04:00,bid,24060.0,1
2026-04-01 02:01:00-04:00,bid,24059.75,2
2026-04-01 02:01:00-04:00,bid,24059.5,1
2026-04-01 02:01:00-04:00,bid,24059.25,3
2026-04-01 02:01:00-04:00,bid,24059.0,5
2026-04-01 02:01:00-04:00,bid,24058.75,5
2026-04-01 02:01:00-04:00,bid,24058.5,2
2026-04-01 02:01:00-04:00,bid,24058.25,3
2026-04-01 02:01:00-04:00,bid,24058.0,4
2026-04-01 02:01:00-04:00,bid,24057.75,1
2026-04-01 02:01:00-04:00,ask,24060.75,1
2026-04-01 02:01:00-04:00,ask,24061.0,2
2026-04-01 02:01:00-04:00,ask,24061.25,4
2026-04-01 02:01:00-04:00,ask,24061.5,2
2026-04-01 02:01:00-04:00,ask,24061.75,2
2026-04-01 02:01:00-04:00,ask,24062.0,4
2026-04-01 02:01:00-04:00,ask,24062.25,3
2026-04-01 02:01:00-04:00,ask,24062.5,4
2026-04-01 02:01:00-04:00,ask,24062.75,4
2026-04-01 02:01:00-04:00,ask,24063.0,3
2026-04-01 02:02:00-04:00,bid,24056.25,2
2026-04-01 02:02:00-04:00,bid,24056.0,3
2026-04-01 02:02:00-04:00,bid,24055.75,5
2026-04-01 02:02:00-04:00,bid,24055.5,4
2026-04-01 02:02:00-04:00,bid,24055.25,4
2026-04-01 02:02:00-04:00,bid,24055.0,2
2026-04-01 02:02:00-04:00,bid,24054.75,1
2026-04-01 02:02:00-04:00,bid,24054.5,2
2026-04-01 02:02:00-04:00,bid,24054.25,4
2026-04-01 02:02:00-04:00,bid,24054.0,5
2026-04-01 02:02:00-04:00,ask,24057.25,2
2026-04-01 02:02:00-04:00,ask,24057.5,4
2026-04-01 02:02:00-04:00,ask,24057.75,2
2026-04-01 02:02:00-04:00,ask,24058.0,1
2026-04-01 02:02:00-04:00,ask,24058.25,2
2026-04-01 02:02:00-04:00,ask,24058.5,2
2026-04-01 02:02:00-04:00,ask,24058.75,2
2026-04-01 02:02:00-04:00,ask,24059.0,3
2026-04-01 02:02:00-04:00,ask,24059.25,4
2026-04-01 02:02:00-04:00,ask,24059.5,7
2026-04-01 02:03:00-04:00,bid,24053.0,2
2026-04-01 02:03:00-04:00,bid,24052.75,2
2026-04-01 02:03:00-04:00,bid,24052.5,3
2026-04-01 02:03:00-04:00,bid,24052.25,4
2026-04-01 02:03:00-04:00,bid,24052.0,7
2026-04-01 02:03:00-04:00,bid,24051.75,6
2026-04-01 02:03:00-04:00,bid,24051.5,2
2026-04-01 02:03:00-04:00,bid,24051.25,2
2026-04-01 02:03:00-04:00,bid,24051.0,1
2026-04-01 02:03:00-04:00,bid,24050.75,2
2026-04-01 02:03:00-04:00,ask,24053.75,1
2026-04-01 02:03:00-04:00,ask,24054.0,2
2026-04-01 02:03:00-04:00,ask,24054.25,2
2026-04-01 02:03:00-04:00,ask,24054.5,2
2026-04-01 02:03:00-04:00,ask,24054.75,4
2026-04-01 02:03:00-04:00,ask,24055.0,1
2026-04-01 02:03:00-04:00,ask,24055.25,2
2026-04-01 02:03:00-04:00,ask,24055.5,2
2026-04-01 02:03:00-04:00,ask,24055.75,1
2026-04-01 02:03:00-04:00,ask,24056.0,3
2026-04-01 02:04:00-04:00,bid,24040.75,2
2026-04-01 02:04:00-04:00,bid,24040.5,4
2026-04-01 02:04:00-04:00,bid,24040.25,2
2026-04-01 02:04:00-04:00,bid,24040.0,2
2026-04-01 02:04:00-04:00,bid,24039.75,2
2026-04-01 02:04:00-04:00,bid,24039.5,2
2026-04-01 02:04:00-04:00,bid,24039.25,2
