Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2023-09-11 10:06,xL,15321.5,1,306535,-115,-0.04,10,0,0.00,-110,-0.04,-115,-0.01,1
1,Entry long,2023-09-11 10:05,L @ 15327,15326.75,1,306535,-115,-0.04,10,0,0.00,-110,-0.04,-115,-0.01,1
2,Exit short,2023-09-11 13:14,xS,15322,1,306545,95,0.03,10,100,0.03,-45,-0.01,-20,0.00,21
2,Entry short,2023-09-11 12:53,S @ 15327,15327.25,1,306545,95,0.03,10,100,0.03,-45,-0.01,-20,0.00,21
3,Exit long,2023-09-14 00:53,SAR,15552.25,1,311155,-120,-0.04,10,0,0.00,-135,-0.04,-140,-0.01,1
3,Entry long,2023-09-14 00:52,L @ 15558,15557.75,1,311155,-120,-0.04,10,0,0.00,-135,-0.04,-140,-0.01,1
4,Exit short,2023-09-14 00:57,xS,15563.75,1,311165,-120,-0.04,10,70,0.02,-115,-0.04,-260,-0.03,1
4,Entry short,2023-09-14 00:56,S @ 15558,15558.25,1,311165,-120,-0.04,10,70,0.02,-115,-0.04,-260,-0.03,1
5,Exit long,2023-09-14 01:03,xL,15564.75,1,311155,130,0.04,10,135,0.04,-45,-0.01,-130,-0.01,2
5,Entry long,2023-09-14 01:01,L @ 15558,15557.75,1,311155,130,0.04,10,135,0.04,-45,-0.01,-130,-0.01,2
6,Exit short,2023-09-14 01:57,xS,15564.25,1,311165,-130,-0.04,10,90,0.03,-125,-0.04,-260,-0.03,2
6,Entry short,2023-09-14 01:55,S @ 15558,15558.25,1,311165,-130,-0.04,10,90,0.03,-125,-0.04,-260,-0.03,2
7,Exit long,2023-09-14 02:16,xL,15563,1,311155,95,0.03,10,100,0.03,-80,-0.03,-165,-0.02,2
7,Entry long,2023-09-14 02:14,L @ 15558,15557.75,1,311155,95,0.03,10,100,0.03,-80,-0.03,-165,-0.02,2
8,Exit short,2023-09-14 05:00,xS,15553,1,311165,95,0.03,10,100,0.03,-10,0.00,-70,-0.01,0
8,Entry short,2023-09-14 05:00,S @ 15558,15558.25,1,311165,95,0.03,10,100,0.03,-10,0.00,-70,-0.01,0
9,Exit long,2023-09-15 00:10,xL,15540.25,1,310935,-140,-0.05,10,0,0.00,-135,-0.04,-210,-0.02,0
9,Entry long,2023-09-15 00:10,L @ 15547,15546.75,1,310935,-140,-0.05,10,0,0.00,-135,-0.04,-210,-0.02,0
10,Exit long,2023-09-15 00:18,xL,15557.25,1,310935,200,0.06,10,205,0.07,-60,-0.02,-10,0.00,1
10,Entry long,2023-09-15 00:17,L @ 15547,15546.75,1,310935,200,0.06,10,205,0.07,-60,-0.02,-10,0.00,1
11,Exit short,2023-09-15 00:22,SAR,15554.5,1,310945,-155,-0.05,10,0,0.00,-180,-0.06,-165,-0.02,1
11,Entry short,2023-09-15 00:21,S @ 15547,15547.25,1,310945,-155,-0.05,10,0,0.00,-180,-0.06,-165,-0.02,1
12,Exit long,2023-09-18 23:43,SAR,15385,1,307815,-125,-0.04,10,0,0.00,-195,-0.06,-290,-0.03,1
12,Entry long,2023-09-18 23:42,L @ 15391,15390.75,1,307815,-125,-0.04,10,0,0.00,-195,-0.06,-290,-0.03,1
13,Exit short,2023-09-18 23:49,SAR,15400.5,1,307825,-195,-0.06,10,0,0.00,-220,-0.07,-485,-0.05,1
13,Entry short,2023-09-18 23:48,S @ 15391,15391.25,1,307825,-195,-0.06,10,0,0.00,-220,-0.07,-485,-0.05,1
14,Exit long,2023-09-19 00:08,SAR,15387.5,1,307815,-75,-0.02,10,0,0.00,-95,-0.03,-560,-0.06,1
14,Entry long,2023-09-19 00:07,L @ 15391,15390.75,1,307815,-75,-0.02,10,0,0.00,-95,-0.03,-560,-0.06,1
15,Exit long,2023-09-19 00:33,xL,15396.25,1,307815,100,0.03,10,105,0.03,-30,-0.01,-460,-0.05,0
15,Entry long,2023-09-19 00:33,L @ 15391,15390.75,1,307815,100,0.03,10,105,0.03,-30,-0.01,-460,-0.05,0
16,Exit short,2023-09-19 00:51,xS,15371.25,1,307825,390,0.13,10,395,0.13,-25,-0.01,-70,-0.01,5
16,Entry short,2023-09-19 00:46,S @ 15391,15391.25,1,307825,390,0.13,10,395,0.13,-25,-0.01,-70,-0.01,5
17,Exit long,2023-09-19 04:54,xL,15386,1,307815,-105,-0.03,10,0,0.00,-100,-0.03,-175,-0.02,0
17,Entry long,2023-09-19 04:54,L @ 15391,15390.75,1,307815,-105,-0.03,10,0,0.00,-100,-0.03,-175,-0.02,0
18,Exit long,2023-09-19 05:04,xL,15397.75,1,307815,130,0.04,10,135,0.04,-40,-0.01,-45,0.00,4
18,Entry long,2023-09-19 05:00,L @ 15391,15390.75,1,307815,130,0.04,10,135,0.04,-40,-0.01,-45,0.00,4
19,Exit long,2023-09-19 05:47,xL,15396,1,307815,95,0.03,10,100,0.03,-55,-0.02,50,0.01,3
19,Entry long,2023-09-19 05:44,L @ 15391,15390.75,1,307815,95,0.03,10,100,0.03,-55,-0.02,50,0.01,3
20,Exit long,2023-09-19 22:31,xL,15405,1,308185,-95,-0.03,10,0,0.00,-90,-0.03,-45,0.00,0
