Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2023-09-07 00:04,xS,15418.5,1,308740,360,0.12,10,365,0.12,-5,0.00,360,0.04,1
1,Entry short,2023-09-07 00:03,S @ 15436.75,15437,1,308740,360,0.12,10,365,0.12,-5,0.00,360,0.04,1
2,Exit short,2023-09-11 18:22,xS,15385.75,1,307820,95,0.03,10,100,0.03,-65,-0.02,455,0.05,2
2,Entry short,2023-09-11 18:20,S @ 15390.75,15391,1,307820,95,0.03,10,100,0.03,-65,-0.02,455,0.05,2
3,Exit short,2023-09-11 18:31,xS,15395.75,1,307820,-105,-0.03,10,30,0.01,-100,-0.03,350,0.03,2
3,Entry short,2023-09-11 18:29,S @ 15390.75,15391,1,307820,-105,-0.03,10,30,0.01,-100,-0.03,350,0.03,2
4,Exit short,2023-09-11 21:04,xS,15395.75,1,307820,-105,-0.03,10,85,0.03,-100,-0.03,245,0.02,6
4,Entry short,2023-09-11 20:58,S @ 15390.75,15391,1,307820,-105,-0.03,10,85,0.03,-100,-0.03,245,0.02,6
5,Exit long,2023-09-11 23:39,xL,15385.75,1,307810,-105,-0.03,10,0,0.00,-100,-0.03,140,0.01,0
5,Entry long,2023-09-11 23:39,L @ 15390.75,15390.5,1,307810,-105,-0.03,10,0,0.00,-100,-0.03,140,0.01,0
6,Exit short,2023-09-11 23:57,xS,15378.75,1,307820,235,0.08,10,240,0.08,-130,-0.04,375,0.04,3
6,Entry short,2023-09-11 23:54,S @ 15390.75,15391,1,307820,235,0.08,10,240,0.08,-130,-0.04,375,0.04,3
7,Exit short,2023-09-12 00:03,xS,15384,1,307820,130,0.04,10,135,0.04,-15,0.00,505,0.05,0
7,Entry short,2023-09-12 00:03,S @ 15390.75,15391,1,307820,130,0.04,10,135,0.04,-15,0.00,505,0.05,0
8,Exit long,2023-09-12 01:31,SAR,15387,1,307810,-80,-0.03,10,0,0.00,-95,-0.03,425,0.04,1
8,Entry long,2023-09-12 01:30,L @ 15390.75,15390.5,1,307810,-80,-0.03,10,0,0.00,-95,-0.03,425,0.04,1
9,Exit long,2023-09-12 01:40,xL,15395.75,1,307810,95,0.03,10,100,0.03,-5,0.00,520,0.05,0
9,Entry long,2023-09-12 01:40,L @ 15390.75,15390.5,1,307810,95,0.03,10,100,0.03,-5,0.00,520,0.05,0
10,Exit short,2023-09-12 02:58,xS,15397.5,1,307820,-140,-0.05,10,65,0.02,-135,-0.04,380,0.04,4
10,Entry short,2023-09-12 02:54,S @ 15390.75,15391,1,307820,-140,-0.05,10,65,0.02,-135,-0.04,380,0.04,4
11,Exit long,2023-09-13 05:08,xL,15502.5,1,309945,95,0.03,10,100,0.03,-30,-0.01,475,0.05,1
11,Entry long,2023-09-13 05:07,L @ 15497.5,15497.25,1,309945,95,0.03,10,100,0.03,-30,-0.01,475,0.05,1
12,Exit long,2023-09-13 05:12,xL,15502.5,1,309945,95,0.03,10,100,0.03,-45,-0.01,570,0.06,1
12,Entry long,2023-09-13 05:11,L @ 15497.5,15497.25,1,309945,95,0.03,10,100,0.03,-45,-0.01,570,0.06,1
13,Exit short,2023-09-13 05:31,xS,15492.5,1,309955,95,0.03,10,100,0.03,-15,0.00,665,0.07,0
13,Entry short,2023-09-13 05:31,S @ 15497.5,15497.75,1,309955,95,0.03,10,100,0.03,-15,0.00,665,0.07,0
14,Exit short,2023-09-13 05:42,SAR,15501,1,309955,-75,-0.02,10,40,0.01,-95,-0.03,590,0.06,2
14,Entry short,2023-09-13 05:40,S @ 15497.5,15497.75,1,309955,-75,-0.02,10,40,0.01,-95,-0.03,590,0.06,2
15,Exit long,2023-09-13 05:48,xL,15492.5,1,309945,-105,-0.03,10,0,0.00,-100,-0.03,485,0.05,2
15,Entry long,2023-09-13 05:46,L @ 15497.5,15497.25,1,309945,-105,-0.03,10,0,0.00,-100,-0.03,485,0.05,2
16,Exit short,2023-09-13 12:23,xS,15478.75,1,309680,95,0.03,10,100,0.03,-35,-0.01,580,0.06,4
16,Entry short,2023-09-13 12:19,S @ 15483.75,15484,1,309680,95,0.03,10,100,0.03,-35,-0.01,580,0.06,4
17,Exit long,2023-09-13 18:45,xL,15488.75,1,309670,95,0.03,10,100,0.03,-25,-0.01,675,0.07,2
17,Entry long,2023-09-13 18:43,L @ 15483.75,15483.5,1,309670,95,0.03,10,100,0.03,-25,-0.01,675,0.07,2
18,Exit short,2023-09-13 19:15,xS,15489,1,309680,-110,-0.04,10,90,0.03,-105,-0.03,565,0.06,5
18,Entry short,2023-09-13 19:10,S @ 15483.75,15484,1,309680,-110,-0.04,10,90,0.03,-105,-0.03,565,0.06,5
19,Exit long,2023-09-13 22:38,xL,15475.25,1,309670,-175,-0.06,10,0,0.00,-170,-0.05,390,0.04,0
19,Entry long,2023-09-13 22:38,L @ 15483.75,15483.5,1,309670,-175,-0.06,10,0,0.00,-170,-0.05,390,0.04,0
20,Exit short,2023-09-13 22:50,xS,15474,1,309680,190,0.06,10,195,0.06,-85,-0.03,580,0.06,1
20,Entry short,2023-09-13 22:49,S @ 15483.75,15484,1,309680,190,0.06,10,195,0.06,-85,-0.03,580,0.06,1
21,Exit long,2023-09-13 23:21,xL,15496,1,309670,240,0.08,10,245,0.08,-155,-0.05,820,0.08,9
21,Entry long,2023-09-13 23:12,L @ 15483.75,15483.5,1,309670,240,0.08,10,245,0.08,-155,-0.05,820,0.08,9
22,Exit short,2023-09-14 00:24,SAR,15492.75,1,309680,-185,-0.06,10,0,0.00,-210,-0.07,635,0.06,1
22,Entry short,2023-09-14 00:23,S @ 15483.75,15484,1,309680,-185,-0.06,10,0,0.00,-210,-0.07,635,0.06,1
23,Exit long,2023-09-19 23:54,SAR,15322.5,1,306605,-165,-0.05,10,30,0.01,-210,-0.07,470,0.05,2
23,Entry long,2023-09-19 23:52,L @ 15330.5,15330.25,1,306605,-165,-0.05,10,30,0.01,-210,-0.07,470,0.05,2
24,Exit short,2023-09-20 03:19,SAR,15334,1,306615,-75,-0.02,10,0,0.00,-100,-0.03,395,0.04,1
24,Entry short,2023-09-20 03:18,S @ 15330.5,15330.75,1,306615,-75,-0.02,10,0,0.00,-100,-0.03,395,0.04,1
25,Exit short,2023-09-21 09:42,xS,15122,1,302545,95,0.03,10,100,0.03,-30,-0.01,490,0.05,3
25,Entry short,2023-09-21 09:39,S @ 15127,15127.25,1,302545,95,0.03,10,100,0.03,-30,-0.01,490,0.05,3
26,Exit short,2023-09-21 10:17,xS,15132,1,302545,-105,-0.03,10,10,0.00,-100,-0.03,385,0.04,2
26,Entry short,2023-09-21 10:15,S @ 15127,15127.25,1,302545,-105,-0.03,10,10,0.00,-100,-0.03,385,0.04,2
27,Exit long,2023-09-22 10:38,xL,14846,1,296815,95,0.03,10,100,0.03,-55,-0.02,480,0.05,1
27,Entry long,2023-09-22 10:37,L @ 14841,14840.75,1,296815,95,0.03,10,100,0.03,-55,-0.02,480,0.05,1
28,Exit short,2023-09-25 19:00,xS,14841.25,1,296730,-105,-0.04,10,60,0.02,-100,-0.03,375,0.04,4
28,Entry short,2023-09-25 18:56,S @ 14836.25,14836.5,1,296730,-105,-0.04,10,60,0.02,-100,-0.03,375,0.04,4
29,Exit short,2023-09-25 19:47,SAR,14839.5,1,296730,-70,-0.02,10,0,0.00,-70,-0.02,305,0.03,1
29,Entry short,2023-09-25 19:46,S @ 14836.25,14836.5,1,296730,-70,-0.02,10,0,0.00,-70,-0.02,305,0.03,1
