Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2023-09-06 17:07,xS,15480,1,309765,155,0.05,10,160,0.05,-15,0.00,155,0.02,1
1,Entry short,2023-09-06 17:06,S @ 15488,15488.25,1,309765,155,0.05,10,160,0.05,-15,0.00,155,0.02,1
2,Exit long,2023-09-06 20:35,xL,15494.5,1,309755,125,0.04,10,130,0.04,-100,-0.03,280,0.03,16
2,Entry long,2023-09-06 20:19,L @ 15488,15487.75,1,309755,125,0.04,10,130,0.04,-100,-0.03,280,0.03,16
3,Exit short,2023-09-06 21:00,xS,15493,1,309765,-105,-0.03,10,0,0.00,-100,-0.03,175,0.02,1
3,Entry short,2023-09-06 20:59,S @ 15488,15488.25,1,309765,-105,-0.03,10,0,0.00,-100,-0.03,175,0.02,1
4,Exit long,2023-09-06 22:09,xL,15493,1,309755,95,0.03,10,100,0.03,-5,0.00,270,0.03,1
4,Entry long,2023-09-06 22:08,L @ 15488,15487.75,1,309755,95,0.03,10,100,0.03,-5,0.00,270,0.03,1
5,Exit short,2023-09-06 22:50,xS,15493,1,309765,-105,-0.03,10,70,0.02,-100,-0.03,165,0.02,4
5,Entry short,2023-09-06 22:46,S @ 15488,15488.25,1,309765,-105,-0.03,10,70,0.02,-100,-0.03,165,0.02,4
6,Exit long,2023-09-06 23:32,xL,15496.5,1,309755,165,0.05,10,170,0.05,-85,-0.03,330,0.03,0
6,Entry long,2023-09-06 23:32,L @ 15488,15487.75,1,309755,165,0.05,10,170,0.05,-85,-0.03,330,0.03,0
7,Exit short,2023-09-06 23:44,SAR,15493.5,1,309765,-115,-0.04,10,145,0.05,-260,-0.08,215,0.02,2
7,Entry short,2023-09-06 23:42,S @ 15488,15488.25,1,309765,-115,-0.04,10,145,0.05,-260,-0.08,215,0.02,2
8,Exit long,2023-09-06 23:47,xL,15477.5,1,309755,-215,-0.07,10,0,0.00,-210,-0.07,0,0.00,0
8,Entry long,2023-09-06 23:47,L @ 15488,15487.75,1,309755,-215,-0.07,10,0,0.00,-210,-0.07,0,0.00,0
9,Exit short,2023-09-06 23:51,xS,15494.75,1,309765,-140,-0.05,10,65,0.02,-135,-0.04,-140,-0.01,1
