Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2023-09-08 12:28,xS,15286,1,305625,-105,-0.03,10,20,0.01,-100,-0.03,-105,-0.01,4
1,Entry short,2023-09-08 12:24,S @ 15281,15281.25,1,305625,-105,-0.03,10,20,0.01,-100,-0.03,-105,-0.01,4
2,Exit long,2023-09-08 14:43,SAR,15277.75,1,305615,-70,-0.02,10,15,0.00,-70,-0.02,-175,-0.02,8
2,Entry long,2023-09-08 14:35,L @ 15281,15280.75,1,305615,-70,-0.02,10,15,0.00,-70,-0.02,-175,-0.02,8
3,Exit short,2023-09-08 18:45,xS,15276,1,305625,95,0.03,10,100,0.03,-55,-0.02,-80,-0.01,1
3,Entry short,2023-09-08 18:44,S @ 15281,15281.25,1,305625,95,0.03,10,100,0.03,-55,-0.02,-80,-0.01,1
4,Exit short,2023-09-08 18:48,SAR,15284,1,305625,-65,-0.02,10,0,0.00,-90,-0.03,-145,-0.01,1
4,Entry short,2023-09-08 18:47,S @ 15281,15281.25,1,305625,-65,-0.02,10,0,0.00,-90,-0.03,-145,-0.01,1
5,Exit long,2023-09-08 22:45,xL,15286,1,305615,95,0.03,10,100,0.03,-40,-0.01,-50,0.00,2
5,Entry long,2023-09-08 22:43,L @ 15281,15280.75,1,305615,95,0.03,10,100,0.03,-40,-0.01,-50,0.00,2
6,Exit long,2023-09-08 22:52,xL,15276,1,305615,-105,-0.03,10,0,0.00,-100,-0.03,-155,-0.02,2
6,Entry long,2023-09-08 22:50,L @ 15281,15280.75,1,305615,-105,-0.03,10,0,0.00,-100,-0.03,-155,-0.02,2
7,Exit long,2023-09-09 04:21,xL,15292.25,1,305615,220,0.07,10,225,0.07,-15,0.00,65,0.01,5
7,Entry long,2023-09-09 04:16,L @ 15281,15280.75,1,305615,220,0.07,10,225,0.07,-15,0.00,65,0.01,5
8,Exit long,2023-09-09 04:54,xL,15273.75,1,305615,-150,-0.05,10,0,0.00,-145,-0.05,-85,-0.01,0
8,Entry long,2023-09-09 04:54,L @ 15281,15280.75,1,305615,-150,-0.05,10,0,0.00,-145,-0.05,-85,-0.01,0
9,Exit short,2023-09-09 05:57,xS,15292,1,305625,-225,-0.07,10,205,0.07,-220,-0.07,-310,-0.03,9
9,Entry short,2023-09-09 05:48,S @ 15281,15281.25,1,305625,-225,-0.07,10,205,0.07,-220,-0.07,-310,-0.03,9
10,Exit long,2023-09-11 23:32,xL,15415,1,308395,-105,-0.03,10,0,0.00,-100,-0.03,-415,-0.04,0
10,Entry long,2023-09-11 23:32,L @ 15420,15419.75,1,308395,-105,-0.03,10,0,0.00,-100,-0.03,-415,-0.04,0
