Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2023-09-11 23:46,xL,15358,1,307055,95,0.03,10,100,0.03,-25,-0.01,95,0.01,0
1,Entry long,2023-09-11 23:46,L @ 15353,15352.75,1,307055,95,0.03,10,100,0.03,-25,-0.01,95,0.01,0
2,Exit short,2023-09-12 00:21,xS,15358,1,307065,-105,-0.03,10,0,0.00,-100,-0.03,-10,0.00,0
2,Entry short,2023-09-12 00:21,S @ 15353,15353.25,1,307065,-105,-0.03,10,0,0.00,-100,-0.03,-10,0.00,0
3,Exit long,2023-09-12 00:25,xL,15360.75,1,307055,150,0.05,10,155,0.05,-80,-0.03,140,0.01,2
3,Entry long,2023-09-12 00:23,L @ 15353,15352.75,1,307055,150,0.05,10,155,0.05,-80,-0.03,140,0.01,2
4,Exit short,2023-09-12 00:36,xS,15345,1,307065,155,0.05,10,160,0.05,-135,-0.04,295,0.03,4
4,Entry short,2023-09-12 00:32,S @ 15353,15353.25,1,307065,155,0.05,10,160,0.05,-135,-0.04,295,0.03,4
5,Exit short,2023-09-14 23:58,xS,15567.25,1,311165,-190,-0.06,10,0,0.00,-185,-0.06,105,0.01,1
5,Entry short,2023-09-14 23:57,S @ 15558,15558.25,1,311165,-190,-0.06,10,0,0.00,-185,-0.06,105,0.01,1
6,Exit long,2023-09-15 00:09,xL,15552.5,1,311155,-115,-0.04,10,0,0.00,-110,-0.04,-10,0.00,0
6,Entry long,2023-09-15 00:09,L @ 15558,15557.75,1,311155,-115,-0.04,10,0,0.00,-110,-0.04,-10,0.00,0
7,Exit short,2023-09-15 00:12,xS,15563,1,311165,-105,-0.03,10,70,0.02,-100,-0.03,-115,-0.01,1
7,Entry short,2023-09-15 00:11,S @ 15558,15558.25,1,311165,-105,-0.03,10,70,0.02,-100,-0.03,-115,-0.01,1
8,Exit short,2023-09-15 00:22,xS,15566.75,1,311165,-180,-0.06,10,0,0.00,-175,-0.06,-295,-0.03,0
8,Entry short,2023-09-15 00:22,S @ 15558,15558.25,1,311165,-180,-0.06,10,0,0.00,-175,-0.06,-295,-0.03,0
9,Exit short,2023-10-06 01:15,xS,14774,1,295685,195,0.07,10,200,0.07,-75,-0.03,-100,-0.01,1
9,Entry short,2023-10-06 01:14,S @ 14784,14784.25,1,295685,195,0.07,10,200,0.07,-75,-0.03,-100,-0.01,1
10,Exit short,2023-10-06 01:18,xS,14789,1,295685,-105,-0.04,10,0,0.00,-100,-0.03,-205,-0.02,1
10,Entry short,2023-10-06 01:17,S @ 14784,14784.25,1,295685,-105,-0.04,10,0,0.00,-100,-0.03,-205,-0.02,1
11,Exit short,2023-10-06 01:26,SAR,14787.25,1,295685,-70,-0.02,10,0,0.00,-75,-0.03,-275,-0.03,1
11,Entry short,2023-10-06 01:25,S @ 14784,14784.25,1,295685,-70,-0.02,10,0,0.00,-75,-0.03,-275,-0.03,1
12,Exit long,2023-10-06 01:35,xL,14768.75,1,295675,-310,-0.10,10,35,0.01,-305,-0.10,-585,-0.06,1
12,Entry long,2023-10-06 01:34,L @ 14784,14783.75,1,295675,-310,-0.10,10,35,0.01,-305,-0.10,-585,-0.06,1
13,Exit short,2023-10-06 03:02,xS,14792.75,1,295685,-180,-0.06,10,0,0.00,-175,-0.06,-765,-0.08,0
13,Entry short,2023-10-06 03:02,S @ 14784,14784.25,1,295685,-180,-0.06,10,0,0.00,-175,-0.06,-765,-0.08,0
14,Exit long,2023-10-06 04:13,xL,14797.25,1,295675,260,0.09,10,265,0.09,-255,-0.09,-505,-0.05,8
14,Entry long,2023-10-06 04:05,L @ 14784,14783.75,1,295675,260,0.09,10,265,0.09,-255,-0.09,-505,-0.05,8
15,Exit long,2023-10-13 04:50,xL,15287,1,305835,-105,-0.03,10,0,0.00,-100,-0.03,-610,-0.06,0
15,Entry long,2023-10-13 04:50,L @ 15292,15291.75,1,305835,-105,-0.03,10,0,0.00,-100,-0.03,-610,-0.06,0
16,Exit long,2023-10-13 04:54,xL,15286.5,1,305835,-115,-0.04,10,0,0.00,-110,-0.04,-725,-0.07,0
16,Entry long,2023-10-13 04:54,L @ 15292,15291.75,1,305835,-115,-0.04,10,0,0.00,-110,-0.04,-725,-0.07,0
17,Exit long,2023-10-13 04:59,SAR,15287.25,1,305835,-100,-0.03,10,0,0.00,-120,-0.04,-825,-0.08,1
17,Entry long,2023-10-13 04:58,L @ 15292,15291.75,1,305835,-100,-0.03,10,0,0.00,-120,-0.04,-825,-0.08,1
18,Exit short,2023-10-13 05:49,xS,15298.5,1,305845,-135,-0.04,10,0,0.00,-130,-0.04,-960,-0.10,0
18,Entry short,2023-10-13 05:49,S @ 15292,15292.25,1,305845,-135,-0.04,10,0,0.00,-130,-0.04,-960,-0.10,0
19,Exit short,2023-10-13 06:04,xS,15298,1,305845,-125,-0.04,10,80,0.03,-120,-0.04,-1085,-0.11,3
19,Entry short,2023-10-13 06:01,S @ 15292,15292.25,1,305845,-125,-0.04,10,80,0.03,-120,-0.04,-1085,-0.11,3
20,Exit long,2023-10-13 06:05,xL,15287,1,305835,-105,-0.03,10,0,0.00,-100,-0.03,-1190,-0.12,0
20,Entry long,2023-10-13 06:05,L @ 15292,15291.75,1,305835,-105,-0.03,10,0,0.00,-100,-0.03,-1190,-0.12,0
21,Exit short,2023-10-13 06:09,SAR,15298.25,1,305845,-130,-0.04,10,0,0.00,-155,-0.05,-1320,-0.13,1
21,Entry short,2023-10-13 06:08,S @ 15292,15292.25,1,305845,-130,-0.04,10,0,0.00,-155,-0.05,-1320,-0.13,1
22,Exit long,2023-10-13 06:10,xL,15283.75,1,305835,-170,-0.06,10,0,0.00,-165,-0.05,-1490,-0.15,0
22,Entry long,2023-10-13 06:10,L @ 15292,15291.75,1,305835,-170,-0.06,10,0,0.00,-165,-0.05,-1490,-0.15,0
23,Exit short,2023-10-13 06:13,xS,15302,1,305845,-205,-0.07,10,105,0.03,-200,-0.07,-1695,-0.17,2
23,Entry short,2023-10-13 06:11,S @ 15292,15292.25,1,305845,-205,-0.07,10,105,0.03,-200,-0.07,-1695,-0.17,2
24,Exit long,2023-10-13 06:17,xL,15297.5,1,305835,105,0.03,10,110,0.04,-45,-0.01,-1590,-0.16,1
24,Entry long,2023-10-13 06:16,L @ 15292,15291.75,1,305835,105,0.03,10,110,0.04,-45,-0.01,-1590,-0.16,1
25,Exit long,2023-10-13 19:55,xL,15297,1,305835,95,0.03,10,100,0.03,-30,-0.01,-1495,-0.15,6
25,Entry long,2023-10-13 19:49,L @ 15292,15291.75,1,305835,95,0.03,10,100,0.03,-30,-0.01,-1495,-0.15,6
26,Exit long,2023-10-14 01:17,xL,15283.75,1,305835,-170,-0.06,10,110,0.04,-165,-0.05,-1665,-0.17,1
26,Entry long,2023-10-14 01:16,L @ 15292,15291.75,1,305835,-170,-0.06,10,110,0.04,-165,-0.05,-1665,-0.17,1
27,Exit long,2023-10-14 01:22,xL,15282.5,1,305830,-190,-0.06,10,0,0.00,-185,-0.06,-1855,-0.19,0
27,Entry long,2023-10-14 01:22,L @ 15292,15291.5,1,305830,-190,-0.06,10,0,0.00,-185,-0.06,-1855,-0.19,0
28,Exit long,2023-10-17 02:18,xL,15299.25,1,305835,140,0.05,10,145,0.05,-60,-0.02,-1715,-0.17,2
28,Entry long,2023-10-17 02:16,L @ 15292,15291.75,1,305835,140,0.05,10,145,0.05,-60,-0.02,-1715,-0.17,2
29,Exit long,2023-10-17 02:39,xL,15284,1,305835,-165,-0.05,10,85,0.03,-160,-0.05,-1880,-0.19,3
29,Entry long,2023-10-17 02:36,L @ 15292,15291.75,1,305835,-165,-0.05,10,85,0.03,-160,-0.05,-1880,-0.19,3
30,Exit long,2023-10-17 04:20,SAR,15287.25,1,305835,-100,-0.03,10,0,0.00,-105,-0.03,-1980,-0.20,1
30,Entry long,2023-10-17 04:19,L @ 15292,15291.75,1,305835,-100,-0.03,10,0,0.00,-105,-0.03,-1980,-0.20,1
31,Exit short,2023-10-17 04:42,SAR,15297.25,1,305845,-110,-0.04,10,80,0.03,-140,-0.05,-2090,-0.21,2
31,Entry short,2023-10-17 04:40,S @ 15292,15292.25,1,305845,-110,-0.04,10,80,0.03,-140,-0.05,-2090,-0.21,2
32,Exit long,2023-10-17 04:53,xL,15301.75,1,305835,190,0.06,10,195,0.06,-30,-0.01,-1900,-0.19,7
32,Entry long,2023-10-17 04:46,L @ 15292,15291.75,1,305835,190,0.06,10,195,0.06,-30,-0.01,-1900,-0.19,7
33,Exit long,2023-10-17 06:59,xL,15284.25,1,305835,-160,-0.05,10,0,0.00,-155,-0.05,-2060,-0.21,0
33,Entry long,2023-10-17 06:59,L @ 15292,15291.75,1,305835,-160,-0.05,10,0,0.00,-155,-0.05,-2060,-0.21,0
34,Exit short,2023-11-18 01:34,xS,15858.25,1,317345,170,0.05,10,175,0.06,-130,-0.04,-1890,-0.19,2
34,Entry short,2023-11-18 01:32,S @ 15867,15867.25,1,317345,170,0.05,10,175,0.06,-130,-0.04,-1890,-0.19,2
35,Exit long,2023-11-18 02:00,xL,15855.75,1,317335,-230,-0.07,10,185,0.06,-225,-0.07,-2120,-0.21,6
35,Entry long,2023-11-18 01:54,L @ 15867,15866.75,1,317335,-230,-0.07,10,185,0.06,-225,-0.07,-2120,-0.21,6
36,Exit short,2023-11-18 02:06,xS,15859.75,1,317345,140,0.04,10,145,0.05,-65,-0.02,-1980,-0.20,1
36,Entry short,2023-11-18 02:05,S @ 15867,15867.25,1,317345,140,0.04,10,145,0.05,-65,-0.02,-1980,-0.20,1
37,Exit long,2023-11-18 02:22,SAR,15861,1,317335,-125,-0.04,10,0,0.00,-125,-0.04,-2105,-0.21,1
37,Entry long,2023-11-18 02:21,L @ 15867,15866.75,1,317335,-125,-0.04,10,0,0.00,-125,-0.04,-2105,-0.21,1
38,Exit short,2023-11-18 02:30,SAR,15870,1,317390,-20,-0.01,10,205,0.06,-130,-0.04,-2125,-0.21,7
38,Entry short,2023-11-18 02:23,S @ 15867,15869.5,1,317390,-20,-0.01,10,205,0.06,-130,-0.04,-2125,-0.21,7
39,Exit long,2023-11-18 02:31,xL,15861.75,1,317335,-110,-0.03,10,80,0.03,-105,-0.03,-2235,-0.22,1
39,Entry long,2023-11-18 02:30,L @ 15867,15866.75,1,317335,-110,-0.03,10,80,0.03,-105,-0.03,-2235,-0.22,1
40,Exit short,2023-11-18 02:58,xS,15862,1,317345,95,0.03,10,100,0.03,-95,-0.03,-2140,-0.21,4
40,Entry short,2023-11-18 02:54,S @ 15867,15867.25,1,317345,95,0.03,10,100,0.03,-95,-0.03,-2140,-0.21,4
41,Exit short,2023-11-18 03:01,xS,15862,1,317345,95,0.03,10,100,0.03,-15,0.00,-2045,-0.20,1
41,Entry short,2023-11-18 03:00,S @ 15867,15867.25,1,317345,95,0.03,10,100,0.03,-15,0.00,-2045,-0.20,1
42,Exit short,2023-11-18 03:53,xS,15872.25,1,317345,-110,-0.03,10,40,0.01,-105,-0.03,-2155,-0.22,1
42,Entry short,2023-11-18 03:52,S @ 15867,15867.25,1,317345,-110,-0.03,10,40,0.01,-105,-0.03,-2155,-0.22,1
43,Exit long,2023-11-18 04:30,xL,15872,1,317335,95,0.03,10,100,0.03,-70,-0.02,-2060,-0.21,5
43,Entry long,2023-11-18 04:25,L @ 15867,15866.75,1,317335,95,0.03,10,100,0.03,-70,-0.02,-2060,-0.21,5
44,Exit short,2023-11-28 04:05,SAR,16060,1,321145,-65,-0.02,10,0,0.00,-70,-0.02,-2125,-0.21,1
44,Entry short,2023-11-28 04:04,S @ 16057,16057.25,1,321145,-65,-0.02,10,0,0.00,-70,-0.02,-2125,-0.21,1
45,Exit long,2023-11-28 04:18,xL,16062,1,321135,95,0.03,10,100,0.03,-45,-0.01,-2030,-0.20,1
45,Entry long,2023-11-28 04:17,L @ 16057,16056.75,1,321135,95,0.03,10,100,0.03,-45,-0.01,-2030,-0.20,1
46,Exit long,2023-11-28 04:28,xL,16062,1,321135,95,0.03,10,100,0.03,-75,-0.02,-1935,-0.19,8
46,Entry long,2023-11-28 04:20,L @ 16057,16056.75,1,321135,95,0.03,10,100,0.03,-75,-0.02,-1935,-0.19,8
47,Exit short,2023-12-23 00:41,xS,16984.25,1,339565,-130,-0.04,10,30,0.01,-125,-0.04,-2065,-0.21,2
47,Entry short,2023-12-23 00:39,S @ 16978,16978.25,1,339565,-130,-0.04,10,30,0.01,-125,-0.04,-2065,-0.21,2
48,Exit long,2023-12-23 04:21,SAR,16975.25,1,339555,-60,-0.02,10,80,0.02,-85,-0.03,-2125,-0.21,3
48,Entry long,2023-12-23 04:18,L @ 16978,16977.75,1,339555,-60,-0.02,10,80,0.02,-85,-0.03,-2125,-0.21,3
49,Exit short,2023-12-23 04:25,xS,16983,1,339565,-105,-0.03,10,90,0.03,-100,-0.03,-2230,-0.22,2
49,Entry short,2023-12-23 04:23,S @ 16978,16978.25,1,339565,-105,-0.03,10,90,0.03,-100,-0.03,-2230,-0.22,2
50,Exit long,2023-12-23 06:05,xL,16973,1,339555,-105,-0.03,10,0,0.00,-100,-0.03,-2335,-0.23,0
50,Entry long,2023-12-23 06:05,L @ 16978,16977.75,1,339555,-105,-0.03,10,0,0.00,-100,-0.03,-2335,-0.23,0
51,Exit short,2023-12-23 06:09,xS,16967,1,339565,215,0.06,10,220,0.06,-95,-0.03,-2120,-0.21,3
51,Entry short,2023-12-23 06:06,S @ 16978,16978.25,1,339565,215,0.06,10,220,0.06,-95,-0.03,-2120,-0.21,3
