Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2023-09-05 23:53,SAR,15481.75,1,309600,25,0.01,10,30,0.01,-55,-0.02,25,0.00,1
1,Entry long,2023-09-05 23:52,L @ 15480.25,15480,1,309600,25,0.01,10,30,0.01,-55,-0.02,25,0.00,1
2,Exit short,2023-09-05 23:54,xS,15478.75,1,309800,215,0.07,10,220,0.07,-40,-0.01,240,0.02,1
2,Entry short,2023-09-05 23:53,S @ 15489.75,15490,1,309800,215,0.07,10,220,0.07,-40,-0.01,240,0.02,1
3,Exit long,2023-09-06 00:02,xL,15461.25,1,309095,120,0.04,10,125,0.04,-60,-0.02,360,0.04,0
3,Entry long,2023-09-06 00:02,L @ 15455,15454.75,1,309095,120,0.04,10,125,0.04,-60,-0.02,360,0.04,0
4,Exit long,2023-09-06 00:17,xL,15468.5,1,309255,105,0.03,10,110,0.04,-85,-0.03,465,0.05,0
4,Entry long,2023-09-06 00:17,L @ 15463,15462.75,1,309255,105,0.03,10,110,0.04,-85,-0.03,465,0.05,0
5,Exit long,2023-09-06 00:27,SAR,15503,1,310025,25,0.01,10,30,0.01,-40,-0.01,490,0.05,1
5,Entry long,2023-09-06 00:26,L @ 15501.5,15501.25,1,310025,25,0.01,10,30,0.01,-40,-0.01,490,0.05,1
6,Exit short,2023-09-06 00:34,xS,15482.5,1,309865,205,0.07,10,210,0.07,-45,-0.01,695,0.07,1
6,Entry short,2023-09-06 00:33,S @ 15493,15493.25,1,309865,205,0.07,10,210,0.07,-45,-0.01,695,0.07,1
7,Exit short,2023-09-06 01:00,xS,15528.5,1,310460,-120,-0.04,10,0,0.00,-115,-0.04,575,0.06,0
7,Entry short,2023-09-06 01:00,S @ 15522.75,15523,1,310460,-120,-0.04,10,0,0.00,-115,-0.04,575,0.06,0
8,Exit short,2023-09-06 01:33,xS,15523.5,1,310630,150,0.05,10,155,0.05,-60,-0.02,725,0.07,0
8,Entry short,2023-09-06 01:33,S @ 15531.25,15531.5,1,310630,150,0.05,10,155,0.05,-60,-0.02,725,0.07,0
9,Exit short,2023-09-06 02:09,xS,15527.25,1,310660,105,0.03,10,110,0.04,-5,0.00,830,0.08,0
9,Entry short,2023-09-06 02:09,S @ 15532.75,15533,1,310660,105,0.03,10,110,0.04,-5,0.00,830,0.08,0
10,Exit short,2023-09-06 03:39,xS,15536.5,1,310835,95,0.03,10,100,0.03,-30,-0.01,925,0.09,1
10,Entry short,2023-09-06 03:38,S @ 15541.5,15541.75,1,310835,95,0.03,10,100,0.03,-30,-0.01,925,0.09,1
11,Exit short,2023-09-06 03:54,xS,15549.75,1,310860,-145,-0.05,10,0,0.00,-140,-0.05,780,0.08,4
11,Entry short,2023-09-06 03:50,S @ 15542.75,15543,1,310860,-145,-0.05,10,0,0.00,-140,-0.05,780,0.08,4
12,Exit short,2023-09-06 05:26,xS,15547.25,1,311075,120,0.04,10,125,0.04,-100,-0.03,900,0.09,6
12,Entry short,2023-09-06 05:20,S @ 15553.5,15553.75,1,311075,120,0.04,10,125,0.04,-100,-0.03,900,0.09,6
13,Exit short,2023-09-06 05:50,xS,15550.5,1,311130,110,0.04,10,115,0.04,-15,0.00,1010,0.10,0
