id,dateStart,dateEnd,pair,uPnL,rPnL,side,entryPrice,initialSL,maxTP,idealTP,amount,amountClosed,status,day,tags,avgClosePrice,avgRiskReward,maxRiskReward,exchangeRate,initialBalance,currentRealizedBalance
255547558,2026/01/02 07:59:59,2026/01/02 08:20:59,CME_MINI:NQ1,0,945,buy,25637.5,,25684.75,25996.25,20,20,closed,5,,25684.75,,0,1,50000,50945
255549316,2026/01/02 09:47:59,2026/01/02 09:59:06,CME_MINI:NQ1,0,-235,sell,25724.25,,,25265.25,20,20,closed,5,,25736,,0,1,50000,50710
255556275,2026/01/02 15:08:59,2026/01/02 15:12:53,CME_MINI:NQ1,0,1410,sell,25709,,25638.5,25265.25,20,20,closed,5,,25638.5,,0,1,50000,52120
255558021,2026/01/02 15:50:59,2026/01/02 16:05:16,CME_MINI:NQ1,0,3715,sell,25510,,25324.25,25265.25,20,20,closed,5,,25324.25,,0,1,50000,55835
255569282,2026/01/05 08:02:59,2026/01/05 08:20:27,CME_MINI:NQ1,0,930,buy,25484.75,,25552.25,25996.25,20,20,closed,1,,25531.25,,0,1,50000,56765
255571796,2026/01/05 13:31:59,2026/01/05 13:57:30,CME_MINI:NQ1,0,690,buy,25554.5,,25589,25996.25,20,20,closed,1,,25589,,0,1,50000,57455
255575428,2026/01/06 09:08:59,2026/01/06 09:08:59,CME_MINI:NQ1,0,0,sell,25558.25,,,25557,20,20,closed,2,,25558.25,,0,1,50000,57455
255576282,2026/01/06 09:11:59,2026/01/06 11:56:36,CME_MINI:NQ1,0,645,buy,25576.25,,25608.5,26020.5,20,20,closed,2,,25608.5,,0,1,50000,58100
255582337,2026/01/07 14:01:59,2026/01/07 14:06:37,CME_MINI:NQ1,0,325,sell,25778.5,,25762.25,25569,20,20,closed,3,,25762.25,,0,1,50000,58425
255583902,2026/01/07 15:06:59,2026/01/07 15:15:59,CME_MINI:NQ1,0,-575,buy,25864.75,,,26045.5,20,20,closed,3,,25836,,0,1,50000,57850
255584767,2026/01/07 15:21:59,2026/01/07 15:35:21,CME_MINI:NQ1,0,765,buy,25852.75,,25891,26045.5,20,20,closed,3,,25891,,0,1,50000,58615
255587486,2026/01/09 09:48:57,2026/01/09 09:48:57,CME_MINI:NQ1,0,0,sell,25717.75,,,25420.75,20,20,closed,5,,25717.75,,0,1,50000,58615
255589628,2026/01/09 14:55:59,2026/01/09 14:56:24,CME_MINI:NQ1,0,-650,buy,25732.75,,,26045.5,20,20,closed,5,,25700.25,,0,1,50000,57965
255590824,2026/01/09 15:13:59,2026/01/09 15:27:13,CME_MINI:NQ1,0,2285,buy,25730,,25844.25,26045.5,20,20,closed,5,,25844.25,,0,1,50000,60250
255593692,2026/01/12 08:16:59,2026/01/12 08:30:55,CME_MINI:NQ1,0,1340,sell,25714,,25647,25325.75,20,20,closed,1,"POC,BB MA (3M),15M Rebalance to MA",25647,,0,1,50000,61590
