
2023-26  (951 sessions)
  stop      trades  /sess   R/trade    net R    win  medRR   maxDD  medRisk    win x RR
  X            485   0.51   -0.1821      -88  64.3%   0.24   -89.5      7.2        0.15
  F5           488   0.51   -0.1528      -75  57.4%   0.36   -74.7      5.0        0.21
  F10          488   0.51   +0.0263      +13  78.7%   0.21    -8.8     10.0        0.17
  F15          488   0.51   +0.0323      +16  85.2%   0.15   -10.7     15.0        0.13
  F20          488   0.51   +0.0523      +26  89.5%   0.11    -4.1     20.0        0.10
  F30          488   0.51   +0.0687      +34  95.1%   0.08    -3.8     30.0        0.08
  F50          488   0.51   +0.0582      +28  98.2%   0.05    -2.0     50.0        0.05

2020-22  (776 sessions)
  stop      trades  /sess   R/trade    net R    win  medRR   maxDD  medRisk    win x RR
  X            411   0.53   -0.2716     -112  62.5%   0.22  -111.3      7.5        0.14
  F5           413   0.53   -0.2081      -86  55.2%   0.35   -87.9      5.0        0.19
  F10          413   0.53   -0.0859      -35  72.9%   0.18   -43.2     10.0        0.13
  F15          413   0.53   +0.0003       +0  84.3%   0.13    -9.8     15.0        0.11
  F20          413   0.53   +0.0203       +8  88.9%   0.10    -5.6     20.0        0.09
  F30          413   0.53   +0.0281      +12  93.0%   0.07    -5.1     30.0        0.07
  F50          413   0.53   +0.0493      +20  97.3%   0.05    -1.5     50.0        0.04

2017-19  (860 sessions)
  stop      trades  /sess   R/trade    net R    win  medRR   maxDD  medRisk    win x RR
  X            400   0.47   -0.3215     -129  70.5%   0.21  -127.7      2.5        0.15
  F5           405   0.47   -0.0410      -17  87.4%   0.13   -23.0      5.0        0.11
  F10          405   0.47   +0.0169       +7  95.3%   0.07    -2.9     10.0        0.06
  F15          405   0.47   +0.0253      +10  97.5%   0.04    -1.9     15.0        0.04
  F20          405   0.47   +0.0272      +11  98.5%   0.03    -1.9     20.0        0.03
  F30          405   0.47   +0.0213       +9  99.0%   0.02    -1.0     30.0        0.02
  F50          405   0.47   +0.0186       +8  99.5%   0.01    -0.2     50.0        0.01
