rail pass: 61,281 trades kept across 949 days (G5 bound 0x, G6 0x)

========================================================================================================
ARMED — session-day 2026-09-02  (87 trades)   typical day: +11.46R, 65 trades
========================================================================================================
 fill ET       book  side     level      stop  risk     res      r    net  held    sig ET
   19:32  vwap-sess  LONG  29180.75  29175.75   5.0    STOP  -1.00  -1.10    2m     19:31
   20:00  vwap-sess  LONG  29195.25  29187.25   8.0    STOP  -1.00  -1.06    0m     19:46
   20:11  vwap-sess SHORT  29186.25  29193.50   7.2  TARGET  +1.00  +0.93    1m     20:08
   20:32  vwap-sess  LONG  29147.50  29140.75   6.8  TARGET  +1.00  +0.93    0m     20:24
   21:24  vwap-sess  LONG  29177.00  29164.25  12.8     SAR  -0.73  -0.76    1m     21:06
   21:51  vwap-sess  LONG  29161.00  29156.00   5.0    STOP  -1.00  -1.10    3m     21:49
   21:57    8-level  LONG  29146.00  29140.75   5.2  TARGET  +1.00  +0.90    0m     20:24
   22:01    8-level SHORT  29146.00  29153.25   7.2    STOP  -1.00  -1.07    2m     21:59
   22:04    8-level  LONG  29146.00  29139.00   7.0  TARGET  +1.00  +0.93    1m     22:04
   22:13  vwap-sess  LONG  29174.75  29163.75  11.0  TARGET  +1.00  +0.95    0m     22:11
   23:13    8-level SHORT  29201.00  29206.75   5.8    STOP  -1.00  -1.09    2m     20:01
   23:24    8-level  LONG  29213.00  29208.00   5.0  TARGET  +1.00  +0.90    2m     23:19
   23:29  vwap-sess  LONG  29219.25  29212.75   6.5  TARGET  +1.00  +0.92    1m     23:27
   23:35  vwap-sess  LONG  29220.75  29215.75   5.0  TARGET  +1.00  +0.90    2m     23:31
   01:34  vwap-sess SHORT  29130.50  29140.50  10.0  TARGET  +1.00  +0.95    0m     01:18
   01:37  vwap-sess SHORT  29136.00  29142.75   6.8  TARGET  +1.00  +0.93    0m     01:36
   01:46  vwap-sess  LONG  29134.75  29121.75  13.0  TARGET  +1.00  +0.96    1m     01:42
   01:54  vwap-sess  LONG  29172.25  29163.25   9.0  TARGET  +1.00  +0.94    0m     01:52
   02:12  vwap-sess SHORT  29173.00  29178.25   5.2  TARGET  +1.00  +0.90    0m     02:12
   02:14  vwap-sess SHORT  29173.00  29178.00   5.0  TARGET  +1.00  +0.90    0m     02:14
   02:28  vwap-sess SHORT  29173.00  29178.00   5.0  TARGET  +1.00  +0.90    0m     02:25
   02:37  vwap-sess  LONG  29173.00  29166.75   6.2  TARGET  +1.00  +0.92    0m     02:35
   02:47  vwap-sess  LONG  29173.00  29163.75   9.2     SAR  -0.46  -0.51    4m     02:40
   02:54  vwap-sess SHORT  29173.00  29178.00   5.0  TARGET  +1.00  +0.90    0m     02:51
   03:06    8-level  LONG  29213.00  29205.75   7.2    STOP  -1.00  -1.07    0m     03:06
   03:06  vwap-sess  LONG  29209.00  29190.25  18.8     SAR  -0.51  -0.53    2m     03:06
   03:07    8-level  LONG  29201.00  29190.25  10.8  TARGET  +1.00  +0.95    0m     03:05
   03:23  vwap-sess SHORT  29209.25  29224.00  14.8  TARGET  +1.00  +0.97    2m     03:08
   03:25    8-level  LONG  29201.00  29191.75   9.2    STOP  -1.00  -1.05    0m     03:15
   03:28    8-level SHORT  29201.00  29207.25   6.2    STOP  -1.00  -1.08    0m     03:26
   03:35  vwap-sess  LONG  29210.00  29205.00   5.0    STOP  -1.00  -1.10    0m     03:35
   03:38    8-level SHORT  29213.00  29221.25   8.2  TARGET  +1.00  +0.94    0m     03:36
   03:47  vwap-sess  LONG  29210.25  29202.00   8.2  TARGET  +1.00  +0.94    0m     03:39
   03:48    8-level  LONG  29201.00  29193.50   7.5  TARGET  +1.00  +0.93    0m     03:33
   03:52    8-level SHORT  29201.00  29209.75   8.8  TARGET  +1.00  +0.94    0m     03:50
   03:54    8-level SHORT  29213.00  29224.50  11.5     SAR  -0.76  -0.80    1m     03:48
   03:55    8-level  LONG  29213.00  29204.75   8.2  TARGET  +1.00  +0.94    0m     03:55
   03:55  vwap-sess  LONG  29212.25  29204.75   7.5  TARGET  +1.00  +0.93    0m     03:55
   04:11  vwap-sess SHORT  29264.00  29272.25   8.2  TARGET  +1.00  +0.94    0m     04:10
   04:43  vwap-sess  LONG  29229.50  29224.50   5.0  TARGET  +1.00  +0.90    3m     04:41
   04:49  vwap-sess SHORT  29230.00  29235.25   5.2  TARGET  +1.00  +0.90    0m     04:49
   05:03    8-level  LONG  29213.00  29208.00   5.0  TARGET  +1.00  +0.90    0m     03:57
   05:21    8-level  LONG  29201.00  29188.00  13.0     SAR  -0.31  -0.35    1m     03:53
   05:26    8-level SHORT  29201.00  29211.25  10.2  TARGET  +1.00  +0.95    0m     05:22
   05:35  vwap-sess  LONG  29188.75  29179.50   9.2    STOP  -1.00  -1.05    1m     05:34
   05:54    8-level  LONG  29146.00  29127.25  18.8    STOP  -1.00  -1.03    4m     01:48
   06:07    8-level  LONG  29146.00  29137.00   9.0  TARGET  +1.00  +0.94    0m     06:02
   06:07  vwap-sess  LONG  29146.25  29137.00   9.2     SAR  -0.41  -0.46    3m     06:02
   07:05    8-level SHORT  29146.00  29154.25   8.2  TARGET  +1.00  +0.94    0m     06:10
   07:05  vwap-sess SHORT  29146.00  29154.25   8.2  TARGET  +1.00  +0.94    0m     06:10
   07:08    8-level  LONG  29146.00  29137.00   9.0  TARGET  +1.00  +0.94    0m     07:06
   07:31  vwap-sess  LONG  29139.75  29124.25  15.5    STOP  -1.00  -1.03    0m     07:06
   07:45  vwap-sess  LONG  29139.00  29134.00   5.0    STOP  -1.00  -1.10    0m     07:43
   08:10    8-level SHORT  29146.00  29151.75   5.8  TARGET  +1.00  +0.91    0m     07:45
   08:12  vwap-sess  LONG  29134.75  29124.50  10.2     SAR  -0.32  -0.37    1m     08:11
   08:24  vwap-sess SHORT  29134.75  29146.50  11.8    STOP  -1.00  -1.04    2m     08:13
   08:30    8-level SHORT  29201.00  29206.00   5.0    STOP  -1.00  -1.10    0m     05:28
   08:33    8-level  LONG  29213.00  29195.75  17.2     SAR  -0.25  -0.28    1m     08:32
   08:39    8-level SHORT  29201.00  29209.75   8.8  TARGET  +1.00  +0.94    0m     08:36
   08:52    8-level SHORT  29213.00  29226.25  13.2    STOP  -1.00  -1.04    1m     08:34
