book,day,res,hold,cls,rep,ext_before,hit_fill_sec,secs,tv_r,risk
Weekly value area,2023-12-27,TARGET,0,stopped,-1.0,True,False,175,-0.95,5.0
Weekly value area,2023-12-27,TARGET,2,target later minute,1.0,False,False,138,1.05,5.0
Weekly value area,2023-12-27,TARGET,10,target later minute,1.0,False,False,560,1.0357142857142858,7.0
Weekly value area,2023-12-27,TARGET,3,target later minute,1.0,False,False,144,1.05,5.0
Weekly value area,2023-12-27,STOP,0,stopped,-1.0,False,False,34,-0.55,5.0
Weekly value area,2023-12-27,TARGET,2,target later minute,1.0,False,False,141,1.0217391304347827,11.5
Weekly value area,2023-12-27,TARGET,4,target later minute,1.0,False,False,187,1.05,5.0
Weekly value area,2023-12-27,STOP,2,stopped,-1.0,False,False,133,-0.9523809523809523,5.25
Weekly value area,2026-08-05,SAR,1,target later minute,1.0,False,False,403,-0.3037974683544304,19.75
Weekly value area,2026-08-05,TARGET,2,target later minute,1.0,False,False,58,1.0222222222222221,11.25
Weekly value area,2026-08-05,TARGET,0,target later minute,1.0,True,False,43,1.027027027027027,9.25
Weekly value area,2026-08-05,STOP,0,stopped,-1.0,True,False,1,-0.95,5.0
Weekly value area,2026-08-05,TARGET,0,"target after fill, same minute",1.0,True,False,3,1.025,10.0
Weekly value area,2026-08-05,SAR,1,stopped,-1.0,False,False,81,-0.18085106382978725,23.5
Weekly value area,2026-08-05,TARGET,0,"target after fill, same minute",1.0,False,False,30,1.0121951219512195,20.5
Weekly value area,2026-08-05,TARGET,0,stopped,-1.0,True,False,115,-0.34,12.5
Weekly value area,2026-08-05,TARGET,0,"target after fill, same minute",1.0,True,False,19,1.0119047619047619,21.0
Weekly value area,2026-08-05,TARGET,0,target later minute,1.0,True,False,47,1.0136986301369864,18.25
Weekly value area,2026-08-05,STOP,0,stopped,-1.0,True,False,3,-0.95,5.0
PD high/low,2023-12-26,TARGET,0,stopped,-1.0,True,False,126,-0.9583333333333334,6.0
PD high/low,2023-12-26,TARGET,0,"target after fill, same minute",1.0,True,False,17,1.0454545454545454,5.5
PD high/low,2023-12-26,TARGET,0,stopped,-1.0,True,False,23,1.0454545454545454,5.5
PD high/low,2023-12-26,TARGET,9,target later minute,1.0,False,False,452,1.05,5.0
PD high/low,2023-12-26,STOP,0,stopped,-1.0,True,False,11,-0.95,5.0
PD high/low,2023-12-27,STOP,0,stopped,-1.0,False,False,9,-0.95,5.0
PD high/low,2023-12-27,TARGET,4,target later minute,1.0,False,False,243,1.0204081632653061,12.25
PD high/low,2023-12-27,STOP,0,stopped,-1.0,False,False,12,-0.95,5.0
PD high/low,2023-12-27,TARGET,3,target later minute,1.0,False,False,206,1.0285714285714285,8.75
PD high/low,2026-08-05,TARGET,0,"target after fill, same minute",1.0,False,False,10,1.024390243902439,10.25
PD high/low,2026-08-05,TARGET,0,target later minute,1.0,True,False,46,1.0217391304347827,11.5
PD high/low,2026-08-05,TARGET,0,"target after fill, same minute",1.0,True,False,13,1.0256410256410255,9.75
PD high/low,2026-08-05,STOP,0,stopped,-1.0,True,False,9,-0.95,5.0
PD high/low,2026-08-05,STOP,0,stopped,-1.0,False,False,21,-0.9863013698630136,18.25
PD high/low,2026-08-05,TARGET,2,target later minute,1.0,False,False,47,1.0188679245283019,13.25
PD high/low,2026-08-05,TARGET,0,stopped,-1.0,True,False,27,-0.95,5.0
PD high/low,2026-08-05,TARGET,0,"target after fill, same minute",1.0,True,False,4,1.032258064516129,7.75
PD high/low,2026-08-05,TARGET,0,"target after fill, same minute",1.0,False,False,12,1.05,5.0
PD high/low,2026-08-05,TARGET,0,"target after fill, same minute",1.0,True,True,2,1.05,5.0
PD high/low,2026-08-05,STOP,0,stopped,-1.0,True,False,24,-0.9855072463768116,17.25
PD high/low,2026-08-05,TARGET,0,"target after fill, same minute",1.0,True,False,18,1.0121951219512195,20.5
PD high/low,2026-08-05,TARGET,0,"target after fill, same minute",1.0,True,False,3,1.0256410256410255,9.75
PD high/low,2026-08-05,TARGET,0,target later minute,1.0,True,False,121,-0.2087912087912088,22.75
PD high/low,2026-08-05,TARGET,0,stopped,-1.0,True,False,48,-0.9836065573770492,15.25
PD high/low,2026-08-05,TARGET,3,target later minute,1.0,False,False,205,1.0112359550561798,22.25
PD high/low,2026-08-05,TARGET,0,"target after fill, same minute",1.0,False,False,50,1.0217391304347827,11.5
PD high/low,2026-08-05,TARGET,0,target later minute,1.0,True,False,82,1.027027027027027,9.25
PD high/low,2026-08-05,TARGET,0,stopped,-1.0,True,False,165,-0.9818181818181818,13.75
PD high/low,2026-08-05,TARGET,0,stopped,-1.0,True,False,22,-0.46875,8.0
PD high/low,2026-08-05,TARGET,0,target later minute,1.0,True,False,31,-0.358974358974359,9.75
PD high/low,2026-08-05,STOP,0,stopped,-1.0,True,False,20,-0.95,5.0
PD high/low,2026-08-05,TARGET,2,target later minute,1.0,False,False,128,1.064516129032258,7.75
PD high/low,2026-08-05,TARGET,0,target later minute,1.0,True,False,91,1.0333333333333334,7.5
PD high/low,2026-08-05,STOP,0,stopped,-1.0,True,False,2,,5.0
PD high/low,2026-08-05,TARGET,0,"target after fill, same minute",1.0,True,False,33,1.05,5.0
PD high/low,2026-08-05,TARGET,0,target later minute,1.0,True,False,186,1.0277777777777777,9.0
PD high/low,2026-08-05,SAR,5,target later minute,1.0,False,False,295,-0.11320754716981132,13.25
PD high/low,2026-08-05,TARGET,0,"target after fill, same minute",1.0,True,False,29,1.05,5.0
PD high/low,2026-08-05,TARGET,0,stopped,-1.0,True,False,21,-0.4,7.5
PD high/low,2026-08-05,SAR,1,stopped,-1.0,False,False,278,-0.4230769230769231,13.0
PD high/low,2026-08-05,STOP,0,stopped,-1.0,True,False,17,-0.9583333333333334,6.0
PD high/low,2026-08-05,TARGET,0,stopped,-1.0,True,False,67,-0.9666666666666667,7.5
PD value area,2023-12-26,TARGET,2,target later minute,1.0,False,False,114,1.0256410256410255,9.75
PD value area,2023-12-26,STOP,2,stopped,-1.0,False,False,152,-0.9565217391304348,5.75
PD value area,2023-12-26,TARGET,0,"target after fill, same minute",1.0,True,False,43,-0.95,5.0
PD value area,2023-12-26,TARGET,0,target later minute,1.0,True,False,20,1.0476190476190477,5.25
PD value area,2023-12-27,TARGET,0,target later minute,1.0,True,False,23,1.05,5.0
PD value area,2023-12-27,STOP,0,stopped,-1.0,True,False,39,-0.96,6.25
PD value area,2023-12-27,STOP,2,stopped,-1.0,False,False,132,-0.9615384615384616,6.5
PD value area,2023-12-27,STOP,2,stopped,-1.0,False,False,123,-0.9545454545454546,5.5
PD value area,2023-12-27,STOP,1,stopped,-1.0,False,False,73,-0.95,5.0
PD value area,2024-06-20,STOP,1,stopped,-1.0,False,False,45,-0.972972972972973,9.25
PD value area,2024-06-20,TARGET,0,stopped,-1.0,True,False,95,-0.9705882352941176,8.5
PD value area,2024-06-20,TARGET,0,"target after fill, same minute",1.0,False,False,20,1.0227272727272727,11.0
PD value area,2024-06-20,TARGET,0,"target after fill, same minute",1.0,True,False,22,1.0333333333333334,7.5
PD value area,2024-06-20,TARGET,0,target later minute,1.0,True,False,71,1.0277777777777777,9.0
PD value area,2024-06-20,TARGET,0,target later minute,1.0,True,False,53,1.0344827586206897,7.25
PD value area,2024-06-20,STOP,1,target later minute,1.0,False,False,36,1.0357142857142858,7.0
PD value area,2024-06-20,SAR,1,stopped,-1.0,False,False,137,-0.5806451612903226,7.75
PD value area,2024-06-20,TARGET,0,target later minute,1.0,True,False,68,-0.46153846153846156,6.5
PD value area,2024-06-20,TARGET,1,target later minute,1.0,False,False,98,1.0384615384615385,6.5
PD value area,2024-06-20,TARGET,0,"target after fill, same minute",1.0,True,False,23,1.05,5.0
PD value area,2025-04-10,STOP,0,stopped,-1.0,False,False,29,-0.9906542056074766,26.75
PD value area,2025-04-10,TARGET,0,"target after fill, same minute",1.0,False,False,5,1.0212765957446808,11.75
PD value area,2025-04-10,STOP,0,target only inside the fill second,-1.0,False,True,4,-0.9705882352941176,8.5
PD value area,2025-04-10,TARGET,0,"target after fill, same minute",1.0,True,False,4,1.0285714285714285,8.75
PD value area,2025-04-10,TARGET,0,stopped,-1.0,True,False,46,-0.9848484848484849,16.5
PD value area,2025-04-10,STOP,0,stopped,-1.0,False,False,5,-0.9777777777777777,11.25
PD value area,2025-04-10,STOP,0,stopped,-1.0,False,False,6,-0.9838709677419355,15.5
PD value area,2025-04-10,TARGET,0,stopped,-1.0,True,False,54,-0.9791666666666666,12.0
PD value area,2025-04-10,STOP,0,stopped,-1.0,True,False,8,-0.9722222222222222,9.0
PD value area,2025-04-10,STOP,0,stopped,-1.0,False,False,47,-0.9896907216494846,24.25
PD value area,2025-04-10,TARGET,0,"target after fill, same minute",1.0,True,False,18,1.0344827586206897,7.25
PD value area,2025-04-10,TARGET,0,stopped,-1.0,True,False,26,-0.9850746268656716,16.75
PD value area,2025-04-10,STOP,0,stopped,-1.0,False,False,44,-0.9888888888888889,22.5
PD value area,2025-04-10,SAR,1,target later minute,1.0,False,False,74,-0.43333333333333335,22.5
PD value area,2025-04-10,TARGET,0,target later minute,1.0,True,False,23,-0.2807017543859649,14.25
PD value area,2026-08-04,STOP,0,stopped,-1.0,True,False,3,-0.95,5.0
PD value area,2026-08-04,SAR,1,stopped,-1.0,False,False,77,-0.34782608695652173,11.5
PD value area,2026-08-04,TARGET,0,"target after fill, same minute",1.0,False,False,8,1.0285714285714285,8.75
PD value area,2026-08-04,STOP,7,stopped,-1.0,False,False,137,-0.9736842105263158,9.5
PD value area,2026-08-04,STOP,0,stopped,-1.0,True,False,13,-0.95,5.0
PD value area,2026-08-04,TARGET,0,target later minute,1.0,True,False,38,1.0263157894736843,9.5
PD value area,2026-08-04,TARGET,0,"target after fill, same minute",1.0,True,False,8,1.0303030303030303,8.25
PD value area,2026-08-04,TARGET,0,"target after fill, same minute",1.0,True,False,20,1.0166666666666666,15.0
PD value area,2026-08-04,STOP,0,stopped,-1.0,True,False,16,-0.9782608695652174,11.5
