ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2025-08-06 07:00:00+00:00,2025-08-06 07:00:59.908715375+00:00,10,1,42008487,A,B,0,23194.25,1,128,16342,117418459,23194.25,23194.75,1,1,1,1,23194.0,23195.0,3,1,3,1,23193.75,23195.25,4,5,4,4,23193.5,23195.5,16,4,3,3,23193.25,23195.75,3,6,3,5,23193.0,23196.0,2,4,2,4,23192.75,23196.25,3,5,3,4,23192.5,23196.5,5,4,5,3,23192.25,23196.75,5,4,5,3,23192.0,23197.0,5,7,5,6,NQ.v.0
2025-08-06 07:01:00+00:00,2025-08-06 07:01:59.593357207+00:00,10,1,42008487,M,B,6,23201.0,1,128,13200,117445427,23202.5,23203.25,2,1,2,1,23202.25,23203.5,1,3,1,3,23202.0,23203.75,4,4,4,3,23201.75,23204.0,1,3,1,3,23201.5,23204.25,1,4,1,3,23201.25,23204.5,2,3,2,2,23201.0,23204.75,6,4,5,4,23200.75,23205.0,4,6,3,5,23200.5,23205.25,4,5,3,4,23200.25,23205.5,7,5,6,4,NQ.v.0
2025-08-06 07:02:00+00:00,2025-08-06 07:02:59.973704969+00:00,10,1,42008487,M,A,6,23202.25,1,128,15121,117467661,23200.0,23200.75,1,1,1,1,23199.75,23201.0,2,2,2,2,23199.5,23201.25,2,4,2,4,23199.25,23201.5,2,3,2,3,23199.0,23201.75,3,4,3,3,23198.75,23202.0,3,3,3,2,23198.5,23202.25,4,3,4,2,23198.25,23202.5,4,4,4,4,23198.0,23202.75,4,6,4,5,23197.75,23203.0,5,5,5,5,NQ.v.0
2025-08-06 07:03:00+00:00,2025-08-06 07:03:59.398470770+00:00,10,1,42008487,C,A,0,23201.5,1,128,11169,117485368,23201.0,23201.75,3,1,2,1,23200.75,23202.0,3,1,3,1,23200.5,23202.25,1,1,1,1,23200.25,23202.5,2,2,2,2,23200.0,23202.75,2,1,1,1,23199.75,23203.0,4,1,4,1,23199.5,23203.25,4,2,4,2,23199.25,23203.5,8,4,5,3,23199.0,23203.75,5,6,4,4,23198.75,23204.0,6,7,5,6,NQ.v.0
2025-08-06 07:04:00+00:00,2025-08-06 07:04:59.978839495+00:00,10,1,42008487,C,A,1,23203.5,2,128,11612,117499650,23202.25,23203.0,2,11,2,1,23202.0,23203.5,1,3,1,3,23201.75,23203.75,3,4,3,3,23201.5,23204.0,1,5,1,4,23201.25,23204.25,3,3,3,2,23201.0,23204.5,1,7,1,5,23200.75,23204.75,6,5,5,5,23200.5,23205.0,8,8,7,7,23200.25,23205.25,5,7,4,6,23200.0,23205.5,6,5,5,4,NQ.v.0
2025-08-06 07:05:00+00:00,2025-08-06 07:05:59.977708359+00:00,10,1,42008487,A,B,0,23203.5,1,128,11269,117519816,23203.5,23204.25,2,3,2,2,23203.25,23204.5,1,3,1,2,23203.0,23204.75,1,4,1,4,23202.75,23205.0,4,4,3,4,23202.5,23205.25,5,4,4,4,23202.25,23205.5,6,7,5,2,23202.0,23205.75,6,3,5,2,23201.75,23206.0,4,7,4,6,23201.5,23206.25,2,5,2,5,23201.25,23206.5,4,4,4,4,NQ.v.0
2025-08-06 07:06:00+00:00,2025-08-06 07:06:59.776358784+00:00,10,1,42008487,C,B,0,23199.0,1,128,13043,117537907,23198.75,23199.5,2,1,2,1,23198.5,23199.75,1,1,1,1,23198.25,23200.0,4,6,3,6,23198.0,23200.25,4,2,3,2,23197.75,23200.5,6,4,5,3,23197.5,23200.75,6,4,5,3,23197.25,23201.0,5,5,5,4,23197.0,23201.25,5,3,5,2,23196.75,23201.5,4,2,4,2,23196.5,23201.75,3,2,3,2,NQ.v.0
2025-08-06 07:07:00+00:00,2025-08-06 07:07:59.780077737+00:00,10,1,42008487,A,B,1,23196.0,1,128,11403,117554196,23196.25,23197.0,2,2,2,2,23196.0,23197.25,1,6,1,6,23195.75,23197.5,2,1,2,1,23195.5,23197.75,1,1,1,1,23195.25,23198.0,1,4,1,3,23195.0,23198.25,3,4,3,3,23194.75,23198.5,3,6,3,5,23194.5,23198.75,6,7,5,6,23194.25,23199.0,5,3,4,3,23194.0,23199.25,5,5,4,5,NQ.v.0
2025-08-06 07:08:00+00:00,2025-08-06 07:08:59.450320894+00:00,10,1,42008487,M,B,6,23195.0,1,128,14168,117566864,23196.5,23197.25,2,2,2,2,23196.25,23197.5,2,2,2,2,23196.0,23197.75,4,1,4,1,23195.75,23198.0,3,2,3,2,23195.5,23198.25,3,3,3,3,23195.25,23198.5,3,2,3,2,23195.0,23198.75,4,3,4,2,23194.75,23199.0,5,4,4,4,23194.5,23199.25,4,9,3,8,23194.25,23199.5,5,4,4,3,NQ.v.0
2025-08-06 07:09:00+00:00,2025-08-06 07:09:59.530854766+00:00,10,1,42008487,C,B,2,23196.5,2,128,12998,117581030,23197.0,23197.5,1,1,1,1,23196.75,23198.0,1,3,1,3,23196.5,23198.25,1,3,1,3,23196.25,23198.5,2,5,2,4,23196.0,23198.75,1,3,1,3,23195.75,23199.0,4,5,4,4,23195.5,23199.25,2,6,2,5,23195.25,23199.5,5,4,5,3,23195.0,23199.75,4,18,4,5,23194.75,23200.0,4,6,4,5,NQ.v.0
2025-08-06 07:10:00+00:00,2025-08-06 07:10:59.915075892+00:00,10,1,42008487,M,A,6,23209.5,1,128,13699,117603058,23207.25,23208.0,2,1,2,1,23207.0,23208.25,1,2,1,2,23206.75,23208.5,3,4,3,4,23206.5,23208.75,3,4,3,4,23206.25,23209.0,3,5,3,4,23206.0,23209.25,4,3,4,3,23205.75,23209.5,7,4,6,3,23205.5,23209.75,6,5,5,4,23205.25,23210.0,6,6,5,5,23205.0,23210.25,6,5,5,4,NQ.v.0
2025-08-06 07:11:00+00:00,2025-08-06 07:11:59.780386646+00:00,10,1,42008487,C,A,1,23210.75,1,128,12669,117624180,23209.75,23210.5,2,2,2,2,23209.5,23210.75,1,2,1,2,23209.25,23211.0,3,6,3,5,23209.0,23211.25,2,4,2,4,23208.75,23211.5,2,4,2,3,23208.5,23211.75,3,5,3,4,23208.25,23212.0,5,6,5,5,23208.0,23212.25,7,2,6,2,23207.75,23212.5,6,8,5,4,23207.5,23212.75,5,5,4,5,NQ.v.0
2025-08-06 07:12:00+00:00,2025-08-06 07:12:59.914827695+00:00,10,1,42008487,A,A,0,23208.25,1,128,12713,117639255,23207.5,23208.25,2,3,2,3,23207.25,23208.5,3,2,3,2,23207.0,23208.75,3,4,3,3,23206.25,23209.0,2,3,2,3,23206.0,23209.25,5,3,4,3,23205.75,23209.5,7,3,6,3,23205.5,23209.75,6,4,6,4,23205.25,23210.0,6,7,5,7,23205.0,23210.25,5,4,4,4,23204.75,23210.5,6,2,5,2,NQ.v.0
2025-08-06 07:13:00+00:00,2025-08-06 07:13:59.877357141+00:00,10,1,42008487,M,A,5,23294.5,1,128,11340,117669970,23217.75,23218.5,2,2,2,2,23217.5,23218.75,2,3,2,3,23217.25,23219.0,6,2,4,2,23217.0,23219.25,4,2,4,2,23216.75,23219.5,6,2,6,2,23216.5,23219.75,6,3,5,3,23216.25,23220.0,6,5,6,5,23216.0,23220.25,4,4,3,4,23215.75,23220.5,6,4,5,4,23215.5,23220.75,6,5,5,4,NQ.v.0
2025-08-06 07:14:00+00:00,2025-08-06 07:14:59.398418900+00:00,10,1,42008487,C,B,0,23218.75,1,128,11599,117693786,23218.5,23219.25,2,1,2,1,23218.25,23219.5,3,2,3,2,23218.0,23219.75,4,4,3,4,23217.75,23220.0,3,5,3,4,23217.5,23220.25,5,4,5,3,23217.25,23220.5,6,5,6,4,23217.0,23220.75,5,4,5,3,23216.75,23221.0,6,8,5,4,23216.5,23221.25,7,4,6,4,23216.25,23221.5,5,6,4,5,NQ.v.0
2025-08-06 07:15:00+00:00,2025-08-06 07:15:59.284030387+00:00,10,1,42008487,C,B,8,23215.0,1,128,13838,117712761,23217.0,23217.75,2,1,2,1,23216.75,23218.0,4,4,4,4,23216.5,23218.25,4,1,3,1,23216.25,23218.5,4,2,4,2,23216.0,23218.75,5,4,4,4,23215.75,23219.0,6,3,6,2,23215.5,23219.25,6,5,6,4,23215.25,23219.5,5,6,5,5,23215.0,23219.75,5,5,4,4,23214.75,23220.0,4,5,4,5,NQ.v.0
2025-08-06 07:16:00+00:00,2025-08-06 07:16:59.971639086+00:00,10,1,42008487,C,B,8,23214.0,1,128,11277,117726310,23216.0,23216.75,1,2,1,2,23215.75,23217.0,2,1,2,1,23215.5,23217.25,1,4,1,4,23215.25,23217.5,3,4,3,4,23215.0,23217.75,6,3,4,3,23214.75,23218.0,1,1,1,1,23214.5,23218.25,6,6,6,6,23214.25,23218.5,5,2,4,2,23214.0,23218.75,6,4,5,4,23213.75,23219.0,6,1,5,1,NQ.v.0
2025-08-06 07:17:00+00:00,2025-08-06 07:17:59.999524318+00:00,10,1,42008487,M,A,5,23230.0,1,128,11425,117746348,23216.0,23216.75,2,2,2,2,23215.75,23217.0,2,4,2,4,23215.5,23217.25,4,1,4,1,23215.25,23217.5,4,1,3,1,23215.0,23217.75,4,2,3,2,23214.75,23218.0,6,2,5,2,23214.5,23218.25,6,4,5,4,23214.25,23218.5,4,5,4,5,23214.0,23218.75,6,7,5,7,23213.75,23219.0,4,4,4,4,NQ.v.0
2025-08-06 07:18:00+00:00,2025-08-06 07:18:59.914112222+00:00,10,1,42008487,M,A,6,23213.5,1,128,13355,117757473,23211.5,23212.0,1,1,1,1,23211.25,23212.25,6,2,6,2,23211.0,23212.5,3,3,3,3,23210.75,23212.75,4,2,3,2,23210.5,23213.0,6,2,5,2,23210.25,23213.25,4,3,3,3,23210.0,23213.5,7,5,6,5,23209.75,23213.75,6,5,5,5,23209.5,23214.0,4,4,4,4,23209.25,23214.25,4,4,4,4,NQ.v.0
2025-08-06 07:19:00+00:00,2025-08-06 07:19:59.336639081+00:00,10,1,42008487,C,B,0,23209.0,1,128,12836,117772403,23209.0,23209.75,2,1,2,1,23208.75,23210.0,3,2,3,2,23208.5,23210.25,2,5,2,4,23208.25,23210.5,4,5,4,3,23208.0,23210.75,5,5,5,4,23207.75,23211.0,4,4,4,3,23207.5,23211.25,4,4,4,3,23207.25,23211.5,4,4,4,4,23207.0,23211.75,3,4,3,4,23206.75,23212.0,4,5,4,5,NQ.v.0
2025-08-06 07:20:00+00:00,2025-08-06 07:20:59.810376190+00:00,10,1,42008487,M,B,6,23199.5,1,128,13651,117789010,23201.0,23201.5,1,2,1,2,23200.75,23201.75,2,3,2,3,23200.5,23202.0,3,3,3,2,23200.25,23202.25,5,2,5,2,23200.0,23202.5,6,5,6,4,23199.75,23202.75,6,5,5,4,23199.5,23203.0,6,5,6,4,23199.25,23203.25,7,5,6,5,23199.0,23203.5,5,4,4,4,23198.75,23203.75,5,4,4,4,NQ.v.0
2025-08-06 07:21:00+00:00,2025-08-06 07:21:59.389111377+00:00,10,1,42008487,M,A,6,23203.25,1,128,13286,117810325,23201.25,23201.75,1,1,1,1,23201.0,23202.0,2,2,2,2,23200.75,23202.25,3,1,3,1,23200.5,23202.5,6,4,5,4,23200.25,23202.75,6,2,5,2,23200.0,23203.0,5,5,4,5,23199.75,23203.25,6,4,5,4,23199.5,23203.5,3,4,3,4,23199.25,23203.75,5,6,5,6,23199.0,23204.0,7,5,7,5,NQ.v.0
2025-08-06 07:22:00+00:00,2025-08-06 07:22:59.427845174+00:00,10,1,42008487,A,B,1,23199.25,1,128,13299,117825084,23199.5,23200.0,1,1,1,1,23199.25,23200.25,3,1,3,1,23199.0,23200.5,3,5,3,5,23198.75,23200.75,3,2,2,2,23198.5,23201.0,4,2,3,2,23198.25,23201.25,4,4,3,4,23198.0,23201.5,6,4,6,4,23197.75,23201.75,7,3,6,3,23197.5,23202.0,5,4,4,3,23197.25,23202.25,5,5,4,4,NQ.v.0
2025-08-06 07:23:00+00:00,2025-08-06 07:23:59.425383228+00:00,10,1,42008487,C,B,0,23199.0,1,128,12792,117838310,23198.75,23199.5,1,2,1,2,23198.5,23199.75,4,2,4,2,23198.25,23200.0,1,3,1,3,23198.0,23200.25,4,3,4,3,23197.75,23200.5,4,4,4,4,23197.5,23200.75,3,2,3,2,23197.25,23201.0,5,3,5,3,23197.0,23201.25,4,7,4,7,23196.75,23201.5,5,4,4,4,23196.5,23201.75,6,3,5,3,NQ.v.0
2025-08-06 07:24:00+00:00,2025-08-06 07:24:59.803820563+00:00,10,1,42008487,M,A,6,23199.0,1,128,16531,117848177,23196.75,23197.5,2,1,2,1,23196.5,23197.75,3,2,3,2,23196.25,23198.0,3,3,3,3,23196.0,23198.25,4,2,4,2,23195.75,23198.5,4,4,4,4,23195.5,23198.75,5,4,5,3,23195.25,23199.0,6,5,6,4,23195.0,23199.25,5,6,5,5,23194.75,23199.5,4,5,4,4,23194.5,23199.75,3,5,3,4,NQ.v.0
2025-08-06 07:25:00+00:00,2025-08-06 07:25:59.892607260+00:00,10,1,42008487,A,A,2,23203.75,1,128,13968,117860132,23202.5,23203.25,2,1,2,1,23202.25,23203.5,2,2,2,2,23202.0,23203.75,3,3,3,2,23201.75,23204.0,4,3,4,2,23201.5,23204.25,4,4,4,3,23201.25,23204.5,3,4,3,4,23201.0,23204.75,4,6,4,5,23200.75,23205.0,4,5,4,4,23200.5,23205.25,4,5,4,4,23200.25,23205.5,4,3,4,3,NQ.v.0
2025-08-06 07:26:00+00:00,2025-08-06 07:26:59.749101537+00:00,10,1,42008487,A,A,1,23202.75,1,128,13662,117866428,23201.75,23202.5,2,3,2,3,23201.5,23202.75,1,2,1,2,23201.25,23203.0,2,2,2,2,23201.0,23203.25,4,4,4,3,23200.75,23203.5,1,5,1,4,23200.5,23203.75,4,5,4,4,23200.25,23204.0,6,6,5,5,23200.0,23204.25,8,5,6,4,23199.75,23204.5,4,5,3,5,23199.5,23204.75,5,6,4,5,NQ.v.0
