day,book,dollars,pts,win,risk,pattern,fill
2023-01-03,E3,-10.0,-0.25,False,11.0,B,09:27
2023-01-03,E3,-470.0,-23.25,False,23.0,A,09:37
2023-01-04,E3,-245.0,-12.0,False,11.75,B,08:37
2023-01-04,E3,-480.0,-23.75,False,23.5,B,09:42
2023-01-05,E3,87.5,4.625,True,7.5,A,08:01
2023-01-05,E3,-10.0,-0.25,False,32.75,B,08:16
2023-01-06,E3,-350.0,-17.25,False,17.0,B,09:37
2023-01-06,E3,1173.75,58.9375,True,32.5,B,10:04
2023-01-09,E3,-220.0,-10.75,False,10.5,B,08:16
2023-01-09,E3,87.5,4.625,True,6.75,A,08:55
2023-01-10,E3,-135.0,-6.5,False,6.25,B,08:03
2023-01-10,E3,-315.0,-15.5,False,15.25,B,09:29
2023-01-11,E3,-5.0,0.0,False,6.25,B,08:37
2023-01-11,E3,-230.0,-11.25,False,11.0,B,09:04
2023-01-12,E3,-110.0,-5.25,False,5.0,B,09:32
2023-01-12,E3,-450.0,-22.25,False,22.0,B,10:10
2023-01-13,E3,245.0,12.5,True,9.75,B,08:28
2023-01-13,E3,575.0,29.0,True,6.25,B,09:49
2023-01-16,E3,40.0,2.25,True,7.75,B,09:34
2023-01-16,E3,-110.0,-5.25,False,5.0,B,10:04
2023-01-17,E3,-6.25,-0.0625,False,13.0,B,08:06
2023-01-17,E3,416.25,21.0625,True,9.5,B2,08:16
2023-01-18,E3,-125.0,-6.0,False,5.75,B,08:26
2023-01-18,E3,-10.0,-0.25,False,9.5,A,09:33
2023-01-19,E3,-165.0,-8.0,False,7.75,A,08:18
2023-01-19,E3,-160.0,-7.75,False,7.5,B2,08:39
2023-01-20,E3,25.0,1.5,True,7.0,B,08:05
2023-01-20,E3,-90.0,-4.25,False,4.0,B,08:33
2023-01-23,E3,345.0,17.5,True,7.5,B,08:31
2023-01-23,E3,-155.0,-7.5,False,7.25,B,09:25
2023-01-24,E3,-10.0,-0.25,False,9.25,A,09:01
2023-01-24,E3,-20.0,-0.75,False,0.5,A,09:31
2023-01-25,E3,440.0,22.25,True,6.5,B,08:11
2023-01-25,E3,-182.5,-8.875,False,19.5,B,09:40
2023-01-26,E3,446.25,22.5625,True,37.0,B,09:46
2023-01-26,E3,-540.0,-26.75,False,26.5,B,10:06
2023-01-27,E3,326.25,16.5625,True,8.25,B,08:06
2023-01-27,E3,-105.0,-5.0,False,4.75,B,08:31
2023-01-30,E3,-175.0,-8.5,False,8.25,B,08:04
2023-01-30,E3,-380.0,-18.75,False,18.5,B,09:38
2023-01-31,E3,-130.0,-6.25,False,6.0,A,08:06
2023-01-31,E3,-35.0,-1.5,False,7.5,B,08:15
2023-01-03,E4,430.0,21.75,True,21.5,A,08:21
2023-01-04,E4,840.0,42.25,True,14.5,B2,08:04
2023-01-04,E4,315.0,16.0,True,9.5,B,08:55
2023-01-05,E4,-165.0,-8.0,False,7.75,A,08:01
2023-01-06,E4,445.0,22.5,True,15.75,B,08:01
2023-01-06,E4,-290.0,-14.25,False,14.0,B2,09:13
2023-01-09,E4,-235.0,-11.5,False,11.25,B,08:05
