date,allow_reversion,allow_continuation,size_multiplier,directional_bias,stand_down,reasons,conflict
2026-03-02,True,False,0.5,neutral,False,regime-only (HTF layer permissive),False
2026-03-04,True,False,0.5,neutral,False,regime-only (HTF layer permissive),False
2026-03-05,True,False,0.5,neutral,False,regime-only (HTF layer permissive),False
2026-03-09,True,False,0.5,neutral,False,regime-only (HTF layer permissive),False
2026-03-10,False,False,0.0,neutral,True,regime-only (HTF layer permissive),False
2026-03-11,False,False,0.0,neutral,True,regime-only (HTF layer permissive),False
2026-03-12,True,False,0.5,neutral,False,regime-only (HTF layer permissive),False
2026-03-13,True,False,0.5,neutral,False,regime-only (HTF layer permissive),False
2026-03-17,True,False,0.5,neutral,False,regime-only (HTF layer permissive),False
2026-03-18,True,False,0.5,neutral,False,regime-only (HTF layer permissive),False
2026-03-19,False,True,0.5,short,False,regime-only (HTF layer permissive),False
2026-03-20,False,True,0.5,short,False,regime-only (HTF layer permissive),False
2026-03-23,False,False,0.0,neutral,True,regime-only (HTF layer permissive),False
2026-03-25,True,False,0.5,neutral,False,regime-only (HTF layer permissive),False
2026-03-26,False,True,0.5,short,False,regime-only (HTF layer permissive),False
2026-03-27,False,True,0.5,short,False,regime-only (HTF layer permissive),False
2026-03-30,False,True,0.5,short,False,regime-only (HTF layer permissive),False
2026-03-31,False,True,0.5,short,False,regime-only (HTF layer permissive),False
