day,E3,E4
2026-02-02,0.0,-940.0
2026-02-03,-165.0,-105.0
2026-02-09,-320.0,0.0
2026-02-10,1273.75,1000.0
2026-02-11,-185.0,0.0
2026-02-12,730.0,365.0
2026-02-13,511.88,0.0
2026-02-16,940.0,450.0
2026-02-17,1317.5,915.0
2026-02-18,1052.5,0.0
2026-02-19,-183.75,-305.0
2026-02-20,-50.0,0.0
2026-02-23,1360.0,1735.0
2026-02-24,243.75,-250.0
2026-02-25,975.0,310.0
2026-02-26,448.75,-540.0
2026-02-27,32.5,0.0
2026-03-04,-487.5,0.0
2026-03-05,-285.0,-320.0
2026-03-06,-1455.0,-75.0
2026-03-09,1880.0,-465.0
2026-03-10,-330.0,742.5
2026-03-11,186.25,575.0
2026-03-12,-400.0,-355.0
2026-03-13,1262.5,-805.0
2026-03-16,450.0,-540.0
2026-03-17,1857.5,3485.0
2026-03-18,-750.0,-600.0
2026-03-19,-99.38,1800.0
2026-03-20,-20.0,1310.0
2026-03-23,277.5,0.0
2026-03-24,-775.0,-305.0
2026-03-25,-905.0,-780.0
2026-03-26,-20.0,-700.0
2026-03-27,-235.0,0.0
2026-03-31,0.0,-165.0
2026-04-01,-370.0,380.0
2026-04-02,-635.0,-600.0
2026-04-06,-130.0,0.0
2026-04-07,-300.0,-95.0
2026-04-08,-500.0,415.0
2026-04-09,120.0,-5.0
2026-04-10,980.0,195.0
2026-04-13,-430.0,880.0
2026-04-14,-20.0,675.0
2026-04-15,-181.25,-270.0
2026-04-16,-195.0,0.0
2026-04-17,-885.0,0.0
2026-04-20,-160.0,-605.0
2026-04-21,0.0,-327.5
2026-04-22,-205.0,-90.0
2026-04-23,-403.75,310.0
2026-04-24,505.0,0.0
2026-04-27,-95.0,330.0
2026-04-28,-632.5,0.0
2026-04-29,-610.0,-45.0
2026-04-30,977.5,1495.0
2026-05-01,0.0,635.0
2026-05-04,-480.0,-645.0
2026-05-05,-445.0,-275.0
2026-05-06,-425.0,-580.0
2026-05-07,740.0,490.0
2026-05-08,0.0,-310.0
2026-05-11,135.0,1935.0
2026-05-12,579.37,0.0
2026-05-13,-390.0,0.0
2026-05-14,-185.0,-245.0
2026-05-15,-155.0,-195.0
2026-05-18,1545.0,-655.0
2026-05-19,-620.0,30.0
2026-05-20,-322.5,0.0
2026-05-21,-1350.0,-430.0
2026-05-22,-130.0,485.0
2026-05-26,-10.0,450.0
2026-05-27,-357.5,-255.0
2026-05-28,-705.0,0.0
2026-05-29,152.5,-55.0
2026-06-01,295.0,190.0
2026-06-02,0.0,-390.0
2026-06-04,888.75,0.0
2026-06-05,-772.5,0.0
2026-06-08,3131.25,475.0
2026-06-09,445.0,810.0
2026-06-10,-10.0,0.0
2026-06-11,-10.0,0.0
2026-06-12,-560.0,1400.0
2026-06-15,908.75,-5.0
2026-06-16,210.0,885.0
2026-06-17,211.25,-465.0
2026-06-18,-10.0,1030.0
2026-06-19,-287.5,-15.0
2026-06-22,-602.5,-30.0
2026-06-23,-635.0,-640.0
2026-06-24,71.25,-280.0
2026-06-25,-515.0,550.0
2026-06-26,1060.0,0.0
2026-06-29,367.5,450.0
2026-07-01,42.5,0.0
2026-07-02,-17.5,0.0
2026-07-03,-515.0,-515.0
2026-07-06,-240.0,-90.0
2026-07-07,-895.0,0.0
2026-07-08,-505.0,0.0
2026-07-13,-217.5,0.0
2026-07-14,-460.0,0.0
2026-07-15,-405.0,0.0
