day,open_loc_on,pdc_loc,on_compression,on_nr_rank,vol_bandwidth,prior_vah,prior_val,prior_poc,on_vah,on_val,open800,gap_vs_value
2023-01-03,0.675,,,,,,,,,,11122.5,
2023-01-04,-0.275,0.285,,,,11046.625,10852.625,10943.125,11025.875,10984.375,10941.25,into_value
2023-01-05,0.496,0.587,,,,11043.125,10946.625,10978.125,11015.375,10943.125,10988.5,into_value
2023-01-06,0.63,0.133,,,,10896.375,10822.875,10865.375,10822.875,10781.875,10838.75,into_value
2023-01-09,0.093,0.863,,,,11165.875,10882.125,11110.625,11174.375,11142.125,11126.5,into_value
2023-01-10,0.812,0.243,,,,11381.625,11212.125,11362.875,11205.625,11147.625,11184.75,below
2023-01-11,0.506,0.961,,,,11242.625,11151.375,11199.875,11318.875,11265.625,11282.5,above
2023-01-12,0.534,0.981,,,,11452.625,11323.375,11416.125,11481.625,11457.875,11474.5,above
2023-01-13,0.954,0.798,,,,11547.625,11442.625,11468.125,11528.875,11472.375,11528.5,into_value
2023-01-16,0.945,0.922,,,,11535.375,11412.375,11507.875,11578.625,11526.375,11613.5,above
2023-01-17,0.675,0.418,0.569,0.1,,11612.375,11556.125,11587.375,11574.875,11547.875,11570.0,into_value
2023-01-18,0.096,0.6,0.622,0.182,,11646.625,11575.375,11616.125,11655.125,11626.125,11619.75,into_value
2023-01-19,0.875,0.048,1.428,0.917,,11666.875,11470.625,11524.375,11447.125,11356.625,11470.5,below
2023-01-20,0.448,0.476,0.826,0.308,,11419.625,11339.625,11364.125,11419.375,11382.375,11401.0,into_value
2023-01-23,0.456,0.972,0.594,0.071,,11686.875,11459.375,11671.625,11681.125,11657.125,11676.75,into_value
2023-01-24,0.836,0.857,0.829,0.333,10.528,11983.125,11815.625,11929.625,11919.875,11877.125,11933.0,into_value
2023-01-25,1.898,0.77,1.467,0.812,11.35,11932.625,11879.125,11907.625,11820.125,11732.875,11970.5,above
2023-01-26,-0.419,0.723,1.043,0.529,11.624,11901.125,11695.875,11869.375,11956.125,11924.875,11874.75,into_value
2023-01-27,0.589,0.786,0.635,0.111,12.31,12052.875,11932.375,11992.625,12052.125,12028.375,12049.0,into_value
