date,allow_reversion,allow_continuation,size_multiplier,directional_bias,stand_down,reasons,conflict
2026-05-01,True,True,0.5,long,False,regime-only (HTF layer permissive),False
2026-05-04,True,True,0.5,long,False,regime-only (HTF layer permissive),False
2026-05-05,True,True,0.5,long,False,regime-only (HTF layer permissive),False
2026-05-06,True,True,1.0,long,False,regime-only (HTF layer permissive),False
2026-05-07,True,True,1.0,long,False,regime-only (HTF layer permissive),False
2026-05-08,True,True,0.5,long,False,regime-only (HTF layer permissive),False
2026-05-11,True,True,1.0,long,False,regime-only (HTF layer permissive),False
2026-05-12,True,True,0.5,neutral,False,regime-only (HTF layer permissive),False
2026-05-13,True,True,0.5,long,False,regime-only (HTF layer permissive),False
2026-05-14,True,True,0.5,long,False,regime-only (HTF layer permissive),False
2026-05-15,True,True,0.5,neutral,False,regime-only (HTF layer permissive),False
2026-05-18,True,True,0.5,neutral,False,regime-only (HTF layer permissive),False
2026-05-19,True,True,0.5,neutral,False,regime-only (HTF layer permissive),False
2026-05-20,True,True,0.5,neutral,False,regime-only (HTF layer permissive),False
2026-05-21,True,True,0.5,neutral,False,regime-only (HTF layer permissive),False
2026-05-22,True,True,0.5,long,False,regime-only (HTF layer permissive),False
2026-05-25,False,False,0.0,long,True,regime-only (HTF layer permissive),False
2026-05-26,True,True,0.5,long,False,regime-only (HTF layer permissive),False
2026-05-27,True,True,0.5,long,False,regime-only (HTF layer permissive),False
2026-05-28,True,True,0.5,neutral,False,regime-only (HTF layer permissive),False
2026-05-29,True,True,0.5,long,False,regime-only (HTF layer permissive),False
