day,e3_base,e3_delay,e4_base,e4_delay,oracle_base,oracle_delay
2024-01-03,626.25,0.0,-450.0,0.0,626.25,0.0
2024-01-05,-200.0,0.0,135.0,0.0,135.0,0.0
2024-01-11,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-17,280.0,-410.0,1015.0,-505.0,1015.0,0.0
2024-01-25,-110.0,-127.5,-425.0,-380.0,0.0,0.0
2024-01-26,171.25,131.25,-500.0,745.0,171.25,745.0
2024-02-01,160.0,0.0,405.0,0.0,405.0,0.0
2024-02-02,-645.0,-645.0,-600.0,-600.0,0.0,0.0
2024-02-05,140.0,0.0,-625.0,0.0,140.0,0.0
2024-02-13,-386.25,-386.25,-550.0,-550.0,0.0,0.0
2024-02-15,112.5,385.0,-510.0,155.0,112.5,385.0
2024-02-29,-275.0,-177.5,-265.0,300.0,0.0,300.0
2024-03-01,-460.0,0.0,-630.0,0.0,0.0,0.0
2024-03-05,-161.25,0.0,-20.0,0.0,0.0,0.0
2024-03-06,90.0,0.0,205.0,0.0,205.0,0.0
2024-03-07,37.5,0.0,-765.0,415.0,37.5,415.0
2024-03-08,-67.5,-67.5,-735.0,-735.0,0.0,0.0
2024-03-12,106.25,106.25,0.0,0.0,106.25,106.25
2024-03-14,-238.75,-238.75,-255.0,415.0,0.0,415.0
2024-03-29,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,-475.0,0.0,350.0,0.0,350.0,0.0
2024-04-03,298.75,0.0,705.0,0.0,705.0,0.0
2024-04-05,-630.0,-630.0,-150.0,-150.0,0.0,0.0
2024-04-10,-471.25,-471.25,0.0,0.0,0.0,0.0
2024-04-15,-725.0,-725.0,345.0,-350.0,345.0,0.0
2024-04-25,237.5,352.5,-480.0,-360.0,237.5,352.5
2024-04-26,23.75,-11.25,-275.0,1080.0,23.75,1080.0
2024-05-01,-270.0,0.0,-490.0,0.0,0.0,0.0
2024-05-03,-655.0,0.0,0.0,0.0,0.0,0.0
2024-05-15,312.5,312.5,-100.0,-100.0,312.5,312.5
2024-05-31,1352.5,1272.5,340.0,315.0,1352.5,1272.5
2024-06-03,-191.25,0.0,780.0,0.0,780.0,0.0
2024-06-05,356.25,-460.0,-195.0,1070.0,356.25,1070.0
2024-06-07,-20.0,-20.0,-350.0,-350.0,0.0,0.0
2024-06-12,182.5,182.5,530.0,530.0,530.0,530.0
2024-06-18,181.25,-345.0,575.0,-310.0,575.0,0.0
2024-06-28,142.5,142.5,60.0,60.0,142.5,142.5
2024-07-01,-350.0,0.0,-640.0,0.0,0.0,0.0
2024-07-03,-160.0,-102.5,-470.0,0.0,0.0,0.0
2024-07-05,-547.5,-547.5,620.0,620.0,620.0,620.0
2024-07-09,430.0,0.0,-220.0,-170.0,430.0,0.0
2024-07-10,258.75,0.0,-270.0,0.0,258.75,0.0
2024-07-11,-655.0,-655.0,-90.0,-90.0,0.0,0.0
2024-07-16,370.0,370.0,-240.0,-240.0,370.0,370.0
2024-07-25,-435.0,-837.5,-45.0,-45.0,0.0,0.0
2024-07-26,-635.0,-415.0,1122.5,1122.5,1122.5,1122.5
2024-08-01,-490.0,-185.0,-40.0,0.0,0.0,0.0
2024-08-02,-15.0,-15.0,0.0,0.0,0.0,0.0
2024-08-05,-10.0,0.0,0.0,0.0,0.0,0.0
2024-08-14,-260.0,-260.0,0.0,0.0,0.0,0.0
2024-08-15,-180.0,-525.0,-90.0,680.0,0.0,680.0
2024-08-30,-545.0,-545.0,-840.0,-130.0,0.0,0.0
2024-09-03,120.0,0.0,90.0,580.0,120.0,580.0
2024-09-05,36.25,0.0,2445.0,0.0,2445.0,0.0
2024-09-06,-210.0,-210.0,0.0,0.0,0.0,0.0
2024-09-11,281.25,281.25,-305.0,-305.0,281.25,281.25
2024-09-17,5.0,87.5,235.0,175.0,235.0,175.0
2024-09-27,300.0,300.0,55.0,55.0,300.0,300.0
2024-10-01,203.75,0.0,-535.0,0.0,203.75,0.0
2024-10-03,0.0,0.0,595.0,0.0,595.0,0.0
2024-10-04,1872.5,1872.5,2620.0,2620.0,2620.0,2620.0
2024-10-10,-325.0,-325.0,0.0,0.0,0.0,0.0
2024-10-17,0.0,0.0,225.0,225.0,225.0,225.0
2024-10-30,-255.0,-450.0,-685.0,2975.0,0.0,2975.0
2024-10-31,-480.0,-165.0,-40.0,-40.0,0.0,0.0
2024-11-01,-259.38,0.0,0.0,0.0,0.0,0.0
2024-11-05,-390.0,-460.0,-680.0,-75.0,0.0,0.0
2024-11-13,1281.25,1281.25,255.0,255.0,1281.25,1281.25
2024-11-15,-210.0,-210.0,435.0,660.0,435.0,660.0
2024-11-27,-267.5,0.0,-385.0,0.0,0.0,0.0
2024-12-02,440.0,0.0,-320.0,-410.0,440.0,0.0
2024-12-04,-625.0,0.0,135.0,0.0,135.0,0.0
2024-12-06,-235.0,-235.0,0.0,0.0,0.0,0.0
2024-12-11,-60.0,-60.0,870.0,870.0,870.0,870.0
2024-12-17,-355.0,-275.0,-620.0,-620.0,0.0,0.0
2024-12-20,-185.0,-660.0,-360.0,100.0,0.0,100.0
