trade_date,trigger_ts,tf,direction,kind,pattern,htf_flag,confluence,entry_variant,limit_price,fill_ts,entry,stop_initial,target_name,target_level,working_target,exit_ts,exit_price,exit_reason,points,r_multiple,size,dollars,slippage_ticks,mgmt_variant,mfe_r,mae_r
2026-02-02,2026-02-02T08:16:00-05:00,2min,short,rejection_block,A,counter_trend,2,E3,25494.0,2026-02-02T08:22:00-05:00,25494.0,25501.75,daily_vwap_mid,25399.890979387477,25402.5,2026-02-02T08:45:00-05:00,25502.0,stop,-8.0,-1.0323,1.0,-165.0,1,V8,4.68,-1.1
2026-02-03,2026-02-03T08:20:00-05:00,5min,long,rejection_block,A,counter_trend,3,E3,25994.25,2026-02-03T08:21:00-05:00,25988.75,25987.75,walkout_daily_vwap_upper_2,26022.33062320734,26019.75,2026-02-03T08:21:00-05:00,25987.5,stop,-1.25,-0.1923,1.0,-30.0,1,V8,0.0,-6.75
2026-02-03,2026-02-03T08:21:00-05:00,1min,short,displacement,B,with_trend,3,E3,25989.0,2026-02-03T08:26:00-05:00,25989.0,25995.25,prior_day_high,25949.5,25952.0,2026-02-03T08:26:00-05:00,25995.5,stop,-6.5,-1.04,1.0,-135.0,1,V8,1.48,-1.0
2026-02-04,2026-02-04T09:30:00-05:00,5min,long,displacement,B,counter_trend,2,E3,25378.0,2026-02-04T09:31:00-05:00,25308.25,25356.25,london_session_high,25509.5,25507.0,2026-02-04T09:31:00-05:00,25308.0,stop,-0.25,-0.0115,1.0,-10.0,1,V8,0.03,-1.13
2026-02-04,2026-02-04T09:38:00-05:00,1min,short,rejection_block,B2,with_trend,2,E3,25325.75,2026-02-04T09:39:00-05:00,25337.5,25358.75,walkout_ny_vwap_lower_2,25239.03629558558,25241.5,2026-02-04T09:41:00-05:00,25359.0,partial+stop,-4.5,-0.1364,1.0,-95.0,1,V8,2.01,-1.52
2026-02-09,2026-02-09T09:21:00-05:00,3min,short,displacement,B,range,2,E3,25064.25,2026-02-09T09:25:00-05:00,25064.25,25073.5,london_session_low,24968.5,24971.0,2026-02-09T09:27:00-05:00,25073.75,stop,-9.5,-1.027,1.0,-195.0,1,V8,0.73,-1.78
2026-02-09,2026-02-09T09:27:00-05:00,3min,long,displacement,B,range,2,E3,25063.5,2026-02-09T09:28:00-05:00,25063.5,25044.0,asia_session_low,25120.75,25118.25,2026-02-09T09:30:00-05:00,25057.5,be_stop,-6.0,-0.3077,1.0,-125.0,1,V8,0.59,-5.1
2026-02-10,2026-02-10T08:34:00-05:00,2min,long,displacement,B,range,2,E3,25345.0,2026-02-10T08:35:00-05:00,25345.0,25326.25,asia_session_high,25395.5,25393.0,2026-02-10T09:11:00-05:00,25373.5,partial+stop,24.4375,1.3033,1.0,483.75,1,V8,2.17,-0.84
2026-02-10,2026-02-10T09:34:00-05:00,2min,short,rejection_block,A,range,2,E3,25375.0,2026-02-10T09:35:00-05:00,25375.0,25394.0,walkout_daily_vwap_lower_1,25321.935302229725,25324.5,2026-02-10T09:36:00-05:00,25324.5,partial+target,39.75,2.0921,1.0,790.0,0,V8,2.7,-0.14
2026-02-11,2026-02-11T09:33:00-05:00,3min,long,rejection_block,A,with_trend,2,E3,25405.5,2026-02-11T09:34:00-05:00,25405.5,25397.25,ny_vwap_mid,25441.142983044112,25438.75,2026-02-11T09:34:00-05:00,25397.0,stop,-8.5,-1.0303,1.0,-175.0,1,V8,2.58,-4.79
2026-02-11,2026-02-11T09:34:00-05:00,2min,long,rejection_block,A,with_trend,2,E3,25407.75,2026-02-11T09:35:00-05:00,25386.5,25395.25,ny_vwap_mid,25436.532107737472,25434.0,2026-02-11T09:35:00-05:00,25386.25,stop,-0.25,-0.02,1.0,-10.0,1,V8,0.31,-2.83
2026-02-12,2026-02-12T09:39:00-05:00,3min,short,rejection_block,A,range,2,E3,25364.0,2026-02-12T09:40:00-05:00,25364.0,25392.5,walkout_daily_vwap_lower_1,25292.679817217195,25295.25,2026-02-12T09:45:00-05:00,25295.25,partial+target,36.75,1.2895,1.0,730.0,0,V8,3.19,-0.89
2026-02-13,2026-02-13T09:56:00-05:00,2min,long,displacement,B,range,2,E3,24743.75,2026-02-13T09:57:00-05:00,24692.25,24728.5,london_session_high,24823.25,24820.75,2026-02-13T09:57:00-05:00,24692.0,stop,-0.25,-0.0164,1.0,-10.0,1,V8,0.57,-0.31
2026-02-13,2026-02-13T10:03:00-05:00,3min,long,displacement,B,range,2,E3,24745.25,2026-02-13T10:04:00-05:00,24725.25,24692.25,walkout_asia_session_high,24864.75,24862.25,2026-02-13T10:16:00-05:00,24752.75,partial+stop,52.6875,0.9941,0.5,521.88,1,V8,3.3,-0.63
2026-02-16,2026-02-16T09:34:00-05:00,2min,short,rejection_block,A,range,2,E3,24766.75,2026-02-16T09:35:00-05:00,24766.75,24776.5,walkout_prior_day_low,24578.75,24581.25,2026-02-16T09:51:00-05:00,24737.0,partial+stop,20.875,2.141,1.0,412.5,1,V8,7.59,-0.28
2026-02-16,2026-02-16T09:51:00-05:00,3min,long,displacement,B,range,2,E3,24737.75,2026-02-16T09:52:00-05:00,24736.0,24707.0,walkout_daily_vwap_mid,24818.546555249577,24816.0,2026-02-16T10:11:00-05:00,24770.75,partial+stop,26.625,0.8659,1.0,527.5,1,V8,2.12,-0.06
2026-02-17,2026-02-17T08:34:00-05:00,2min,short,displacement,B,with_trend,2,E3,24582.75,2026-02-17T08:35:00-05:00,24582.75,24595.25,walkout_london_session_low,24518.0,24520.5,2026-02-17T08:36:00-05:00,24596.25,stop,-13.5,-1.08,1.0,-275.0,4,V8,0.32,-1.2
2026-02-17,2026-02-17T08:36:00-05:00,3min,long,rejection_block,A,counter_trend,2,E3,24583.0,2026-02-17T08:37:00-05:00,24583.0,24577.0,daily_vwap_mid,24657.60726012212,24655.0,2026-02-17T08:51:00-05:00,24655.0,partial+target,79.875,13.3125,1.0,1592.5,0,V8,18.71,-0.83
2026-02-18,2026-02-18T09:48:00-05:00,3min,long,rejection_block,A,counter_trend,3,E3,24831.75,2026-02-18T09:49:00-05:00,24822.5,24823.0,walkout_ny_vwap_upper_2,24867.75012101213,24865.25,2026-02-18T09:49:00-05:00,24822.25,stop,-0.25,-0.0286,1.0,-10.0,1,V8,3.0,-57.5
2026-02-18,2026-02-18T09:49:00-05:00,1min,long,rejection_block,A,counter_trend,2,E3,24814.0,2026-02-18T09:50:00-05:00,24802.5,24792.0,walkout_ny_vwap_upper_2,24867.309601904257,24864.75,2026-02-18T09:54:00-05:00,24864.75,partial+target,53.375,2.4261,1.0,1062.5,0,V8,8.76,-0.29
2026-02-19,2026-02-19T08:00:00-05:00,5min,short,displacement,B,range,2,E3,24869.25,2026-02-19T08:01:00-05:00,24869.5,24875.5,london_session_low,24815.0,24817.5,2026-02-19T08:02:00-05:00,24875.75,stop,-6.25,-1.0,1.0,-130.0,1,V8,1.42,-1.42
2026-02-19,2026-02-19T08:37:00-05:00,1min,long,displacement,B,range,2,E3,24861.5,2026-02-19T08:39:00-05:00,24861.5,24849.5,asia_session_low,24916.25,24913.75,2026-02-19T08:44:00-05:00,24848.5,partial+stop,-2.4375,-0.2031,1.0,-53.75,4,V8,1.54,-1.0
2026-02-20,2026-02-20T08:30:00-05:00,5min,long,displacement,B,range,2,E3,24843.5,2026-02-20T08:31:00-05:00,24817.25,24825.75,asia_session_high,24956.0,24953.5,2026-02-20T08:31:00-05:00,24816.25,stop,-1.0,-0.0563,1.0,-25.0,4,V8,0.21,-4.29
2026-02-20,2026-02-20T09:32:00-05:00,2min,short,rejection_block,A,with_trend,2,E3,24746.5,2026-02-20T09:33:00-05:00,24782.0,24755.25,ny_vwap_mid,24722.471378091872,24725.0,2026-02-20T09:33:00-05:00,24783.0,stop,-1.0,-0.1143,1.0,-25.0,4,V8,0.32,-1.4
2026-02-23,2026-02-23T08:06:00-05:00,3min,long,displacement,B,range,2,E3,24910.75,2026-02-23T08:07:00-05:00,24909.0,24904.0,london_session_high,25004.0,25001.5,2026-02-23T08:51:00-05:00,24938.0,partial+stop,30.9375,4.5833,1.0,613.75,1,V8,9.1,0.0
2026-02-23,2026-02-23T09:55:00-05:00,5min,short,rejection_block,B2,with_trend,2,E3,24927.75,2026-02-23T09:56:00-05:00,24927.75,24965.25,walkout_daily_vwap_lower_2,24813.037918102415,24815.5,2026-02-23T10:11:00-05:00,24900.25,partial+stop,37.5625,1.0017,1.0,746.25,1,V8,2.33,-0.65
2026-02-24,2026-02-24T08:02:00-05:00,2min,long,displacement,B,with_trend,2,E3,24830.75,2026-02-24T08:03:00-05:00,24823.25,24814.25,asia_session_high,24888.25,24885.75,2026-02-24T08:38:00-05:00,24848.75,partial+stop,27.8125,1.6856,1.0,551.25,1,V8,5.22,-0.44
2026-02-24,2026-02-24T10:01:00-05:00,1min,short,displacement,B,with_trend,2,E3,24837.75,2026-02-24T10:02:00-05:00,24850.0,24880.0,walkout_daily_vwap_lower_2,24724.807992443082,24727.25,2026-02-24T10:06:00-05:00,24880.25,stop,-30.25,-0.716,0.5,-307.5,1,V8,0.49,-1.55
2026-02-25,2026-02-25T10:07:00-05:00,1min,short,rejection_block,A,counter_trend,3,E3,25331.5,2026-02-25T10:08:00-05:00,25331.5,25344.0,ny_vwap_mid,25280.109909162053,25282.5,2026-02-25T10:52:00-05:00,25282.5,target,49.0,3.92,1.0,975.0,0,V8,4.02,-0.8
2026-02-26,2026-02-26T08:03:00-05:00,3min,short,rejection_block,A,counter_trend,2,E3,25371.5,2026-02-26T08:09:00-05:00,25371.5,25380.0,daily_vwap_mid,25338.810975077624,25341.25,2026-02-26T08:12:00-05:00,25373.75,partial+stop,1.1875,0.1397,1.0,18.75,1,V8,0.79,-0.38
2026-02-26,2026-02-26T08:15:00-05:00,3min,long,displacement,B,range,2,E3,25377.25,2026-02-26T08:16:00-05:00,25377.25,25368.5,london_session_high,25401.5,25399.0,2026-02-26T08:29:00-05:00,25399.0,target,21.75,2.4857,1.0,430.0,0,V8,2.51,-0.14
2026-02-27,2026-02-27T09:32:00-05:00,2min,short,rejection_block,A,with_trend,2,E3,24824.75,2026-02-27T09:33:00-05:00,24880.5,24867.0,walkout_prior_week_low,24449.25,24451.75,2026-02-27T09:33:00-05:00,24880.75,stop,-0.25,-0.0059,0.5,-7.5,1,V8,0.28,-1.76
2026-02-27,2026-02-27T09:34:00-05:00,2min,long,displacement,B,counter_trend,2,E3,24867.75,2026-02-27T09:35:00-05:00,24867.75,24824.25,walkout_profile_poc,24995.375,24993.0,2026-02-27T09:42:00-05:00,24840.25,partial+stop,4.5,0.1034,0.5,40.0,1,V8,0.95,-1.1
