trade_date,trigger_ts,tf,direction,kind,pattern,htf_flag,confluence,entry_variant,limit_price,fill_ts,entry,stop_initial,target_name,target_level,working_target,exit_ts,exit_price,exit_reason,points,r_multiple,size,dollars,slippage_ticks,mgmt_variant,mfe_r,mae_r
2026-04-01,2026-04-01T09:45:00-04:00,5min,long,rejection_block,B2,with_trend,2,E3,24092.0,2026-04-01T09:46:00-04:00,24084.5,24068.5,profile_vah,24159.125,24156.5,2026-04-01T09:47:00-04:00,24067.5,stop,-17.0,-0.7234,1.0,-345.0,4,V0,1.14,-1.3
2026-04-01,2026-04-01T09:47:00-04:00,1min,long,rejection_block,B2,with_trend,3,E3,24092.0,2026-04-01T09:48:00-04:00,24065.75,24082.25,profile_vah,24173.875,24171.5,2026-04-01T09:48:00-04:00,24064.75,stop,-1.0,-0.1026,1.0,-25.0,4,V0,1.29,-0.42
2026-04-02,2026-04-02T08:50:00-04:00,5min,long,rejection_block,A,counter_trend,2,E3,23742.25,2026-04-02T08:57:00-04:00,23742.25,23731.0,daily_vwap_mid,23899.32000225921,23896.75,2026-04-02T08:58:00-04:00,23730.75,stop,-11.5,-1.0222,1.0,-235.0,1,V0,0.84,-1.24
2026-04-02,2026-04-02T09:00:00-04:00,5min,short,displacement,B,with_trend,2,E3,23734.75,2026-04-02T09:01:00-04:00,23734.75,23754.25,london_session_low,23666.0,23668.5,2026-04-02T09:28:00-04:00,23754.5,stop,-19.75,-1.0128,1.0,-400.0,1,V0,1.41,-1.29
2026-04-06,2026-04-06T08:48:00-04:00,3min,long,displacement,B,range,2,E3,24322.0,2026-04-06T08:49:00-04:00,24322.0,24316.0,walkout_prior_week_high,24348.25,24345.75,2026-04-06T08:49:00-04:00,24315.75,stop,-6.25,-1.0417,1.0,-130.0,1,V0,1.25,-1.08
2026-04-07,2026-04-07T08:19:00-04:00,1min,long,displacement,B,range,2,E3,24201.25,2026-04-07T08:20:00-04:00,24201.25,24169.5,asia_session_high,24384.0,24381.5,2026-04-07T09:47:00-04:00,24169.25,stop,-32.0,-1.0079,1.0,-645.0,1,V0,3.36,-1.49
2026-04-08,2026-04-08T08:00:00-04:00,5min,short,rejection_block,B2,with_trend,2,E3,25209.5,2026-04-08T08:01:00-04:00,25220.0,25219.0,walkout_london_session_low,25134.25,25136.75,2026-04-08T08:01:00-04:00,25220.25,stop,-0.25,-0.0263,1.0,-10.0,1,V0,5.25,-4.25
2026-04-08,2026-04-08T09:48:00-04:00,3min,long,displacement,B,range,2,E3,25145.5,2026-04-08T09:49:00-04:00,25145.5,25097.25,walkout_profile_vah,25245.375,25243.0,2026-04-08T09:51:00-04:00,25097.0,stop,-48.5,-1.0052,0.5,-490.0,1,V0,0.25,-1.53
2026-04-09,2026-04-09T09:36:00-04:00,3min,short,rejection_block,A,counter_trend,2,E3,25051.0,2026-04-09T09:37:00-04:00,25056.0,25057.0,daily_vwap_mid,25023.730271828215,25026.25,2026-04-09T09:37:00-04:00,25057.25,stop,-1.25,-0.2083,1.0,-30.0,1,V0,7.25,-13.75
2026-04-09,2026-04-09T09:37:00-04:00,1min,long,displacement,B,with_trend,2,E3,25051.75,2026-04-09T09:38:00-04:00,25050.0,25023.25,walkout_prior_day_high,25257.0,25254.5,2026-04-09T09:53:00-04:00,25023.0,stop,-27.0,-0.9474,1.0,-545.0,1,V0,2.3,-1.32
2026-04-10,2026-04-10T08:08:00-04:00,1min,long,displacement,B,range,2,E3,25276.0,2026-04-10T08:11:00-04:00,25276.0,25269.5,london_session_high,25302.25,25299.75,2026-04-10T08:28:00-04:00,25299.75,target,23.75,3.6538,1.0,470.0,0,V0,3.69,-0.42
2026-04-10,2026-04-10T09:35:00-04:00,5min,long,rejection_block,A,with_trend,2,E3,25318.25,2026-04-10T09:36:00-04:00,25313.75,25309.25,ny_vwap_mid,25342.060228667317,25339.5,2026-04-10T09:37:00-04:00,25339.5,target,25.75,2.8611,1.0,510.0,0,V0,8.39,-0.28
2026-04-13,2026-04-13T09:37:00-04:00,1min,short,displacement,B,range,2,E3,25201.25,2026-04-13T09:38:00-04:00,25201.25,25210.25,walkout_ny_session_low,25179.0,25181.5,2026-04-13T09:42:00-04:00,25210.5,stop,-9.25,-1.0278,1.0,-190.0,1,V0,1.81,-1.5
2026-04-13,2026-04-13T09:46:00-04:00,2min,short,displacement,B,range,2,E3,25183.25,2026-04-13T09:47:00-04:00,25183.25,25203.5,asia_session_high,25119.0,25121.5,2026-04-13T09:48:00-04:00,25203.75,stop,-20.5,-1.0123,1.0,-415.0,1,V0,1.15,-2.41
2026-04-14,2026-04-14T09:30:00-04:00,5min,short,displacement,B,counter_trend,2,E3,25666.75,2026-04-14T09:31:00-04:00,25689.0,25673.25,asia_session_high,25619.25,25621.75,2026-04-14T09:31:00-04:00,25689.25,stop,-0.25,-0.0385,1.0,-10.0,1,V0,0.44,-1.27
2026-04-14,2026-04-14T09:54:00-04:00,3min,long,rejection_block,B2,with_trend,2,E3,25748.75,2026-04-14T09:55:00-04:00,25741.25,25741.75,walkout_ny_vwap_upper_2,25770.40534931618,25768.0,2026-04-14T09:55:00-04:00,25741.0,stop,-0.25,-0.0357,1.0,-10.0,1,V0,2.0,-35.0
2026-04-15,2026-04-15T08:06:00-04:00,3min,short,displacement,B,with_trend,2,E3,25978.75,2026-04-15T08:07:00-04:00,25978.75,26001.25,walkout_prior_day_low,25560.0,25562.5,2026-04-15T08:41:00-04:00,26002.25,stop,-23.5,-1.0444,1.0,-475.0,4,V0,0.81,-1.27
