trade_date,trigger_ts,tf,direction,kind,pattern,htf_flag,confluence,entry_variant,limit_price,fill_ts,entry,stop_initial,target_name,target_level,working_target,exit_ts,exit_price,exit_reason,points,r_multiple,size,dollars,slippage_ticks,mgmt_variant,mfe_r,mae_r
2026-02-02,2026-02-02T08:16:00-05:00,2min,short,rejection_block,A,counter_trend,2,E3,25494.0,2026-02-02T08:22:00-05:00,25494.0,25501.75,daily_vwap_mid,25399.890979387477,25402.5,2026-02-02T08:45:00-05:00,25502.0,stop,-8.0,-1.0323,1.0,-165.0,1,V0,4.68,-1.1
2026-02-03,2026-02-03T08:20:00-05:00,5min,long,rejection_block,A,counter_trend,3,E3,25994.25,2026-02-03T08:21:00-05:00,25988.75,25987.75,walkout_daily_vwap_upper_2,26022.33062320734,26019.75,2026-02-03T08:21:00-05:00,25987.5,stop,-1.25,-0.1923,1.0,-30.0,1,V0,0.0,-6.75
2026-02-03,2026-02-03T08:21:00-05:00,1min,short,displacement,B,with_trend,3,E3,25989.0,2026-02-03T08:26:00-05:00,25989.0,25995.25,prior_day_high,25949.5,25952.0,2026-02-03T08:26:00-05:00,25995.5,stop,-6.5,-1.04,1.0,-135.0,1,V0,1.48,-1.0
2026-02-04,2026-02-04T09:30:00-05:00,5min,long,displacement,B,counter_trend,2,E3,25378.0,2026-02-04T09:31:00-05:00,25308.25,25356.25,london_session_high,25509.5,25507.0,2026-02-04T09:31:00-05:00,25308.0,stop,-0.25,-0.0115,1.0,-10.0,1,V0,0.03,-1.13
2026-02-04,2026-02-04T09:38:00-05:00,1min,short,rejection_block,B2,with_trend,2,E3,25325.75,2026-02-04T09:39:00-05:00,25337.5,25358.75,walkout_ny_vwap_lower_2,25239.03629558558,25241.5,2026-02-04T09:41:00-05:00,25359.0,stop,-21.5,-0.6515,1.0,-435.0,1,V0,2.01,-1.52
2026-02-09,2026-02-09T09:21:00-05:00,3min,short,displacement,B,range,2,E3,25064.25,2026-02-09T09:25:00-05:00,25064.25,25073.5,london_session_low,24968.5,24971.0,2026-02-09T09:27:00-05:00,25073.75,stop,-9.5,-1.027,1.0,-195.0,1,V0,0.73,-1.78
2026-02-09,2026-02-09T09:27:00-05:00,3min,long,displacement,B,range,2,E3,25063.5,2026-02-09T09:28:00-05:00,25063.5,25044.0,asia_session_low,25120.75,25118.25,2026-02-09T09:30:00-05:00,25043.75,stop,-19.75,-1.0128,1.0,-400.0,1,V0,0.59,-5.1
2026-02-10,2026-02-10T08:34:00-05:00,2min,long,displacement,B,range,2,E3,25345.0,2026-02-10T08:35:00-05:00,25345.0,25326.25,asia_session_high,25395.5,25393.0,2026-02-10T09:16:00-05:00,25393.0,target,48.0,2.56,1.0,955.0,0,V0,2.69,-0.84
2026-02-10,2026-02-10T09:34:00-05:00,2min,short,rejection_block,A,range,2,E3,25375.0,2026-02-10T09:35:00-05:00,25375.0,25394.0,walkout_daily_vwap_lower_1,25321.935302229725,25324.5,2026-02-10T09:36:00-05:00,25324.5,target,50.5,2.6579,1.0,1005.0,0,V0,2.7,-0.14
2026-02-11,2026-02-11T09:33:00-05:00,3min,long,rejection_block,A,with_trend,2,E3,25405.5,2026-02-11T09:34:00-05:00,25405.5,25397.25,ny_vwap_mid,25441.142983044112,25438.75,2026-02-11T09:34:00-05:00,25397.0,stop,-8.5,-1.0303,1.0,-175.0,1,V0,2.58,-4.79
2026-02-11,2026-02-11T09:34:00-05:00,2min,long,rejection_block,A,with_trend,2,E3,25407.75,2026-02-11T09:35:00-05:00,25386.5,25395.25,ny_vwap_mid,25436.532107737472,25434.0,2026-02-11T09:35:00-05:00,25386.25,stop,-0.25,-0.02,1.0,-10.0,1,V0,0.31,-2.83
2026-02-12,2026-02-12T09:39:00-05:00,3min,short,rejection_block,A,range,2,E3,25364.0,2026-02-12T09:40:00-05:00,25364.0,25392.5,walkout_daily_vwap_lower_1,25292.679817217195,25295.25,2026-02-12T09:45:00-05:00,25295.25,target,68.75,2.4123,1.0,1370.0,0,V0,3.19,-0.89
2026-02-13,2026-02-13T09:56:00-05:00,2min,long,displacement,B,range,2,E3,24743.75,2026-02-13T09:57:00-05:00,24692.25,24728.5,london_session_high,24823.25,24820.75,2026-02-13T09:57:00-05:00,24692.0,stop,-0.25,-0.0164,1.0,-10.0,1,V0,0.57,-0.31
2026-02-13,2026-02-13T10:03:00-05:00,3min,long,displacement,B,range,2,E3,24745.25,2026-02-13T10:04:00-05:00,24725.25,24692.25,walkout_asia_session_high,24864.75,24862.25,2026-02-13T10:28:00-05:00,24862.25,target,137.0,2.5849,0.5,1365.0,0,V0,4.28,-0.63
2026-02-16,2026-02-16T09:34:00-05:00,2min,short,rejection_block,A,range,2,E3,24766.75,2026-02-16T09:35:00-05:00,24766.75,24776.5,walkout_prior_day_low,24578.75,24581.25,2026-02-16T09:56:00-05:00,24776.75,stop,-10.0,-1.0256,1.0,-205.0,1,V0,7.59,-1.59
2026-02-16,2026-02-16T10:11:00-05:00,1min,short,displacement,B,range,2,E3,24774.5,2026-02-16T10:12:00-05:00,24774.5,24784.75,walkout_ny_vwap_mid,24750.884090094933,24753.5,2026-02-16T10:18:00-05:00,24753.5,target,21.0,2.0488,1.0,415.0,0,V0,2.95,-0.71
2026-02-17,2026-02-17T08:34:00-05:00,2min,short,displacement,B,with_trend,2,E3,24582.75,2026-02-17T08:35:00-05:00,24582.75,24595.25,walkout_london_session_low,24518.0,24520.5,2026-02-17T08:36:00-05:00,24596.25,stop,-13.5,-1.08,1.0,-275.0,4,V0,0.32,-1.2
2026-02-17,2026-02-17T08:36:00-05:00,3min,long,rejection_block,A,counter_trend,2,E3,24583.0,2026-02-17T08:37:00-05:00,24583.0,24577.0,daily_vwap_mid,24657.60726012212,24655.0,2026-02-17T08:51:00-05:00,24655.0,target,72.0,12.0,1.0,1435.0,0,V0,18.71,-0.83
2026-02-18,2026-02-18T09:48:00-05:00,3min,long,rejection_block,A,counter_trend,3,E3,24831.75,2026-02-18T09:49:00-05:00,24822.5,24823.0,walkout_ny_vwap_upper_2,24867.75012101213,24865.25,2026-02-18T09:49:00-05:00,24822.25,stop,-0.25,-0.0286,1.0,-10.0,1,V0,3.0,-57.5
2026-02-18,2026-02-18T09:49:00-05:00,1min,long,rejection_block,A,counter_trend,2,E3,24814.0,2026-02-18T09:50:00-05:00,24802.5,24792.0,walkout_ny_vwap_upper_2,24867.309601904257,24864.75,2026-02-18T09:54:00-05:00,24864.75,target,62.25,2.8295,1.0,1240.0,0,V0,8.76,-0.29
2026-02-19,2026-02-19T08:00:00-05:00,5min,short,displacement,B,range,2,E3,24869.25,2026-02-19T08:01:00-05:00,24869.5,24875.5,london_session_low,24815.0,24817.5,2026-02-19T08:02:00-05:00,24875.75,stop,-6.25,-1.0,1.0,-130.0,1,V0,1.42,-1.42
2026-02-19,2026-02-19T08:37:00-05:00,1min,long,displacement,B,range,2,E3,24861.5,2026-02-19T08:39:00-05:00,24861.5,24849.5,asia_session_low,24916.25,24913.75,2026-02-19T08:44:00-05:00,24848.5,stop,-13.0,-1.0833,1.0,-265.0,4,V0,1.54,-1.0
2026-02-20,2026-02-20T08:30:00-05:00,5min,long,displacement,B,range,2,E3,24843.5,2026-02-20T08:31:00-05:00,24817.25,24825.75,asia_session_high,24956.0,24953.5,2026-02-20T08:31:00-05:00,24816.25,stop,-1.0,-0.0563,1.0,-25.0,4,V0,0.21,-4.29
2026-02-20,2026-02-20T09:32:00-05:00,2min,short,rejection_block,A,with_trend,2,E3,24746.5,2026-02-20T09:33:00-05:00,24782.0,24755.25,ny_vwap_mid,24722.471378091872,24725.0,2026-02-20T09:33:00-05:00,24783.0,stop,-1.0,-0.1143,1.0,-25.0,4,V0,0.32,-1.4
