trade_date,trigger_ts,tf,direction,kind,pattern,htf_flag,confluence,entry_variant,limit_price,fill_ts,entry,stop_initial,target_name,target_level,working_target,exit_ts,exit_price,exit_reason,points,r_multiple,size,dollars,slippage_ticks,mgmt_variant,mfe_r,mae_r
2026-03-02,2026-03-02T08:34:00-05:00,2min,short,displacement,B,range,2,E3,24686.25,2026-03-02T08:35:00-05:00,24696.25,24706.25,asia_session_low,24528.0,24530.5,2026-03-02T09:31:00-05:00,24706.5,stop,-10.25,-0.5125,1.0,-210.0,1,V0,10.35,-5.97
2026-03-04,2026-03-04T09:38:00-05:00,2min,long,rejection_block,A,with_trend,3,E3,24891.75,2026-03-04T09:39:00-05:00,24884.5,24869.25,walkout_ny_vwap_upper_2,24954.589218539564,24952.0,2026-03-04T09:40:00-05:00,24869.0,stop,-15.5,-0.6889,1.0,-315.0,1,V0,1.62,-2.08
2026-03-04,2026-03-04T09:48:00-05:00,3min,short,rejection_block,A,counter_trend,3,E3,24883.25,2026-03-04T09:49:00-05:00,24906.75,24919.5,daily_vwap_mid,24769.051781729457,24771.5,2026-03-04T09:49:00-05:00,24920.5,stop,-13.75,-0.3793,1.0,-280.0,4,V0,1.41,-2.25
2026-03-05,2026-03-05T08:19:00-05:00,1min,short,rejection_block,A,counter_trend,2,E3,25039.75,2026-03-05T08:20:00-05:00,25049.0,25047.5,walkout_asia_session_low,24981.0,24983.5,2026-03-05T08:20:00-05:00,25050.0,stop,-1.0,-0.129,1.0,-25.0,4,V0,2.17,-7.0
2026-03-05,2026-03-05T08:20:00-05:00,5min,long,rejection_block,B2,with_trend,2,E3,25047.0,2026-03-05T08:21:00-05:00,25045.75,25034.0,profile_vah,25163.375,25161.0,2026-03-05T08:24:00-05:00,25033.0,stop,-12.75,-0.9808,1.0,-260.0,4,V0,0.43,-1.36
2026-03-06,2026-03-06T09:31:00-05:00,1min,short,rejection_block,A,with_trend,2,E3,24683.25,2026-03-06T09:32:00-05:00,24683.25,24722.0,walkout_daily_vwap_lower_2,24561.457963898207,24564.0,2026-03-06T09:33:00-05:00,24722.25,stop,-39.0,-1.0065,1.0,-785.0,1,V0,0.52,-1.27
2026-03-06,2026-03-06T09:33:00-05:00,3min,long,rejection_block,A,counter_trend,2,E3,24686.5,2026-03-06T09:34:00-05:00,24686.5,24653.5,data_extreme_Non-Farm Employm,24908.75,24906.25,2026-03-06T09:35:00-05:00,24653.25,stop,-33.25,-1.0076,1.0,-670.0,1,V0,0.9,-1.48
2026-03-09,2026-03-09T09:00:00-04:00,5min,long,displacement,B,range,2,E3,24377.5,2026-03-09T09:01:00-04:00,24377.5,24359.5,asia_session_high,24473.0,24470.5,2026-03-09T09:30:00-04:00,24470.5,target,93.0,5.1667,1.0,1855.0,0,V0,7.53,-0.11
2026-03-10,2026-03-10T09:38:00-04:00,2min,short,rejection_block,B2,with_trend,2,E3,25004.75,2026-03-10T09:39:00-04:00,25019.0,25032.25,walkout_daily_vwap_lower_1,24919.07983702742,24921.5,2026-03-10T09:39:00-04:00,25032.5,stop,-13.5,-0.4909,1.0,-275.0,1,V0,0.49,-1.19
2026-03-10,2026-03-10T09:41:00-04:00,1min,long,rejection_block,A,counter_trend,2,E3,25012.0,2026-03-10T09:42:00-04:00,25006.25,25004.0,walkout_ny_vwap_upper_1,25047.410276189516,25045.0,2026-03-10T09:42:00-04:00,25003.75,stop,-2.5,-0.3125,1.0,-55.0,1,V0,1.0,-17.0
