trade_date,trigger_ts,tf,direction,kind,pattern,htf_flag,confluence,entry_variant,limit_price,fill_ts,entry,stop_initial,target_name,target_level,working_target,exit_ts,exit_price,exit_reason,points,r_multiple,size,dollars,slippage_ticks,mgmt_variant,mfe_r,mae_r
2026-02-03,2026-02-03T08:07:00-05:00,1min,long,rejection_block,A,counter_trend,3,E4,25994.75,2026-02-03T08:08:00-05:00,25995.0,25985.0,walkout_daily_vwap_upper_2,26021.56685703246,26019.0,2026-02-03T08:20:00-05:00,25988.25,partial+stop,-0.6875,-0.0688,1.0,-18.75,1,V8,0.85,-0.72
2026-02-03,2026-02-03T08:25:00-05:00,5min,short,displacement,B,with_trend,3,E4,25976.25,2026-02-03T08:26:00-05:00,25980.0,25995.25,walkout_london_session_low,25923.5,25926.0,2026-02-03T08:26:00-05:00,25995.5,stop,-15.5,-1.0164,1.0,-315.0,1,V8,0.02,-1.0
2026-02-05,2026-02-05T09:35:00-05:00,5min,long,rejection_block,A,counter_trend,3,E4,24813.0,2026-02-05T09:36:00-05:00,24799.25,24652.0,walkout_profile_vah,25159.375,25157.0,2026-02-05T09:52:00-05:00,24871.75,partial+stop,44.0,0.2988,0.5,435.0,4,V8,1.1,-0.29
2026-02-05,2026-02-05T09:58:00-05:00,1min,short,rejection_block,B2,with_trend,3,E4,24801.0,2026-02-05T09:59:00-05:00,24779.25,24824.5,walkout_ny_vwap_lower_1,24750.398668902744,24753.0,2026-02-05T10:00:00-05:00,24753.0,partial+target,11.0,0.2431,0.5,105.0,0,V8,1.28,-0.48
2026-02-06,2026-02-06T10:07:00-05:00,1min,short,displacement,B,range,3,E4,24765.25,2026-02-06T10:08:00-05:00,24789.0,24813.0,asia_session_high,24613.75,24616.25,2026-02-06T10:10:00-05:00,24814.0,stop,-25.0,-1.0417,1.0,-505.0,4,V8,0.74,-2.04
2026-02-06,2026-02-06T10:11:00-05:00,1min,long,displacement,B,range,3,E4,24833.5,2026-02-06T10:12:00-05:00,24848.0,24788.75,walkout_ny_vwap_upper_2,24979.119373431186,24976.5,2026-02-06T10:13:00-05:00,24787.75,stop,-60.25,-1.0169,0.5,-607.5,4,V8,0.07,-1.4
2026-02-09,2026-02-09T09:26:00-05:00,2min,long,displacement,B,range,3,E4,25071.5,2026-02-09T09:27:00-05:00,25070.5,25044.0,walkout_daily_vwap_mid,25151.77677063371,25149.25,2026-02-09T09:30:00-05:00,25057.5,be_stop,-13.0,-0.4906,1.0,-265.0,1,V8,0.39,-4.02
2026-02-09,2026-02-09T09:31:00-05:00,1min,short,displacement,B,range,3,E4,24989.75,2026-02-09T09:32:00-05:00,25006.25,25073.0,walkout_prior_day_low,24239.75,24242.25,2026-02-09T09:34:00-05:00,25073.25,stop,-67.0,-1.0037,0.5,-675.0,1,V8,0.33,-1.03
2026-02-10,2026-02-10T08:10:00-05:00,5min,short,displacement,B,with_trend,3,E4,25305.25,2026-02-10T08:11:00-05:00,25304.0,25336.75,walkout_prior_day_low,24955.5,24958.0,2026-02-10T08:16:00-05:00,25325.75,partial+stop,-7.25,-0.2214,1.0,-150.0,4,V8,0.36,-0.71
2026-02-10,2026-02-10T08:21:00-05:00,3min,long,displacement,B,range,4,E4,25339.75,2026-02-10T08:22:00-05:00,25326.25,25325.5,asia_session_high,25395.5,25393.0,2026-02-10T08:22:00-05:00,25324.25,stop,-2.0,-2.6667,1.0,-45.0,4,V8,6.0,-7.0
2026-02-11,2026-02-11T09:31:00-05:00,1min,long,rejection_block,A,with_trend,3,E4,25459.25,2026-02-11T09:32:00-05:00,25449.75,25397.25,walkout_prior_week_high,26027.75,26025.25,2026-02-11T09:33:00-05:00,25397.0,stop,-52.75,-1.0048,0.5,-532.5,1,V8,0.14,-1.04
2026-02-11,2026-02-11T09:47:00-05:00,1min,short,displacement,B,counter_trend,3,E4,25372.5,2026-02-11T09:48:00-05:00,25384.75,25436.75,data_extreme_Non-Farm Employm,25238.75,25241.25,2026-02-11T10:09:00-05:00,25241.25,partial+target,91.375,1.7572,0.5,908.75,0,V8,2.9,-0.58
2026-02-12,2026-02-12T08:15:00-05:00,5min,short,rejection_block,A,counter_trend,3,E4,25328.5,2026-02-12T08:16:00-05:00,25321.5,25348.75,walkout_daily_vwap_lower_1,25271.35854542909,25273.75,2026-02-12T08:30:00-05:00,25349.75,stop,-28.25,-1.0367,1.0,-570.0,4,V8,0.05,-1.01
2026-02-12,2026-02-12T08:35:00-05:00,5min,long,displacement,B,with_trend,4,E4,25369.75,2026-02-12T08:36:00-05:00,25367.75,25331.25,walkout_prior_day_high,25465.25,25462.75,2026-02-12T08:51:00-05:00,25385.0,partial+stop,10.3125,0.2825,1.0,201.25,1,V8,1.42,-0.04
2026-02-13,2026-02-13T09:46:00-05:00,2min,long,displacement,B,range,3,E4,24802.0,2026-02-13T09:47:00-05:00,24802.5,24665.0,walkout_prior_day_high,25419.75,25417.25,2026-02-13T09:51:00-05:00,24708.0,partial+stop,-46.25,-0.3364,0.5,-467.5,1,V8,0.34,-0.79
2026-02-13,2026-02-13T09:51:00-05:00,3min,short,displacement,B,range,4,E4,24720.5,2026-02-13T09:52:00-05:00,24737.25,24849.5,walkout_prior_week_low,24239.75,24242.25,2026-02-13T10:08:00-05:00,24779.0,partial+stop,-1.8125,-0.0161,0.5,-23.12,1,V8,0.5,-0.59
2026-02-16,2026-02-16T09:51:00-05:00,3min,long,displacement,B,range,3,E4,24738.0,2026-02-16T09:52:00-05:00,24736.25,24707.0,walkout_daily_vwap_mid,24818.546555249577,24816.0,2026-02-16T10:11:00-05:00,24770.75,partial+stop,26.375,0.9017,1.0,522.5,1,V8,2.09,-0.07
2026-02-17,2026-02-17T08:00:00-05:00,5min,short,rejection_block,B2,with_trend,3,E4,24584.5,2026-02-17T08:01:00-05:00,24584.0,24604.75,walkout_daily_vwap_lower_2,24524.533338282024,24527.0,2026-02-17T08:12:00-05:00,24527.0,partial+target,28.6875,1.3825,1.0,568.75,0,V8,3.08,-0.33
2026-02-17,2026-02-17T08:24:00-05:00,3min,short,rejection_block,B2,with_trend,3,E4,24599.0,2026-02-17T08:25:00-05:00,24610.75,24614.5,walkout_asia_session_low,24558.25,24560.75,2026-02-17T08:25:00-05:00,24615.5,stop,-4.75,-1.2667,1.0,-100.0,4,V8,1.4,-3.13
2026-02-18,2026-02-18T08:17:00-05:00,1min,short,displacement,B,range,3,E4,24880.5,2026-02-18T08:18:00-05:00,24883.25,24891.5,asia_session_high,24847.0,24849.5,2026-02-18T08:26:00-05:00,24891.75,stop,-8.5,-1.0303,1.0,-175.0,1,V8,1.97,-1.21
2026-02-18,2026-02-18T08:26:00-05:00,2min,long,displacement,B,range,3,E4,24889.0,2026-02-18T08:27:00-05:00,24892.75,24872.75,walkout_profile_vah,24957.875,24955.5,2026-02-18T08:39:00-05:00,24880.5,partial+stop,-7.625,-0.3812,1.0,-157.5,1,V8,1.45,-1.04
2026-02-19,2026-02-19T08:00:00-05:00,5min,short,displacement,B,range,3,E4,24868.0,2026-02-19T08:01:00-05:00,24869.25,24875.5,london_session_low,24815.0,24817.5,2026-02-19T08:02:00-05:00,24875.75,stop,-6.5,-1.04,1.0,-135.0,1,V8,1.32,-1.4
2026-02-19,2026-02-19T08:37:00-05:00,1min,long,displacement,B,range,3,E4,24874.75,2026-02-19T08:38:00-05:00,24871.75,24849.5,walkout_profile_poc,24975.375,24973.0,2026-02-19T08:44:00-05:00,24848.5,stop,-23.25,-1.0449,1.0,-470.0,4,V8,0.37,-1.0
2026-02-20,2026-02-20T09:46:00-05:00,2min,long,rejection_block,A,counter_trend,3,E4,24932.75,2026-02-20T09:47:00-05:00,24952.25,24905.25,walkout_daily_vwap_upper_2,24992.718826959677,24990.25,2026-02-20T09:49:00-05:00,24904.25,stop,-48.0,-1.0213,0.5,-485.0,4,V8,0.04,-1.28
