trade_date,trigger_ts,tf,direction,kind,pattern,htf_flag,confluence,entry_variant,limit_price,fill_ts,entry,stop_initial,target_name,target_level,working_target,exit_ts,exit_price,exit_reason,points,r_multiple,size,dollars,slippage_ticks,mgmt_variant,mfe_r,mae_r
2026-03-02,2026-03-02T08:34:00-05:00,2min,short,displacement,B,range,3,E4,24679.5,2026-03-02T08:35:00-05:00,24696.0,24706.25,asia_session_low,24528.0,24530.5,2026-03-02T09:06:00-05:00,24632.25,partial+stop,45.875,4.4756,1.0,912.5,1,V8,10.07,-0.34
2026-03-02,2026-03-02T09:07:00-05:00,1min,long,displacement,B,range,3,E4,24643.25,2026-03-02T09:08:00-05:00,24647.5,24625.75,london_session_high,24739.25,24736.75,2026-03-02T09:13:00-05:00,24625.5,stop,-22.0,-1.0115,1.0,-445.0,1,V8,0.21,-1.03
2026-03-03,2026-03-03T09:00:00-05:00,5min,long,displacement,B,counter_trend,3,E4,24496.0,2026-03-03T09:01:00-05:00,24493.0,24473.5,asia_session_low,24668.5,24666.0,2026-03-03T09:01:00-05:00,24473.25,stop,-19.75,-1.0128,1.0,-400.0,1,V8,0.37,-1.08
2026-03-03,2026-03-03T09:02:00-05:00,2min,short,displacement,B,with_trend,3,E4,24476.0,2026-03-03T09:03:00-05:00,24484.0,24500.25,london_session_low,24370.0,24372.5,2026-03-03T09:06:00-05:00,24500.5,stop,-16.5,-1.0154,1.0,-335.0,1,V8,1.11,-1.23
2026-03-04,2026-03-04T09:38:00-05:00,2min,long,rejection_block,A,with_trend,3,E4,24897.5,2026-03-04T09:39:00-05:00,24884.75,24869.25,walkout_ny_session_high,24970.25,24967.75,2026-03-04T09:40:00-05:00,24869.0,stop,-15.75,-1.0161,1.0,-320.0,1,V8,1.58,-2.06
2026-03-04,2026-03-04T09:40:00-05:00,5min,short,displacement,B,counter_trend,3,E4,24885.0,2026-03-04T09:41:00-05:00,24864.5,24970.25,walkout_prior_week_low,24668.0,24670.5,2026-03-04T09:47:00-05:00,24889.0,partial+stop,1.375,0.013,0.5,8.75,4,V8,0.36,-0.52
2026-03-05,2026-03-05T09:38:00-05:00,2min,long,rejection_block,B2,with_trend,3,E4,25104.0,2026-03-05T09:39:00-05:00,25099.25,25081.0,walkout_daily_vwap_upper_2,25204.9725058992,25202.5,2026-03-05T09:39:00-05:00,25080.75,stop,-18.5,-1.0137,1.0,-375.0,1,V8,0.07,-1.78
2026-03-05,2026-03-05T09:41:00-05:00,1min,short,rejection_block,A,counter_trend,3,E4,25063.75,2026-03-05T09:42:00-05:00,25084.5,25097.0,walkout_data_low_Unemployment Cla_08:30,24992.0,24994.5,2026-03-05T09:42:00-05:00,25097.25,stop,-12.75,-1.02,1.0,-260.0,1,V8,0.66,-2.16
2026-03-06,2026-03-06T09:37:00-05:00,1min,short,rejection_block,B2,with_trend,3,E4,24623.5,2026-03-06T09:38:00-05:00,24631.75,24653.25,walkout_daily_vwap_lower_2,24530.444940731963,24533.0,2026-03-06T09:38:00-05:00,24653.5,stop,-21.75,-1.0116,1.0,-440.0,1,V8,0.2,-3.09
2026-03-06,2026-03-06T09:39:00-05:00,3min,long,rejection_block,A,counter_trend,3,E4,24688.0,2026-03-06T09:40:00-05:00,24680.0,24608.75,data_extreme_Non-Farm Employm,24908.75,24906.25,2026-03-06T09:56:00-05:00,24665.0,partial+stop,18.75,0.2632,0.5,182.5,1,V8,0.88,-0.62
2026-03-09,2026-03-09T09:38:00-04:00,2min,short,displacement,B,range,3,E4,24413.25,2026-03-09T09:39:00-04:00,24410.5,24484.0,london_session_low,24210.0,24212.5,2026-03-09T09:46:00-04:00,24409.75,partial+stop,2.0,0.0272,0.5,15.0,1,V8,0.9,-0.23
2026-03-10,2026-03-10T09:45:00-04:00,5min,long,rejection_block,A,counter_trend,3,E4,25029.25,2026-03-10T09:46:00-04:00,25013.0,24959.5,walkout_prior_week_high,25250.0,25247.5,2026-03-10T09:54:00-04:00,24994.75,partial+stop,10.6875,0.1998,0.5,101.88,1,V8,0.81,-0.43
2026-03-10,2026-03-10T09:55:00-04:00,5min,short,displacement,B,with_trend,3,E4,24993.0,2026-03-10T09:56:00-04:00,24984.5,25050.0,walkout_daily_vwap_lower_2,24859.235801975374,24861.75,2026-03-10T10:06:00-04:00,24988.75,partial+stop,10.375,0.1584,0.5,98.75,1,V8,0.98,-0.21
2026-03-11,2026-03-11T09:52:00-04:00,2min,long,rejection_block,A,range,4,E4,25022.75,2026-03-11T09:53:00-04:00,25043.75,25015.25,ny_vwap_mid,25075.275072087272,25072.75,2026-03-11T09:53:00-04:00,25072.75,target,29.0,1.0175,1.0,575.0,0,V8,1.18,-0.01
